date,IQ_unscaled,IQ_monthly,isPartial,scale,IQ
2016-05-01,67,68.0,False,0.68,45.56
2016-05-02,81,68.0,,0.68,55.080000000000005
2016-05-03,80,68.0,,0.68,54.400000000000006
2016-05-04,79,68.0,,0.68,53.720000000000006
2016-05-05,81,68.0,,0.68,55.080000000000005
2016-05-06,69,68.0,,0.68,46.92
2016-05-07,55,68.0,,0.68,37.400000000000006
2016-05-08,73,68.0,,0.68,49.64
2016-05-09,78,68.0,,0.68,53.040000000000006
2016-05-10,75,68.0,,0.68,51.00000000000001
2016-05-11,77,68.0,,0.68,52.36000000000001
2016-05-12,76,68.0,,0.68,51.68000000000001
2016-05-13,72,68.0,,0.68,48.96
2016-05-14,62,68.0,,0.68,42.160000000000004
2016-05-15,60,68.0,,0.68,40.800000000000004
2016-05-16,72,68.0,,0.68,48.96
2016-05-17,75,68.0,,0.68,51.00000000000001
2016-05-18,71,68.0,,0.68,48.28
2016-05-19,71,68.0,,0.68,48.28
2016-05-20,75,68.0,,0.68,51.00000000000001
2016-05-21,74,68.0,,0.68,50.32
2016-05-22,58,68.0,,0.68,39.440000000000005
2016-05-23,70,68.0,,0.68,47.6
2016-05-24,78,68.0,,0.68,53.040000000000006
2016-05-25,71,68.0,,0.68,48.28
2016-05-26,70,68.0,,0.68,47.6
2016-05-27,100,68.0,,0.68,68.0
2016-05-28,81,68.0,,0.68,55.080000000000005
2016-05-29,75,68.0,,0.68,51.00000000000001
2016-05-30,64,68.0,,0.68,43.52
2016-05-31,83,68.0,,0.68,56.440000000000005
2016-06-01,88,64.0,False,0.64,56.32
2016-06-02,87,64.0,,0.64,55.68
2016-06-03,92,64.0,,0.64,58.88
2016-06-04,87,64.0,,0.64,55.68
2016-06-05,91,64.0,,0.64,58.24
2016-06-06,100,64.0,,0.64,64.0
2016-06-07,86,64.0,,0.64,55.04
2016-06-08,76,64.0,,0.64,48.64
2016-06-09,79,64.0,,0.64,50.56
2016-06-10,79,64.0,,0.64,50.56
2016-06-11,72,64.0,,0.64,46.08
2016-06-12,81,64.0,,0.64,51.84
2016-06-13,69,64.0,,0.64,44.160000000000004
2016-06-14,74,64.0,,0.64,47.36
2016-06-15,77,64.0,,0.64,49.28
2016-06-16,78,64.0,,0.64,49.92
2016-06-17,70,64.0,,0.64,44.800000000000004
2016-06-18,80,64.0,,0.64,51.2
2016-06-19,68,64.0,,0.64,43.52
2016-06-20,72,64.0,,0.64,46.08
2016-06-21,92,64.0,,0.64,58.88
2016-06-22,70,64.0,,0.64,44.800000000000004
2016-06-23,77,64.0,,0.64,49.28
2016-06-24,83,64.0,,0.64,53.120000000000005
2016-06-25,82,64.0,,0.64,52.480000000000004
2016-06-26,80,64.0,,0.64,51.2
2016-06-27,77,64.0,,0.64,49.28
2016-06-28,70,64.0,,0.64,44.800000000000004
2016-06-29,80,64.0,,0.64,51.2
2016-06-30,81,64.0,,0.64,51.84
2016-07-01,74,70.0,False,0.7,51.8
2016-07-02,61,70.0,,0.7,42.699999999999996
2016-07-03,70,70.0,,0.7,49.0
2016-07-04,81,70.0,,0.7,56.699999999999996
2016-07-05,67,70.0,,0.7,46.9
2016-07-06,71,70.0,,0.7,49.699999999999996
2016-07-07,81,70.0,,0.7,56.699999999999996
2016-07-08,81,70.0,,0.7,56.699999999999996
2016-07-09,84,70.0,,0.7,58.8
2016-07-10,71,70.0,,0.7,49.699999999999996
2016-07-11,78,70.0,,0.7,54.599999999999994
2016-07-12,92,70.0,,0.7,64.39999999999999
2016-07-13,87,70.0,,0.7,60.9
2016-07-14,80,70.0,,0.7,56.0
2016-07-15,83,70.0,,0.7,58.099999999999994
2016-07-16,85,70.0,,0.7,59.49999999999999
2016-07-17,89,70.0,,0.7,62.3
2016-07-18,82,70.0,,0.7,57.4
2016-07-19,89,70.0,,0.7,62.3
2016-07-20,96,70.0,,0.7,67.19999999999999
2016-07-21,100,70.0,,0.7,70.0
2016-07-22,95,70.0,,0.7,66.5
2016-07-23,92,70.0,,0.7,64.39999999999999
2016-07-24,98,70.0,,0.7,68.6
2016-07-25,98,70.0,,0.7,68.6
2016-07-26,98,70.0,,0.7,68.6
2016-07-27,89,70.0,,0.7,62.3
2016-07-28,86,70.0,,0.7,60.199999999999996
2016-07-29,95,70.0,,0.7,66.5
2016-07-30,97,70.0,,0.7,67.89999999999999
2016-07-31,97,70.0,,0.7,67.89999999999999
2016-08-01,100,64.0,False,0.64,64.0
2016-08-02,97,64.0,,0.64,62.08
2016-08-03,98,64.0,,0.64,62.72
2016-08-04,94,64.0,,0.64,60.160000000000004
2016-08-05,93,64.0,,0.64,59.52
2016-08-06,85,64.0,,0.64,54.4
2016-08-07,77,64.0,,0.64,49.28
2016-08-08,85,64.0,,0.64,54.4
2016-08-09,87,64.0,,0.64,55.68
2016-08-10,91,64.0,,0.64,58.24
2016-08-11,77,64.0,,0.64,49.28
2016-08-12,84,64.0,,0.64,53.76
2016-08-13,80,64.0,,0.64,51.2
2016-08-14,75,64.0,,0.64,48.0
2016-08-15,88,64.0,,0.64,56.32
2016-08-16,84,64.0,,0.64,53.76
2016-08-17,77,64.0,,0.64,49.28
2016-08-18,66,64.0,,0.64,42.24
2016-08-19,86,64.0,,0.64,55.04
2016-08-20,78,64.0,,0.64,49.92
2016-08-21,80,64.0,,0.64,51.2
2016-08-22,80,64.0,,0.64,51.2
2016-08-23,80,64.0,,0.64,51.2
2016-08-24,81,64.0,,0.64,51.84
2016-08-25,88,64.0,,0.64,56.32
2016-08-26,85,64.0,,0.64,54.4
2016-08-27,75,64.0,,0.64,48.0
2016-08-28,85,64.0,,0.64,54.4
2016-08-29,83,64.0,,0.64,53.120000000000005
2016-08-30,87,64.0,,0.64,55.68
2016-08-31,76,64.0,,0.64,48.64
2016-09-01,83,66.0,False,0.66,54.78
2016-09-02,87,66.0,,0.66,57.42
2016-09-03,72,66.0,,0.66,47.52
2016-09-04,83,66.0,,0.66,54.78
2016-09-05,72,66.0,,0.66,47.52
2016-09-06,83,66.0,,0.66,54.78
2016-09-07,79,66.0,,0.66,52.14
2016-09-08,85,66.0,,0.66,56.1
2016-09-09,79,66.0,,0.66,52.14
2016-09-10,75,66.0,,0.66,49.5
2016-09-11,77,66.0,,0.66,50.82
2016-09-12,84,66.0,,0.66,55.440000000000005
2016-09-13,86,66.0,,0.66,56.760000000000005
2016-09-14,84,66.0,,0.66,55.440000000000005
2016-09-15,89,66.0,,0.66,58.74
2016-09-16,90,66.0,,0.66,59.400000000000006
2016-09-17,80,66.0,,0.66,52.800000000000004
2016-09-18,76,66.0,,0.66,50.160000000000004
2016-09-19,83,66.0,,0.66,54.78
2016-09-20,88,66.0,,0.66,58.080000000000005
2016-09-21,89,66.0,,0.66,58.74
2016-09-22,91,66.0,,0.66,60.06
2016-09-23,92,66.0,,0.66,60.720000000000006
2016-09-24,77,66.0,,0.66,50.82
2016-09-25,72,66.0,,0.66,47.52
2016-09-26,99,66.0,,0.66,65.34
2016-09-27,100,66.0,,0.66,66.0
2016-09-28,100,66.0,,0.66,66.0
2016-09-29,100,66.0,,0.66,66.0
2016-09-30,92,66.0,,0.66,60.720000000000006
2016-10-01,70,74.0,False,0.74,51.8
2016-10-02,78,74.0,,0.74,57.72
2016-10-03,83,74.0,,0.74,61.42
2016-10-04,85,74.0,,0.74,62.9
2016-10-05,82,74.0,,0.74,60.68
2016-10-06,85,74.0,,0.74,62.9
2016-10-07,75,74.0,,0.74,55.5
2016-10-08,67,74.0,,0.74,49.58
2016-10-09,83,74.0,,0.74,61.42
2016-10-10,81,74.0,,0.74,59.94
2016-10-11,89,74.0,,0.74,65.86
2016-10-12,92,74.0,,0.74,68.08
2016-10-13,82,74.0,,0.74,60.68
2016-10-14,85,74.0,,0.74,62.9
2016-10-15,79,74.0,,0.74,58.46
2016-10-16,79,74.0,,0.74,58.46
2016-10-17,83,74.0,,0.74,61.42
2016-10-18,86,74.0,,0.74,63.64
2016-10-19,99,74.0,,0.74,73.26
2016-10-20,100,74.0,,0.74,74.0
2016-10-21,85,74.0,,0.74,62.9
2016-10-22,79,74.0,,0.74,58.46
2016-10-23,85,74.0,,0.74,62.9
2016-10-24,90,74.0,,0.74,66.6
