date,GOAT_unscaled,GOAT_monthly,isPartial,scale,GOAT
2016-05-01,96,65.0,False,0.65,62.400000000000006
2016-05-02,73,65.0,,0.65,47.45
2016-05-03,74,65.0,,0.65,48.1
2016-05-04,73,65.0,,0.65,47.45
2016-05-05,75,65.0,,0.65,48.75
2016-05-06,72,65.0,,0.65,46.800000000000004
2016-05-07,87,65.0,,0.65,56.550000000000004
2016-05-08,88,65.0,,0.65,57.2
2016-05-09,77,65.0,,0.65,50.050000000000004
2016-05-10,74,65.0,,0.65,48.1
2016-05-11,70,65.0,,0.65,45.5
2016-05-12,78,65.0,,0.65,50.7
2016-05-13,77,65.0,,0.65,50.050000000000004
2016-05-14,90,65.0,,0.65,58.5
2016-05-15,92,65.0,,0.65,59.800000000000004
2016-05-16,75,65.0,,0.65,48.75
2016-05-17,74,65.0,,0.65,48.1
2016-05-18,72,65.0,,0.65,46.800000000000004
2016-05-19,72,65.0,,0.65,46.800000000000004
2016-05-20,69,65.0,,0.65,44.85
2016-05-21,90,65.0,,0.65,58.5
2016-05-22,91,65.0,,0.65,59.15
2016-05-23,71,65.0,,0.65,46.15
2016-05-24,71,65.0,,0.65,46.15
2016-05-25,74,65.0,,0.65,48.1
2016-05-26,77,65.0,,0.65,50.050000000000004
2016-05-27,80,65.0,,0.65,52.0
2016-05-28,97,65.0,,0.65,63.050000000000004
2016-05-29,100,65.0,,0.65,65.0
2016-05-30,87,65.0,,0.65,56.550000000000004
2016-05-31,81,65.0,,0.65,52.65
2016-06-01,64,71.0,False,0.71,45.44
2016-06-02,70,71.0,,0.71,49.699999999999996
2016-06-03,68,71.0,,0.71,48.28
2016-06-04,100,71.0,,0.71,71.0
2016-06-05,87,71.0,,0.71,61.769999999999996
2016-06-06,62,71.0,,0.71,44.019999999999996
2016-06-07,57,71.0,,0.71,40.47
2016-06-08,58,71.0,,0.71,41.18
2016-06-09,52,71.0,,0.71,36.92
2016-06-10,59,71.0,,0.71,41.89
2016-06-11,61,71.0,,0.71,43.309999999999995
2016-06-12,56,71.0,,0.71,39.76
2016-06-13,51,71.0,,0.71,36.21
2016-06-14,53,71.0,,0.71,37.629999999999995
2016-06-15,50,71.0,,0.71,35.5
