date,JNUG_unscaled,JNUG_monthly,isPartial,scale,JNUG
2016-05-01,5,14.0,False,0.14,0.7000000000000001
2016-05-02,91,14.0,,0.14,12.740000000000002
2016-05-03,61,14.0,,0.14,8.540000000000001
2016-05-04,48,14.0,,0.14,6.720000000000001
2016-05-05,81,14.0,,0.14,11.340000000000002
2016-05-06,75,14.0,,0.14,10.500000000000002
2016-05-07,5,14.0,,0.14,0.7000000000000001
2016-05-08,5,14.0,,0.14,0.7000000000000001
2016-05-09,67,14.0,,0.14,9.38
2016-05-10,44,14.0,,0.14,6.16
2016-05-11,76,14.0,,0.14,10.64
2016-05-12,60,14.0,,0.14,8.4
2016-05-13,65,14.0,,0.14,9.100000000000001
2016-05-14,11,14.0,,0.14,1.54
2016-05-15,0,14.0,,0.14,0.0
2016-05-16,86,14.0,,0.14,12.040000000000001
2016-05-17,84,14.0,,0.14,11.760000000000002
2016-05-18,89,14.0,,0.14,12.46
2016-05-19,100,14.0,,0.14,14.000000000000002
2016-05-20,85,14.0,,0.14,11.9
2016-05-21,0,14.0,,0.14,0.0
2016-05-22,16,14.0,,0.14,2.24
2016-05-23,55,14.0,,0.14,7.700000000000001
2016-05-24,81,14.0,,0.14,11.340000000000002
2016-05-25,92,14.0,,0.14,12.88
2016-05-26,47,14.0,,0.14,6.580000000000001
2016-05-27,73,14.0,,0.14,10.22
2016-05-28,17,14.0,,0.14,2.3800000000000003
2016-05-29,12,14.0,,0.14,1.6800000000000002
2016-05-30,11,14.0,,0.14,1.54
2016-05-31,65,14.0,,0.14,9.100000000000001
2016-06-01,31,18.0,False,0.18,5.58
2016-06-02,31,18.0,,0.18,5.58
2016-06-03,44,18.0,,0.18,7.92
2016-06-04,8,18.0,,0.18,1.44
2016-06-05,13,18.0,,0.18,2.34
2016-06-06,40,18.0,,0.18,7.199999999999999
2016-06-07,29,18.0,,0.18,5.22
2016-06-08,52,18.0,,0.18,9.36
2016-06-09,53,18.0,,0.18,9.54
2016-06-10,38,18.0,,0.18,6.84
2016-06-11,3,18.0,,0.18,0.54
2016-06-12,0,18.0,,0.18,0.0
2016-06-13,27,18.0,,0.18,4.859999999999999
2016-06-14,38,18.0,,0.18,6.84
2016-06-15,47,18.0,,0.18,8.459999999999999
2016-06-16,96,18.0,,0.18,17.28
2016-06-17,40,18.0,,0.18,7.199999999999999
2016-06-18,6,18.0,,0.18,1.08
2016-06-19,3,18.0,,0.18,0.54
2016-06-20,34,18.0,,0.18,6.12
2016-06-21,39,18.0,,0.18,7.02
2016-06-22,23,18.0,,0.18,4.14
2016-06-23,36,18.0,,0.18,6.4799999999999995
2016-06-24,100,18.0,,0.18,18.0
2016-06-25,5,18.0,,0.18,0.8999999999999999
2016-06-26,11,18.0,,0.18,1.98
2016-06-27,54,18.0,,0.18,9.719999999999999
2016-06-28,32,18.0,,0.18,5.76
2016-06-29,58,18.0,,0.18,10.44
2016-06-30,28,18.0,,0.18,5.04
2016-07-01,31,23.0,False,0.23,7.13
2016-07-02,11,23.0,,0.23,2.5300000000000002
2016-07-03,14,23.0,,0.23,3.22
2016-07-04,19,23.0,,0.23,4.37
2016-07-05,61,23.0,,0.23,14.030000000000001
2016-07-06,70,23.0,,0.23,16.1
2016-07-07,52,23.0,,0.23,11.96
2016-07-08,88,23.0,,0.23,20.240000000000002
2016-07-09,11,23.0,,0.23,2.5300000000000002
2016-07-10,8,23.0,,0.23,1.84
2016-07-11,66,23.0,,0.23,15.180000000000001
2016-07-12,42,23.0,,0.23,9.66
2016-07-13,60,23.0,,0.23,13.8
2016-07-14,100,23.0,,0.23,23.0
2016-07-15,60,23.0,,0.23,13.8
2016-07-16,19,23.0,,0.23,4.37
2016-07-17,6,23.0,,0.23,1.3800000000000001
2016-07-18,45,23.0,,0.23,10.35
2016-07-19,56,23.0,,0.23,12.88
2016-07-20,60,23.0,,0.23,13.8
2016-07-21,98,23.0,,0.23,22.540000000000003
2016-07-22,54,23.0,,0.23,12.42
2016-07-23,8,23.0,,0.23,1.84
2016-07-24,0,23.0,,0.23,0.0
2016-07-25,39,23.0,,0.23,8.97
2016-07-26,67,23.0,,0.23,15.41
2016-07-27,67,23.0,,0.23,15.41
2016-07-28,55,23.0,,0.23,12.65
2016-07-29,66,23.0,,0.23,15.180000000000001
2016-07-30,19,23.0,,0.23,4.37
2016-07-31,16,23.0,,0.23,3.68
2016-08-01,46,26.0,False,0.26,11.96
2016-08-02,66,26.0,,0.26,17.16
2016-08-03,54,26.0,,0.26,14.040000000000001
