date,CBOE_unscaled,CBOE_monthly,isPartial,scale,CBOE
2016-05-01,45,11.0,False,0.11,4.95
2016-05-02,83,11.0,,0.11,9.13
2016-05-03,82,11.0,,0.11,9.02
2016-05-04,37,11.0,,0.11,4.07
2016-05-05,55,11.0,,0.11,6.05
2016-05-06,32,11.0,,0.11,3.52
2016-05-07,9,11.0,,0.11,0.99
2016-05-08,19,11.0,,0.11,2.09
2016-05-09,100,11.0,,0.11,11.0
2016-05-10,91,11.0,,0.11,10.01
2016-05-11,46,11.0,,0.11,5.06
2016-05-12,47,11.0,,0.11,5.17
2016-05-13,64,11.0,,0.11,7.04
2016-05-14,28,11.0,,0.11,3.08
2016-05-15,10,11.0,,0.11,1.1
2016-05-16,63,11.0,,0.11,6.93
2016-05-17,53,11.0,,0.11,5.83
2016-05-18,54,11.0,,0.11,5.94
2016-05-19,47,11.0,,0.11,5.17
2016-05-20,74,11.0,,0.11,8.14
2016-05-21,19,11.0,,0.11,2.09
2016-05-22,0,11.0,,0.11,0.0
2016-05-23,63,11.0,,0.11,6.93
2016-05-24,62,11.0,,0.11,6.82
2016-05-25,48,11.0,,0.11,5.28
2016-05-26,65,11.0,,0.11,7.15
2016-05-27,84,11.0,,0.11,9.24
2016-05-28,20,11.0,,0.11,2.2
2016-05-29,20,11.0,,0.11,2.2
2016-05-30,28,11.0,,0.11,3.08
2016-05-31,48,11.0,,0.11,5.28
2016-06-01,44,14.0,False,0.14,6.16
2016-06-02,28,14.0,,0.14,3.9200000000000004
2016-06-03,40,14.0,,0.14,5.6000000000000005
2016-06-04,13,14.0,,0.14,1.8200000000000003
2016-06-05,13,14.0,,0.14,1.8200000000000003
2016-06-06,55,14.0,,0.14,7.700000000000001
2016-06-07,38,14.0,,0.14,5.32
2016-06-08,44,14.0,,0.14,6.16
2016-06-09,51,14.0,,0.14,7.140000000000001
2016-06-10,35,14.0,,0.14,4.9
2016-06-11,26,14.0,,0.14,3.6400000000000006
2016-06-12,26,14.0,,0.14,3.6400000000000006
2016-06-13,72,14.0,,0.14,10.080000000000002
2016-06-14,44,14.0,,0.14,6.16
2016-06-15,61,14.0,,0.14,8.540000000000001
2016-06-16,39,14.0,,0.14,5.460000000000001
2016-06-17,70,14.0,,0.14,9.8
2016-06-18,14,14.0,,0.14,1.9600000000000002
2016-06-19,7,14.0,,0.14,0.9800000000000001
2016-06-20,23,14.0,,0.14,3.22
2016-06-21,51,14.0,,0.14,7.140000000000001
2016-06-22,68,14.0,,0.14,9.520000000000001
2016-06-23,73,14.0,,0.14,10.22
2016-06-24,74,14.0,,0.14,10.360000000000001
2016-06-25,34,14.0,,0.14,4.760000000000001
2016-06-26,27,14.0,,0.14,3.7800000000000002
2016-06-27,100,14.0,,0.14,14.000000000000002
2016-06-28,39,14.0,,0.14,5.460000000000001
2016-06-29,57,14.0,,0.14,7.98
2016-06-30,64,14.0,,0.14,8.96
2016-07-01,100,12.0,False,0.12,12.0
2016-07-02,9,12.0,,0.12,1.08
2016-07-03,0,12.0,,0.12,0.0
2016-07-04,27,12.0,,0.12,3.2399999999999998
2016-07-05,39,12.0,,0.12,4.68
2016-07-06,23,12.0,,0.12,2.76
2016-07-07,53,12.0,,0.12,6.359999999999999
2016-07-08,76,12.0,,0.12,9.12
2016-07-09,18,12.0,,0.12,2.16
2016-07-10,26,12.0,,0.12,3.12
2016-07-11,60,12.0,,0.12,7.199999999999999
2016-07-12,75,12.0,,0.12,9.0
2016-07-13,85,12.0,,0.12,10.2
2016-07-14,94,12.0,,0.12,11.28
2016-07-15,54,12.0,,0.12,6.4799999999999995
2016-07-16,26,12.0,,0.12,3.12
2016-07-17,0,12.0,,0.12,0.0
2016-07-18,45,12.0,,0.12,5.3999999999999995
2016-07-19,67,12.0,,0.12,8.04
2016-07-20,38,12.0,,0.12,4.56
2016-07-21,61,12.0,,0.12,7.319999999999999
2016-07-22,54,12.0,,0.12,6.4799999999999995
2016-07-23,9,12.0,,0.12,1.08
2016-07-24,44,12.0,,0.12,5.279999999999999
2016-07-25,59,12.0,,0.12,7.08
2016-07-26,22,12.0,,0.12,2.6399999999999997
2016-07-27,52,12.0,,0.12,6.24
2016-07-28,81,12.0,,0.12,9.719999999999999
2016-07-29,61,12.0,,0.12,7.319999999999999
2016-07-30,9,12.0,,0.12,1.08
2016-07-31,17,12.0,,0.12,2.04
2016-08-01,29,13.0,False,0.13,3.77
2016-08-02,47,13.0,,0.13,6.11
2016-08-03,72,13.0,,0.13,9.36
2016-08-04,79,13.0,,0.13,10.27
2016-08-05,26,13.0,,0.13,3.38
2016-08-06,22,13.0,,0.13,2.8600000000000003
2016-08-07,15,13.0,,0.13,1.9500000000000002
2016-08-08,67,13.0,,0.13,8.71
2016-08-09,37,13.0,,0.13,4.8100000000000005
2016-08-10,25,13.0,,0.13,3.25
2016-08-11,45,13.0,,0.13,5.8500000000000005
2016-08-12,45,13.0,,0.13,5.8500000000000005
2016-08-13,7,13.0,,0.13,0.91
2016-08-14,15,13.0,,0.13,1.9500000000000002
2016-08-15,62,13.0,,0.13,8.06
2016-08-16,51,13.0,,0.13,6.63
2016-08-17,82,13.0,,0.13,10.66
2016-08-18,19,13.0,,0.13,2.47
2016-08-19,66,13.0,,0.13,8.58
2016-08-20,0,13.0,,0.13,0.0
2016-08-21,30,13.0,,0.13,3.9000000000000004
2016-08-22,13,13.0,,0.13,1.69
2016-08-23,100,13.0,,0.13,13.0
2016-08-24,50,13.0,,0.13,6.5
2016-08-25,70,13.0,,0.13,9.1
2016-08-26,66,13.0,,0.13,8.58
2016-08-27,21,13.0,,0.13,2.73
2016-08-28,7,13.0,,0.13,0.91
2016-08-29,29,13.0,,0.13,3.77
2016-08-30,40,13.0,,0.13,5.2
2016-08-31,46,13.0,,0.13,5.98
2016-09-01,15,17.0,False,0.17,2.5500000000000003
2016-09-02,32,17.0,,0.17,5.44
2016-09-03,0,17.0,,0.17,0.0
2016-09-04,0,17.0,,0.17,0.0
2016-09-05,7,17.0,,0.17,1.1900000000000002
2016-09-06,12,17.0,,0.17,2.04
2016-09-07,33,17.0,,0.17,5.61
2016-09-08,15,17.0,,0.17,2.5500000000000003
2016-09-09,41,17.0,,0.17,6.970000000000001
2016-09-10,0,17.0,,0.17,0.0
2016-09-11,7,17.0,,0.17,1.1900000000000002
2016-09-12,18,17.0,,0.17,3.06
2016-09-13,39,17.0,,0.17,6.630000000000001
2016-09-14,31,17.0,,0.17,5.2700000000000005
2016-09-15,34,17.0,,0.17,5.78
2016-09-16,19,17.0,,0.17,3.2300000000000004
2016-09-17,11,17.0,,0.17,1.87
2016-09-18,7,17.0,,0.17,1.1900000000000002
2016-09-19,21,17.0,,0.17,3.5700000000000003
2016-09-20,21,17.0,,0.17,3.5700000000000003
2016-09-21,27,17.0,,0.17,4.590000000000001
2016-09-22,52,17.0,,0.17,8.84
2016-09-23,72,17.0,,0.17,12.24
2016-09-24,11,17.0,,0.17,1.87
2016-09-25,11,17.0,,0.17,1.87
2016-09-26,100,17.0,,0.17,17.0
2016-09-27,61,17.0,,0.17,10.370000000000001
2016-09-28,36,17.0,,0.17,6.12
2016-09-29,61,17.0,,0.17,10.370000000000001
2016-09-30,16,17.0,,0.17,2.72
2016-10-01,28,13.0,False,0.13,3.64
2016-10-02,21,13.0,,0.13,2.73
2016-10-03,57,13.0,,0.13,7.41
2016-10-04,52,13.0,,0.13,6.76
2016-10-05,51,13.0,,0.13,6.63
2016-10-06,29,13.0,,0.13,3.77
2016-10-07,29,13.0,,0.13,3.77
2016-10-08,21,13.0,,0.13,2.73
2016-10-09,27,13.0,,0.13,3.5100000000000002
2016-10-10,23,13.0,,0.13,2.99
2016-10-11,64,13.0,,0.13,8.32
2016-10-12,100,13.0,,0.13,13.0
2016-10-13,23,13.0,,0.13,2.99
2016-10-14,30,13.0,,0.13,3.9000000000000004
2016-10-15,14,13.0,,0.13,1.82
2016-10-16,14,13.0,,0.13,1.82
2016-10-17,46,13.0,,0.13,5.98
2016-10-18,81,13.0,,0.13,10.530000000000001
2016-10-19,76,13.0,,0.13,9.88
2016-10-20,53,13.0,,0.13,6.890000000000001
2016-10-21,42,13.0,,0.13,5.46
2016-10-22,22,13.0,,0.13,2.8600000000000003
2016-10-23,28,13.0,,0.13,3.64
2016-10-24,40,13.0,,0.13,5.2
2016-10-25,40,13.0,,0.13,5.2
2016-10-26,80,13.0,,0.13,10.4
2016-10-27,75,13.0,,0.13,9.75
2016-10-28,97,13.0,,0.13,12.610000000000001
2016-10-29,7,13.0,,0.13,0.91
2016-10-30,27,13.0,,0.13,3.5100000000000002
2016-10-31,81,13.0,,0.13,10.530000000000001
2016-11-01,30,15.0,False,0.15,4.5
2016-11-02,80,15.0,,0.15,12.0
2016-11-03,45,15.0,,0.15,6.75
2016-11-04,60,15.0,,0.15,9.0
2016-11-05,50,15.0,,0.15,7.5
2016-11-06,14,15.0,,0.15,2.1
2016-11-07,34,15.0,,0.15,5.1
2016-11-08,66,15.0,,0.15,9.9
2016-11-09,73,15.0,,0.15,10.95
2016-11-10,65,15.0,,0.15,9.75
2016-11-11,84,15.0,,0.15,12.6
2016-11-12,28,15.0,,0.15,4.2
2016-11-13,0,15.0,,0.15,0.0
2016-11-14,74,15.0,,0.15,11.1
2016-11-15,40,15.0,,0.15,6.0
2016-11-16,81,15.0,,0.15,12.15
2016-11-17,47,15.0,,0.15,7.05
2016-11-18,42,15.0,,0.15,6.3
2016-11-19,0,15.0,,0.15,0.0
2016-11-20,7,15.0,,0.15,1.05
2016-11-21,58,15.0,,0.15,8.7
2016-11-22,89,15.0,,0.15,13.35
2016-11-23,100,15.0,,0.15,15.0
2016-11-24,21,15.0,,0.15,3.15
2016-11-25,51,15.0,,0.15,7.6499999999999995
2016-11-26,13,15.0,,0.15,1.95
2016-11-27,13,15.0,,0.15,1.95
2016-11-28,37,15.0,,0.15,5.55
2016-11-29,69,15.0,,0.15,10.35
2016-11-30,81,15.0,,0.15,12.15
2016-12-01,69,12.0,False,0.12,8.28
2016-12-02,28,12.0,,0.12,3.36
2016-12-03,25,12.0,,0.12,3.0
2016-12-04,15,12.0,,0.12,1.7999999999999998
2016-12-05,61,12.0,,0.12,7.319999999999999
2016-12-06,58,12.0,,0.12,6.96
2016-12-07,81,12.0,,0.12,9.719999999999999
2016-12-08,48,12.0,,0.12,5.76
