date,OUT_unscaled,OUT_monthly,isPartial,scale,OUT
2016-05-01,92,84.0,False,0.84,77.28
2016-05-02,87,84.0,,0.84,73.08
2016-05-03,83,84.0,,0.84,69.72
2016-05-04,100,84.0,,0.84,84.0
2016-05-05,85,84.0,,0.84,71.39999999999999
2016-05-06,85,84.0,,0.84,71.39999999999999
2016-05-07,86,84.0,,0.84,72.24
2016-05-08,90,84.0,,0.84,75.6
2016-05-09,85,84.0,,0.84,71.39999999999999
2016-05-10,84,84.0,,0.84,70.56
2016-05-11,83,84.0,,0.84,69.72
2016-05-12,86,84.0,,0.84,72.24
2016-05-13,85,84.0,,0.84,71.39999999999999
2016-05-14,88,84.0,,0.84,73.92
2016-05-15,91,84.0,,0.84,76.44
2016-05-16,84,84.0,,0.84,70.56
2016-05-17,83,84.0,,0.84,69.72
2016-05-18,85,84.0,,0.84,71.39999999999999
2016-05-19,87,84.0,,0.84,73.08
2016-05-20,86,84.0,,0.84,72.24
2016-05-21,90,84.0,,0.84,75.6
2016-05-22,90,84.0,,0.84,75.6
2016-05-23,87,84.0,,0.84,73.08
2016-05-24,85,84.0,,0.84,71.39999999999999
2016-05-25,84,84.0,,0.84,70.56
2016-05-26,85,84.0,,0.84,71.39999999999999
2016-05-27,87,84.0,,0.84,73.08
2016-05-28,93,84.0,,0.84,78.11999999999999
2016-05-29,89,84.0,,0.84,74.75999999999999
2016-05-30,93,84.0,,0.84,78.11999999999999
2016-05-31,87,84.0,,0.84,73.08
2016-06-01,91,83.0,False,0.83,75.53
2016-06-02,93,83.0,,0.83,77.19
2016-06-03,91,83.0,,0.83,75.53
2016-06-04,96,83.0,,0.83,79.67999999999999
2016-06-05,100,83.0,,0.83,83.0
2016-06-06,93,83.0,,0.83,77.19
2016-06-07,93,83.0,,0.83,77.19
2016-06-08,91,83.0,,0.83,75.53
2016-06-09,92,83.0,,0.83,76.36
2016-06-10,91,83.0,,0.83,75.53
2016-06-11,92,83.0,,0.83,76.36
2016-06-12,97,83.0,,0.83,80.50999999999999
2016-06-13,89,83.0,,0.83,73.86999999999999
2016-06-14,88,83.0,,0.83,73.03999999999999
2016-06-15,94,83.0,,0.83,78.02
2016-06-16,91,83.0,,0.83,75.53
2016-06-17,98,83.0,,0.83,81.33999999999999
2016-06-18,98,83.0,,0.83,81.33999999999999
2016-06-19,95,83.0,,0.83,78.85
2016-06-20,90,83.0,,0.83,74.7
2016-06-21,94,83.0,,0.83,78.02
2016-06-22,93,83.0,,0.83,77.19
2016-06-23,89,83.0,,0.83,73.86999999999999
2016-06-24,88,83.0,,0.83,73.03999999999999
2016-06-25,95,83.0,,0.83,78.85
2016-06-26,95,83.0,,0.83,78.85
2016-06-27,88,83.0,,0.83,73.03999999999999
2016-06-28,94,83.0,,0.83,78.02
2016-06-29,88,83.0,,0.83,73.03999999999999
2016-06-30,94,83.0,,0.83,78.02
2016-07-01,75,84.0,False,0.84,63.0
2016-07-02,80,84.0,,0.84,67.2
2016-07-03,80,84.0,,0.84,67.2
2016-07-04,80,84.0,,0.84,67.2
2016-07-05,74,84.0,,0.84,62.16
2016-07-06,76,84.0,,0.84,63.839999999999996
2016-07-07,78,84.0,,0.84,65.52
2016-07-08,74,84.0,,0.84,62.16
2016-07-09,81,84.0,,0.84,68.03999999999999
2016-07-10,78,84.0,,0.84,65.52
2016-07-11,76,84.0,,0.84,63.839999999999996
2016-07-12,77,84.0,,0.84,64.67999999999999
2016-07-13,77,84.0,,0.84,64.67999999999999
2016-07-14,73,84.0,,0.84,61.32
2016-07-15,76,84.0,,0.84,63.839999999999996
2016-07-16,81,84.0,,0.84,68.03999999999999
2016-07-17,81,84.0,,0.84,68.03999999999999
2016-07-18,78,84.0,,0.84,65.52
2016-07-19,78,84.0,,0.84,65.52
2016-07-20,79,84.0,,0.84,66.36
2016-07-21,85,84.0,,0.84,71.39999999999999
2016-07-22,92,84.0,,0.84,77.28
2016-07-23,100,84.0,,0.84,84.0
2016-07-24,99,84.0,,0.84,83.16
2016-07-25,85,84.0,,0.84,71.39999999999999
2016-07-26,84,84.0,,0.84,70.56
2016-07-27,84,84.0,,0.84,70.56
2016-07-28,81,84.0,,0.84,68.03999999999999
2016-07-29,85,84.0,,0.84,71.39999999999999
2016-07-30,94,84.0,,0.84,78.96
2016-07-31,96,84.0,,0.84,80.64
2016-08-01,95,82.0,False,0.82,77.89999999999999
2016-08-02,100,82.0,,0.82,82.0
2016-08-03,100,82.0,,0.82,82.0
