date,DTE_unscaled,DTE_monthly,isPartial,scale,DTE
2016-05-01,54,28.0,False,0.28,15.120000000000001
2016-05-02,73,28.0,,0.28,20.44
2016-05-03,77,28.0,,0.28,21.560000000000002
2016-05-04,60,28.0,,0.28,16.8
2016-05-05,73,28.0,,0.28,20.44
2016-05-06,68,28.0,,0.28,19.040000000000003
2016-05-07,60,28.0,,0.28,16.8
2016-05-08,44,28.0,,0.28,12.32
2016-05-09,71,28.0,,0.28,19.880000000000003
2016-05-10,64,28.0,,0.28,17.92
2016-05-11,75,28.0,,0.28,21.000000000000004
2016-05-12,74,28.0,,0.28,20.720000000000002
2016-05-13,100,28.0,,0.28,28.000000000000004
2016-05-14,76,28.0,,0.28,21.28
2016-05-15,67,28.0,,0.28,18.76
2016-05-16,83,28.0,,0.28,23.240000000000002
2016-05-17,74,28.0,,0.28,20.720000000000002
2016-05-18,81,28.0,,0.28,22.680000000000003
2016-05-19,79,28.0,,0.28,22.12
2016-05-20,91,28.0,,0.28,25.480000000000004
2016-05-21,69,28.0,,0.28,19.32
2016-05-22,87,28.0,,0.28,24.360000000000003
2016-05-23,83,28.0,,0.28,23.240000000000002
2016-05-24,74,28.0,,0.28,20.720000000000002
2016-05-25,69,28.0,,0.28,19.32
2016-05-26,86,28.0,,0.28,24.080000000000002
2016-05-27,83,28.0,,0.28,23.240000000000002
2016-05-28,81,28.0,,0.28,22.680000000000003
2016-05-29,48,28.0,,0.28,13.440000000000001
2016-05-30,71,28.0,,0.28,19.880000000000003
2016-05-31,100,28.0,,0.28,28.000000000000004
2016-06-01,72,39.0,False,0.39,28.080000000000002
2016-06-02,68,39.0,,0.39,26.52
2016-06-03,100,39.0,,0.39,39.0
2016-06-04,82,39.0,,0.39,31.98
2016-06-05,72,39.0,,0.39,28.080000000000002
2016-06-06,70,39.0,,0.39,27.3
2016-06-07,58,39.0,,0.39,22.62
2016-06-08,73,39.0,,0.39,28.470000000000002
2016-06-09,65,39.0,,0.39,25.35
2016-06-10,80,39.0,,0.39,31.200000000000003
2016-06-11,94,39.0,,0.39,36.660000000000004
2016-06-12,66,39.0,,0.39,25.740000000000002
2016-06-13,64,39.0,,0.39,24.96
2016-06-14,57,39.0,,0.39,22.23
2016-06-15,63,39.0,,0.39,24.57
2016-06-16,84,39.0,,0.39,32.76
2016-06-17,99,39.0,,0.39,38.61
2016-06-18,73,39.0,,0.39,28.470000000000002
2016-06-19,56,39.0,,0.39,21.84
2016-06-20,94,39.0,,0.39,36.660000000000004
2016-06-21,81,39.0,,0.39,31.59
2016-06-22,76,39.0,,0.39,29.64
2016-06-23,80,39.0,,0.39,31.200000000000003
2016-06-24,79,39.0,,0.39,30.810000000000002
2016-06-25,58,39.0,,0.39,22.62
2016-06-26,56,39.0,,0.39,21.84
2016-06-27,63,39.0,,0.39,24.57
2016-06-28,67,39.0,,0.39,26.130000000000003
2016-06-29,57,39.0,,0.39,22.23
2016-06-30,59,39.0,,0.39,23.01
2016-07-01,34,50.0,False,0.5,17.0
2016-07-02,30,50.0,,0.5,15.0
2016-07-03,32,50.0,,0.5,16.0
2016-07-04,21,50.0,,0.5,10.5
2016-07-05,34,50.0,,0.5,17.0
2016-07-06,34,50.0,,0.5,17.0
2016-07-07,40,50.0,,0.5,20.0
2016-07-08,62,50.0,,0.5,31.0
2016-07-09,100,50.0,,0.5,50.0
2016-07-10,40,50.0,,0.5,20.0
2016-07-11,41,50.0,,0.5,20.5
2016-07-12,36,50.0,,0.5,18.0
2016-07-13,44,50.0,,0.5,22.0
2016-07-14,57,50.0,,0.5,28.5
2016-07-15,46,50.0,,0.5,23.0
2016-07-16,33,50.0,,0.5,16.5
2016-07-17,25,50.0,,0.5,12.5
2016-07-18,49,50.0,,0.5,24.5
2016-07-19,35,50.0,,0.5,17.5
2016-07-20,36,50.0,,0.5,18.0
2016-07-21,33,50.0,,0.5,16.5
2016-07-22,46,50.0,,0.5,23.0
2016-07-23,32,50.0,,0.5,16.0
2016-07-24,28,50.0,,0.5,14.0
2016-07-25,40,50.0,,0.5,20.0
2016-07-26,43,50.0,,0.5,21.5
2016-07-27,32,50.0,,0.5,16.0
2016-07-28,33,50.0,,0.5,16.5
2016-07-29,48,50.0,,0.5,24.0
2016-07-30,42,50.0,,0.5,21.0
2016-07-31,32,50.0,,0.5,16.0
2016-08-01,56,43.0,False,0.43,24.08
2016-08-02,49,43.0,,0.43,21.07
2016-08-03,44,43.0,,0.43,18.919999999999998
2016-08-04,57,43.0,,0.43,24.509999999999998
2016-08-05,49,43.0,,0.43,21.07
2016-08-06,41,43.0,,0.43,17.63
2016-08-07,44,43.0,,0.43,18.919999999999998
2016-08-08,48,43.0,,0.43,20.64
2016-08-09,50,43.0,,0.43,21.5
2016-08-10,46,43.0,,0.43,19.78
2016-08-11,56,43.0,,0.43,24.08
2016-08-12,100,43.0,,0.43,43.0
2016-08-13,75,43.0,,0.43,32.25
2016-08-14,39,43.0,,0.43,16.77
2016-08-15,50,43.0,,0.43,21.5
2016-08-16,58,43.0,,0.43,24.94
2016-08-17,46,43.0,,0.43,19.78
2016-08-18,52,43.0,,0.43,22.36
2016-08-19,55,43.0,,0.43,23.65
2016-08-20,65,43.0,,0.43,27.95
