date,HBAR_unscaled,HBAR_monthly,isPartial,scale,HBAR
2016-05-01,17,10.0,False,0.1,1.7000000000000002
2016-05-02,84,10.0,,0.1,8.4
2016-05-03,14,10.0,,0.1,1.4000000000000001
2016-05-04,70,10.0,,0.1,7.0
2016-05-05,58,10.0,,0.1,5.800000000000001
2016-05-06,0,10.0,,0.1,0.0
2016-05-07,35,10.0,,0.1,3.5
2016-05-08,53,10.0,,0.1,5.300000000000001
2016-05-09,57,10.0,,0.1,5.7
2016-05-10,42,10.0,,0.1,4.2
2016-05-11,100,10.0,,0.1,10.0
2016-05-12,15,10.0,,0.1,1.5
2016-05-13,45,10.0,,0.1,4.5
2016-05-14,18,10.0,,0.1,1.8
2016-05-15,71,10.0,,0.1,7.1000000000000005
2016-05-16,44,10.0,,0.1,4.4
2016-05-17,0,10.0,,0.1,0.0
2016-05-18,43,10.0,,0.1,4.3
2016-05-19,44,10.0,,0.1,4.4
2016-05-20,46,10.0,,0.1,4.6000000000000005
2016-05-21,54,10.0,,0.1,5.4
2016-05-22,70,10.0,,0.1,7.0
2016-05-23,58,10.0,,0.1,5.800000000000001
2016-05-24,29,10.0,,0.1,2.9000000000000004
2016-05-25,15,10.0,,0.1,1.5
2016-05-26,60,10.0,,0.1,6.0
2016-05-27,47,10.0,,0.1,4.7
2016-05-28,55,10.0,,0.1,5.5
2016-05-29,37,10.0,,0.1,3.7
2016-05-30,69,10.0,,0.1,6.9
2016-05-31,15,10.0,,0.1,1.5
2016-06-01,41,11.0,False,0.11,4.51
2016-06-02,14,11.0,,0.11,1.54
2016-06-03,98,11.0,,0.11,10.78
2016-06-04,64,11.0,,0.11,7.04
2016-06-05,0,11.0,,0.11,0.0
2016-06-06,0,11.0,,0.11,0.0
2016-06-07,27,11.0,,0.11,2.97
2016-06-08,41,11.0,,0.11,4.51
2016-06-09,42,11.0,,0.11,4.62
2016-06-10,29,11.0,,0.11,3.19
2016-06-11,80,11.0,,0.11,8.8
2016-06-12,33,11.0,,0.11,3.63
2016-06-13,14,11.0,,0.11,1.54
2016-06-14,54,11.0,,0.11,5.94
2016-06-15,41,11.0,,0.11,4.51
2016-06-16,83,11.0,,0.11,9.13
2016-06-17,100,11.0,,0.11,11.0
2016-06-18,34,11.0,,0.11,3.74
2016-06-19,51,11.0,,0.11,5.61
2016-06-20,56,11.0,,0.11,6.16
2016-06-21,70,11.0,,0.11,7.7
2016-06-22,28,11.0,,0.11,3.08
2016-06-23,28,11.0,,0.11,3.08
2016-06-24,85,11.0,,0.11,9.35
2016-06-25,67,11.0,,0.11,7.37
2016-06-26,34,11.0,,0.11,3.74
2016-06-27,41,11.0,,0.11,4.51
2016-06-28,14,11.0,,0.11,1.54
2016-06-29,0,11.0,,0.11,0.0
2016-06-30,57,11.0,,0.11,6.2700000000000005
2016-07-01,39,11.0,False,0.11,4.29
2016-07-02,11,11.0,,0.11,1.21
2016-07-03,0,11.0,,0.11,0.0
2016-07-04,22,11.0,,0.11,2.42
2016-07-05,10,11.0,,0.11,1.1
2016-07-06,19,11.0,,0.11,2.09
2016-07-07,38,11.0,,0.11,4.18
2016-07-08,67,11.0,,0.11,7.37
