date,NVCT_unscaled,NVCT_monthly,isPartial,scale,NVCT
2016-05-01,0,16.0,False,0.16,0.0
2016-05-02,0,16.0,,0.16,0.0
2016-05-03,0,16.0,,0.16,0.0
2016-05-04,100,16.0,,0.16,16.0
2016-05-05,0,16.0,,0.16,0.0
2016-05-06,0,16.0,,0.16,0.0
2016-05-07,0,16.0,,0.16,0.0
2016-05-08,0,16.0,,0.16,0.0
2016-05-09,0,16.0,,0.16,0.0
2016-05-10,0,16.0,,0.16,0.0
2016-05-11,0,16.0,,0.16,0.0
2016-05-12,0,16.0,,0.16,0.0
2016-05-13,0,16.0,,0.16,0.0
2016-05-14,0,16.0,,0.16,0.0
2016-05-15,0,16.0,,0.16,0.0
2016-05-16,0,16.0,,0.16,0.0
2016-05-17,0,16.0,,0.16,0.0
2016-05-18,0,16.0,,0.16,0.0
2016-05-19,0,16.0,,0.16,0.0
2016-05-20,0,16.0,,0.16,0.0
2016-05-21,0,16.0,,0.16,0.0
2016-05-22,0,16.0,,0.16,0.0
2016-05-23,0,16.0,,0.16,0.0
2016-05-24,0,16.0,,0.16,0.0
2016-05-25,0,16.0,,0.16,0.0
2016-05-26,0,16.0,,0.16,0.0
2016-05-27,0,16.0,,0.16,0.0
2016-05-28,0,16.0,,0.16,0.0
2016-05-29,0,16.0,,0.16,0.0
2016-05-30,0,16.0,,0.16,0.0
2016-05-31,0,16.0,,0.16,0.0
2016-07-01,0,16.0,False,0.16,0.0
2016-07-02,0,16.0,,0.16,0.0
2016-07-03,0,16.0,,0.16,0.0
2016-07-04,0,16.0,,0.16,0.0
2016-07-05,0,16.0,,0.16,0.0
2016-07-06,0,16.0,,0.16,0.0
2016-07-07,0,16.0,,0.16,0.0
2016-07-08,0,16.0,,0.16,0.0
2016-07-09,0,16.0,,0.16,0.0
2016-07-10,0,16.0,,0.16,0.0
2016-07-11,0,16.0,,0.16,0.0
2016-07-12,0,16.0,,0.16,0.0
2016-07-13,100,16.0,,0.16,16.0
2016-07-14,0,16.0,,0.16,0.0
2016-07-15,0,16.0,,0.16,0.0
2016-07-16,0,16.0,,0.16,0.0
2016-07-17,0,16.0,,0.16,0.0
2016-07-18,0,16.0,,0.16,0.0
2016-07-19,0,16.0,,0.16,0.0
2016-07-20,0,16.0,,0.16,0.0
2016-07-21,0,16.0,,0.16,0.0
2016-07-22,0,16.0,,0.16,0.0
2016-07-23,0,16.0,,0.16,0.0
2016-07-24,0,16.0,,0.16,0.0
2016-07-25,0,16.0,,0.16,0.0
2016-07-26,0,16.0,,0.16,0.0
2016-07-27,0,16.0,,0.16,0.0
2016-07-28,0,16.0,,0.16,0.0
2016-07-29,0,16.0,,0.16,0.0
2016-07-30,0,16.0,,0.16,0.0
2016-07-31,0,16.0,,0.16,0.0
2016-09-01,0,16.0,False,0.16,0.0
2016-09-02,0,16.0,,0.16,0.0
2016-09-03,0,16.0,,0.16,0.0
2016-09-04,0,16.0,,0.16,0.0
2016-09-05,0,16.0,,0.16,0.0
2016-09-06,0,16.0,,0.16,0.0
2016-09-07,0,16.0,,0.16,0.0
2016-09-08,0,16.0,,0.16,0.0
2016-09-09,0,16.0,,0.16,0.0
2016-09-10,0,16.0,,0.16,0.0
2016-09-11,0,16.0,,0.16,0.0
2016-09-12,0,16.0,,0.16,0.0
2016-09-13,0,16.0,,0.16,0.0
2016-09-14,0,16.0,,0.16,0.0
2016-09-15,0,16.0,,0.16,0.0
2016-09-16,0,16.0,,0.16,0.0
2016-09-17,0,16.0,,0.16,0.0
2016-09-18,100,16.0,,0.16,16.0
2016-09-19,0,16.0,,0.16,0.0
2016-09-20,0,16.0,,0.16,0.0
2016-09-21,0,16.0,,0.16,0.0
2016-09-22,0,16.0,,0.16,0.0
2016-09-23,0,16.0,,0.16,0.0
2016-09-24,0,16.0,,0.16,0.0
2016-09-25,0,16.0,,0.16,0.0
2016-09-26,0,16.0,,0.16,0.0
2016-09-27,0,16.0,,0.16,0.0
2016-09-28,0,16.0,,0.16,0.0
2016-09-29,0,16.0,,0.16,0.0
2016-09-30,0,16.0,,0.16,0.0
2016-11-01,0,30.0,False,0.3,0.0
2016-11-02,0,30.0,,0.3,0.0
2016-11-03,0,30.0,,0.3,0.0
2016-11-04,0,30.0,,0.3,0.0
2016-11-05,0,30.0,,0.3,0.0
2016-11-06,0,30.0,,0.3,0.0
2016-11-07,0,30.0,,0.3,0.0
2016-11-08,0,30.0,,0.3,0.0
2016-11-09,0,30.0,,0.3,0.0
2016-11-10,0,30.0,,0.3,0.0
2016-11-11,0,30.0,,0.3,0.0
2016-11-12,0,30.0,,0.3,0.0
2016-11-13,0,30.0,,0.3,0.0
2016-11-14,0,30.0,,0.3,0.0
2016-11-15,0,30.0,,0.3,0.0
2016-11-16,0,30.0,,0.3,0.0
2016-11-17,0,30.0,,0.3,0.0
2016-11-18,0,30.0,,0.3,0.0
2016-11-19,100,30.0,,0.3,30.0
2016-11-20,0,30.0,,0.3,0.0
2016-11-21,0,30.0,,0.3,0.0
2016-11-22,0,30.0,,0.3,0.0
2016-11-23,0,30.0,,0.3,0.0
2016-11-24,0,30.0,,0.3,0.0
2016-11-25,0,30.0,,0.3,0.0
2016-11-26,0,30.0,,0.3,0.0
2016-11-27,0,30.0,,0.3,0.0
2016-11-28,0,30.0,,0.3,0.0
2016-11-29,0,30.0,,0.3,0.0
2016-11-30,78,30.0,,0.3,23.4
2017-01-01,0,42.0,False,0.42,0.0
2017-01-02,0,42.0,,0.42,0.0
2017-01-03,0,42.0,,0.42,0.0
2017-01-04,0,42.0,,0.42,0.0
2017-01-05,0,42.0,,0.42,0.0
2017-01-06,0,42.0,,0.42,0.0
2017-01-07,0,42.0,,0.42,0.0
2017-01-08,0,42.0,,0.42,0.0
2017-01-09,83,42.0,,0.42,34.86
2017-01-10,0,42.0,,0.42,0.0
2017-01-11,0,42.0,,0.42,0.0
2017-01-12,0,42.0,,0.42,0.0
2017-01-13,0,42.0,,0.42,0.0
2017-01-14,100,42.0,,0.42,42.0
2017-01-15,0,42.0,,0.42,0.0
2017-01-16,0,42.0,,0.42,0.0
2017-01-17,0,42.0,,0.42,0.0
2017-01-18,0,42.0,,0.42,0.0
2017-01-19,0,42.0,,0.42,0.0
2017-01-20,0,42.0,,0.42,0.0
2017-01-21,0,42.0,,0.42,0.0
2017-01-22,94,42.0,,0.42,39.48
2017-01-23,0,42.0,,0.42,0.0
2017-01-24,0,42.0,,0.42,0.0
2017-01-25,0,42.0,,0.42,0.0
2017-01-26,0,42.0,,0.42,0.0
2017-01-27,0,42.0,,0.42,0.0
2017-01-28,0,42.0,,0.42,0.0
2017-01-29,0,42.0,,0.42,0.0
2017-01-30,0,42.0,,0.42,0.0
2017-01-31,0,42.0,,0.42,0.0
2017-02-01,0,15.0,False,0.15,0.0
2017-02-02,0,15.0,,0.15,0.0
2017-02-03,0,15.0,,0.15,0.0
2017-02-04,0,15.0,,0.15,0.0
2017-02-05,0,15.0,,0.15,0.0
2017-02-06,0,15.0,,0.15,0.0
2017-02-07,0,15.0,,0.15,0.0
2017-02-08,100,15.0,,0.15,15.0
2017-02-09,0,15.0,,0.15,0.0
2017-02-10,0,15.0,,0.15,0.0
2017-02-11,0,15.0,,0.15,0.0
2017-02-12,0,15.0,,0.15,0.0
2017-02-13,0,15.0,,0.15,0.0
2017-02-14,0,15.0,,0.15,0.0
2017-02-15,0,15.0,,0.15,0.0
2017-02-16,0,15.0,,0.15,0.0
2017-02-17,0,15.0,,0.15,0.0
2017-02-18,0,15.0,,0.15,0.0
2017-02-19,0,15.0,,0.15,0.0
2017-02-20,0,15.0,,0.15,0.0
2017-02-21,0,15.0,,0.15,0.0
2017-02-22,0,15.0,,0.15,0.0
2017-02-23,0,15.0,,0.15,0.0
2017-02-24,0,15.0,,0.15,0.0
2017-02-25,0,15.0,,0.15,0.0
