date,EVER_unscaled,EVER_monthly,isPartial,scale,EVER
2016-05-01,96,88.0,False,0.88,84.48
2016-05-02,83,88.0,,0.88,73.04
2016-05-03,81,88.0,,0.88,71.28
2016-05-04,83,88.0,,0.88,73.04
2016-05-05,83,88.0,,0.88,73.04
2016-05-06,88,88.0,,0.88,77.44
2016-05-07,89,88.0,,0.88,78.32000000000001
2016-05-08,100,88.0,,0.88,88.0
2016-05-09,84,88.0,,0.88,73.92
2016-05-10,81,88.0,,0.88,71.28
2016-05-11,84,88.0,,0.88,73.92
2016-05-12,81,88.0,,0.88,71.28
2016-05-13,83,88.0,,0.88,73.04
2016-05-14,88,88.0,,0.88,77.44
2016-05-15,97,88.0,,0.88,85.36
2016-05-16,84,88.0,,0.88,73.92
2016-05-17,83,88.0,,0.88,73.04
2016-05-18,81,88.0,,0.88,71.28
2016-05-19,83,88.0,,0.88,73.04
2016-05-20,83,88.0,,0.88,73.04
2016-05-21,91,88.0,,0.88,80.08
2016-05-22,92,88.0,,0.88,80.96
2016-05-23,84,88.0,,0.88,73.92
2016-05-24,80,88.0,,0.88,70.4
2016-05-25,85,88.0,,0.88,74.8
2016-05-26,84,88.0,,0.88,73.92
2016-05-27,85,88.0,,0.88,74.8
2016-05-28,90,88.0,,0.88,79.2
2016-05-29,97,88.0,,0.88,85.36
2016-05-30,96,88.0,,0.88,84.48
2016-05-31,84,88.0,,0.88,73.92
2016-06-01,83,85.0,False,0.85,70.55
2016-06-02,78,85.0,,0.85,66.3
2016-06-03,81,85.0,,0.85,68.85
2016-06-04,89,85.0,,0.85,75.64999999999999
2016-06-05,93,85.0,,0.85,79.05
2016-06-06,80,85.0,,0.85,68.0
2016-06-07,80,85.0,,0.85,68.0
2016-06-08,82,85.0,,0.85,69.7
2016-06-09,81,85.0,,0.85,68.85
2016-06-10,86,85.0,,0.85,73.1
2016-06-11,89,85.0,,0.85,75.64999999999999
2016-06-12,93,85.0,,0.85,79.05
2016-06-13,78,85.0,,0.85,66.3
2016-06-14,79,85.0,,0.85,67.14999999999999
2016-06-15,83,85.0,,0.85,70.55
2016-06-16,79,85.0,,0.85,67.14999999999999
2016-06-17,86,85.0,,0.85,73.1
2016-06-18,90,85.0,,0.85,76.5
2016-06-19,100,85.0,,0.85,85.0
2016-06-20,88,85.0,,0.85,74.8
2016-06-21,87,85.0,,0.85,73.95
2016-06-22,88,85.0,,0.85,74.8
2016-06-23,79,85.0,,0.85,67.14999999999999
2016-06-24,80,85.0,,0.85,68.0
2016-06-25,90,85.0,,0.85,76.5
2016-06-26,94,85.0,,0.85,79.89999999999999
2016-06-27,81,85.0,,0.85,68.85
2016-06-28,83,85.0,,0.85,70.55
2016-06-29,83,85.0,,0.85,70.55
2016-06-30,83,85.0,,0.85,70.55
2016-07-01,84,85.0,False,0.85,71.39999999999999
2016-07-02,96,85.0,,0.85,81.6
2016-07-03,98,85.0,,0.85,83.3
2016-07-04,100,85.0,,0.85,85.0
2016-07-05,87,85.0,,0.85,73.95
2016-07-06,84,85.0,,0.85,71.39999999999999
2016-07-07,85,85.0,,0.85,72.25
2016-07-08,79,85.0,,0.85,67.14999999999999
2016-07-09,92,85.0,,0.85,78.2
2016-07-10,99,85.0,,0.85,84.14999999999999
2016-07-11,82,85.0,,0.85,69.7
2016-07-12,84,85.0,,0.85,71.39999999999999
2016-07-13,84,85.0,,0.85,71.39999999999999
2016-07-14,78,85.0,,0.85,66.3
2016-07-15,82,85.0,,0.85,69.7
2016-07-16,91,85.0,,0.85,77.35
2016-07-17,99,85.0,,0.85,84.14999999999999
2016-07-18,83,85.0,,0.85,70.55
2016-07-19,84,85.0,,0.85,71.39999999999999
2016-07-20,87,85.0,,0.85,73.95
2016-07-21,88,85.0,,0.85,74.8
2016-07-22,84,85.0,,0.85,71.39999999999999
2016-07-23,95,85.0,,0.85,80.75
2016-07-24,95,85.0,,0.85,80.75
2016-07-25,79,85.0,,0.85,67.14999999999999
2016-07-26,83,85.0,,0.85,70.55
2016-07-27,87,85.0,,0.85,73.95
2016-07-28,90,85.0,,0.85,76.5
2016-07-29,91,85.0,,0.85,77.35
2016-07-30,91,85.0,,0.85,77.35
2016-07-31,94,85.0,,0.85,79.89999999999999
2016-08-01,82,81.0,False,0.81,66.42
2016-08-02,81,81.0,,0.81,65.61
2016-08-03,83,81.0,,0.81,67.23
2016-08-04,81,81.0,,0.81,65.61
2016-08-05,85,81.0,,0.81,68.85000000000001
2016-08-06,96,81.0,,0.81,77.76
2016-08-07,100,81.0,,0.81,81.0
2016-08-08,87,81.0,,0.81,70.47
2016-08-09,88,81.0,,0.81,71.28
2016-08-10,86,81.0,,0.81,69.66000000000001
2016-08-11,84,81.0,,0.81,68.04
2016-08-12,88,81.0,,0.81,71.28
2016-08-13,93,81.0,,0.81,75.33
2016-08-14,98,81.0,,0.81,79.38000000000001
2016-08-15,81,81.0,,0.81,65.61
2016-08-16,82,81.0,,0.81,66.42
2016-08-17,82,81.0,,0.81,66.42
2016-08-18,79,81.0,,0.81,63.99
2016-08-19,85,81.0,,0.81,68.85000000000001
2016-08-20,93,81.0,,0.81,75.33
2016-08-21,95,81.0,,0.81,76.95
2016-08-22,83,81.0,,0.81,67.23
2016-08-23,78,81.0,,0.81,63.18000000000001
2016-08-24,83,81.0,,0.81,67.23
2016-08-25,79,81.0,,0.81,63.99
2016-08-26,84,81.0,,0.81,68.04
2016-08-27,94,81.0,,0.81,76.14
2016-08-28,97,81.0,,0.81,78.57000000000001
2016-08-29,85,81.0,,0.81,68.85000000000001
2016-08-30,90,81.0,,0.81,72.9
2016-08-31,82,81.0,,0.81,66.42
2016-09-01,86,81.0,False,0.81,69.66000000000001
2016-09-02,84,81.0,,0.81,68.04
2016-09-03,94,81.0,,0.81,76.14
2016-09-04,99,81.0,,0.81,80.19000000000001
2016-09-05,97,81.0,,0.81,78.57000000000001
2016-09-06,82,81.0,,0.81,66.42
2016-09-07,77,81.0,,0.81,62.370000000000005
2016-09-08,80,81.0,,0.81,64.80000000000001
2016-09-09,82,81.0,,0.81,66.42
2016-09-10,91,81.0,,0.81,73.71000000000001
2016-09-11,97,81.0,,0.81,78.57000000000001
2016-09-12,82,81.0,,0.81,66.42
2016-09-13,82,81.0,,0.81,66.42
2016-09-14,80,81.0,,0.81,64.80000000000001
2016-09-15,82,81.0,,0.81,66.42
2016-09-16,81,81.0,,0.81,65.61
2016-09-17,91,81.0,,0.81,73.71000000000001
2016-09-18,94,81.0,,0.81,76.14
2016-09-19,81,81.0,,0.81,65.61
2016-09-20,82,81.0,,0.81,66.42
2016-09-21,83,81.0,,0.81,67.23
2016-09-22,84,81.0,,0.81,68.04
2016-09-23,85,81.0,,0.81,68.85000000000001
2016-09-24,93,81.0,,0.81,75.33
2016-09-25,100,81.0,,0.81,81.0
2016-09-26,86,81.0,,0.81,69.66000000000001
2016-09-27,85,81.0,,0.81,68.85000000000001
2016-09-28,88,81.0,,0.81,71.28
2016-09-29,82,81.0,,0.81,66.42
2016-09-30,87,81.0,,0.81,70.47
2016-10-01,84,92.0,False,0.92,77.28
2016-10-02,89,92.0,,0.92,81.88000000000001
2016-10-03,79,92.0,,0.92,72.68
2016-10-04,77,92.0,,0.92,70.84
2016-10-05,78,92.0,,0.92,71.76
2016-10-06,83,92.0,,0.92,76.36
2016-10-07,84,92.0,,0.92,77.28
2016-10-08,87,92.0,,0.92,80.04
2016-10-09,90,92.0,,0.92,82.8
2016-10-10,80,92.0,,0.92,73.60000000000001
2016-10-11,82,92.0,,0.92,75.44
2016-10-12,90,92.0,,0.92,82.8
2016-10-13,82,92.0,,0.92,75.44
2016-10-14,83,92.0,,0.92,76.36
2016-10-15,89,92.0,,0.92,81.88000000000001
2016-10-16,93,92.0,,0.92,85.56
2016-10-17,82,92.0,,0.92,75.44
2016-10-18,86,92.0,,0.92,79.12
2016-10-19,83,92.0,,0.92,76.36
2016-10-20,87,92.0,,0.92,80.04
2016-10-21,84,92.0,,0.92,77.28
2016-10-22,93,92.0,,0.92,85.56
2016-10-23,100,92.0,,0.92,92.0
2016-10-24,84,92.0,,0.92,77.28
2016-10-25,83,92.0,,0.92,76.36
2016-10-26,85,92.0,,0.92,78.2
2016-10-27,86,92.0,,0.92,79.12
2016-10-28,84,92.0,,0.92,77.28
2016-10-29,93,92.0,,0.92,85.56
2016-10-30,96,92.0,,0.92,88.32000000000001
2016-10-31,78,92.0,,0.92,71.76
2016-11-01,82,93.0,False,0.93,76.26
2016-11-02,85,93.0,,0.93,79.05
2016-11-03,96,93.0,,0.93,89.28
2016-11-04,85,93.0,,0.93,79.05
2016-11-05,95,93.0,,0.93,88.35000000000001
2016-11-06,97,93.0,,0.93,90.21000000000001
2016-11-07,85,93.0,,0.93,79.05
2016-11-08,89,93.0,,0.93,82.77000000000001
2016-11-09,85,93.0,,0.93,79.05
2016-11-10,93,93.0,,0.93,86.49000000000001
2016-11-11,92,93.0,,0.93,85.56
2016-11-12,91,93.0,,0.93,84.63000000000001
2016-11-13,100,93.0,,0.93,93.0
2016-11-14,86,93.0,,0.93,79.98
2016-11-15,92,93.0,,0.93,85.56
2016-11-16,85,93.0,,0.93,79.05
2016-11-17,86,93.0,,0.93,79.98
2016-11-18,83,93.0,,0.93,77.19
2016-11-19,90,93.0,,0.93,83.7
2016-11-20,100,93.0,,0.93,93.0
2016-11-21,85,93.0,,0.93,79.05
2016-11-22,88,93.0,,0.93,81.84
2016-11-23,91,93.0,,0.93,84.63000000000001
2016-11-24,100,93.0,,0.93,93.0
2016-11-25,84,93.0,,0.93,78.12
2016-11-26,90,93.0,,0.93,83.7
2016-11-27,97,93.0,,0.93,90.21000000000001
2016-11-28,81,93.0,,0.93,75.33
2016-11-29,77,93.0,,0.93,71.61
2016-11-30,83,93.0,,0.93,77.19
2016-12-01,84,90.0,False,0.9,75.60000000000001
2016-12-02,85,90.0,,0.9,76.5
2016-12-03,91,90.0,,0.9,81.9
2016-12-04,95,90.0,,0.9,85.5
2016-12-05,83,90.0,,0.9,74.7
2016-12-06,81,90.0,,0.9,72.9
2016-12-07,91,90.0,,0.9,81.9
2016-12-08,87,90.0,,0.9,78.3
2016-12-09,82,90.0,,0.9,73.8
2016-12-10,90,90.0,,0.9,81.0
2016-12-11,100,90.0,,0.9,90.0
2016-12-12,86,90.0,,0.9,77.4
