date,TD_unscaled,TD_monthly,isPartial,scale,TD
2016-05-01,79,71.0,False,0.71,56.089999999999996
2016-05-02,99,71.0,,0.71,70.28999999999999
2016-05-03,94,71.0,,0.71,66.74
2016-05-04,91,71.0,,0.71,64.61
2016-05-05,89,71.0,,0.71,63.19
2016-05-06,98,71.0,,0.71,69.58
2016-05-07,81,71.0,,0.71,57.51
2016-05-08,69,71.0,,0.71,48.989999999999995
2016-05-09,95,71.0,,0.71,67.45
2016-05-10,94,71.0,,0.71,66.74
2016-05-11,94,71.0,,0.71,66.74
2016-05-12,90,71.0,,0.71,63.9
2016-05-13,96,71.0,,0.71,68.16
2016-05-14,81,71.0,,0.71,57.51
2016-05-15,76,71.0,,0.71,53.959999999999994
2016-05-16,97,71.0,,0.71,68.86999999999999
2016-05-17,90,71.0,,0.71,63.9
2016-05-18,89,71.0,,0.71,63.19
2016-05-19,86,71.0,,0.71,61.059999999999995
2016-05-20,96,71.0,,0.71,68.16
2016-05-21,87,71.0,,0.71,61.769999999999996
2016-05-22,71,71.0,,0.71,50.41
2016-05-23,93,71.0,,0.71,66.03
2016-05-24,92,71.0,,0.71,65.32
2016-05-25,88,71.0,,0.71,62.48
2016-05-26,95,71.0,,0.71,67.45
2016-05-27,99,71.0,,0.71,70.28999999999999
2016-05-28,85,71.0,,0.71,60.349999999999994
2016-05-29,76,71.0,,0.71,53.959999999999994
2016-05-30,75,71.0,,0.71,53.25
2016-05-31,100,71.0,,0.71,71.0
2016-06-01,94,73.0,False,0.73,68.62
2016-06-02,92,73.0,,0.73,67.16
2016-06-03,96,73.0,,0.73,70.08
2016-06-04,74,73.0,,0.73,54.019999999999996
2016-06-05,72,73.0,,0.73,52.56
2016-06-06,88,73.0,,0.73,64.24
2016-06-07,88,73.0,,0.73,64.24
2016-06-08,87,73.0,,0.73,63.51
2016-06-09,87,73.0,,0.73,63.51
2016-06-10,91,73.0,,0.73,66.42999999999999
