date,CB_unscaled,CB_monthly,isPartial,scale,CB
2016-05-01,99,78.0,False,0.78,77.22
2016-05-02,83,78.0,,0.78,64.74000000000001
2016-05-03,90,78.0,,0.78,70.2
2016-05-04,83,78.0,,0.78,64.74000000000001
2016-05-05,76,78.0,,0.78,59.28
2016-05-06,88,78.0,,0.78,68.64
2016-05-07,86,78.0,,0.78,67.08
2016-05-08,79,78.0,,0.78,61.620000000000005
2016-05-09,89,78.0,,0.78,69.42
2016-05-10,84,78.0,,0.78,65.52
2016-05-11,82,78.0,,0.78,63.96
2016-05-12,85,78.0,,0.78,66.3
2016-05-13,86,78.0,,0.78,67.08
2016-05-14,98,78.0,,0.78,76.44
2016-05-15,80,78.0,,0.78,62.400000000000006
2016-05-16,81,78.0,,0.78,63.18
2016-05-17,69,78.0,,0.78,53.82
2016-05-18,84,78.0,,0.78,65.52
2016-05-19,93,78.0,,0.78,72.54
2016-05-20,92,78.0,,0.78,71.76
2016-05-21,100,78.0,,0.78,78.0
2016-05-22,87,78.0,,0.78,67.86
2016-05-23,75,78.0,,0.78,58.5
2016-05-24,77,78.0,,0.78,60.06
2016-05-25,80,78.0,,0.78,62.400000000000006
2016-05-26,71,78.0,,0.78,55.38
2016-05-27,78,78.0,,0.78,60.84
2016-05-28,85,78.0,,0.78,66.3
2016-05-29,74,78.0,,0.78,57.72
2016-05-30,74,78.0,,0.78,57.72
2016-05-31,81,78.0,,0.78,63.18
2016-06-01,72,78.0,False,0.78,56.160000000000004
2016-06-02,74,78.0,,0.78,57.72
2016-06-03,76,78.0,,0.78,59.28
2016-06-04,77,78.0,,0.78,60.06
2016-06-05,65,78.0,,0.78,50.7
2016-06-06,83,78.0,,0.78,64.74000000000001
2016-06-07,75,78.0,,0.78,58.5
2016-06-08,76,78.0,,0.78,59.28
2016-06-09,78,78.0,,0.78,60.84
2016-06-10,77,78.0,,0.78,60.06
2016-06-11,79,78.0,,0.78,61.620000000000005
2016-06-12,66,78.0,,0.78,51.480000000000004
2016-06-13,75,78.0,,0.78,58.5
2016-06-14,78,78.0,,0.78,60.84
2016-06-15,100,78.0,,0.78,78.0
2016-06-16,94,78.0,,0.78,73.32000000000001
2016-06-17,79,78.0,,0.78,61.620000000000005
2016-06-18,78,78.0,,0.78,60.84
2016-06-19,93,78.0,,0.78,72.54
2016-06-20,88,78.0,,0.78,68.64
2016-06-21,100,78.0,,0.78,78.0
2016-06-22,84,78.0,,0.78,65.52
2016-06-23,91,78.0,,0.78,70.98
2016-06-24,83,78.0,,0.78,64.74000000000001
2016-06-25,89,78.0,,0.78,69.42
2016-06-26,75,78.0,,0.78,58.5
2016-06-27,77,78.0,,0.78,60.06
2016-06-28,88,78.0,,0.78,68.64
2016-06-29,73,78.0,,0.78,56.940000000000005
2016-06-30,83,78.0,,0.78,64.74000000000001
2016-07-01,86,77.0,False,0.77,66.22
2016-07-02,100,77.0,,0.77,77.0
2016-07-03,81,77.0,,0.77,62.370000000000005
2016-07-04,92,77.0,,0.77,70.84
2016-07-05,85,77.0,,0.77,65.45
2016-07-06,90,77.0,,0.77,69.3
2016-07-07,92,77.0,,0.77,70.84
2016-07-08,89,77.0,,0.77,68.53
2016-07-09,88,77.0,,0.77,67.76
2016-07-10,92,77.0,,0.77,70.84
2016-07-11,84,77.0,,0.77,64.68
2016-07-12,91,77.0,,0.77,70.07000000000001
2016-07-13,86,77.0,,0.77,66.22
2016-07-14,84,77.0,,0.77,64.68
2016-07-15,81,77.0,,0.77,62.370000000000005
2016-07-16,90,77.0,,0.77,69.3
2016-07-17,92,77.0,,0.77,70.84
2016-07-18,76,77.0,,0.77,58.52
2016-07-19,89,77.0,,0.77,68.53
2016-07-20,81,77.0,,0.77,62.370000000000005
2016-07-21,97,77.0,,0.77,74.69
2016-07-22,90,77.0,,0.77,69.3
2016-07-23,91,77.0,,0.77,70.07000000000001
2016-07-24,94,77.0,,0.77,72.38
2016-07-25,87,77.0,,0.77,66.99
2016-07-26,91,77.0,,0.77,70.07000000000001
2016-07-27,95,77.0,,0.77,73.15
2016-07-28,79,77.0,,0.77,60.83
2016-07-29,97,77.0,,0.77,74.69
2016-07-30,92,77.0,,0.77,70.84
2016-07-31,96,77.0,,0.77,73.92
2016-08-01,100,81.0,False,0.81,81.0
2016-08-02,100,81.0,,0.81,81.0
2016-08-03,98,81.0,,0.81,79.38000000000001
2016-08-04,92,81.0,,0.81,74.52000000000001
2016-08-05,93,81.0,,0.81,75.33
2016-08-06,93,81.0,,0.81,75.33
2016-08-07,90,81.0,,0.81,72.9
2016-08-08,88,81.0,,0.81,71.28
2016-08-09,80,81.0,,0.81,64.80000000000001
2016-08-10,86,81.0,,0.81,69.66000000000001
2016-08-11,92,81.0,,0.81,74.52000000000001
2016-08-12,89,81.0,,0.81,72.09
2016-08-13,93,81.0,,0.81,75.33
2016-08-14,99,81.0,,0.81,80.19000000000001
2016-08-15,79,81.0,,0.81,63.99
2016-08-16,91,81.0,,0.81,73.71000000000001
2016-08-17,93,81.0,,0.81,75.33
2016-08-18,75,81.0,,0.81,60.75000000000001
2016-08-19,73,81.0,,0.81,59.13
2016-08-20,84,81.0,,0.81,68.04
2016-08-21,84,81.0,,0.81,68.04
2016-08-22,88,81.0,,0.81,71.28
2016-08-23,86,81.0,,0.81,69.66000000000001
2016-08-24,93,81.0,,0.81,75.33
2016-08-25,94,81.0,,0.81,76.14
2016-08-26,82,81.0,,0.81,66.42
2016-08-27,97,81.0,,0.81,78.57000000000001
2016-08-28,94,81.0,,0.81,76.14
2016-08-29,90,81.0,,0.81,72.9
2016-08-30,81,81.0,,0.81,65.61
2016-08-31,92,81.0,,0.81,74.52000000000001
2016-09-01,58,80.0,False,0.8,46.400000000000006
2016-09-02,62,80.0,,0.8,49.6
2016-09-03,72,80.0,,0.8,57.6
2016-09-04,67,80.0,,0.8,53.6
2016-09-05,65,80.0,,0.8,52.0
2016-09-06,68,80.0,,0.8,54.400000000000006
2016-09-07,64,80.0,,0.8,51.2
2016-09-08,60,80.0,,0.8,48.0
2016-09-09,70,80.0,,0.8,56.0
2016-09-10,100,80.0,,0.8,80.0
2016-09-11,71,80.0,,0.8,56.800000000000004
2016-09-12,63,80.0,,0.8,50.400000000000006
2016-09-13,66,80.0,,0.8,52.800000000000004
2016-09-14,65,80.0,,0.8,52.0
2016-09-15,65,80.0,,0.8,52.0
