date,HUBS_unscaled,HUBS_monthly,isPartial,scale,HUBS
2016-05-01,92,81.0,False,0.81,74.52000000000001
2016-05-02,71,81.0,,0.81,57.510000000000005
2016-05-03,80,81.0,,0.81,64.80000000000001
2016-05-04,80,81.0,,0.81,64.80000000000001
2016-05-05,77,81.0,,0.81,62.370000000000005
2016-05-06,70,81.0,,0.81,56.7
2016-05-07,60,81.0,,0.81,48.6
2016-05-08,64,81.0,,0.81,51.84
2016-05-09,72,81.0,,0.81,58.32000000000001
2016-05-10,70,81.0,,0.81,56.7
2016-05-11,78,81.0,,0.81,63.18000000000001
2016-05-12,77,81.0,,0.81,62.370000000000005
2016-05-13,72,81.0,,0.81,58.32000000000001
2016-05-14,83,81.0,,0.81,67.23
2016-05-15,78,81.0,,0.81,63.18000000000001
2016-05-16,95,81.0,,0.81,76.95
2016-05-17,78,81.0,,0.81,63.18000000000001
2016-05-18,63,81.0,,0.81,51.03
2016-05-19,78,81.0,,0.81,63.18000000000001
2016-05-20,81,81.0,,0.81,65.61
2016-05-21,81,81.0,,0.81,65.61
2016-05-22,80,81.0,,0.81,64.80000000000001
2016-05-23,92,81.0,,0.81,74.52000000000001
2016-05-24,76,81.0,,0.81,61.56
2016-05-25,64,81.0,,0.81,51.84
2016-05-26,79,81.0,,0.81,63.99
2016-05-27,67,81.0,,0.81,54.27
2016-05-28,61,81.0,,0.81,49.410000000000004
2016-05-29,66,81.0,,0.81,53.46
2016-05-30,66,81.0,,0.81,53.46
2016-05-31,100,81.0,,0.81,81.0
2016-06-01,92,80.0,False,0.8,73.60000000000001
2016-06-02,89,80.0,,0.8,71.2
2016-06-03,97,80.0,,0.8,77.60000000000001
2016-06-04,86,80.0,,0.8,68.8
2016-06-05,75,80.0,,0.8,60.0
2016-06-06,57,80.0,,0.8,45.6
2016-06-07,87,80.0,,0.8,69.60000000000001
2016-06-08,99,80.0,,0.8,79.2
2016-06-09,90,80.0,,0.8,72.0
2016-06-10,82,80.0,,0.8,65.60000000000001
2016-06-11,74,80.0,,0.8,59.2
2016-06-12,70,80.0,,0.8,56.0
2016-06-13,85,80.0,,0.8,68.0
2016-06-14,69,80.0,,0.8,55.2
2016-06-15,72,80.0,,0.8,57.6
2016-06-16,79,80.0,,0.8,63.2
2016-06-17,84,80.0,,0.8,67.2
2016-06-18,63,80.0,,0.8,50.400000000000006
2016-06-19,78,80.0,,0.8,62.400000000000006
2016-06-20,81,80.0,,0.8,64.8
2016-06-21,100,80.0,,0.8,80.0
2016-06-22,60,80.0,,0.8,48.0
2016-06-23,68,80.0,,0.8,54.400000000000006
2016-06-24,76,80.0,,0.8,60.800000000000004
2016-06-25,77,80.0,,0.8,61.6
2016-06-26,76,80.0,,0.8,60.800000000000004
2016-06-27,84,80.0,,0.8,67.2
2016-06-28,77,80.0,,0.8,61.6
2016-06-29,80,80.0,,0.8,64.0
2016-06-30,86,80.0,,0.8,68.8
2016-07-01,57,73.0,False,0.73,41.61
2016-07-02,45,73.0,,0.73,32.85
2016-07-03,61,73.0,,0.73,44.53
2016-07-04,75,73.0,,0.73,54.75
2016-07-05,73,73.0,,0.73,53.29
2016-07-06,77,73.0,,0.73,56.21
2016-07-07,78,73.0,,0.73,56.94
2016-07-08,55,73.0,,0.73,40.15
2016-07-09,67,73.0,,0.73,48.91
2016-07-10,77,73.0,,0.73,56.21
2016-07-11,77,73.0,,0.73,56.21
2016-07-12,80,73.0,,0.73,58.4
2016-07-13,67,73.0,,0.73,48.91
2016-07-14,59,73.0,,0.73,43.07
2016-07-15,69,73.0,,0.73,50.37
2016-07-16,72,73.0,,0.73,52.56
2016-07-17,78,73.0,,0.73,56.94
2016-07-18,88,73.0,,0.73,64.24
2016-07-19,65,73.0,,0.73,47.449999999999996
2016-07-20,70,73.0,,0.73,51.1
2016-07-21,67,73.0,,0.73,48.91
