date,FANG_unscaled,FANG_monthly,isPartial,scale,FANG
2016-05-01,58,46.0,False,0.46,26.68
2016-05-02,53,46.0,,0.46,24.380000000000003
2016-05-03,41,46.0,,0.46,18.86
2016-05-04,47,46.0,,0.46,21.62
2016-05-05,53,46.0,,0.46,24.380000000000003
2016-05-06,63,46.0,,0.46,28.98
2016-05-07,91,46.0,,0.46,41.86
2016-05-08,100,46.0,,0.46,46.0
2016-05-09,71,46.0,,0.46,32.660000000000004
2016-05-10,64,46.0,,0.46,29.44
2016-05-11,52,46.0,,0.46,23.92
2016-05-12,54,46.0,,0.46,24.84
2016-05-13,60,46.0,,0.46,27.6
2016-05-14,70,46.0,,0.46,32.2
2016-05-15,75,46.0,,0.46,34.5
2016-05-16,51,46.0,,0.46,23.46
2016-05-17,58,46.0,,0.46,26.68
2016-05-18,46,46.0,,0.46,21.16
2016-05-19,49,46.0,,0.46,22.540000000000003
2016-05-20,50,46.0,,0.46,23.0
2016-05-21,63,46.0,,0.46,28.98
2016-05-22,58,46.0,,0.46,26.68
2016-05-23,62,46.0,,0.46,28.52
2016-05-24,59,46.0,,0.46,27.14
2016-05-25,48,46.0,,0.46,22.080000000000002
2016-05-26,45,46.0,,0.46,20.7
2016-05-27,57,46.0,,0.46,26.220000000000002
2016-05-28,57,46.0,,0.46,26.220000000000002
2016-05-29,48,46.0,,0.46,22.080000000000002
2016-05-30,45,46.0,,0.46,20.7
2016-05-31,39,46.0,,0.46,17.94
2016-06-01,75,37.0,False,0.37,27.75
2016-06-02,68,37.0,,0.37,25.16
2016-06-03,73,37.0,,0.37,27.009999999999998
2016-06-04,90,37.0,,0.37,33.3
2016-06-05,100,37.0,,0.37,37.0
2016-06-06,70,37.0,,0.37,25.9
2016-06-07,67,37.0,,0.37,24.79
2016-06-08,72,37.0,,0.37,26.64
2016-06-09,59,37.0,,0.37,21.83
2016-06-10,58,37.0,,0.37,21.46
2016-06-11,75,37.0,,0.37,27.75
2016-06-12,72,37.0,,0.37,26.64
2016-06-13,78,37.0,,0.37,28.86
2016-06-14,65,37.0,,0.37,24.05
2016-06-15,56,37.0,,0.37,20.72
2016-06-16,78,37.0,,0.37,28.86
2016-06-17,87,37.0,,0.37,32.19
2016-06-18,76,37.0,,0.37,28.12
2016-06-19,81,37.0,,0.37,29.97
2016-06-20,76,37.0,,0.37,28.12
2016-06-21,88,37.0,,0.37,32.56
2016-06-22,79,37.0,,0.37,29.23
2016-06-23,72,37.0,,0.37,26.64
2016-06-24,67,37.0,,0.37,24.79
2016-06-25,84,37.0,,0.37,31.08
2016-06-26,74,37.0,,0.37,27.38
2016-06-27,94,37.0,,0.37,34.78
2016-06-28,77,37.0,,0.37,28.49
2016-06-29,73,37.0,,0.37,27.009999999999998
2016-06-30,75,37.0,,0.37,27.75
2016-07-01,60,42.0,False,0.42,25.2
2016-07-02,57,42.0,,0.42,23.939999999999998
2016-07-03,86,42.0,,0.42,36.12
2016-07-04,38,42.0,,0.42,15.959999999999999
2016-07-05,78,42.0,,0.42,32.76
2016-07-06,90,42.0,,0.42,37.8
2016-07-07,72,42.0,,0.42,30.24
2016-07-08,77,42.0,,0.42,32.339999999999996
2016-07-09,93,42.0,,0.42,39.059999999999995
2016-07-10,100,42.0,,0.42,42.0
2016-07-11,73,42.0,,0.42,30.66
2016-07-12,67,42.0,,0.42,28.14
2016-07-13,60,42.0,,0.42,25.2
2016-07-14,72,42.0,,0.42,30.24
2016-07-15,65,42.0,,0.42,27.3
2016-07-16,67,42.0,,0.42,28.14
2016-07-17,96,42.0,,0.42,40.32
2016-07-18,73,42.0,,0.42,30.66
2016-07-19,66,42.0,,0.42,27.72
2016-07-20,84,42.0,,0.42,35.28
2016-07-21,70,42.0,,0.42,29.4
2016-07-22,79,42.0,,0.42,33.18
2016-07-23,82,42.0,,0.42,34.44
2016-07-24,90,42.0,,0.42,37.8
2016-07-25,83,42.0,,0.42,34.86
2016-07-26,79,42.0,,0.42,33.18
2016-07-27,78,42.0,,0.42,32.76
2016-07-28,79,42.0,,0.42,33.18
2016-07-29,89,42.0,,0.42,37.379999999999995
2016-07-30,92,42.0,,0.42,38.64
2016-07-31,91,42.0,,0.42,38.22
2016-08-01,75,39.0,False,0.39,29.25
2016-08-02,87,39.0,,0.39,33.93
2016-08-03,85,39.0,,0.39,33.15
2016-08-04,67,39.0,,0.39,26.130000000000003
2016-08-05,92,39.0,,0.39,35.88
2016-08-06,76,39.0,,0.39,29.64
2016-08-07,80,39.0,,0.39,31.200000000000003
2016-08-08,89,39.0,,0.39,34.71
2016-08-09,81,39.0,,0.39,31.59
2016-08-10,58,39.0,,0.39,22.62
2016-08-11,69,39.0,,0.39,26.91
2016-08-12,79,39.0,,0.39,30.810000000000002
2016-08-13,69,39.0,,0.39,26.91
2016-08-14,75,39.0,,0.39,29.25
2016-08-15,66,39.0,,0.39,25.740000000000002
2016-08-16,79,39.0,,0.39,30.810000000000002
2016-08-17,64,39.0,,0.39,24.96
2016-08-18,66,39.0,,0.39,25.740000000000002
2016-08-19,63,39.0,,0.39,24.57
2016-08-20,81,39.0,,0.39,31.59
2016-08-21,74,39.0,,0.39,28.86
2016-08-22,70,39.0,,0.39,27.3
2016-08-23,82,39.0,,0.39,31.98
2016-08-24,64,39.0,,0.39,24.96
2016-08-25,64,39.0,,0.39,24.96
2016-08-26,78,39.0,,0.39,30.42
2016-08-27,73,39.0,,0.39,28.470000000000002
2016-08-28,100,39.0,,0.39,39.0
2016-08-29,80,39.0,,0.39,31.200000000000003
2016-08-30,73,39.0,,0.39,28.470000000000002
2016-08-31,71,39.0,,0.39,27.69
2016-09-01,86,36.0,False,0.36,30.959999999999997
2016-09-02,81,36.0,,0.36,29.16
2016-09-03,96,36.0,,0.36,34.56
2016-09-04,82,36.0,,0.36,29.52
2016-09-05,95,36.0,,0.36,34.199999999999996
2016-09-06,94,36.0,,0.36,33.839999999999996
2016-09-07,88,36.0,,0.36,31.68
2016-09-08,91,36.0,,0.36,32.76
2016-09-09,62,36.0,,0.36,22.32
2016-09-10,99,36.0,,0.36,35.64
2016-09-11,89,36.0,,0.36,32.04
2016-09-12,82,36.0,,0.36,29.52
2016-09-13,88,36.0,,0.36,31.68
2016-09-14,71,36.0,,0.36,25.56
2016-09-15,88,36.0,,0.36,31.68
2016-09-16,70,36.0,,0.36,25.2
2016-09-17,92,36.0,,0.36,33.12
2016-09-18,93,36.0,,0.36,33.48
2016-09-19,85,36.0,,0.36,30.599999999999998
2016-09-20,84,36.0,,0.36,30.24
2016-09-21,74,36.0,,0.36,26.64
2016-09-22,89,36.0,,0.36,32.04
2016-09-23,92,36.0,,0.36,33.12
2016-09-24,73,36.0,,0.36,26.279999999999998
2016-09-25,79,36.0,,0.36,28.439999999999998
2016-09-26,86,36.0,,0.36,30.959999999999997
2016-09-27,82,36.0,,0.36,29.52
2016-09-28,80,36.0,,0.36,28.799999999999997
2016-09-29,73,36.0,,0.36,26.279999999999998
2016-09-30,100,36.0,,0.36,36.0
2016-10-01,87,37.0,False,0.37,32.19
2016-10-02,88,37.0,,0.37,32.56
2016-10-03,88,37.0,,0.37,32.56
2016-10-04,95,37.0,,0.37,35.15
2016-10-05,91,37.0,,0.37,33.67
2016-10-06,78,37.0,,0.37,28.86
2016-10-07,77,37.0,,0.37,28.49
2016-10-08,69,37.0,,0.37,25.53
2016-10-09,91,37.0,,0.37,33.67
2016-10-10,94,37.0,,0.37,34.78
2016-10-11,88,37.0,,0.37,32.56
2016-10-12,96,37.0,,0.37,35.519999999999996
2016-10-13,82,37.0,,0.37,30.34
2016-10-14,94,37.0,,0.37,34.78
2016-10-15,96,37.0,,0.37,35.519999999999996
2016-10-16,85,37.0,,0.37,31.45
2016-10-17,90,37.0,,0.37,33.3
2016-10-18,81,37.0,,0.37,29.97
2016-10-19,87,37.0,,0.37,32.19
2016-10-20,89,37.0,,0.37,32.93
2016-10-21,77,37.0,,0.37,28.49
2016-10-22,86,37.0,,0.37,31.82
2016-10-23,79,37.0,,0.37,29.23
2016-10-24,87,37.0,,0.37,32.19
2016-10-25,87,37.0,,0.37,32.19
2016-10-26,87,37.0,,0.37,32.19
2016-10-27,84,37.0,,0.37,31.08
2016-10-28,84,37.0,,0.37,31.08
2016-10-29,89,37.0,,0.37,32.93
2016-10-30,83,37.0,,0.37,30.71
2016-10-31,100,37.0,,0.37,37.0
2016-11-01,85,38.0,False,0.38,32.3
2016-11-02,63,38.0,,0.38,23.94
2016-11-03,79,38.0,,0.38,30.02
2016-11-04,73,38.0,,0.38,27.740000000000002
2016-11-05,66,38.0,,0.38,25.080000000000002
2016-11-06,61,38.0,,0.38,23.18
2016-11-07,69,38.0,,0.38,26.22
2016-11-08,56,38.0,,0.38,21.28
2016-11-09,59,38.0,,0.38,22.42
2016-11-10,75,38.0,,0.38,28.5
2016-11-11,94,38.0,,0.38,35.72
2016-11-12,94,38.0,,0.38,35.72
2016-11-13,91,38.0,,0.38,34.58
2016-11-14,86,38.0,,0.38,32.68
2016-11-15,79,38.0,,0.38,30.02
2016-11-16,81,38.0,,0.38,30.78
2016-11-17,73,38.0,,0.38,27.740000000000002
2016-11-18,88,38.0,,0.38,33.44
2016-11-19,86,38.0,,0.38,32.68
2016-11-20,81,38.0,,0.38,30.78
2016-11-21,81,38.0,,0.38,30.78
2016-11-22,74,38.0,,0.38,28.12
2016-11-23,66,38.0,,0.38,25.080000000000002
2016-11-24,67,38.0,,0.38,25.46
2016-11-25,65,38.0,,0.38,24.7
2016-11-26,83,38.0,,0.38,31.54
2016-11-27,78,38.0,,0.38,29.64
2016-11-28,88,38.0,,0.38,33.44
2016-11-29,64,38.0,,0.38,24.32
2016-11-30,100,38.0,,0.38,38.0
2016-12-01,57,40.0,False,0.4,22.8
2016-12-02,52,40.0,,0.4,20.8
2016-12-03,64,40.0,,0.4,25.6
2016-12-04,62,40.0,,0.4,24.8
2016-12-05,62,40.0,,0.4,24.8
2016-12-06,57,40.0,,0.4,22.8
2016-12-07,68,40.0,,0.4,27.200000000000003
2016-12-08,49,40.0,,0.4,19.6
2016-12-09,59,40.0,,0.4,23.6
2016-12-10,67,40.0,,0.4,26.8
2016-12-11,100,40.0,,0.4,40.0
2016-12-12,64,40.0,,0.4,25.6
2016-12-13,52,40.0,,0.4,20.8
2016-12-14,64,40.0,,0.4,25.6
2016-12-15,66,40.0,,0.4,26.400000000000002
2016-12-16,53,40.0,,0.4,21.200000000000003
2016-12-17,68,40.0,,0.4,27.200000000000003
2016-12-18,62,40.0,,0.4,24.8
2016-12-19,58,40.0,,0.4,23.200000000000003
2016-12-20,50,40.0,,0.4,20.0
2016-12-21,58,40.0,,0.4,23.200000000000003
2016-12-22,58,40.0,,0.4,23.200000000000003
2016-12-23,48,40.0,,0.4,19.200000000000003
2016-12-24,53,40.0,,0.4,21.200000000000003
2016-12-25,54,40.0,,0.4,21.6
2016-12-26,56,40.0,,0.4,22.400000000000002
2016-12-27,58,40.0,,0.4,23.200000000000003
2016-12-28,60,40.0,,0.4,24.0
2016-12-29,61,40.0,,0.4,24.400000000000002
2016-12-30,77,40.0,,0.4,30.8
2016-12-31,74,40.0,,0.4,29.6
2017-01-01,73,37.0,False,0.37,27.009999999999998
2017-01-02,79,37.0,,0.37,29.23
2017-01-03,78,37.0,,0.37,28.86
2017-01-04,64,37.0,,0.37,23.68
2017-01-05,76,37.0,,0.37,28.12
2017-01-06,86,37.0,,0.37,31.82
2017-01-07,80,37.0,,0.37,29.6
2017-01-08,99,37.0,,0.37,36.63
2017-01-09,58,37.0,,0.37,21.46
2017-01-10,77,37.0,,0.37,28.49
2017-01-11,66,37.0,,0.37,24.419999999999998
2017-01-12,100,37.0,,0.37,37.0
2017-01-13,85,37.0,,0.37,31.45
2017-01-14,81,37.0,,0.37,29.97
2017-01-15,54,37.0,,0.37,19.98
2017-01-16,73,37.0,,0.37,27.009999999999998
2017-01-17,67,37.0,,0.37,24.79
2017-01-18,76,37.0,,0.37,28.12
2017-01-19,70,37.0,,0.37,25.9
2017-01-20,70,37.0,,0.37,25.9
2017-01-21,92,37.0,,0.37,34.04
2017-01-22,62,37.0,,0.37,22.94
2017-01-23,72,37.0,,0.37,26.64
2017-01-24,75,37.0,,0.37,27.75
2017-01-25,87,37.0,,0.37,32.19
2017-01-26,65,37.0,,0.37,24.05
2017-01-27,66,37.0,,0.37,24.419999999999998
2017-01-28,75,37.0,,0.37,27.75
2017-01-29,89,37.0,,0.37,32.93
2017-01-30,95,37.0,,0.37,35.15
2017-01-31,87,37.0,,0.37,32.19
2017-02-01,82,35.0,False,0.35,28.7
2017-02-02,72,35.0,,0.35,25.2
2017-02-03,77,35.0,,0.35,26.95
2017-02-04,93,35.0,,0.35,32.55
2017-02-05,86,35.0,,0.35,30.099999999999998
2017-02-06,83,35.0,,0.35,29.049999999999997
2017-02-07,67,35.0,,0.35,23.45
2017-02-08,89,35.0,,0.35,31.15
2017-02-09,97,35.0,,0.35,33.949999999999996
2017-02-10,84,35.0,,0.35,29.4
2017-02-11,82,35.0,,0.35,28.7
2017-02-12,80,35.0,,0.35,28.0
2017-02-13,69,35.0,,0.35,24.15
2017-02-14,88,35.0,,0.35,30.799999999999997
2017-02-15,68,35.0,,0.35,23.799999999999997
2017-02-16,70,35.0,,0.35,24.5
2017-02-17,77,35.0,,0.35,26.95
2017-02-18,76,35.0,,0.35,26.599999999999998
2017-02-19,100,35.0,,0.35,35.0
2017-02-20,96,35.0,,0.35,33.599999999999994
2017-02-21,77,35.0,,0.35,26.95
2017-02-22,74,35.0,,0.35,25.9
2017-02-23,65,35.0,,0.35,22.75
2017-02-24,81,35.0,,0.35,28.349999999999998
2017-02-25,80,35.0,,0.35,28.0
2017-02-26,83,35.0,,0.35,29.049999999999997
2017-02-27,73,35.0,,0.35,25.549999999999997
2017-02-28,72,35.0,,0.35,25.2
2017-03-01,70,37.0,False,0.37,25.9
2017-03-02,61,37.0,,0.37,22.57
2017-03-03,68,37.0,,0.37,25.16
2017-03-04,73,37.0,,0.37,27.009999999999998
2017-03-05,74,37.0,,0.37,27.38
2017-03-06,71,37.0,,0.37,26.27
2017-03-07,79,37.0,,0.37,29.23
2017-03-08,80,37.0,,0.37,29.6
2017-03-09,69,37.0,,0.37,25.53
2017-03-10,82,37.0,,0.37,30.34
2017-03-11,85,37.0,,0.37,31.45
2017-03-12,88,37.0,,0.37,32.56
2017-03-13,82,37.0,,0.37,30.34
2017-03-14,85,37.0,,0.37,31.45
2017-03-15,84,37.0,,0.37,31.08
2017-03-16,81,37.0,,0.37,29.97
2017-03-17,79,37.0,,0.37,29.23
2017-03-18,76,37.0,,0.37,28.12
2017-03-19,90,37.0,,0.37,33.3
2017-03-20,77,37.0,,0.37,28.49
2017-03-21,77,37.0,,0.37,28.49
2017-03-22,79,37.0,,0.37,29.23
2017-03-23,74,37.0,,0.37,27.38
2017-03-24,78,37.0,,0.37,28.86
2017-03-25,83,37.0,,0.37,30.71
2017-03-26,73,37.0,,0.37,27.009999999999998
2017-03-27,57,37.0,,0.37,21.09
2017-03-28,80,37.0,,0.37,29.6
2017-03-29,78,37.0,,0.37,28.86
2017-03-30,100,37.0,,0.37,37.0
2017-03-31,97,37.0,,0.37,35.89
2017-04-01,71,35.0,False,0.35,24.849999999999998
2017-04-02,86,35.0,,0.35,30.099999999999998
2017-04-03,73,35.0,,0.35,25.549999999999997
2017-04-04,87,35.0,,0.35,30.45
2017-04-05,73,35.0,,0.35,25.549999999999997
2017-04-06,74,35.0,,0.35,25.9
2017-04-07,81,35.0,,0.35,28.349999999999998
2017-04-08,70,35.0,,0.35,24.5
2017-04-09,76,35.0,,0.35,26.599999999999998
2017-04-10,89,35.0,,0.35,31.15
2017-04-11,82,35.0,,0.35,28.7
2017-04-12,73,35.0,,0.35,25.549999999999997
2017-04-13,87,35.0,,0.35,30.45
2017-04-14,73,35.0,,0.35,25.549999999999997
2017-04-15,77,35.0,,0.35,26.95
2017-04-16,100,35.0,,0.35,35.0
2017-04-17,81,35.0,,0.35,28.349999999999998
2017-04-18,84,35.0,,0.35,29.4
2017-04-19,78,35.0,,0.35,27.299999999999997
2017-04-20,65,35.0,,0.35,22.75
2017-04-21,64,35.0,,0.35,22.4
2017-04-22,87,35.0,,0.35,30.45
2017-04-23,77,35.0,,0.35,26.95
2017-04-24,77,35.0,,0.35,26.95
2017-04-25,75,35.0,,0.35,26.25
2017-04-26,73,35.0,,0.35,25.549999999999997
2017-04-27,79,35.0,,0.35,27.65
2017-04-28,60,35.0,,0.35,21.0
2017-04-29,72,35.0,,0.35,25.2
2017-04-30,69,35.0,,0.35,24.15
2017-05-01,74,35.0,False,0.35,25.9
2017-05-02,76,35.0,,0.35,26.599999999999998
2017-05-03,77,35.0,,0.35,26.95
2017-05-04,81,35.0,,0.35,28.349999999999998
2017-05-05,84,35.0,,0.35,29.4
2017-05-06,100,35.0,,0.35,35.0
2017-05-07,86,35.0,,0.35,30.099999999999998
2017-05-08,67,35.0,,0.35,23.45
2017-05-09,67,35.0,,0.35,23.45
2017-05-10,59,35.0,,0.35,20.65
2017-05-11,55,35.0,,0.35,19.25
2017-05-12,90,35.0,,0.35,31.499999999999996
2017-05-13,73,35.0,,0.35,25.549999999999997
2017-05-14,76,35.0,,0.35,26.599999999999998
2017-05-15,89,35.0,,0.35,31.15
2017-05-16,73,35.0,,0.35,25.549999999999997
2017-05-17,76,35.0,,0.35,26.599999999999998
2017-05-18,63,35.0,,0.35,22.049999999999997
2017-05-19,81,35.0,,0.35,28.349999999999998
2017-05-20,74,35.0,,0.35,25.9
2017-05-21,75,35.0,,0.35,26.25
2017-05-22,74,35.0,,0.35,25.9
2017-05-23,79,35.0,,0.35,27.65
2017-05-24,63,35.0,,0.35,22.049999999999997
2017-05-25,76,35.0,,0.35,26.599999999999998
2017-05-26,80,35.0,,0.35,28.0
2017-05-27,81,35.0,,0.35,28.349999999999998
2017-05-28,75,35.0,,0.35,26.25
2017-05-29,58,35.0,,0.35,20.299999999999997
2017-05-30,71,35.0,,0.35,24.849999999999998
