date,BP_unscaled,BP_monthly,isPartial,scale,BP
2016-05-01,73,60.0,False,0.6,43.8
2016-05-02,100,60.0,,0.6,60.0
2016-05-03,95,60.0,,0.6,57.0
2016-05-04,86,60.0,,0.6,51.6
2016-05-05,91,60.0,,0.6,54.6
2016-05-06,86,60.0,,0.6,51.6
2016-05-07,72,60.0,,0.6,43.199999999999996
2016-05-08,73,60.0,,0.6,43.8
2016-05-09,89,60.0,,0.6,53.4
2016-05-10,88,60.0,,0.6,52.8
2016-05-11,100,60.0,,0.6,60.0
2016-05-12,98,60.0,,0.6,58.8
2016-05-13,87,60.0,,0.6,52.199999999999996
2016-05-14,79,60.0,,0.6,47.4
2016-05-15,70,60.0,,0.6,42.0
2016-05-16,97,60.0,,0.6,58.199999999999996
2016-05-17,85,60.0,,0.6,51.0
2016-05-18,92,60.0,,0.6,55.199999999999996
2016-05-19,92,60.0,,0.6,55.199999999999996
2016-05-20,94,60.0,,0.6,56.4
2016-05-21,72,60.0,,0.6,43.199999999999996
2016-05-22,75,60.0,,0.6,45.0
2016-05-23,85,60.0,,0.6,51.0
2016-05-24,90,60.0,,0.6,54.0
2016-05-25,94,60.0,,0.6,56.4
2016-05-26,88,60.0,,0.6,52.8
2016-05-27,88,60.0,,0.6,52.8
2016-05-28,83,60.0,,0.6,49.8
2016-05-29,76,60.0,,0.6,45.6
2016-05-30,67,60.0,,0.6,40.199999999999996
2016-05-31,90,60.0,,0.6,54.0
2016-06-01,68,62.0,False,0.62,42.16
2016-06-02,66,62.0,,0.62,40.92
2016-06-03,69,62.0,,0.62,42.78
2016-06-04,57,62.0,,0.62,35.339999999999996
2016-06-05,54,62.0,,0.62,33.48
2016-06-06,66,62.0,,0.62,40.92
2016-06-07,73,62.0,,0.62,45.26
2016-06-08,69,62.0,,0.62,42.78
2016-06-09,68,62.0,,0.62,42.16
2016-06-10,67,62.0,,0.62,41.54
2016-06-11,52,62.0,,0.62,32.24
2016-06-12,53,62.0,,0.62,32.86
2016-06-13,62,62.0,,0.62,38.44
2016-06-14,60,62.0,,0.62,37.2
2016-06-15,66,62.0,,0.62,40.92
2016-06-16,75,62.0,,0.62,46.5
2016-06-17,74,62.0,,0.62,45.88
2016-06-18,55,62.0,,0.62,34.1
2016-06-19,54,62.0,,0.62,33.48
2016-06-20,64,62.0,,0.62,39.68
2016-06-21,73,62.0,,0.62,45.26
2016-06-22,69,62.0,,0.62,42.78
2016-06-23,67,62.0,,0.62,41.54
2016-06-24,100,62.0,,0.62,62.0
2016-06-25,60,62.0,,0.62,37.2
2016-06-26,54,62.0,,0.62,33.48
2016-06-27,70,62.0,,0.62,43.4
2016-06-28,81,62.0,,0.62,50.22
2016-06-29,73,62.0,,0.62,45.26
2016-06-30,72,62.0,,0.62,44.64
2016-07-01,92,59.0,False,0.59,54.279999999999994
2016-07-02,79,59.0,,0.59,46.61
2016-07-03,72,59.0,,0.59,42.48
2016-07-04,80,59.0,,0.59,47.199999999999996
2016-07-05,95,59.0,,0.59,56.05
2016-07-06,92,59.0,,0.59,54.279999999999994
2016-07-07,90,59.0,,0.59,53.099999999999994
2016-07-08,100,59.0,,0.59,59.0
2016-07-09,70,59.0,,0.59,41.3
2016-07-10,58,59.0,,0.59,34.22
2016-07-11,100,59.0,,0.59,59.0
2016-07-12,91,59.0,,0.59,53.69
2016-07-13,98,59.0,,0.59,57.82
2016-07-14,82,59.0,,0.59,48.379999999999995
2016-07-15,91,59.0,,0.59,53.69
2016-07-16,76,59.0,,0.59,44.839999999999996
2016-07-17,68,59.0,,0.59,40.12
2016-07-18,92,59.0,,0.59,54.279999999999994
2016-07-19,96,59.0,,0.59,56.64
2016-07-20,91,59.0,,0.59,53.69
2016-07-21,91,59.0,,0.59,53.69
2016-07-22,87,59.0,,0.59,51.33
2016-07-23,72,59.0,,0.59,42.48
2016-07-24,71,59.0,,0.59,41.89
2016-07-25,89,59.0,,0.59,52.51
2016-07-26,99,59.0,,0.59,58.41
2016-07-27,90,59.0,,0.59,53.099999999999994
2016-07-28,90,59.0,,0.59,53.099999999999994
2016-07-29,88,59.0,,0.59,51.919999999999995
2016-07-30,72,59.0,,0.59,42.48
2016-07-31,65,59.0,,0.59,38.35
2016-08-01,96,56.0,False,0.56,53.760000000000005
2016-08-02,96,56.0,,0.56,53.760000000000005
2016-08-03,95,56.0,,0.56,53.2
2016-08-04,94,56.0,,0.56,52.64000000000001
2016-08-05,96,56.0,,0.56,53.760000000000005
2016-08-06,74,56.0,,0.56,41.440000000000005
2016-08-07,75,56.0,,0.56,42.00000000000001
2016-08-08,94,56.0,,0.56,52.64000000000001
2016-08-09,94,56.0,,0.56,52.64000000000001
2016-08-10,84,56.0,,0.56,47.040000000000006
2016-08-11,90,56.0,,0.56,50.400000000000006
2016-08-12,82,56.0,,0.56,45.92
2016-08-13,71,56.0,,0.56,39.760000000000005
2016-08-14,79,56.0,,0.56,44.24
2016-08-15,93,56.0,,0.56,52.080000000000005
2016-08-16,90,56.0,,0.56,50.400000000000006
2016-08-17,85,56.0,,0.56,47.6
2016-08-18,92,56.0,,0.56,51.52
2016-08-19,85,56.0,,0.56,47.6
2016-08-20,66,56.0,,0.56,36.96
2016-08-21,68,56.0,,0.56,38.080000000000005
2016-08-22,84,56.0,,0.56,47.040000000000006
2016-08-23,92,56.0,,0.56,51.52
2016-08-24,100,56.0,,0.56,56.00000000000001
2016-08-25,100,56.0,,0.56,56.00000000000001
2016-08-26,91,56.0,,0.56,50.96000000000001
2016-08-27,83,56.0,,0.56,46.480000000000004
2016-08-28,69,56.0,,0.56,38.64
2016-08-29,86,56.0,,0.56,48.160000000000004
2016-08-30,91,56.0,,0.56,50.96000000000001
2016-08-31,96,56.0,,0.56,53.760000000000005
2016-09-01,75,62.0,False,0.62,46.5
2016-09-02,83,62.0,,0.62,51.46
2016-09-03,67,62.0,,0.62,41.54
2016-09-04,66,62.0,,0.62,40.92
2016-09-05,70,62.0,,0.62,43.4
2016-09-06,84,62.0,,0.62,52.08
2016-09-07,87,62.0,,0.62,53.94
2016-09-08,95,62.0,,0.62,58.9
2016-09-09,93,62.0,,0.62,57.66
2016-09-10,71,62.0,,0.62,44.02
2016-09-11,73,62.0,,0.62,45.26
2016-09-12,98,62.0,,0.62,60.76
2016-09-13,84,62.0,,0.62,52.08
2016-09-14,80,62.0,,0.62,49.6
2016-09-15,88,62.0,,0.62,54.56
2016-09-16,83,62.0,,0.62,51.46
2016-09-17,73,62.0,,0.62,45.26
2016-09-18,88,62.0,,0.62,54.56
2016-09-19,100,62.0,,0.62,62.0
2016-09-20,93,62.0,,0.62,57.66
2016-09-21,87,62.0,,0.62,53.94
2016-09-22,88,62.0,,0.62,54.56
2016-09-23,82,62.0,,0.62,50.839999999999996
2016-09-24,73,62.0,,0.62,45.26
2016-09-25,76,62.0,,0.62,47.12
2016-09-26,91,62.0,,0.62,56.42
2016-09-27,86,62.0,,0.62,53.32
2016-09-28,86,62.0,,0.62,53.32
2016-09-29,89,62.0,,0.62,55.18
2016-09-30,94,62.0,,0.62,58.28
2016-10-01,87,61.0,False,0.61,53.07
2016-10-02,91,61.0,,0.61,55.51
2016-10-03,96,61.0,,0.61,58.56
2016-10-04,95,61.0,,0.61,57.949999999999996
2016-10-05,92,61.0,,0.61,56.12
2016-10-06,100,61.0,,0.61,61.0
2016-10-07,97,61.0,,0.61,59.17
2016-10-08,85,61.0,,0.61,51.85
2016-10-09,89,61.0,,0.61,54.29
2016-10-10,85,61.0,,0.61,51.85
2016-10-11,84,61.0,,0.61,51.24
2016-10-12,98,61.0,,0.61,59.78
2016-10-13,76,61.0,,0.61,46.36
2016-10-14,84,61.0,,0.61,51.24
2016-10-15,79,61.0,,0.61,48.19
2016-10-16,76,61.0,,0.61,46.36
2016-10-17,84,61.0,,0.61,51.24
2016-10-18,91,61.0,,0.61,55.51
2016-10-19,94,61.0,,0.61,57.339999999999996
2016-10-20,76,61.0,,0.61,46.36
2016-10-21,75,61.0,,0.61,45.75
