date,BP_unscaled,BP_monthly,isPartial,scale,BP
2016-10-22,67,61.0,,0.61,40.87
2016-10-23,64,61.0,,0.61,39.04
2016-10-24,79,61.0,,0.61,48.19
2016-10-25,86,61.0,,0.61,52.46
2016-10-26,84,61.0,,0.61,51.24
2016-10-27,78,61.0,,0.61,47.58
2016-10-28,73,61.0,,0.61,44.53
2016-10-29,69,61.0,,0.61,42.089999999999996
2016-10-30,71,61.0,,0.61,43.31
2016-10-31,80,61.0,,0.61,48.8
2016-11-01,100,57.0,False,0.57,56.99999999999999
2016-11-02,92,57.0,,0.57,52.44
2016-11-03,93,57.0,,0.57,53.01
2016-11-04,88,57.0,,0.57,50.16
2016-11-05,68,57.0,,0.57,38.76
2016-11-06,72,57.0,,0.57,41.04
2016-11-07,83,57.0,,0.57,47.309999999999995
2016-11-08,86,57.0,,0.57,49.019999999999996
2016-11-09,67,57.0,,0.57,38.19
2016-11-10,81,57.0,,0.57,46.169999999999995
2016-11-11,79,57.0,,0.57,45.029999999999994
2016-11-12,61,57.0,,0.57,34.769999999999996
2016-11-13,63,57.0,,0.57,35.91
2016-11-14,85,57.0,,0.57,48.449999999999996
2016-11-15,94,57.0,,0.57,53.58
2016-11-16,90,57.0,,0.57,51.3
2016-11-17,87,57.0,,0.57,49.589999999999996
2016-11-18,87,57.0,,0.57,49.589999999999996
2016-11-19,71,57.0,,0.57,40.47
2016-11-20,63,57.0,,0.57,35.91
2016-11-21,83,57.0,,0.57,47.309999999999995
2016-11-22,89,57.0,,0.57,50.73
2016-11-23,83,57.0,,0.57,47.309999999999995
2016-11-24,65,57.0,,0.57,37.05
2016-11-25,74,57.0,,0.57,42.18
2016-11-26,72,57.0,,0.57,41.04
2016-11-27,72,57.0,,0.57,41.04
2016-11-28,82,57.0,,0.57,46.739999999999995
2016-11-29,89,57.0,,0.57,50.73
2016-11-30,94,57.0,,0.57,53.58
2016-12-01,92,63.0,False,0.63,57.96
2016-12-02,84,63.0,,0.63,52.92
2016-12-03,73,63.0,,0.63,45.99
2016-12-04,70,63.0,,0.63,44.1
2016-12-05,88,63.0,,0.63,55.44
2016-12-06,77,63.0,,0.63,48.51
2016-12-07,87,63.0,,0.63,54.81
2016-12-08,84,63.0,,0.63,52.92
2016-12-09,78,63.0,,0.63,49.14
2016-12-10,73,63.0,,0.63,45.99
2016-12-11,64,63.0,,0.63,40.32
2016-12-12,86,63.0,,0.63,54.18
2016-12-13,89,63.0,,0.63,56.07
2016-12-14,98,63.0,,0.63,61.74
2016-12-15,90,63.0,,0.63,56.7
2016-12-16,87,63.0,,0.63,54.81
2016-12-17,65,63.0,,0.63,40.95
2016-12-18,64,63.0,,0.63,40.32
2016-12-19,82,63.0,,0.63,51.660000000000004
2016-12-20,90,63.0,,0.63,56.7
2016-12-21,90,63.0,,0.63,56.7
2016-12-22,91,63.0,,0.63,57.33
2016-12-23,91,63.0,,0.63,57.33
2016-12-24,71,63.0,,0.63,44.73
2016-12-25,100,63.0,,0.63,63.0
2016-12-26,91,63.0,,0.63,57.33
2016-12-27,91,63.0,,0.63,57.33
2016-12-28,95,63.0,,0.63,59.85
2016-12-29,85,63.0,,0.63,53.55
2016-12-30,89,63.0,,0.63,56.07
2016-12-31,67,63.0,,0.63,42.21
2017-01-01,61,70.0,False,0.7,42.699999999999996
2017-01-02,73,70.0,,0.7,51.099999999999994
2017-01-03,78,70.0,,0.7,54.599999999999994
2017-01-04,79,70.0,,0.7,55.3
2017-01-05,81,70.0,,0.7,56.699999999999996
2017-01-06,77,70.0,,0.7,53.9
2017-01-07,67,70.0,,0.7,46.9
2017-01-08,73,70.0,,0.7,51.099999999999994
2017-01-09,73,70.0,,0.7,51.099999999999994
2017-01-10,83,70.0,,0.7,58.099999999999994
2017-01-11,89,70.0,,0.7,62.3
2017-01-12,96,70.0,,0.7,67.19999999999999
2017-01-13,82,70.0,,0.7,57.4
2017-01-14,98,70.0,,0.7,68.6
2017-01-15,100,70.0,,0.7,70.0
2017-01-16,88,70.0,,0.7,61.599999999999994
2017-01-17,88,70.0,,0.7,61.599999999999994
2017-01-18,84,70.0,,0.7,58.8
2017-01-19,79,70.0,,0.7,55.3
2017-01-20,76,70.0,,0.7,53.199999999999996
2017-01-21,80,70.0,,0.7,56.0
2017-01-22,85,70.0,,0.7,59.49999999999999
2017-01-23,81,70.0,,0.7,56.699999999999996
2017-01-24,87,70.0,,0.7,60.9
2017-01-25,84,70.0,,0.7,58.8
2017-01-26,87,70.0,,0.7,60.9
2017-01-27,81,70.0,,0.7,56.699999999999996
2017-01-28,88,70.0,,0.7,61.599999999999994
2017-01-29,89,70.0,,0.7,62.3
2017-01-30,86,70.0,,0.7,60.199999999999996
2017-01-31,93,70.0,,0.7,65.1
2017-02-01,93,62.0,False,0.62,57.66
2017-02-02,93,62.0,,0.62,57.66
2017-02-03,89,62.0,,0.62,55.18
2017-02-04,84,62.0,,0.62,52.08
2017-02-05,82,62.0,,0.62,50.839999999999996
2017-02-06,70,62.0,,0.62,43.4
2017-02-07,96,62.0,,0.62,59.519999999999996
2017-02-08,95,62.0,,0.62,58.9
2017-02-09,83,62.0,,0.62,51.46
2017-02-10,88,62.0,,0.62,54.56
2017-02-11,91,62.0,,0.62,56.42
2017-02-12,81,62.0,,0.62,50.22
2017-02-13,95,62.0,,0.62,58.9
2017-02-14,97,62.0,,0.62,60.14
2017-02-15,96,62.0,,0.62,59.519999999999996
2017-02-16,94,62.0,,0.62,58.28
2017-02-17,100,62.0,,0.62,62.0
2017-02-18,82,62.0,,0.62,50.839999999999996
2017-02-19,85,62.0,,0.62,52.7
2017-02-20,92,62.0,,0.62,57.04
2017-02-21,91,62.0,,0.62,56.42
2017-02-22,95,62.0,,0.62,58.9
2017-02-23,86,62.0,,0.62,53.32
2017-02-24,91,62.0,,0.62,56.42
2017-02-25,84,62.0,,0.62,52.08
2017-02-26,74,62.0,,0.62,45.88
2017-02-27,86,62.0,,0.62,53.32
2017-02-28,87,62.0,,0.62,53.94
2017-03-01,91,61.0,False,0.61,55.51
2017-03-02,96,61.0,,0.61,58.56
2017-03-03,93,61.0,,0.61,56.73
2017-03-04,80,61.0,,0.61,48.8
2017-03-05,77,61.0,,0.61,46.97
2017-03-06,98,61.0,,0.61,59.78
2017-03-07,93,61.0,,0.61,56.73
2017-03-08,100,61.0,,0.61,61.0
2017-03-09,95,61.0,,0.61,57.949999999999996
2017-03-10,90,61.0,,0.61,54.9
2017-03-11,86,61.0,,0.61,52.46
2017-03-12,81,61.0,,0.61,49.41
2017-03-13,98,61.0,,0.61,59.78
2017-03-14,91,61.0,,0.61,55.51
2017-03-15,93,61.0,,0.61,56.73
2017-03-16,95,61.0,,0.61,57.949999999999996
2017-03-17,92,61.0,,0.61,56.12
2017-03-18,74,61.0,,0.61,45.14
2017-03-19,78,61.0,,0.61,47.58
2017-03-20,98,61.0,,0.61,59.78
2017-03-21,96,61.0,,0.61,58.56
2017-03-22,90,61.0,,0.61,54.9
2017-03-23,87,61.0,,0.61,53.07
2017-03-24,91,61.0,,0.61,55.51
2017-03-25,72,61.0,,0.61,43.92
2017-03-26,68,61.0,,0.61,41.48
2017-03-27,88,61.0,,0.61,53.68
2017-03-28,91,61.0,,0.61,55.51
2017-03-29,90,61.0,,0.61,54.9
2017-03-30,85,61.0,,0.61,51.85
2017-03-31,90,61.0,,0.61,54.9
2017-04-01,84,59.0,False,0.59,49.559999999999995
2017-04-02,77,59.0,,0.59,45.43
2017-04-03,90,59.0,,0.59,53.099999999999994
2017-04-04,95,59.0,,0.59,56.05
2017-04-05,86,59.0,,0.59,50.739999999999995
2017-04-06,93,59.0,,0.59,54.87
2017-04-07,90,59.0,,0.59,53.099999999999994
2017-04-08,79,59.0,,0.59,46.61
2017-04-09,76,59.0,,0.59,44.839999999999996
2017-04-10,95,59.0,,0.59,56.05
2017-04-11,91,59.0,,0.59,53.69
2017-04-12,99,59.0,,0.59,58.41
2017-04-13,91,59.0,,0.59,53.69
2017-04-14,91,59.0,,0.59,53.69
2017-04-15,77,59.0,,0.59,45.43
2017-04-16,81,59.0,,0.59,47.79
2017-04-17,100,59.0,,0.59,59.0
2017-04-18,86,59.0,,0.59,50.739999999999995
2017-04-19,93,59.0,,0.59,54.87
2017-04-20,95,59.0,,0.59,56.05
2017-04-21,88,59.0,,0.59,51.919999999999995
2017-04-22,73,59.0,,0.59,43.07
2017-04-23,74,59.0,,0.59,43.66
2017-04-24,96,59.0,,0.59,56.64
2017-04-25,98,59.0,,0.59,57.82
2017-04-26,92,59.0,,0.59,54.279999999999994
2017-04-27,88,59.0,,0.59,51.919999999999995
2017-04-28,91,59.0,,0.59,53.69
2017-04-29,84,59.0,,0.59,49.559999999999995
2017-04-30,82,59.0,,0.59,48.379999999999995
2017-05-01,91,60.0,False,0.6,54.6
2017-05-02,96,60.0,,0.6,57.599999999999994
2017-05-03,84,60.0,,0.6,50.4
2017-05-04,77,60.0,,0.6,46.199999999999996
2017-05-05,86,60.0,,0.6,51.6
2017-05-06,80,60.0,,0.6,48.0
2017-05-07,65,60.0,,0.6,39.0
2017-05-08,84,60.0,,0.6,50.4
2017-05-09,83,60.0,,0.6,49.8
2017-05-10,87,60.0,,0.6,52.199999999999996
2017-05-11,85,60.0,,0.6,51.0
2017-05-12,88,60.0,,0.6,52.8
2017-05-13,71,60.0,,0.6,42.6
2017-05-14,64,60.0,,0.6,38.4
2017-05-15,100,60.0,,0.6,60.0
2017-05-16,89,60.0,,0.6,53.4
2017-05-17,84,60.0,,0.6,50.4
2017-05-18,92,60.0,,0.6,55.199999999999996
2017-05-19,83,60.0,,0.6,49.8
2017-05-20,85,60.0,,0.6,51.0
2017-05-21,63,60.0,,0.6,37.8
2017-05-22,85,60.0,,0.6,51.0
2017-05-23,91,60.0,,0.6,54.6
2017-05-24,85,60.0,,0.6,51.0
2017-05-25,83,60.0,,0.6,49.8
2017-05-26,92,60.0,,0.6,55.199999999999996
2017-05-27,76,60.0,,0.6,45.6
2017-05-28,70,60.0,,0.6,42.0
2017-05-29,74,60.0,,0.6,44.4
2017-05-30,92,60.0,,0.6,55.199999999999996
2017-05-31,89,60.0,,0.6,53.4
2017-06-01,98,61.0,False,0.61,59.78
2017-06-02,91,61.0,,0.61,55.51
2017-06-03,84,61.0,,0.61,51.24
2017-06-04,77,61.0,,0.61,46.97
2017-06-05,85,61.0,,0.61,51.85
2017-06-06,94,61.0,,0.61,57.339999999999996
2017-06-07,89,61.0,,0.61,54.29
2017-06-08,96,61.0,,0.61,58.56
2017-06-09,88,61.0,,0.61,53.68
2017-06-10,77,61.0,,0.61,46.97
2017-06-11,75,61.0,,0.61,45.75
2017-06-12,96,61.0,,0.61,58.56
2017-06-13,91,61.0,,0.61,55.51
2017-06-14,90,61.0,,0.61,54.9
2017-06-15,92,61.0,,0.61,56.12
2017-06-16,84,61.0,,0.61,51.24
2017-06-17,75,61.0,,0.61,45.75
2017-06-18,72,61.0,,0.61,43.92
2017-06-19,88,61.0,,0.61,53.68
2017-06-20,87,61.0,,0.61,53.07
2017-06-21,87,61.0,,0.61,53.07
2017-06-22,90,61.0,,0.61,54.9
2017-06-23,85,61.0,,0.61,51.85
2017-06-24,69,61.0,,0.61,42.089999999999996
2017-06-25,73,61.0,,0.61,44.53
2017-06-26,93,61.0,,0.61,56.73
2017-06-27,100,61.0,,0.61,61.0
2017-06-28,92,61.0,,0.61,56.12
2017-06-29,96,61.0,,0.61,58.56
2017-06-30,91,61.0,,0.61,55.51
2017-07-01,82,60.0,False,0.6,49.199999999999996
2017-07-02,72,60.0,,0.6,43.199999999999996
2017-07-03,88,60.0,,0.6,52.8
2017-07-04,83,60.0,,0.6,49.8
2017-07-05,97,60.0,,0.6,58.199999999999996
2017-07-06,97,60.0,,0.6,58.199999999999996
2017-07-07,95,60.0,,0.6,57.0
2017-07-08,81,60.0,,0.6,48.6
2017-07-09,75,60.0,,0.6,45.0
2017-07-10,95,60.0,,0.6,57.0
2017-07-11,98,60.0,,0.6,58.8
2017-07-12,95,60.0,,0.6,57.0
2017-07-13,100,60.0,,0.6,60.0
2017-07-14,99,60.0,,0.6,59.4
2017-07-15,79,60.0,,0.6,47.4
2017-07-16,72,60.0,,0.6,43.199999999999996
2017-07-17,96,60.0,,0.6,57.599999999999994
2017-07-18,98,60.0,,0.6,58.8
2017-07-19,93,60.0,,0.6,55.8
2017-07-20,92,60.0,,0.6,55.199999999999996
2017-07-21,87,60.0,,0.6,52.199999999999996
2017-07-22,78,60.0,,0.6,46.8
2017-07-23,74,60.0,,0.6,44.4
2017-07-24,97,60.0,,0.6,58.199999999999996
2017-07-25,85,60.0,,0.6,51.0
2017-07-26,94,60.0,,0.6,56.4
2017-07-27,100,60.0,,0.6,60.0
2017-07-28,91,60.0,,0.6,54.6
2017-07-29,82,60.0,,0.6,49.199999999999996
2017-07-30,69,60.0,,0.6,41.4
2017-07-31,86,60.0,,0.6,51.6
2017-08-01,100,62.0,False,0.62,62.0
2017-08-02,87,62.0,,0.62,53.94
2017-08-03,94,62.0,,0.62,58.28
2017-08-04,90,62.0,,0.62,55.8
2017-08-05,78,62.0,,0.62,48.36
2017-08-06,73,62.0,,0.62,45.26
2017-08-07,88,62.0,,0.62,54.56
2017-08-08,90,62.0,,0.62,55.8
2017-08-09,90,62.0,,0.62,55.8
2017-08-10,88,62.0,,0.62,54.56
2017-08-11,83,62.0,,0.62,51.46
2017-08-12,74,62.0,,0.62,45.88
2017-08-13,71,62.0,,0.62,44.02
2017-08-14,85,62.0,,0.62,52.7
2017-08-15,90,62.0,,0.62,55.8
2017-08-16,79,62.0,,0.62,48.98
2017-08-17,84,62.0,,0.62,52.08
2017-08-18,82,62.0,,0.62,50.839999999999996
2017-08-19,74,62.0,,0.62,45.88
2017-08-20,70,62.0,,0.62,43.4
2017-08-21,76,62.0,,0.62,47.12
2017-08-22,79,62.0,,0.62,48.98
2017-08-23,83,62.0,,0.62,51.46
2017-08-24,80,62.0,,0.62,49.6
2017-08-25,76,62.0,,0.62,47.12
2017-08-26,66,62.0,,0.62,40.92
2017-08-27,57,62.0,,0.62,35.339999999999996
2017-08-28,86,62.0,,0.62,53.32
2017-08-29,85,62.0,,0.62,52.7
2017-08-30,85,62.0,,0.62,52.7
2017-08-31,88,62.0,,0.62,54.56
2017-09-01,86,60.0,False,0.6,51.6
2017-09-02,76,60.0,,0.6,45.6
2017-09-03,71,60.0,,0.6,42.6
2017-09-04,74,60.0,,0.6,44.4
2017-09-05,89,60.0,,0.6,53.4
2017-09-06,92,60.0,,0.6,55.199999999999996
2017-09-07,86,60.0,,0.6,51.6
2017-09-08,87,60.0,,0.6,52.199999999999996
2017-09-09,78,60.0,,0.6,46.8
2017-09-10,76,60.0,,0.6,45.6
2017-09-11,96,60.0,,0.6,57.599999999999994
2017-09-12,100,60.0,,0.6,60.0
2017-09-13,95,60.0,,0.6,57.0
2017-09-14,97,60.0,,0.6,58.199999999999996
2017-09-15,81,60.0,,0.6,48.6
2017-09-16,69,60.0,,0.6,41.4
2017-09-17,70,60.0,,0.6,42.0
2017-09-18,95,60.0,,0.6,57.0
2017-09-19,89,60.0,,0.6,53.4
2017-09-20,90,60.0,,0.6,54.0
2017-09-21,93,60.0,,0.6,55.8
2017-09-22,92,60.0,,0.6,55.199999999999996
2017-09-23,68,60.0,,0.6,40.8
2017-09-24,75,60.0,,0.6,45.0
2017-09-25,83,60.0,,0.6,49.8
2017-09-26,96,60.0,,0.6,57.599999999999994
2017-09-27,88,60.0,,0.6,52.8
2017-09-28,95,60.0,,0.6,57.0
2017-09-29,82,60.0,,0.6,49.199999999999996
2017-09-30,77,60.0,,0.6,46.199999999999996
2017-10-01,72,59.0,False,0.59,42.48
2017-10-02,75,59.0,,0.59,44.25
2017-10-03,95,59.0,,0.59,56.05
2017-10-04,96,59.0,,0.59,56.64
2017-10-05,85,59.0,,0.59,50.15
2017-10-06,85,59.0,,0.59,50.15
2017-10-07,79,59.0,,0.59,46.61
2017-10-08,69,59.0,,0.59,40.71
2017-10-09,85,59.0,,0.59,50.15
2017-10-10,93,59.0,,0.59,54.87
2017-10-11,90,59.0,,0.59,53.099999999999994
2017-10-12,94,59.0,,0.59,55.459999999999994
2017-10-13,78,59.0,,0.59,46.019999999999996
2017-10-14,71,59.0,,0.59,41.89
2017-10-15,81,59.0,,0.59,47.79
2017-10-16,87,59.0,,0.59,51.33
2017-10-17,100,59.0,,0.59,59.0
2017-10-18,93,59.0,,0.59,54.87
2017-10-19,84,59.0,,0.59,49.559999999999995
2017-10-20,87,59.0,,0.59,51.33
2017-10-21,80,59.0,,0.59,47.199999999999996
2017-10-22,71,59.0,,0.59,41.89
2017-10-23,85,59.0,,0.59,50.15
2017-10-24,92,59.0,,0.59,54.279999999999994
2017-10-25,92,59.0,,0.59,54.279999999999994
2017-10-26,85,59.0,,0.59,50.15
2017-10-27,89,59.0,,0.59,52.51
2017-10-28,76,59.0,,0.59,44.839999999999996
2017-10-29,63,59.0,,0.59,37.169999999999995
2017-10-30,80,59.0,,0.59,47.199999999999996
2017-10-31,93,59.0,,0.59,54.87
2017-11-01,85,59.0,False,0.59,50.15
2017-11-02,91,59.0,,0.59,53.69
2017-11-03,87,59.0,,0.59,51.33
2017-11-04,69,59.0,,0.59,40.71
2017-11-05,69,59.0,,0.59,40.71
2017-11-06,88,59.0,,0.59,51.919999999999995
2017-11-07,94,59.0,,0.59,55.459999999999994
2017-11-08,79,59.0,,0.59,46.61
2017-11-09,86,59.0,,0.59,50.739999999999995
2017-11-10,82,59.0,,0.59,48.379999999999995
2017-11-11,67,59.0,,0.59,39.53
2017-11-12,60,59.0,,0.59,35.4
2017-11-13,83,59.0,,0.59,48.97
2017-11-14,100,59.0,,0.59,59.0
2017-11-15,92,59.0,,0.59,54.279999999999994
2017-11-16,91,59.0,,0.59,53.69
2017-11-17,82,59.0,,0.59,48.379999999999995
2017-11-18,69,59.0,,0.59,40.71
2017-11-19,70,59.0,,0.59,41.3
2017-11-20,82,59.0,,0.59,48.379999999999995
2017-11-21,91,59.0,,0.59,53.69
2017-11-22,87,59.0,,0.59,51.33
2017-11-23,71,59.0,,0.59,41.89
2017-11-24,72,59.0,,0.59,42.48
2017-11-25,74,59.0,,0.59,43.66
2017-11-26,64,59.0,,0.59,37.76
2017-11-27,81,59.0,,0.59,47.79
2017-11-28,92,59.0,,0.59,54.279999999999994
2017-11-29,95,59.0,,0.59,56.05
2017-11-30,81,59.0,,0.59,47.79
2017-12-01,82,59.0,False,0.59,48.379999999999995
2017-12-02,73,59.0,,0.59,43.07
2017-12-03,70,59.0,,0.59,41.3
2017-12-04,77,59.0,,0.59,45.43
2017-12-05,81,59.0,,0.59,47.79
2017-12-06,79,59.0,,0.59,46.61
2017-12-07,82,59.0,,0.59,48.379999999999995
2017-12-08,78,59.0,,0.59,46.019999999999996
2017-12-09,76,59.0,,0.59,44.839999999999996
2017-12-10,75,59.0,,0.59,44.25
2017-12-11,81,59.0,,0.59,47.79
2017-12-12,82,59.0,,0.59,48.379999999999995
2017-12-13,81,59.0,,0.59,47.79
2017-12-14,79,59.0,,0.59,46.61
2017-12-15,83,59.0,,0.59,48.97
2017-12-16,80,59.0,,0.59,47.199999999999996
2017-12-17,67,59.0,,0.59,39.53
2017-12-18,75,59.0,,0.59,44.25
2017-12-19,80,59.0,,0.59,47.199999999999996
2017-12-20,78,59.0,,0.59,46.019999999999996
2017-12-21,83,59.0,,0.59,48.97
2017-12-22,83,59.0,,0.59,48.97
2017-12-23,82,59.0,,0.59,48.379999999999995
2017-12-24,66,59.0,,0.59,38.94
2017-12-25,100,59.0,,0.59,59.0
2017-12-26,95,59.0,,0.59,56.05
2017-12-27,86,59.0,,0.59,50.739999999999995
