date,PG_unscaled,PG_monthly,isPartial,scale,PG
2016-06-17,84,62.0,,0.62,52.08
2016-06-18,65,62.0,,0.62,40.3
2016-06-19,72,62.0,,0.62,44.64
2016-06-20,94,62.0,,0.62,58.28
2016-06-21,82,62.0,,0.62,50.839999999999996
2016-06-22,88,62.0,,0.62,54.56
2016-06-23,78,62.0,,0.62,48.36
2016-06-24,100,62.0,,0.62,62.0
2016-06-25,84,62.0,,0.62,52.08
2016-06-26,76,62.0,,0.62,47.12
2016-06-27,85,62.0,,0.62,52.7
2016-06-28,81,62.0,,0.62,50.22
2016-06-29,71,62.0,,0.62,44.02
2016-06-30,94,62.0,,0.62,58.28
2016-07-01,99,59.0,False,0.59,58.41
2016-07-02,92,59.0,,0.59,54.279999999999994
2016-07-03,73,59.0,,0.59,43.07
2016-07-04,83,59.0,,0.59,48.97
2016-07-05,95,59.0,,0.59,56.05
2016-07-06,89,59.0,,0.59,52.51
2016-07-07,79,59.0,,0.59,46.61
2016-07-08,91,59.0,,0.59,53.69
2016-07-09,67,59.0,,0.59,39.53
2016-07-10,77,59.0,,0.59,45.43
2016-07-11,90,59.0,,0.59,53.099999999999994
2016-07-12,86,59.0,,0.59,50.739999999999995
2016-07-13,79,59.0,,0.59,46.61
2016-07-14,100,59.0,,0.59,59.0
2016-07-15,82,59.0,,0.59,48.379999999999995
2016-07-16,72,59.0,,0.59,42.48
2016-07-17,69,59.0,,0.59,40.71
2016-07-18,74,59.0,,0.59,43.66
2016-07-19,84,59.0,,0.59,49.559999999999995
2016-07-20,78,59.0,,0.59,46.019999999999996
2016-07-21,80,59.0,,0.59,47.199999999999996
2016-07-22,82,59.0,,0.59,48.379999999999995
2016-07-23,72,59.0,,0.59,42.48
2016-07-24,71,59.0,,0.59,41.89
2016-07-25,82,59.0,,0.59,48.379999999999995
2016-07-26,77,59.0,,0.59,45.43
2016-07-27,82,59.0,,0.59,48.379999999999995
2016-07-28,76,59.0,,0.59,44.839999999999996
2016-07-29,78,59.0,,0.59,46.019999999999996
2016-07-30,84,59.0,,0.59,49.559999999999995
2016-07-31,71,59.0,,0.59,41.89
2016-08-01,82,61.0,False,0.61,50.019999999999996
2016-08-02,100,61.0,,0.61,61.0
2016-08-03,80,61.0,,0.61,48.8
2016-08-04,79,61.0,,0.61,48.19
2016-08-05,88,61.0,,0.61,53.68
2016-08-06,69,61.0,,0.61,42.089999999999996
2016-08-07,62,61.0,,0.61,37.82
2016-08-08,70,61.0,,0.61,42.699999999999996
2016-08-09,83,61.0,,0.61,50.629999999999995
2016-08-10,76,61.0,,0.61,46.36
2016-08-11,80,61.0,,0.61,48.8
2016-08-12,82,61.0,,0.61,50.019999999999996
2016-08-13,68,61.0,,0.61,41.48
2016-08-14,67,61.0,,0.61,40.87
2016-08-15,71,61.0,,0.61,43.31
2016-08-16,87,61.0,,0.61,53.07
2016-08-17,79,61.0,,0.61,48.19
2016-08-18,76,61.0,,0.61,46.36
2016-08-19,79,61.0,,0.61,48.19
2016-08-20,74,61.0,,0.61,45.14
2016-08-21,64,61.0,,0.61,39.04
2016-08-22,85,61.0,,0.61,51.85
2016-08-23,77,61.0,,0.61,46.97
2016-08-24,81,61.0,,0.61,49.41
2016-08-25,79,61.0,,0.61,48.19
2016-08-26,88,61.0,,0.61,53.68
2016-08-27,69,61.0,,0.61,42.089999999999996
2016-08-28,79,61.0,,0.61,48.19
2016-08-29,99,61.0,,0.61,60.39
2016-08-30,87,61.0,,0.61,53.07
2016-08-31,84,61.0,,0.61,51.24
2016-09-01,76,68.0,False,0.68,51.68000000000001
2016-09-02,86,68.0,,0.68,58.480000000000004
2016-09-03,66,68.0,,0.68,44.88
2016-09-04,65,68.0,,0.68,44.2
2016-09-05,76,68.0,,0.68,51.68000000000001
2016-09-06,84,68.0,,0.68,57.120000000000005
2016-09-07,83,68.0,,0.68,56.440000000000005
2016-09-08,88,68.0,,0.68,59.84
2016-09-09,95,68.0,,0.68,64.60000000000001
2016-09-10,74,68.0,,0.68,50.32
2016-09-11,63,68.0,,0.68,42.84
2016-09-12,96,68.0,,0.68,65.28
2016-09-13,97,68.0,,0.68,65.96000000000001
2016-09-14,93,68.0,,0.68,63.24
2016-09-15,96,68.0,,0.68,65.28
2016-09-16,91,68.0,,0.68,61.88
2016-09-17,70,68.0,,0.68,47.6
2016-09-18,65,68.0,,0.68,44.2
2016-09-19,90,68.0,,0.68,61.2
2016-09-20,97,68.0,,0.68,65.96000000000001
2016-09-21,84,68.0,,0.68,57.120000000000005
2016-09-22,81,68.0,,0.68,55.080000000000005
2016-09-23,89,68.0,,0.68,60.52
2016-09-24,64,68.0,,0.68,43.52
2016-09-25,79,68.0,,0.68,53.720000000000006
2016-09-26,91,68.0,,0.68,61.88
2016-09-27,100,68.0,,0.68,68.0
2016-09-28,92,68.0,,0.68,62.56
2016-09-29,94,68.0,,0.68,63.92
2016-09-30,97,68.0,,0.68,65.96000000000001
2016-10-01,60,69.0,False,0.69,41.4
2016-10-02,78,69.0,,0.69,53.81999999999999
2016-10-03,100,69.0,,0.69,69.0
2016-10-04,86,69.0,,0.69,59.339999999999996
2016-10-05,84,69.0,,0.69,57.959999999999994
2016-10-06,71,69.0,,0.69,48.989999999999995
2016-10-07,65,69.0,,0.69,44.849999999999994
2016-10-08,65,69.0,,0.69,44.849999999999994
2016-10-09,51,69.0,,0.69,35.19
2016-10-10,77,69.0,,0.69,53.129999999999995
2016-10-11,70,69.0,,0.69,48.3
2016-10-12,77,69.0,,0.69,53.129999999999995
2016-10-13,77,69.0,,0.69,53.129999999999995
2016-10-14,71,69.0,,0.69,48.989999999999995
2016-10-15,71,69.0,,0.69,48.989999999999995
2016-10-16,53,69.0,,0.69,36.57
2016-10-17,74,69.0,,0.69,51.059999999999995
2016-10-18,79,69.0,,0.69,54.51
2016-10-19,74,69.0,,0.69,51.059999999999995
2016-10-20,76,69.0,,0.69,52.44
2016-10-21,75,69.0,,0.69,51.74999999999999
2016-10-22,64,69.0,,0.69,44.16
2016-10-23,57,69.0,,0.69,39.33
2016-10-24,85,69.0,,0.69,58.65
2016-10-25,92,69.0,,0.69,63.48
2016-10-26,83,69.0,,0.69,57.269999999999996
2016-10-27,81,69.0,,0.69,55.88999999999999
2016-10-28,76,69.0,,0.69,52.44
2016-10-29,65,69.0,,0.69,44.849999999999994
2016-10-30,66,69.0,,0.69,45.54
2016-10-31,81,69.0,,0.69,55.88999999999999
2016-11-01,100,63.0,False,0.63,63.0
2016-11-02,91,63.0,,0.63,57.33
2016-11-03,93,63.0,,0.63,58.59
2016-11-04,87,63.0,,0.63,54.81
2016-11-05,72,63.0,,0.63,45.36
2016-11-06,63,63.0,,0.63,39.69
2016-11-07,84,63.0,,0.63,52.92
2016-11-08,81,63.0,,0.63,51.03
2016-11-09,69,63.0,,0.63,43.47
2016-11-10,84,63.0,,0.63,52.92
2016-11-11,90,63.0,,0.63,56.7
2016-11-12,70,63.0,,0.63,44.1
2016-11-13,59,63.0,,0.63,37.17
2016-11-14,80,63.0,,0.63,50.4
2016-11-15,86,63.0,,0.63,54.18
2016-11-16,90,63.0,,0.63,56.7
2016-11-17,92,63.0,,0.63,57.96
2016-11-18,93,63.0,,0.63,58.59
2016-11-19,72,63.0,,0.63,45.36
2016-11-20,65,63.0,,0.63,40.95
2016-11-21,75,63.0,,0.63,47.25
2016-11-22,93,63.0,,0.63,58.59
2016-11-23,70,63.0,,0.63,44.1
2016-11-24,60,63.0,,0.63,37.8
2016-11-25,75,63.0,,0.63,47.25
2016-11-26,63,63.0,,0.63,39.69
2016-11-27,71,63.0,,0.63,44.73
2016-11-28,78,63.0,,0.63,49.14
2016-11-29,86,63.0,,0.63,54.18
2016-11-30,95,63.0,,0.63,59.85
2016-12-01,100,65.0,False,0.65,65.0
2016-12-02,91,65.0,,0.65,59.15
2016-12-03,69,65.0,,0.65,44.85
2016-12-04,64,65.0,,0.65,41.6
2016-12-05,83,65.0,,0.65,53.95
2016-12-06,89,65.0,,0.65,57.85
2016-12-07,90,65.0,,0.65,58.5
2016-12-08,92,65.0,,0.65,59.800000000000004
2016-12-09,84,65.0,,0.65,54.6
2016-12-10,76,65.0,,0.65,49.4
2016-12-11,67,65.0,,0.65,43.550000000000004
2016-12-12,88,65.0,,0.65,57.2
2016-12-13,93,65.0,,0.65,60.45
2016-12-14,85,65.0,,0.65,55.25
2016-12-15,78,65.0,,0.65,50.7
2016-12-16,92,65.0,,0.65,59.800000000000004
2016-12-17,78,65.0,,0.65,50.7
2016-12-18,66,65.0,,0.65,42.9
2016-12-19,85,65.0,,0.65,55.25
2016-12-20,79,65.0,,0.65,51.35
2016-12-21,87,65.0,,0.65,56.550000000000004
2016-12-22,76,65.0,,0.65,49.4
2016-12-23,71,65.0,,0.65,46.15
2016-12-24,74,65.0,,0.65,48.1
2016-12-25,62,65.0,,0.65,40.300000000000004
2016-12-26,71,65.0,,0.65,46.15
2016-12-27,79,65.0,,0.65,51.35
2016-12-28,88,65.0,,0.65,57.2
2016-12-29,81,65.0,,0.65,52.65
2016-12-30,72,65.0,,0.65,46.800000000000004
2016-12-31,71,65.0,,0.65,46.15
2017-01-01,58,75.0,False,0.75,43.5
2017-01-02,65,75.0,,0.75,48.75
2017-01-03,71,75.0,,0.75,53.25
2017-01-04,70,75.0,,0.75,52.5
2017-01-05,84,75.0,,0.75,63.0
2017-01-06,88,75.0,,0.75,66.0
2017-01-07,68,75.0,,0.75,51.0
2017-01-08,70,75.0,,0.75,52.5
2017-01-09,90,75.0,,0.75,67.5
2017-01-10,99,75.0,,0.75,74.25
2017-01-11,100,75.0,,0.75,75.0
2017-01-12,74,75.0,,0.75,55.5
2017-01-13,91,75.0,,0.75,68.25
2017-01-14,75,75.0,,0.75,56.25
2017-01-15,68,75.0,,0.75,51.0
2017-01-16,67,75.0,,0.75,50.25
2017-01-17,81,75.0,,0.75,60.75
2017-01-18,86,75.0,,0.75,64.5
2017-01-19,91,75.0,,0.75,68.25
2017-01-20,83,75.0,,0.75,62.25
2017-01-21,68,75.0,,0.75,51.0
2017-01-22,71,75.0,,0.75,53.25
2017-01-23,78,75.0,,0.75,58.5
2017-01-24,83,75.0,,0.75,62.25
2017-01-25,76,75.0,,0.75,57.0
2017-01-26,83,75.0,,0.75,62.25
2017-01-27,82,75.0,,0.75,61.5
2017-01-28,64,75.0,,0.75,48.0
2017-01-29,64,75.0,,0.75,48.0
2017-01-30,94,75.0,,0.75,70.5
2017-01-31,89,75.0,,0.75,66.75
2017-02-01,86,77.0,False,0.77,66.22
2017-02-02,87,77.0,,0.77,66.99
2017-02-03,85,77.0,,0.77,65.45
2017-02-04,72,77.0,,0.77,55.44
2017-02-05,67,77.0,,0.77,51.59
2017-02-06,77,77.0,,0.77,59.29
2017-02-07,82,77.0,,0.77,63.14
2017-02-08,79,77.0,,0.77,60.83
2017-02-09,85,77.0,,0.77,65.45
2017-02-10,84,77.0,,0.77,64.68
2017-02-11,72,77.0,,0.77,55.44
2017-02-12,62,77.0,,0.77,47.74
2017-02-13,75,77.0,,0.77,57.75
2017-02-14,95,77.0,,0.77,73.15
2017-02-15,97,77.0,,0.77,74.69
2017-02-16,92,77.0,,0.77,70.84
2017-02-17,88,77.0,,0.77,67.76
2017-02-18,85,77.0,,0.77,65.45
2017-02-19,79,77.0,,0.77,60.83
2017-02-20,81,77.0,,0.77,62.370000000000005
2017-02-21,100,77.0,,0.77,77.0
2017-02-22,95,77.0,,0.77,73.15
2017-02-23,97,77.0,,0.77,74.69
2017-02-24,83,77.0,,0.77,63.910000000000004
2017-02-25,80,77.0,,0.77,61.6
2017-02-26,79,77.0,,0.77,60.83
2017-02-27,88,77.0,,0.77,67.76
2017-02-28,87,77.0,,0.77,66.99
2017-03-01,73,83.0,False,0.83,60.589999999999996
2017-03-02,84,83.0,,0.83,69.72
2017-03-03,71,83.0,,0.83,58.93
2017-03-04,63,83.0,,0.83,52.29
2017-03-05,57,83.0,,0.83,47.309999999999995
2017-03-06,77,83.0,,0.83,63.91
2017-03-07,73,83.0,,0.83,60.589999999999996
2017-03-08,96,83.0,,0.83,79.67999999999999
2017-03-09,72,83.0,,0.83,59.76
2017-03-10,68,83.0,,0.83,56.44
2017-03-11,63,83.0,,0.83,52.29
2017-03-12,57,83.0,,0.83,47.309999999999995
2017-03-13,75,83.0,,0.83,62.25
2017-03-14,100,83.0,,0.83,83.0
2017-03-15,71,83.0,,0.83,58.93
2017-03-16,77,83.0,,0.83,63.91
2017-03-17,70,83.0,,0.83,58.099999999999994
2017-03-18,61,83.0,,0.83,50.629999999999995
2017-03-19,55,83.0,,0.83,45.65
2017-03-20,64,83.0,,0.83,53.12
2017-03-21,70,83.0,,0.83,58.099999999999994
2017-03-22,70,83.0,,0.83,58.099999999999994
2017-03-23,66,83.0,,0.83,54.779999999999994
2017-03-24,72,83.0,,0.83,59.76
2017-03-25,61,83.0,,0.83,50.629999999999995
2017-03-26,59,83.0,,0.83,48.97
2017-03-27,68,83.0,,0.83,56.44
2017-03-28,67,83.0,,0.83,55.61
2017-03-29,64,83.0,,0.83,53.12
2017-03-30,70,83.0,,0.83,58.099999999999994
2017-03-31,66,83.0,,0.83,54.779999999999994
2017-04-01,76,72.0,False,0.72,54.72
2017-04-02,84,72.0,,0.72,60.48
2017-04-03,89,72.0,,0.72,64.08
2017-04-04,96,72.0,,0.72,69.12
2017-04-05,94,72.0,,0.72,67.67999999999999
2017-04-06,92,72.0,,0.72,66.24
2017-04-07,100,72.0,,0.72,72.0
2017-04-08,73,72.0,,0.72,52.559999999999995
2017-04-09,74,72.0,,0.72,53.28
2017-04-10,94,72.0,,0.72,67.67999999999999
2017-04-11,81,72.0,,0.72,58.32
2017-04-12,82,72.0,,0.72,59.04
2017-04-13,84,72.0,,0.72,60.48
2017-04-14,76,72.0,,0.72,54.72
2017-04-15,75,72.0,,0.72,54.0
2017-04-16,82,72.0,,0.72,59.04
2017-04-17,81,72.0,,0.72,58.32
2017-04-18,86,72.0,,0.72,61.919999999999995
2017-04-19,86,72.0,,0.72,61.919999999999995
2017-04-20,88,72.0,,0.72,63.36
2017-04-21,98,72.0,,0.72,70.56
2017-04-22,78,72.0,,0.72,56.16
2017-04-23,73,72.0,,0.72,52.559999999999995
2017-04-24,93,72.0,,0.72,66.96
2017-04-25,95,72.0,,0.72,68.39999999999999
2017-04-26,87,72.0,,0.72,62.64
2017-04-27,87,72.0,,0.72,62.64
2017-04-28,83,72.0,,0.72,59.76
2017-04-29,65,72.0,,0.72,46.8
2017-04-30,77,72.0,,0.72,55.44
2017-05-01,94,73.0,False,0.73,68.62
2017-05-02,94,73.0,,0.73,68.62
2017-05-03,95,73.0,,0.73,69.35
2017-05-04,96,73.0,,0.73,70.08
2017-05-05,94,73.0,,0.73,68.62
2017-05-06,73,73.0,,0.73,53.29
2017-05-07,76,73.0,,0.73,55.48
2017-05-08,90,73.0,,0.73,65.7
2017-05-09,93,73.0,,0.73,67.89
2017-05-10,88,73.0,,0.73,64.24
2017-05-11,91,73.0,,0.73,66.42999999999999
2017-05-12,90,73.0,,0.73,65.7
2017-05-13,80,73.0,,0.73,58.4
2017-05-14,73,73.0,,0.73,53.29
2017-05-15,100,73.0,,0.73,73.0
2017-05-16,87,73.0,,0.73,63.51
2017-05-17,98,73.0,,0.73,71.53999999999999
2017-05-18,93,73.0,,0.73,67.89
2017-05-19,100,73.0,,0.73,73.0
2017-05-20,62,73.0,,0.73,45.26
2017-05-21,84,73.0,,0.73,61.32
2017-05-22,91,73.0,,0.73,66.42999999999999
2017-05-23,79,73.0,,0.73,57.67
2017-05-24,85,73.0,,0.73,62.05
2017-05-25,89,73.0,,0.73,64.97
2017-05-26,76,73.0,,0.73,55.48
2017-05-27,68,73.0,,0.73,49.64
2017-05-28,83,73.0,,0.73,60.589999999999996
2017-05-29,74,73.0,,0.73,54.019999999999996
2017-05-30,86,73.0,,0.73,62.78
2017-05-31,86,73.0,,0.73,62.78
2017-06-01,83,69.0,False,0.69,57.269999999999996
2017-06-02,95,69.0,,0.69,65.55
2017-06-03,76,69.0,,0.69,52.44
2017-06-04,77,69.0,,0.69,53.129999999999995
2017-06-05,84,69.0,,0.69,57.959999999999994
2017-06-06,77,69.0,,0.69,53.129999999999995
2017-06-07,89,69.0,,0.69,61.41
2017-06-08,89,69.0,,0.69,61.41
2017-06-09,90,69.0,,0.69,62.099999999999994
2017-06-10,74,69.0,,0.69,51.059999999999995
2017-06-11,72,69.0,,0.69,49.67999999999999
2017-06-12,91,69.0,,0.69,62.78999999999999
2017-06-13,100,69.0,,0.69,69.0
2017-06-14,82,69.0,,0.69,56.58
2017-06-15,87,69.0,,0.69,60.029999999999994
2017-06-16,92,69.0,,0.69,63.48
2017-06-17,75,69.0,,0.69,51.74999999999999
2017-06-18,71,69.0,,0.69,48.989999999999995
2017-06-19,95,69.0,,0.69,65.55
2017-06-20,98,69.0,,0.69,67.61999999999999
2017-06-21,92,69.0,,0.69,63.48
2017-06-22,81,69.0,,0.69,55.88999999999999
2017-06-23,88,69.0,,0.69,60.72
2017-06-24,79,69.0,,0.69,54.51
2017-06-25,72,69.0,,0.69,49.67999999999999
2017-06-26,90,69.0,,0.69,62.099999999999994
2017-06-27,80,69.0,,0.69,55.199999999999996
2017-06-28,95,69.0,,0.69,65.55
2017-06-29,79,69.0,,0.69,54.51
2017-06-30,96,69.0,,0.69,66.24
2017-07-01,100,65.0,False,0.65,65.0
2017-07-02,71,65.0,,0.65,46.15
2017-07-03,80,65.0,,0.65,52.0
2017-07-04,69,65.0,,0.65,44.85
2017-07-05,73,65.0,,0.65,47.45
2017-07-06,73,65.0,,0.65,47.45
2017-07-07,76,65.0,,0.65,49.4
2017-07-08,69,65.0,,0.65,44.85
2017-07-09,63,65.0,,0.65,40.95
2017-07-10,72,65.0,,0.65,46.800000000000004
2017-07-11,78,65.0,,0.65,50.7
2017-07-12,67,65.0,,0.65,43.550000000000004
2017-07-13,68,65.0,,0.65,44.2
2017-07-14,68,65.0,,0.65,44.2
2017-07-15,59,65.0,,0.65,38.35
2017-07-16,65,65.0,,0.65,42.25
2017-07-17,80,65.0,,0.65,52.0
2017-07-18,76,65.0,,0.65,49.4
2017-07-19,73,65.0,,0.65,47.45
2017-07-20,69,65.0,,0.65,44.85
2017-07-21,75,65.0,,0.65,48.75
2017-07-22,68,65.0,,0.65,44.2
2017-07-23,66,65.0,,0.65,42.9
2017-07-24,64,65.0,,0.65,41.6
2017-07-25,75,65.0,,0.65,48.75
2017-07-26,66,65.0,,0.65,42.9
2017-07-27,65,65.0,,0.65,42.25
2017-07-28,67,65.0,,0.65,43.550000000000004
2017-07-29,69,65.0,,0.65,44.85
2017-07-30,67,65.0,,0.65,43.550000000000004
2017-07-31,72,65.0,,0.65,46.800000000000004
2017-08-01,90,63.0,False,0.63,56.7
2017-08-02,85,63.0,,0.63,53.55
2017-08-03,92,63.0,,0.63,57.96
2017-08-04,86,63.0,,0.63,54.18
2017-08-05,95,63.0,,0.63,59.85
2017-08-06,75,63.0,,0.63,47.25
2017-08-07,85,63.0,,0.63,53.55
2017-08-08,87,63.0,,0.63,54.81
2017-08-09,81,63.0,,0.63,51.03
2017-08-10,86,63.0,,0.63,54.18
2017-08-11,87,63.0,,0.63,54.81
2017-08-12,81,63.0,,0.63,51.03
2017-08-13,81,63.0,,0.63,51.03
2017-08-14,94,63.0,,0.63,59.22
2017-08-15,96,63.0,,0.63,60.480000000000004
2017-08-16,88,63.0,,0.63,55.44
2017-08-17,95,63.0,,0.63,59.85
2017-08-18,88,63.0,,0.63,55.44
2017-08-19,88,63.0,,0.63,55.44
2017-08-20,66,63.0,,0.63,41.58
2017-08-21,90,63.0,,0.63,56.7
2017-08-22,92,63.0,,0.63,57.96
2017-08-23,93,63.0,,0.63,58.59
2017-08-24,89,63.0,,0.63,56.07
2017-08-25,86,63.0,,0.63,54.18
2017-08-26,75,63.0,,0.63,47.25
2017-08-27,62,63.0,,0.63,39.06
2017-08-28,95,63.0,,0.63,59.85
2017-08-29,96,63.0,,0.63,60.480000000000004
2017-08-30,93,63.0,,0.63,58.59
2017-08-31,100,63.0,,0.63,63.0
2017-09-01,78,71.0,False,0.71,55.379999999999995
2017-09-02,68,71.0,,0.71,48.28
2017-09-03,82,71.0,,0.71,58.22
2017-09-04,67,71.0,,0.71,47.57
2017-09-05,83,71.0,,0.71,58.93
2017-09-06,75,71.0,,0.71,53.25
2017-09-07,79,71.0,,0.71,56.089999999999996
2017-09-08,75,71.0,,0.71,53.25
2017-09-09,71,71.0,,0.71,50.41
2017-09-10,64,71.0,,0.71,45.44
2017-09-11,78,71.0,,0.71,55.379999999999995
2017-09-12,85,71.0,,0.71,60.349999999999994
2017-09-13,76,71.0,,0.71,53.959999999999994
2017-09-14,85,71.0,,0.71,60.349999999999994
2017-09-15,84,71.0,,0.71,59.64
2017-09-16,71,71.0,,0.71,50.41
2017-09-17,70,71.0,,0.71,49.699999999999996
2017-09-18,81,71.0,,0.71,57.51
2017-09-19,85,71.0,,0.71,60.349999999999994
2017-09-20,80,71.0,,0.71,56.8
2017-09-21,79,71.0,,0.71,56.089999999999996
2017-09-22,79,71.0,,0.71,56.089999999999996
2017-09-23,77,71.0,,0.71,54.669999999999995
2017-09-24,68,71.0,,0.71,48.28
2017-09-25,100,71.0,,0.71,71.0
2017-09-26,90,71.0,,0.71,63.9
2017-09-27,81,71.0,,0.71,57.51
2017-09-28,87,71.0,,0.71,61.769999999999996
2017-09-29,79,71.0,,0.71,56.089999999999996
2017-09-30,75,71.0,,0.71,53.25
2017-10-01,67,76.0,False,0.76,50.92
2017-10-02,71,76.0,,0.76,53.96
2017-10-03,72,76.0,,0.76,54.72
2017-10-04,90,76.0,,0.76,68.4
2017-10-05,91,76.0,,0.76,69.16
2017-10-06,77,76.0,,0.76,58.52
2017-10-07,63,76.0,,0.76,47.88
2017-10-08,75,76.0,,0.76,57.0
2017-10-09,89,76.0,,0.76,67.64
2017-10-10,91,76.0,,0.76,69.16
2017-10-11,81,76.0,,0.76,61.56
2017-10-12,83,76.0,,0.76,63.08
2017-10-13,89,76.0,,0.76,67.64
2017-10-14,80,76.0,,0.76,60.8
2017-10-15,71,76.0,,0.76,53.96
2017-10-16,93,76.0,,0.76,70.68
2017-10-17,88,76.0,,0.76,66.88
2017-10-18,92,76.0,,0.76,69.92
2017-10-19,90,76.0,,0.76,68.4
2017-10-20,100,76.0,,0.76,76.0
2017-10-21,72,76.0,,0.76,54.72
2017-10-22,73,76.0,,0.76,55.480000000000004
2017-10-23,84,76.0,,0.76,63.84
2017-10-24,95,76.0,,0.76,72.2
2017-10-25,91,76.0,,0.76,69.16
2017-10-26,93,76.0,,0.76,70.68
2017-10-27,89,76.0,,0.76,67.64
2017-10-28,71,76.0,,0.76,53.96
2017-10-29,69,76.0,,0.76,52.44
2017-10-30,89,76.0,,0.76,67.64
2017-10-31,81,76.0,,0.76,61.56
2017-11-01,81,74.0,False,0.74,59.94
2017-11-02,94,74.0,,0.74,69.56
2017-11-03,88,74.0,,0.74,65.12
2017-11-04,73,74.0,,0.74,54.019999999999996
2017-11-05,70,74.0,,0.74,51.8
2017-11-06,85,74.0,,0.74,62.9
2017-11-07,83,74.0,,0.74,61.42
2017-11-08,97,74.0,,0.74,71.78
2017-11-09,86,74.0,,0.74,63.64
2017-11-10,82,74.0,,0.74,60.68
2017-11-11,70,74.0,,0.74,51.8
2017-11-12,72,74.0,,0.74,53.28
2017-11-13,93,74.0,,0.74,68.82
2017-11-14,87,74.0,,0.74,64.38
2017-11-15,92,74.0,,0.74,68.08
2017-11-16,100,74.0,,0.74,74.0
2017-11-17,82,74.0,,0.74,60.68
2017-11-18,72,74.0,,0.74,53.28
2017-11-19,71,74.0,,0.74,52.54
2017-11-20,70,74.0,,0.74,51.8
2017-11-21,84,74.0,,0.74,62.16
2017-11-22,68,74.0,,0.74,50.32
2017-11-23,58,74.0,,0.74,42.92
2017-11-24,70,74.0,,0.74,51.8
2017-11-25,64,74.0,,0.74,47.36
2017-11-26,63,74.0,,0.74,46.62
2017-11-27,77,74.0,,0.74,56.98
2017-11-28,86,74.0,,0.74,63.64
2017-11-29,88,74.0,,0.74,65.12
2017-11-30,90,74.0,,0.74,66.6
2017-12-01,94,70.0,False,0.7,65.8
2017-12-02,78,70.0,,0.7,54.599999999999994
2017-12-03,76,70.0,,0.7,53.199999999999996
2017-12-04,97,70.0,,0.7,67.89999999999999
2017-12-05,89,70.0,,0.7,62.3
2017-12-06,96,70.0,,0.7,67.19999999999999
2017-12-07,82,70.0,,0.7,57.4
2017-12-08,98,70.0,,0.7,68.6
2017-12-09,81,70.0,,0.7,56.699999999999996
2017-12-10,76,70.0,,0.7,53.199999999999996
2017-12-11,99,70.0,,0.7,69.3
2017-12-12,98,70.0,,0.7,68.6
2017-12-13,85,70.0,,0.7,59.49999999999999
2017-12-14,97,70.0,,0.7,67.89999999999999
2017-12-15,100,70.0,,0.7,70.0
2017-12-16,73,70.0,,0.7,51.099999999999994
2017-12-17,73,70.0,,0.7,51.099999999999994
2017-12-18,87,70.0,,0.7,60.9
2017-12-19,99,70.0,,0.7,69.3
2017-12-20,100,70.0,,0.7,70.0
2017-12-21,94,70.0,,0.7,65.8
2017-12-22,85,70.0,,0.7,59.49999999999999
2017-12-23,77,70.0,,0.7,53.9
2017-12-24,74,70.0,,0.7,51.8
2017-12-25,75,70.0,,0.7,52.5
2017-12-26,87,70.0,,0.7,60.9
