date,PG_unscaled,PG_monthly,isPartial,scale,PG
2016-05-01,71,69.0,False,0.69,48.989999999999995
2016-05-02,91,69.0,,0.69,62.78999999999999
2016-05-03,98,69.0,,0.69,67.61999999999999
2016-05-04,85,69.0,,0.69,58.65
2016-05-05,100,69.0,,0.69,69.0
2016-05-06,100,69.0,,0.69,69.0
2016-05-07,61,69.0,,0.69,42.089999999999996
2016-05-08,68,69.0,,0.69,46.919999999999995
2016-05-09,89,69.0,,0.69,61.41
2016-05-10,94,69.0,,0.69,64.86
2016-05-11,93,69.0,,0.69,64.17
2016-05-12,81,69.0,,0.69,55.88999999999999
2016-05-13,87,69.0,,0.69,60.029999999999994
2016-05-14,77,69.0,,0.69,53.129999999999995
2016-05-15,68,69.0,,0.69,46.919999999999995
2016-05-16,91,69.0,,0.69,62.78999999999999
2016-05-17,82,69.0,,0.69,56.58
2016-05-18,89,69.0,,0.69,61.41
2016-05-19,83,69.0,,0.69,57.269999999999996
2016-05-20,83,69.0,,0.69,57.269999999999996
2016-05-21,71,69.0,,0.69,48.989999999999995
2016-05-22,66,69.0,,0.69,45.54
2016-05-23,85,69.0,,0.69,58.65
2016-05-24,77,69.0,,0.69,53.129999999999995
2016-05-25,78,69.0,,0.69,53.81999999999999
2016-05-26,74,69.0,,0.69,51.059999999999995
2016-05-27,82,69.0,,0.69,56.58
2016-05-28,65,69.0,,0.69,44.849999999999994
2016-05-29,68,69.0,,0.69,46.919999999999995
2016-05-30,75,69.0,,0.69,51.74999999999999
2016-05-31,87,69.0,,0.69,60.029999999999994
2016-06-01,74,62.0,False,0.62,45.88
2016-06-02,93,62.0,,0.62,57.66
2016-06-03,85,62.0,,0.62,52.7
2016-06-04,77,62.0,,0.62,47.74
2016-06-05,70,62.0,,0.62,43.4
2016-06-06,99,62.0,,0.62,61.38
2016-06-07,83,62.0,,0.62,51.46
2016-06-08,76,62.0,,0.62,47.12
2016-06-09,83,62.0,,0.62,51.46
2016-06-10,86,62.0,,0.62,53.32
2016-06-11,72,62.0,,0.62,44.64
2016-06-12,73,62.0,,0.62,45.26
2016-06-13,73,62.0,,0.62,45.26
2016-06-14,75,62.0,,0.62,46.5
2016-06-15,76,62.0,,0.62,47.12
2016-06-16,82,62.0,,0.62,50.839999999999996
