date,SITC_unscaled,SITC_monthly,isPartial,scale,SITC
2016-05-01,0,18.0,False,0.18,0.0
2016-05-02,0,18.0,,0.18,0.0
2016-05-03,19,18.0,,0.18,3.42
2016-05-04,19,18.0,,0.18,3.42
2016-05-05,20,18.0,,0.18,3.5999999999999996
2016-05-06,0,18.0,,0.18,0.0
2016-05-07,0,18.0,,0.18,0.0
2016-05-08,0,18.0,,0.18,0.0
2016-05-09,20,18.0,,0.18,3.5999999999999996
2016-05-10,19,18.0,,0.18,3.42
2016-05-11,39,18.0,,0.18,7.02
2016-05-12,0,18.0,,0.18,0.0
2016-05-13,21,18.0,,0.18,3.78
2016-05-14,0,18.0,,0.18,0.0
2016-05-15,24,18.0,,0.18,4.32
2016-05-16,0,18.0,,0.18,0.0
2016-05-17,19,18.0,,0.18,3.42
2016-05-18,0,18.0,,0.18,0.0
2016-05-19,100,18.0,,0.18,18.0
2016-05-20,21,18.0,,0.18,3.78
2016-05-21,0,18.0,,0.18,0.0
2016-05-22,0,18.0,,0.18,0.0
2016-05-23,0,18.0,,0.18,0.0
2016-05-24,40,18.0,,0.18,7.199999999999999
2016-05-25,20,18.0,,0.18,3.5999999999999996
2016-05-26,21,18.0,,0.18,3.78
2016-05-27,86,18.0,,0.18,15.479999999999999
2016-05-28,50,18.0,,0.18,9.0
2016-05-29,51,18.0,,0.18,9.18
2016-05-30,0,18.0,,0.18,0.0
2016-05-31,0,18.0,,0.18,0.0
2016-06-01,100,15.0,False,0.15,15.0
2016-06-02,33,15.0,,0.15,4.95
2016-06-03,34,15.0,,0.15,5.1
2016-06-04,78,15.0,,0.15,11.7
2016-06-05,0,15.0,,0.15,0.0
2016-06-06,0,15.0,,0.15,0.0
2016-06-07,0,15.0,,0.15,0.0
2016-06-08,33,15.0,,0.15,4.95
2016-06-09,34,15.0,,0.15,5.1
2016-06-10,0,15.0,,0.15,0.0
2016-06-11,79,15.0,,0.15,11.85
2016-06-12,0,15.0,,0.15,0.0
2016-06-13,67,15.0,,0.15,10.049999999999999
2016-06-14,66,15.0,,0.15,9.9
2016-06-15,34,15.0,,0.15,5.1
2016-06-16,34,15.0,,0.15,5.1
2016-06-17,70,15.0,,0.15,10.5
2016-06-18,41,15.0,,0.15,6.1499999999999995
2016-06-19,0,15.0,,0.15,0.0
2016-06-20,34,15.0,,0.15,5.1
2016-06-21,0,15.0,,0.15,0.0
2016-06-22,0,15.0,,0.15,0.0
2016-06-23,34,15.0,,0.15,5.1
2016-06-24,35,15.0,,0.15,5.25
2016-06-25,0,15.0,,0.15,0.0
2016-06-26,0,15.0,,0.15,0.0
2016-06-27,34,15.0,,0.15,5.1
2016-06-28,34,15.0,,0.15,5.1
2016-06-29,69,15.0,,0.15,10.35
2016-06-30,35,15.0,,0.15,5.25
2016-07-01,21,22.0,False,0.22,4.62
2016-07-02,0,22.0,,0.22,0.0
2016-07-03,0,22.0,,0.22,0.0
2016-07-04,0,22.0,,0.22,0.0
2016-07-05,0,22.0,,0.22,0.0
2016-07-06,61,22.0,,0.22,13.42
2016-07-07,0,22.0,,0.22,0.0
2016-07-08,21,22.0,,0.22,4.62
2016-07-09,0,22.0,,0.22,0.0
2016-07-10,0,22.0,,0.22,0.0
2016-07-11,81,22.0,,0.22,17.82
2016-07-12,20,22.0,,0.22,4.4
2016-07-13,0,22.0,,0.22,0.0
2016-07-14,79,22.0,,0.22,17.38
2016-07-15,0,22.0,,0.22,0.0
2016-07-16,48,22.0,,0.22,10.56
2016-07-17,24,22.0,,0.22,5.28
2016-07-18,21,22.0,,0.22,4.62
2016-07-19,20,22.0,,0.22,4.4
2016-07-20,21,22.0,,0.22,4.62
2016-07-21,21,22.0,,0.22,4.62
2016-07-22,0,22.0,,0.22,0.0
2016-07-23,24,22.0,,0.22,5.28
2016-07-24,0,22.0,,0.22,0.0
2016-07-25,20,22.0,,0.22,4.4
2016-07-26,40,22.0,,0.22,8.8
