date,MVP_unscaled,MVP_monthly,isPartial,scale,MVP
2016-05-01,22,63.0,False,0.63,13.86
2016-05-02,20,63.0,,0.63,12.6
2016-05-03,25,63.0,,0.63,15.75
2016-05-04,24,63.0,,0.63,15.120000000000001
2016-05-05,21,63.0,,0.63,13.23
2016-05-06,19,63.0,,0.63,11.97
2016-05-07,19,63.0,,0.63,11.97
2016-05-08,28,63.0,,0.63,17.64
2016-05-09,48,63.0,,0.63,30.240000000000002
2016-05-10,100,63.0,,0.63,63.0
2016-05-11,84,63.0,,0.63,52.92
2016-05-12,62,63.0,,0.63,39.06
2016-05-13,39,63.0,,0.63,24.57
2016-05-14,43,63.0,,0.63,27.09
2016-05-15,30,63.0,,0.63,18.9
2016-05-16,25,63.0,,0.63,15.75
2016-05-17,25,63.0,,0.63,15.75
2016-05-18,19,63.0,,0.63,11.97
2016-05-19,23,63.0,,0.63,14.49
2016-05-20,20,63.0,,0.63,12.6
2016-05-21,19,63.0,,0.63,11.97
2016-05-22,18,63.0,,0.63,11.34
2016-05-23,18,63.0,,0.63,11.34
2016-05-24,19,63.0,,0.63,11.97
2016-05-25,21,63.0,,0.63,13.23
2016-05-26,16,63.0,,0.63,10.08
2016-05-27,22,63.0,,0.63,13.86
2016-05-28,18,63.0,,0.63,11.34
2016-05-29,21,63.0,,0.63,13.23
2016-05-30,17,63.0,,0.63,10.71
2016-05-31,29,63.0,,0.63,18.27
2016-06-01,16,52.0,False,0.52,8.32
2016-06-02,15,52.0,,0.52,7.800000000000001
2016-06-03,20,52.0,,0.52,10.4
2016-06-04,12,52.0,,0.52,6.24
2016-06-05,14,52.0,,0.52,7.28
2016-06-06,17,52.0,,0.52,8.84
2016-06-07,16,52.0,,0.52,8.32
2016-06-08,14,52.0,,0.52,7.28
2016-06-09,17,52.0,,0.52,8.84
2016-06-10,14,52.0,,0.52,7.28
2016-06-11,19,52.0,,0.52,9.88
2016-06-12,15,52.0,,0.52,7.800000000000001
2016-06-13,16,52.0,,0.52,8.32
