date,AKA_unscaled,AKA_monthly,isPartial,scale,AKA
2016-05-01,96,74.0,False,0.74,71.03999999999999
2016-05-02,77,74.0,,0.74,56.98
2016-05-03,84,74.0,,0.74,62.16
2016-05-04,91,74.0,,0.74,67.34
2016-05-05,99,74.0,,0.74,73.26
2016-05-06,91,74.0,,0.74,67.34
2016-05-07,81,74.0,,0.74,59.94
2016-05-08,89,74.0,,0.74,65.86
2016-05-09,84,74.0,,0.74,62.16
2016-05-10,82,74.0,,0.74,60.68
2016-05-11,80,74.0,,0.74,59.2
2016-05-12,73,74.0,,0.74,54.019999999999996
2016-05-13,88,74.0,,0.74,65.12
2016-05-14,86,74.0,,0.74,63.64
2016-05-15,84,74.0,,0.74,62.16
2016-05-16,82,74.0,,0.74,60.68
2016-05-17,85,74.0,,0.74,62.9
2016-05-18,71,74.0,,0.74,52.54
2016-05-19,93,74.0,,0.74,68.82
2016-05-20,80,74.0,,0.74,59.2
2016-05-21,77,74.0,,0.74,56.98
2016-05-22,75,74.0,,0.74,55.5
2016-05-23,84,74.0,,0.74,62.16
2016-05-24,81,74.0,,0.74,59.94
2016-05-25,100,74.0,,0.74,74.0
2016-05-26,84,74.0,,0.74,62.16
2016-05-27,88,74.0,,0.74,65.12
2016-05-28,64,74.0,,0.74,47.36
2016-05-29,86,74.0,,0.74,63.64
2016-05-30,70,74.0,,0.74,51.8
2016-05-31,83,74.0,,0.74,61.42
2016-06-01,95,69.0,False,0.69,65.55
2016-06-02,88,69.0,,0.69,60.72
2016-06-03,71,69.0,,0.69,48.989999999999995
2016-06-04,80,69.0,,0.69,55.199999999999996
2016-06-05,71,69.0,,0.69,48.989999999999995
2016-06-06,100,69.0,,0.69,69.0
2016-06-07,86,69.0,,0.69,59.339999999999996
2016-06-08,73,69.0,,0.69,50.37
2016-06-09,80,69.0,,0.69,55.199999999999996
2016-06-10,68,69.0,,0.69,46.919999999999995
2016-06-11,61,69.0,,0.69,42.089999999999996
2016-06-12,74,69.0,,0.69,51.059999999999995
2016-06-13,67,69.0,,0.69,46.23
2016-06-14,72,69.0,,0.69,49.67999999999999
2016-06-15,72,69.0,,0.69,49.67999999999999
2016-06-16,84,69.0,,0.69,57.959999999999994
2016-06-17,70,69.0,,0.69,48.3
2016-06-18,83,69.0,,0.69,57.269999999999996
2016-06-19,60,69.0,,0.69,41.4
2016-06-20,81,69.0,,0.69,55.88999999999999
2016-06-21,78,69.0,,0.69,53.81999999999999
2016-06-22,85,69.0,,0.69,58.65
2016-06-23,60,69.0,,0.69,41.4
2016-06-24,77,69.0,,0.69,53.129999999999995
2016-06-25,83,69.0,,0.69,57.269999999999996
2016-06-26,79,69.0,,0.69,54.51
2016-06-27,79,69.0,,0.69,54.51
2016-06-28,83,69.0,,0.69,57.269999999999996
2016-06-29,79,69.0,,0.69,54.51
2016-06-30,71,69.0,,0.69,48.989999999999995
2016-07-01,59,75.0,False,0.75,44.25
2016-07-02,58,75.0,,0.75,43.5
2016-07-03,50,75.0,,0.75,37.5
2016-07-04,75,75.0,,0.75,56.25
2016-07-05,66,75.0,,0.75,49.5
2016-07-06,67,75.0,,0.75,50.25
2016-07-07,63,75.0,,0.75,47.25
2016-07-08,77,75.0,,0.75,57.75
2016-07-09,81,75.0,,0.75,60.75
2016-07-10,100,75.0,,0.75,75.0
2016-07-11,77,75.0,,0.75,57.75
2016-07-12,83,75.0,,0.75,62.25
2016-07-13,84,75.0,,0.75,63.0
2016-07-14,81,75.0,,0.75,60.75
2016-07-15,83,75.0,,0.75,62.25
2016-07-16,63,75.0,,0.75,47.25
2016-07-17,62,75.0,,0.75,46.5
2016-07-18,68,75.0,,0.75,51.0
2016-07-19,55,75.0,,0.75,41.25
2016-07-20,59,75.0,,0.75,44.25
2016-07-21,68,75.0,,0.75,51.0
2016-07-22,66,75.0,,0.75,49.5
2016-07-23,76,75.0,,0.75,57.0
2016-07-24,70,75.0,,0.75,52.5
2016-07-25,70,75.0,,0.75,52.5
2016-07-26,74,75.0,,0.75,55.5
2016-07-27,70,75.0,,0.75,52.5
2016-07-28,58,75.0,,0.75,43.5
2016-07-29,59,75.0,,0.75,44.25
2016-07-30,67,75.0,,0.75,50.25
2016-07-31,58,75.0,,0.75,43.5
2016-08-01,70,65.0,False,0.65,45.5
2016-08-02,81,65.0,,0.65,52.65
2016-08-03,72,65.0,,0.65,46.800000000000004
2016-08-04,78,65.0,,0.65,50.7
2016-08-05,86,65.0,,0.65,55.9
2016-08-06,96,65.0,,0.65,62.400000000000006
2016-08-07,100,65.0,,0.65,65.0
2016-08-08,75,65.0,,0.65,48.75
2016-08-09,89,65.0,,0.65,57.85
2016-08-10,67,65.0,,0.65,43.550000000000004
2016-08-11,75,65.0,,0.65,48.75
2016-08-12,83,65.0,,0.65,53.95
2016-08-13,83,65.0,,0.65,53.95
2016-08-14,71,65.0,,0.65,46.15
2016-08-15,68,65.0,,0.65,44.2
2016-08-16,86,65.0,,0.65,55.9
2016-08-17,66,65.0,,0.65,42.9
2016-08-18,70,65.0,,0.65,45.5
2016-08-19,71,65.0,,0.65,46.15
2016-08-20,76,65.0,,0.65,49.4
2016-08-21,64,65.0,,0.65,41.6
2016-08-22,66,65.0,,0.65,42.9
2016-08-23,71,65.0,,0.65,46.15
