date,LMT_unscaled,LMT_monthly,isPartial,scale,LMT
2016-05-01,56,70.0,False,0.7,39.199999999999996
2016-05-02,71,70.0,,0.7,49.699999999999996
2016-05-03,89,70.0,,0.7,62.3
2016-05-04,81,70.0,,0.7,56.699999999999996
2016-05-05,73,70.0,,0.7,51.099999999999994
2016-05-06,86,70.0,,0.7,60.199999999999996
2016-05-07,63,70.0,,0.7,44.099999999999994
2016-05-08,64,70.0,,0.7,44.8
2016-05-09,82,70.0,,0.7,57.4
2016-05-10,87,70.0,,0.7,60.9
2016-05-11,87,70.0,,0.7,60.9
2016-05-12,86,70.0,,0.7,60.199999999999996
2016-05-13,84,70.0,,0.7,58.8
2016-05-14,66,70.0,,0.7,46.199999999999996
2016-05-15,44,70.0,,0.7,30.799999999999997
2016-05-16,79,70.0,,0.7,55.3
2016-05-17,86,70.0,,0.7,60.199999999999996
2016-05-18,61,70.0,,0.7,42.699999999999996
2016-05-19,64,70.0,,0.7,44.8
2016-05-20,67,70.0,,0.7,46.9
2016-05-21,61,70.0,,0.7,42.699999999999996
2016-05-22,41,70.0,,0.7,28.7
2016-05-23,95,70.0,,0.7,66.5
2016-05-24,75,70.0,,0.7,52.5
2016-05-25,90,70.0,,0.7,62.99999999999999
2016-05-26,100,70.0,,0.7,70.0
2016-05-27,73,70.0,,0.7,51.099999999999994
2016-05-28,59,70.0,,0.7,41.3
2016-05-29,60,70.0,,0.7,42.0
2016-05-30,38,70.0,,0.7,26.599999999999998
2016-05-31,73,70.0,,0.7,51.099999999999994
2016-06-01,71,71.0,False,0.71,50.41
2016-06-02,57,71.0,,0.71,40.47
2016-06-03,62,71.0,,0.71,44.019999999999996
2016-06-04,36,71.0,,0.71,25.56
2016-06-05,48,71.0,,0.71,34.08
2016-06-06,51,71.0,,0.71,36.21
2016-06-07,53,71.0,,0.71,37.629999999999995
2016-06-08,66,71.0,,0.71,46.86
2016-06-09,65,71.0,,0.71,46.15
2016-06-10,49,71.0,,0.71,34.79
2016-06-11,43,71.0,,0.71,30.529999999999998
2016-06-12,39,71.0,,0.71,27.689999999999998
2016-06-13,71,71.0,,0.71,50.41
2016-06-14,75,71.0,,0.71,53.25
2016-06-15,87,71.0,,0.71,61.769999999999996
2016-06-16,63,71.0,,0.71,44.73
2016-06-17,61,71.0,,0.71,43.309999999999995
2016-06-18,49,71.0,,0.71,34.79
2016-06-19,53,71.0,,0.71,37.629999999999995
2016-06-20,65,71.0,,0.71,46.15
2016-06-21,91,71.0,,0.71,64.61
2016-06-22,60,71.0,,0.71,42.599999999999994
2016-06-23,70,71.0,,0.71,49.699999999999996
2016-06-24,100,71.0,,0.71,71.0
2016-06-25,63,71.0,,0.71,44.73
2016-06-26,68,71.0,,0.71,48.28
2016-06-27,73,71.0,,0.71,51.83
2016-06-28,98,71.0,,0.71,69.58
2016-06-29,90,71.0,,0.71,63.9
2016-06-30,90,71.0,,0.71,63.9
2016-07-01,55,86.0,False,0.86,47.3
2016-07-02,50,86.0,,0.86,43.0
2016-07-03,24,86.0,,0.86,20.64
2016-07-04,30,86.0,,0.86,25.8
2016-07-05,46,86.0,,0.86,39.56
2016-07-06,61,86.0,,0.86,52.46
2016-07-07,53,86.0,,0.86,45.58
2016-07-08,69,86.0,,0.86,59.339999999999996
2016-07-09,43,86.0,,0.86,36.98
2016-07-10,47,86.0,,0.86,40.42
2016-07-11,90,86.0,,0.86,77.4
2016-07-12,79,86.0,,0.86,67.94
2016-07-13,73,86.0,,0.86,62.78
2016-07-14,64,86.0,,0.86,55.04
2016-07-15,52,86.0,,0.86,44.72
2016-07-16,52,86.0,,0.86,44.72
2016-07-17,47,86.0,,0.86,40.42
2016-07-18,61,86.0,,0.86,52.46
2016-07-19,100,86.0,,0.86,86.0
2016-07-20,68,86.0,,0.86,58.48
2016-07-21,65,86.0,,0.86,55.9
2016-07-22,81,86.0,,0.86,69.66
2016-07-23,52,86.0,,0.86,44.72
2016-07-24,36,86.0,,0.86,30.96
2016-07-25,67,86.0,,0.86,57.62
2016-07-26,63,86.0,,0.86,54.18
2016-07-27,70,86.0,,0.86,60.199999999999996
2016-07-28,60,86.0,,0.86,51.6
2016-07-29,67,86.0,,0.86,57.62
2016-07-30,36,86.0,,0.86,30.96
2016-07-31,41,86.0,,0.86,35.26
2016-08-01,56,88.0,False,0.88,49.28
2016-08-02,74,88.0,,0.88,65.12
2016-08-03,74,88.0,,0.88,65.12
2016-08-04,67,88.0,,0.88,58.96
2016-08-05,55,88.0,,0.88,48.4
2016-08-06,58,88.0,,0.88,51.04
2016-08-07,30,88.0,,0.88,26.4
2016-08-08,61,88.0,,0.88,53.68
2016-08-09,83,88.0,,0.88,73.04
2016-08-10,88,88.0,,0.88,77.44
2016-08-11,68,88.0,,0.88,59.84
2016-08-12,85,88.0,,0.88,74.8
2016-08-13,39,88.0,,0.88,34.32
2016-08-14,33,88.0,,0.88,29.04
2016-08-15,74,88.0,,0.88,65.12
2016-08-16,99,88.0,,0.88,87.12
2016-08-17,85,88.0,,0.88,74.8
2016-08-18,68,88.0,,0.88,59.84
2016-08-19,51,88.0,,0.88,44.88
2016-08-20,17,88.0,,0.88,14.96
2016-08-21,27,88.0,,0.88,23.76
2016-08-22,66,88.0,,0.88,58.08
2016-08-23,81,88.0,,0.88,71.28
2016-08-24,100,88.0,,0.88,88.0
2016-08-25,66,88.0,,0.88,58.08
2016-08-26,51,88.0,,0.88,44.88
2016-08-27,33,88.0,,0.88,29.04
2016-08-28,20,88.0,,0.88,17.6
2016-08-29,73,88.0,,0.88,64.24
2016-08-30,66,88.0,,0.88,58.08
2016-08-31,67,88.0,,0.88,58.96
2016-09-01,100,75.0,False,0.75,75.0
2016-09-02,75,75.0,,0.75,56.25
2016-09-03,58,75.0,,0.75,43.5
2016-09-04,48,75.0,,0.75,36.0
2016-09-05,46,75.0,,0.75,34.5
2016-09-06,65,75.0,,0.75,48.75
2016-09-07,74,75.0,,0.75,55.5
2016-09-08,60,75.0,,0.75,45.0
