date,BABA_unscaled,BABA_monthly,isPartial,scale,BABA
2016-05-01,68,60.0,False,0.6,40.8
2016-05-02,70,60.0,,0.6,42.0
2016-05-03,71,60.0,,0.6,42.6
2016-05-04,80,60.0,,0.6,48.0
2016-05-05,95,60.0,,0.6,57.0
2016-05-06,76,60.0,,0.6,45.6
2016-05-07,62,60.0,,0.6,37.199999999999996
2016-05-08,71,60.0,,0.6,42.6
2016-05-09,63,60.0,,0.6,37.8
2016-05-10,64,60.0,,0.6,38.4
2016-05-11,73,60.0,,0.6,43.8
2016-05-12,90,60.0,,0.6,54.0
2016-05-13,94,60.0,,0.6,56.4
2016-05-14,100,60.0,,0.6,60.0
2016-05-15,82,60.0,,0.6,49.199999999999996
2016-05-16,81,60.0,,0.6,48.6
2016-05-17,65,60.0,,0.6,39.0
2016-05-18,78,60.0,,0.6,46.8
2016-05-19,78,60.0,,0.6,46.8
2016-05-20,73,60.0,,0.6,43.8
2016-05-21,58,60.0,,0.6,34.8
2016-05-22,68,60.0,,0.6,40.8
2016-05-23,73,60.0,,0.6,43.8
2016-05-24,63,60.0,,0.6,37.8
2016-05-25,96,60.0,,0.6,57.599999999999994
2016-05-26,85,60.0,,0.6,51.0
2016-05-27,75,60.0,,0.6,45.0
2016-05-28,65,60.0,,0.6,39.0
2016-05-29,70,60.0,,0.6,42.0
2016-05-30,69,60.0,,0.6,41.4
2016-05-31,76,60.0,,0.6,45.6
2016-06-01,100,54.0,False,0.54,54.0
2016-06-02,87,54.0,,0.54,46.980000000000004
2016-06-03,81,54.0,,0.54,43.74
2016-06-04,68,54.0,,0.54,36.72
2016-06-05,72,54.0,,0.54,38.88
2016-06-06,73,54.0,,0.54,39.42
2016-06-07,72,54.0,,0.54,38.88
2016-06-08,75,54.0,,0.54,40.5
2016-06-09,85,54.0,,0.54,45.900000000000006
2016-06-10,77,54.0,,0.54,41.580000000000005
2016-06-11,70,54.0,,0.54,37.800000000000004
2016-06-12,74,54.0,,0.54,39.96
2016-06-13,75,54.0,,0.54,40.5
2016-06-14,71,54.0,,0.54,38.34
2016-06-15,84,54.0,,0.54,45.36
2016-06-16,87,54.0,,0.54,46.980000000000004
2016-06-17,76,54.0,,0.54,41.040000000000006
2016-06-18,81,54.0,,0.54,43.74
2016-06-19,85,54.0,,0.54,45.900000000000006
2016-06-20,85,54.0,,0.54,45.900000000000006
2016-06-21,76,54.0,,0.54,41.040000000000006
2016-06-22,66,54.0,,0.54,35.64
2016-06-23,83,54.0,,0.54,44.82
2016-06-24,90,54.0,,0.54,48.6
2016-06-25,71,54.0,,0.54,38.34
2016-06-26,76,54.0,,0.54,41.040000000000006
2016-06-27,74,54.0,,0.54,39.96
2016-06-28,86,54.0,,0.54,46.440000000000005
2016-06-29,82,54.0,,0.54,44.28
2016-06-30,82,54.0,,0.54,44.28
2016-07-01,69,60.0,False,0.6,41.4
2016-07-02,94,60.0,,0.6,56.4
2016-07-03,65,60.0,,0.6,39.0
2016-07-04,68,60.0,,0.6,40.8
2016-07-05,65,60.0,,0.6,39.0
2016-07-06,52,60.0,,0.6,31.2
2016-07-07,67,60.0,,0.6,40.199999999999996
2016-07-08,74,60.0,,0.6,44.4
2016-07-09,64,60.0,,0.6,38.4
2016-07-10,62,60.0,,0.6,37.199999999999996
2016-07-11,69,60.0,,0.6,41.4
2016-07-12,71,60.0,,0.6,42.6
2016-07-13,72,60.0,,0.6,43.199999999999996
2016-07-14,74,60.0,,0.6,44.4
2016-07-15,78,60.0,,0.6,46.8
2016-07-16,70,60.0,,0.6,42.0
2016-07-17,72,60.0,,0.6,43.199999999999996
2016-07-18,83,60.0,,0.6,49.8
2016-07-19,95,60.0,,0.6,57.0
2016-07-20,86,60.0,,0.6,51.6
2016-07-21,82,60.0,,0.6,49.199999999999996
2016-07-22,75,60.0,,0.6,45.0
2016-07-23,65,60.0,,0.6,39.0
2016-07-24,72,60.0,,0.6,43.199999999999996
2016-07-25,68,60.0,,0.6,40.8
2016-07-26,100,60.0,,0.6,60.0
2016-07-27,84,60.0,,0.6,50.4
2016-07-28,93,60.0,,0.6,55.8
2016-07-29,79,60.0,,0.6,47.4
2016-07-30,64,60.0,,0.6,38.4
2016-07-31,71,60.0,,0.6,42.6
2016-08-01,54,60.0,False,0.6,32.4
2016-08-02,54,60.0,,0.6,32.4
2016-08-03,49,60.0,,0.6,29.4
2016-08-04,53,60.0,,0.6,31.799999999999997
2016-08-05,56,60.0,,0.6,33.6
2016-08-06,54,60.0,,0.6,32.4
2016-08-07,45,60.0,,0.6,27.0
2016-08-08,55,60.0,,0.6,33.0
2016-08-09,68,60.0,,0.6,40.8
2016-08-10,63,60.0,,0.6,37.8
2016-08-11,100,60.0,,0.6,60.0
2016-08-12,84,60.0,,0.6,50.4
2016-08-13,59,60.0,,0.6,35.4
2016-08-14,55,60.0,,0.6,33.0
2016-08-15,63,60.0,,0.6,37.8
2016-08-16,55,60.0,,0.6,33.0
2016-08-17,77,60.0,,0.6,46.199999999999996
2016-08-18,67,60.0,,0.6,40.199999999999996
2016-08-19,50,60.0,,0.6,30.0
2016-08-20,49,60.0,,0.6,29.4
2016-08-21,50,60.0,,0.6,30.0
2016-08-22,54,60.0,,0.6,32.4
2016-08-23,55,60.0,,0.6,33.0
2016-08-24,53,60.0,,0.6,31.799999999999997
2016-08-25,66,60.0,,0.6,39.6
