date,UI_unscaled,UI_monthly,isPartial,scale,UI
2016-05-01,60,20.0,False,0.2,12.0
2016-05-02,95,20.0,,0.2,19.0
2016-05-03,90,20.0,,0.2,18.0
2016-05-04,85,20.0,,0.2,17.0
2016-05-05,97,20.0,,0.2,19.400000000000002
2016-05-06,78,20.0,,0.2,15.600000000000001
2016-05-07,54,20.0,,0.2,10.8
2016-05-08,53,20.0,,0.2,10.600000000000001
2016-05-09,92,20.0,,0.2,18.400000000000002
2016-05-10,100,20.0,,0.2,20.0
2016-05-11,93,20.0,,0.2,18.6
2016-05-12,89,20.0,,0.2,17.8
2016-05-13,86,20.0,,0.2,17.2
2016-05-14,52,20.0,,0.2,10.4
2016-05-15,54,20.0,,0.2,10.8
2016-05-16,93,20.0,,0.2,18.6
2016-05-17,95,20.0,,0.2,19.0
2016-05-18,96,20.0,,0.2,19.200000000000003
2016-05-19,88,20.0,,0.2,17.6
2016-05-20,78,20.0,,0.2,15.600000000000001
2016-05-21,47,20.0,,0.2,9.4
2016-05-22,73,20.0,,0.2,14.600000000000001
2016-05-23,97,20.0,,0.2,19.400000000000002
2016-05-24,92,20.0,,0.2,18.400000000000002
2016-05-25,96,20.0,,0.2,19.200000000000003
2016-05-26,90,20.0,,0.2,18.0
2016-05-27,86,20.0,,0.2,17.2
2016-05-28,46,20.0,,0.2,9.200000000000001
2016-05-29,59,20.0,,0.2,11.8
2016-05-30,54,20.0,,0.2,10.8
2016-05-31,95,20.0,,0.2,19.0
2016-06-01,72,20.0,False,0.2,14.4
2016-06-02,81,20.0,,0.2,16.2
2016-06-03,67,20.0,,0.2,13.4
2016-06-04,35,20.0,,0.2,7.0
2016-06-05,57,20.0,,0.2,11.4
2016-06-06,88,20.0,,0.2,17.6
2016-06-07,87,20.0,,0.2,17.400000000000002
2016-06-08,70,20.0,,0.2,14.0
2016-06-09,78,20.0,,0.2,15.600000000000001
2016-06-10,72,20.0,,0.2,14.4
2016-06-11,36,20.0,,0.2,7.2
2016-06-12,53,20.0,,0.2,10.600000000000001
2016-06-13,80,20.0,,0.2,16.0
2016-06-14,79,20.0,,0.2,15.8
2016-06-15,82,20.0,,0.2,16.400000000000002
2016-06-16,74,20.0,,0.2,14.8
2016-06-17,76,20.0,,0.2,15.200000000000001
2016-06-18,39,20.0,,0.2,7.800000000000001
2016-06-19,62,20.0,,0.2,12.4
2016-06-20,100,20.0,,0.2,20.0
2016-06-21,79,20.0,,0.2,15.8
2016-06-22,87,20.0,,0.2,17.400000000000002
2016-06-23,75,20.0,,0.2,15.0
2016-06-24,65,20.0,,0.2,13.0
2016-06-25,40,20.0,,0.2,8.0
2016-06-26,50,20.0,,0.2,10.0
2016-06-27,80,20.0,,0.2,16.0
2016-06-28,86,20.0,,0.2,17.2
2016-06-29,76,20.0,,0.2,15.200000000000001
2016-06-30,78,20.0,,0.2,15.600000000000001
2016-07-01,79,20.0,False,0.2,15.8
2016-07-02,39,20.0,,0.2,7.800000000000001
2016-07-03,55,20.0,,0.2,11.0
2016-07-04,67,20.0,,0.2,13.4
2016-07-05,82,20.0,,0.2,16.400000000000002
2016-07-06,98,20.0,,0.2,19.6
2016-07-07,89,20.0,,0.2,17.8
2016-07-08,67,20.0,,0.2,13.4
2016-07-09,43,20.0,,0.2,8.6
2016-07-10,53,20.0,,0.2,10.600000000000001
2016-07-11,91,20.0,,0.2,18.2
2016-07-12,92,20.0,,0.2,18.400000000000002
2016-07-13,90,20.0,,0.2,18.0
2016-07-14,83,20.0,,0.2,16.6
2016-07-15,61,20.0,,0.2,12.200000000000001
2016-07-16,47,20.0,,0.2,9.4
2016-07-17,60,20.0,,0.2,12.0
2016-07-18,90,20.0,,0.2,18.0
2016-07-19,97,20.0,,0.2,19.400000000000002
2016-07-20,100,20.0,,0.2,20.0
2016-07-21,90,20.0,,0.2,18.0
2016-07-22,81,20.0,,0.2,16.2
2016-07-23,49,20.0,,0.2,9.8
2016-07-24,61,20.0,,0.2,12.200000000000001
2016-07-25,89,20.0,,0.2,17.8
2016-07-26,90,20.0,,0.2,18.0
2016-07-27,82,20.0,,0.2,16.400000000000002
2016-07-28,93,20.0,,0.2,18.6
2016-07-29,80,20.0,,0.2,16.0
2016-07-30,46,20.0,,0.2,9.200000000000001
2016-07-31,56,20.0,,0.2,11.200000000000001
2016-08-01,96,21.0,False,0.21,20.16
2016-08-02,90,21.0,,0.21,18.9
2016-08-03,91,21.0,,0.21,19.11
2016-08-04,86,21.0,,0.21,18.06
2016-08-05,74,21.0,,0.21,15.54
2016-08-06,48,21.0,,0.21,10.08
2016-08-07,64,21.0,,0.21,13.44
2016-08-08,100,21.0,,0.21,21.0
2016-08-09,100,21.0,,0.21,21.0
2016-08-10,84,21.0,,0.21,17.64
2016-08-11,81,21.0,,0.21,17.009999999999998
2016-08-12,78,21.0,,0.21,16.38
2016-08-13,53,21.0,,0.21,11.129999999999999
2016-08-14,67,21.0,,0.21,14.07
2016-08-15,89,21.0,,0.21,18.689999999999998
2016-08-16,90,21.0,,0.21,18.9
2016-08-17,77,21.0,,0.21,16.169999999999998
2016-08-18,77,21.0,,0.21,16.169999999999998
2016-08-19,80,21.0,,0.21,16.8
2016-08-20,50,21.0,,0.21,10.5
2016-08-21,60,21.0,,0.21,12.6
2016-08-22,97,21.0,,0.21,20.37
2016-08-23,95,21.0,,0.21,19.95
2016-08-24,99,21.0,,0.21,20.79
2016-08-25,80,21.0,,0.21,16.8
2016-08-26,81,21.0,,0.21,17.009999999999998
2016-08-27,54,21.0,,0.21,11.34
2016-08-28,66,21.0,,0.21,13.86
2016-08-29,89,21.0,,0.21,18.689999999999998
2016-08-30,87,21.0,,0.21,18.27
2016-08-31,93,21.0,,0.21,19.529999999999998
2016-09-01,88,19.0,False,0.19,16.72
2016-09-02,77,19.0,,0.19,14.63
