date,TW_unscaled,TW_monthly,isPartial,scale,TW
2016-05-01,86,55.0,False,0.55,47.300000000000004
2016-05-02,79,55.0,,0.55,43.45
2016-05-03,100,55.0,,0.55,55.00000000000001
2016-05-04,93,55.0,,0.55,51.150000000000006
2016-05-05,81,55.0,,0.55,44.550000000000004
2016-05-06,84,55.0,,0.55,46.2
2016-05-07,81,55.0,,0.55,44.550000000000004
2016-05-08,76,55.0,,0.55,41.800000000000004
2016-05-09,77,55.0,,0.55,42.35
2016-05-10,70,55.0,,0.55,38.5
2016-05-11,66,55.0,,0.55,36.300000000000004
2016-05-12,87,55.0,,0.55,47.85
2016-05-13,76,55.0,,0.55,41.800000000000004
2016-05-14,68,55.0,,0.55,37.400000000000006
2016-05-15,67,55.0,,0.55,36.85
2016-05-16,71,55.0,,0.55,39.050000000000004
2016-05-17,67,55.0,,0.55,36.85
2016-05-18,84,55.0,,0.55,46.2
2016-05-19,78,55.0,,0.55,42.900000000000006
2016-05-20,83,55.0,,0.55,45.650000000000006
2016-05-21,74,55.0,,0.55,40.7
2016-05-22,79,55.0,,0.55,43.45
2016-05-23,78,55.0,,0.55,42.900000000000006
2016-05-24,71,55.0,,0.55,39.050000000000004
2016-05-25,85,55.0,,0.55,46.75000000000001
2016-05-26,99,55.0,,0.55,54.45
2016-05-27,64,55.0,,0.55,35.2
2016-05-28,77,55.0,,0.55,42.35
2016-05-29,71,55.0,,0.55,39.050000000000004
2016-05-30,57,55.0,,0.55,31.35
2016-05-31,87,55.0,,0.55,47.85
2016-06-01,93,56.0,False,0.56,52.080000000000005
2016-06-02,84,56.0,,0.56,47.040000000000006
2016-06-03,91,56.0,,0.56,50.96000000000001
2016-06-04,88,56.0,,0.56,49.28
2016-06-05,89,56.0,,0.56,49.84
2016-06-06,68,56.0,,0.56,38.080000000000005
2016-06-07,100,56.0,,0.56,56.00000000000001
2016-06-08,84,56.0,,0.56,47.040000000000006
2016-06-09,82,56.0,,0.56,45.92
2016-06-10,79,56.0,,0.56,44.24
2016-06-11,73,56.0,,0.56,40.88
