date,AL_unscaled,AL_monthly,isPartial,scale,AL
2016-05-01,78,96.0,False,0.96,74.88
2016-05-02,94,96.0,,0.96,90.24
2016-05-03,92,96.0,,0.96,88.32
2016-05-04,95,96.0,,0.96,91.2
2016-05-05,99,96.0,,0.96,95.03999999999999
2016-05-06,95,96.0,,0.96,91.2
2016-05-07,84,96.0,,0.96,80.64
2016-05-08,73,96.0,,0.96,70.08
2016-05-09,92,96.0,,0.96,88.32
2016-05-10,93,96.0,,0.96,89.28
2016-05-11,90,96.0,,0.96,86.39999999999999
2016-05-12,94,96.0,,0.96,90.24
2016-05-13,94,96.0,,0.96,90.24
2016-05-14,85,96.0,,0.96,81.6
2016-05-15,74,96.0,,0.96,71.03999999999999
2016-05-16,96,96.0,,0.96,92.16
2016-05-17,94,96.0,,0.96,90.24
2016-05-18,93,96.0,,0.96,89.28
2016-05-19,94,96.0,,0.96,90.24
2016-05-20,100,96.0,,0.96,96.0
2016-05-21,89,96.0,,0.96,85.44
2016-05-22,79,96.0,,0.96,75.84
2016-05-23,96,96.0,,0.96,92.16
2016-05-24,94,96.0,,0.96,90.24
2016-05-25,97,96.0,,0.96,93.11999999999999
2016-05-26,91,96.0,,0.96,87.36
2016-05-27,97,96.0,,0.96,93.11999999999999
2016-05-28,90,96.0,,0.96,86.39999999999999
2016-05-29,82,96.0,,0.96,78.72
2016-05-30,82,96.0,,0.96,78.72
2016-05-31,98,96.0,,0.96,94.08
2016-06-01,97,100.0,False,1.0,97.0
2016-06-02,94,100.0,,1.0,94.0
2016-06-03,95,100.0,,1.0,95.0
2016-06-04,95,100.0,,1.0,95.0
2016-06-05,81,100.0,,1.0,81.0
2016-06-06,100,100.0,,1.0,100.0
2016-06-07,93,100.0,,1.0,93.0
2016-06-08,91,100.0,,1.0,91.0
2016-06-09,97,100.0,,1.0,97.0
2016-06-10,98,100.0,,1.0,98.0
2016-06-11,86,100.0,,1.0,86.0
2016-06-12,82,100.0,,1.0,82.0
2016-06-13,95,100.0,,1.0,95.0
2016-06-14,95,100.0,,1.0,95.0
2016-06-15,95,100.0,,1.0,95.0
2016-06-16,97,100.0,,1.0,97.0
2016-06-17,99,100.0,,1.0,99.0
2016-06-18,93,100.0,,1.0,93.0
2016-06-19,77,100.0,,1.0,77.0
2016-06-20,97,100.0,,1.0,97.0
2016-06-21,93,100.0,,1.0,93.0
2016-06-22,96,100.0,,1.0,96.0
2016-06-23,92,100.0,,1.0,92.0
2016-06-24,92,100.0,,1.0,92.0
2016-06-25,93,100.0,,1.0,93.0
2016-06-26,84,100.0,,1.0,84.0
2016-06-27,99,100.0,,1.0,99.0
2016-06-28,95,100.0,,1.0,95.0
2016-06-29,96,100.0,,1.0,96.0
2016-06-30,100,100.0,,1.0,100.0
2016-07-01,94,100.0,False,1.0,94.0
2016-07-02,100,100.0,,1.0,100.0
2016-07-03,93,100.0,,1.0,93.0
2016-07-04,85,100.0,,1.0,85.0
2016-07-05,91,100.0,,1.0,91.0
2016-07-06,86,100.0,,1.0,86.0
2016-07-07,82,100.0,,1.0,82.0
2016-07-08,85,100.0,,1.0,85.0
2016-07-09,79,100.0,,1.0,79.0
2016-07-10,68,100.0,,1.0,68.0
2016-07-11,82,100.0,,1.0,82.0
2016-07-12,82,100.0,,1.0,82.0
2016-07-13,83,100.0,,1.0,83.0
2016-07-14,77,100.0,,1.0,77.0
2016-07-15,82,100.0,,1.0,82.0
2016-07-16,77,100.0,,1.0,77.0
2016-07-17,63,100.0,,1.0,63.0
2016-07-18,85,100.0,,1.0,85.0
2016-07-19,81,100.0,,1.0,81.0
2016-07-20,83,100.0,,1.0,83.0
2016-07-21,82,100.0,,1.0,82.0
2016-07-22,83,100.0,,1.0,83.0
2016-07-23,77,100.0,,1.0,77.0
2016-07-24,64,100.0,,1.0,64.0
2016-07-25,81,100.0,,1.0,81.0
2016-07-26,94,100.0,,1.0,94.0
2016-07-27,80,100.0,,1.0,80.0
2016-07-28,79,100.0,,1.0,79.0
2016-07-29,79,100.0,,1.0,79.0
2016-07-30,72,100.0,,1.0,72.0
2016-07-31,70,100.0,,1.0,70.0
2016-08-01,96,93.0,False,0.93,89.28
2016-08-02,97,93.0,,0.93,90.21000000000001
2016-08-03,97,93.0,,0.93,90.21000000000001
2016-08-04,96,93.0,,0.93,89.28
2016-08-05,93,93.0,,0.93,86.49000000000001
2016-08-06,91,93.0,,0.93,84.63000000000001
2016-08-07,74,93.0,,0.93,68.82000000000001
2016-08-08,94,93.0,,0.93,87.42
2016-08-09,92,93.0,,0.93,85.56
2016-08-10,90,93.0,,0.93,83.7
2016-08-11,90,93.0,,0.93,83.7
2016-08-12,89,93.0,,0.93,82.77000000000001
2016-08-13,82,93.0,,0.93,76.26
2016-08-14,73,93.0,,0.93,67.89
2016-08-15,88,93.0,,0.93,81.84
2016-08-16,91,93.0,,0.93,84.63000000000001
2016-08-17,90,93.0,,0.93,83.7
2016-08-18,88,93.0,,0.93,81.84
2016-08-19,91,93.0,,0.93,84.63000000000001
2016-08-20,81,93.0,,0.93,75.33
2016-08-21,75,93.0,,0.93,69.75
2016-08-22,94,93.0,,0.93,87.42
2016-08-23,92,93.0,,0.93,85.56
2016-08-24,100,93.0,,0.93,93.0
2016-08-25,98,93.0,,0.93,91.14
2016-08-26,95,93.0,,0.93,88.35000000000001
2016-08-27,93,93.0,,0.93,86.49000000000001
2016-08-28,80,93.0,,0.93,74.4
2016-08-29,96,93.0,,0.93,89.28
2016-08-30,90,93.0,,0.93,83.7
2016-08-31,91,93.0,,0.93,84.63000000000001
2016-09-01,93,91.0,False,0.91,84.63000000000001
2016-09-02,94,91.0,,0.91,85.54
2016-09-03,86,91.0,,0.91,78.26
2016-09-04,81,91.0,,0.91,73.71000000000001
2016-09-05,84,91.0,,0.91,76.44
2016-09-06,93,91.0,,0.91,84.63000000000001
2016-09-07,90,91.0,,0.91,81.9
2016-09-08,90,91.0,,0.91,81.9
2016-09-09,96,91.0,,0.91,87.36
2016-09-10,87,91.0,,0.91,79.17
2016-09-11,79,91.0,,0.91,71.89
2016-09-12,100,91.0,,0.91,91.0
2016-09-13,94,91.0,,0.91,85.54
2016-09-14,89,91.0,,0.91,80.99000000000001
2016-09-15,88,91.0,,0.91,80.08
2016-09-16,93,91.0,,0.91,84.63000000000001
2016-09-17,84,91.0,,0.91,76.44
2016-09-18,71,91.0,,0.91,64.61
2016-09-19,91,91.0,,0.91,82.81
2016-09-20,87,91.0,,0.91,79.17
2016-09-21,91,91.0,,0.91,82.81
2016-09-22,89,91.0,,0.91,80.99000000000001
2016-09-23,91,91.0,,0.91,82.81
2016-09-24,82,91.0,,0.91,74.62
2016-09-25,74,91.0,,0.91,67.34
2016-09-26,89,91.0,,0.91,80.99000000000001
2016-09-27,87,91.0,,0.91,79.17
2016-09-28,92,91.0,,0.91,83.72
2016-09-29,92,91.0,,0.91,83.72
2016-09-30,95,91.0,,0.91,86.45
2016-10-01,45,92.0,False,0.92,41.4
2016-10-02,43,92.0,,0.92,39.56
2016-10-03,50,92.0,,0.92,46.0
2016-10-04,48,92.0,,0.92,44.160000000000004
2016-10-05,51,92.0,,0.92,46.92
2016-10-06,48,92.0,,0.92,44.160000000000004
2016-10-07,49,92.0,,0.92,45.080000000000005
2016-10-08,46,92.0,,0.92,42.32
2016-10-09,38,92.0,,0.92,34.96
2016-10-10,48,92.0,,0.92,44.160000000000004
2016-10-11,52,92.0,,0.92,47.84
2016-10-12,53,92.0,,0.92,48.760000000000005
2016-10-13,49,92.0,,0.92,45.080000000000005
