date,MAX_unscaled,MAX_monthly,isPartial,scale,MAX
2016-05-01,97,48.0,False,0.48,46.559999999999995
2016-05-02,92,48.0,,0.48,44.16
2016-05-03,88,48.0,,0.48,42.239999999999995
2016-05-04,88,48.0,,0.48,42.239999999999995
2016-05-05,87,48.0,,0.48,41.76
2016-05-06,87,48.0,,0.48,41.76
2016-05-07,92,48.0,,0.48,44.16
2016-05-08,90,48.0,,0.48,43.199999999999996
2016-05-09,89,48.0,,0.48,42.72
2016-05-10,89,48.0,,0.48,42.72
2016-05-11,85,48.0,,0.48,40.8
2016-05-12,100,48.0,,0.48,48.0
2016-05-13,89,48.0,,0.48,42.72
2016-05-14,90,48.0,,0.48,43.199999999999996
2016-05-15,94,48.0,,0.48,45.12
2016-05-16,88,48.0,,0.48,42.239999999999995
2016-05-17,90,48.0,,0.48,43.199999999999996
2016-05-18,85,48.0,,0.48,40.8
2016-05-19,86,48.0,,0.48,41.28
2016-05-20,87,48.0,,0.48,41.76
2016-05-21,91,48.0,,0.48,43.68
2016-05-22,90,48.0,,0.48,43.199999999999996
2016-05-23,85,48.0,,0.48,40.8
2016-05-24,85,48.0,,0.48,40.8
2016-05-25,96,48.0,,0.48,46.08
2016-05-26,86,48.0,,0.48,41.28
2016-05-27,87,48.0,,0.48,41.76
2016-05-28,90,48.0,,0.48,43.199999999999996
2016-05-29,89,48.0,,0.48,42.72
2016-05-30,91,48.0,,0.48,43.68
2016-05-31,87,48.0,,0.48,41.76
2016-06-01,87,45.0,False,0.45,39.15
2016-06-02,92,45.0,,0.45,41.4
2016-06-03,91,45.0,,0.45,40.95
2016-06-04,91,45.0,,0.45,40.95
2016-06-05,100,45.0,,0.45,45.0
2016-06-06,92,45.0,,0.45,41.4
2016-06-07,90,45.0,,0.45,40.5
2016-06-08,89,45.0,,0.45,40.050000000000004
2016-06-09,87,45.0,,0.45,39.15
2016-06-10,89,45.0,,0.45,40.050000000000004
2016-06-11,89,45.0,,0.45,40.050000000000004
2016-06-12,92,45.0,,0.45,41.4
2016-06-13,87,45.0,,0.45,39.15
2016-06-14,88,45.0,,0.45,39.6
2016-06-15,86,45.0,,0.45,38.7
2016-06-16,89,45.0,,0.45,40.050000000000004
2016-06-17,86,45.0,,0.45,38.7
2016-06-18,93,45.0,,0.45,41.85
2016-06-19,90,45.0,,0.45,40.5
2016-06-20,88,45.0,,0.45,39.6
2016-06-21,90,45.0,,0.45,40.5
2016-06-22,86,45.0,,0.45,38.7
2016-06-23,87,45.0,,0.45,39.15
2016-06-24,87,45.0,,0.45,39.15
2016-06-25,97,45.0,,0.45,43.65
2016-06-26,90,45.0,,0.45,40.5
2016-06-27,89,45.0,,0.45,40.050000000000004
2016-06-28,88,45.0,,0.45,39.6
2016-06-29,92,45.0,,0.45,41.4
2016-06-30,90,45.0,,0.45,40.5
2016-07-01,81,48.0,False,0.48,38.879999999999995
2016-07-02,84,48.0,,0.48,40.32
2016-07-03,89,48.0,,0.48,42.72
2016-07-04,87,48.0,,0.48,41.76
2016-07-05,81,48.0,,0.48,38.879999999999995
2016-07-06,85,48.0,,0.48,40.8
2016-07-07,77,48.0,,0.48,36.96
2016-07-08,79,48.0,,0.48,37.92
2016-07-09,86,48.0,,0.48,41.28
2016-07-10,88,48.0,,0.48,42.239999999999995
2016-07-11,87,48.0,,0.48,41.76
2016-07-12,87,48.0,,0.48,41.76
2016-07-13,89,48.0,,0.48,42.72
2016-07-14,83,48.0,,0.48,39.839999999999996
2016-07-15,85,48.0,,0.48,40.8
2016-07-16,83,48.0,,0.48,39.839999999999996
2016-07-17,95,48.0,,0.48,45.6
2016-07-18,86,48.0,,0.48,41.28
2016-07-19,88,48.0,,0.48,42.239999999999995
2016-07-20,88,48.0,,0.48,42.239999999999995
2016-07-21,86,48.0,,0.48,41.28
2016-07-22,85,48.0,,0.48,40.8
2016-07-23,91,48.0,,0.48,43.68
2016-07-24,91,48.0,,0.48,43.68
2016-07-25,89,48.0,,0.48,42.72
2016-07-26,89,48.0,,0.48,42.72
2016-07-27,87,48.0,,0.48,41.76
2016-07-28,87,48.0,,0.48,41.76
2016-07-29,87,48.0,,0.48,41.76
2016-07-30,90,48.0,,0.48,43.199999999999996
2016-07-31,100,48.0,,0.48,48.0
2016-08-01,96,49.0,False,0.49,47.04
2016-08-02,95,49.0,,0.49,46.55
2016-08-03,96,49.0,,0.49,47.04
2016-08-04,91,49.0,,0.49,44.589999999999996
2016-08-05,94,49.0,,0.49,46.06
2016-08-06,97,49.0,,0.49,47.53
2016-08-07,98,49.0,,0.49,48.019999999999996
2016-08-08,90,49.0,,0.49,44.1
2016-08-09,90,49.0,,0.49,44.1
2016-08-10,89,49.0,,0.49,43.61
2016-08-11,91,49.0,,0.49,44.589999999999996
2016-08-12,89,49.0,,0.49,43.61
2016-08-13,93,49.0,,0.49,45.57
2016-08-14,97,49.0,,0.49,47.53
2016-08-15,92,49.0,,0.49,45.08
2016-08-16,91,49.0,,0.49,44.589999999999996
2016-08-17,88,49.0,,0.49,43.12
2016-08-18,86,49.0,,0.49,42.14
2016-08-19,86,49.0,,0.49,42.14
2016-08-20,97,49.0,,0.49,47.53
2016-08-21,99,49.0,,0.49,48.51
2016-08-22,97,49.0,,0.49,47.53
2016-08-23,92,49.0,,0.49,45.08
2016-08-24,92,49.0,,0.49,45.08
2016-08-25,90,49.0,,0.49,44.1
2016-08-26,93,49.0,,0.49,45.57
2016-08-27,100,49.0,,0.49,49.0
2016-08-28,95,49.0,,0.49,46.55
2016-08-29,88,49.0,,0.49,43.12
2016-08-30,92,49.0,,0.49,45.08
2016-08-31,88,49.0,,0.49,43.12
2016-09-01,84,48.0,False,0.48,40.32
