date,NVAX_unscaled,NVAX_monthly,isPartial,scale,NVAX
2016-05-01,9,7.0,False,0.07,0.6300000000000001
2016-05-02,39,7.0,,0.07,2.7300000000000004
2016-05-03,35,7.0,,0.07,2.45
2016-05-04,47,7.0,,0.07,3.2900000000000005
2016-05-05,45,7.0,,0.07,3.1500000000000004
2016-05-06,51,7.0,,0.07,3.5700000000000003
2016-05-07,10,7.0,,0.07,0.7000000000000001
2016-05-08,15,7.0,,0.07,1.05
2016-05-09,44,7.0,,0.07,3.08
2016-05-10,28,7.0,,0.07,1.9600000000000002
2016-05-11,56,7.0,,0.07,3.9200000000000004
2016-05-12,42,7.0,,0.07,2.9400000000000004
2016-05-13,51,7.0,,0.07,3.5700000000000003
2016-05-14,15,7.0,,0.07,1.05
2016-05-15,5,7.0,,0.07,0.35000000000000003
2016-05-16,33,7.0,,0.07,2.31
2016-05-17,36,7.0,,0.07,2.5200000000000005
2016-05-18,81,7.0,,0.07,5.670000000000001
2016-05-19,45,7.0,,0.07,3.1500000000000004
2016-05-20,47,7.0,,0.07,3.2900000000000005
2016-05-21,10,7.0,,0.07,0.7000000000000001
2016-05-22,10,7.0,,0.07,0.7000000000000001
2016-05-23,29,7.0,,0.07,2.0300000000000002
2016-05-24,62,7.0,,0.07,4.340000000000001
2016-05-25,100,7.0,,0.07,7.000000000000001
2016-05-26,85,7.0,,0.07,5.95
2016-05-27,57,7.0,,0.07,3.99
2016-05-28,26,7.0,,0.07,1.8200000000000003
2016-05-29,11,7.0,,0.07,0.77
2016-05-30,15,7.0,,0.07,1.05
2016-05-31,75,7.0,,0.07,5.250000000000001
2016-06-01,64,9.0,False,0.09,5.76
2016-06-02,39,9.0,,0.09,3.51
2016-06-03,74,9.0,,0.09,6.66
2016-06-04,21,9.0,,0.09,1.89
2016-06-05,4,9.0,,0.09,0.36
2016-06-06,50,9.0,,0.09,4.5
2016-06-07,57,9.0,,0.09,5.13
2016-06-08,75,9.0,,0.09,6.75
2016-06-09,59,9.0,,0.09,5.31
2016-06-10,30,9.0,,0.09,2.6999999999999997
2016-06-11,17,9.0,,0.09,1.53
2016-06-12,13,9.0,,0.09,1.17
2016-06-13,32,9.0,,0.09,2.88
2016-06-14,46,9.0,,0.09,4.14
2016-06-15,58,9.0,,0.09,5.22
2016-06-16,29,9.0,,0.09,2.61
