date,EST_unscaled,EST_monthly,isPartial,scale,EST
2016-05-01,71,39.0,False,0.39,27.69
2016-05-02,91,39.0,,0.39,35.49
2016-05-03,86,39.0,,0.39,33.54
2016-05-04,78,39.0,,0.39,30.42
2016-05-05,94,39.0,,0.39,36.660000000000004
2016-05-06,95,39.0,,0.39,37.050000000000004
2016-05-07,71,39.0,,0.39,27.69
2016-05-08,66,39.0,,0.39,25.740000000000002
2016-05-09,96,39.0,,0.39,37.44
2016-05-10,92,39.0,,0.39,35.88
2016-05-11,91,39.0,,0.39,35.49
2016-05-12,87,39.0,,0.39,33.93
2016-05-13,74,39.0,,0.39,28.86
2016-05-14,59,39.0,,0.39,23.01
2016-05-15,65,39.0,,0.39,25.35
2016-05-16,93,39.0,,0.39,36.27
2016-05-17,99,39.0,,0.39,38.61
2016-05-18,90,39.0,,0.39,35.1
2016-05-19,81,39.0,,0.39,31.59
2016-05-20,86,39.0,,0.39,33.54
2016-05-21,60,39.0,,0.39,23.400000000000002
2016-05-22,65,39.0,,0.39,25.35
2016-05-23,100,39.0,,0.39,39.0
2016-05-24,85,39.0,,0.39,33.15
2016-05-25,91,39.0,,0.39,35.49
2016-05-26,86,39.0,,0.39,33.54
2016-05-27,79,39.0,,0.39,30.810000000000002
2016-05-28,62,39.0,,0.39,24.18
2016-05-29,56,39.0,,0.39,21.84
2016-05-30,71,39.0,,0.39,27.69
2016-05-31,82,39.0,,0.39,31.98
2016-06-01,89,42.0,False,0.42,37.379999999999995
2016-06-02,84,42.0,,0.42,35.28
2016-06-03,78,42.0,,0.42,32.76
2016-06-04,58,42.0,,0.42,24.36
2016-06-05,54,42.0,,0.42,22.68
2016-06-06,89,42.0,,0.42,37.379999999999995
2016-06-07,83,42.0,,0.42,34.86
2016-06-08,87,42.0,,0.42,36.54
2016-06-09,98,42.0,,0.42,41.16
2016-06-10,83,42.0,,0.42,34.86
2016-06-11,69,42.0,,0.42,28.98
2016-06-12,88,42.0,,0.42,36.96
2016-06-13,100,42.0,,0.42,42.0
2016-06-14,100,42.0,,0.42,42.0
2016-06-15,82,42.0,,0.42,34.44
2016-06-16,85,42.0,,0.42,35.699999999999996
2016-06-17,86,42.0,,0.42,36.12
2016-06-18,72,42.0,,0.42,30.24
2016-06-19,68,42.0,,0.42,28.56
2016-06-20,88,42.0,,0.42,36.96
2016-06-21,88,42.0,,0.42,36.96
2016-06-22,87,42.0,,0.42,36.54
2016-06-23,87,42.0,,0.42,36.54
2016-06-24,78,42.0,,0.42,32.76
2016-06-25,57,42.0,,0.42,23.939999999999998
2016-06-26,67,42.0,,0.42,28.14
2016-06-27,81,42.0,,0.42,34.019999999999996
2016-06-28,92,42.0,,0.42,38.64
2016-06-29,86,42.0,,0.42,36.12
2016-06-30,84,42.0,,0.42,35.28
2016-07-01,81,39.0,False,0.39,31.59
2016-07-02,60,39.0,,0.39,23.400000000000002
2016-07-03,65,39.0,,0.39,25.35
2016-07-04,67,39.0,,0.39,26.130000000000003
2016-07-05,80,39.0,,0.39,31.200000000000003
2016-07-06,89,39.0,,0.39,34.71
2016-07-07,81,39.0,,0.39,31.59
2016-07-08,73,39.0,,0.39,28.470000000000002
2016-07-09,57,39.0,,0.39,22.23
2016-07-10,66,39.0,,0.39,25.740000000000002
2016-07-11,77,39.0,,0.39,30.03
2016-07-12,92,39.0,,0.39,35.88
2016-07-13,88,39.0,,0.39,34.32
2016-07-14,100,39.0,,0.39,39.0
2016-07-15,85,39.0,,0.39,33.15
2016-07-16,57,39.0,,0.39,22.23
2016-07-17,56,39.0,,0.39,21.84
2016-07-18,71,39.0,,0.39,27.69
2016-07-19,92,39.0,,0.39,35.88
2016-07-20,84,39.0,,0.39,32.76
2016-07-21,84,39.0,,0.39,32.76
2016-07-22,83,39.0,,0.39,32.370000000000005
2016-07-23,51,39.0,,0.39,19.89
2016-07-24,58,39.0,,0.39,22.62
2016-07-25,82,39.0,,0.39,31.98
2016-07-26,82,39.0,,0.39,31.98
2016-07-27,81,39.0,,0.39,31.59
2016-07-28,74,39.0,,0.39,28.86
2016-07-29,79,39.0,,0.39,30.810000000000002
2016-07-30,57,39.0,,0.39,22.23
2016-07-31,65,39.0,,0.39,25.35
2016-08-01,97,40.0,False,0.4,38.800000000000004
2016-08-02,88,40.0,,0.4,35.2
2016-08-03,90,40.0,,0.4,36.0
2016-08-04,91,40.0,,0.4,36.4
2016-08-05,92,40.0,,0.4,36.800000000000004
2016-08-06,68,40.0,,0.4,27.200000000000003
2016-08-07,70,40.0,,0.4,28.0
2016-08-08,88,40.0,,0.4,35.2
2016-08-09,92,40.0,,0.4,36.800000000000004
2016-08-10,86,40.0,,0.4,34.4
2016-08-11,87,40.0,,0.4,34.800000000000004
2016-08-12,86,40.0,,0.4,34.4
2016-08-13,58,40.0,,0.4,23.200000000000003
2016-08-14,56,40.0,,0.4,22.400000000000002
2016-08-15,76,40.0,,0.4,30.400000000000002
2016-08-16,100,40.0,,0.4,40.0
2016-08-17,90,40.0,,0.4,36.0
2016-08-18,88,40.0,,0.4,35.2
2016-08-19,80,40.0,,0.4,32.0
2016-08-20,67,40.0,,0.4,26.8
2016-08-21,61,40.0,,0.4,24.400000000000002
2016-08-22,79,40.0,,0.4,31.6
2016-08-23,90,40.0,,0.4,36.0
2016-08-24,96,40.0,,0.4,38.400000000000006
2016-08-25,88,40.0,,0.4,35.2
2016-08-26,85,40.0,,0.4,34.0
2016-08-27,66,40.0,,0.4,26.400000000000002
2016-08-28,64,40.0,,0.4,25.6
2016-08-29,81,40.0,,0.4,32.4
2016-08-30,90,40.0,,0.4,36.0
2016-08-31,90,40.0,,0.4,36.0
2016-09-01,71,42.0,False,0.42,29.82
2016-09-02,69,42.0,,0.42,28.98
2016-09-03,56,42.0,,0.42,23.52
2016-09-04,47,42.0,,0.42,19.74
2016-09-05,52,42.0,,0.42,21.84
2016-09-06,80,42.0,,0.42,33.6
2016-09-07,100,42.0,,0.42,42.0
2016-09-08,80,42.0,,0.42,33.6
2016-09-09,80,42.0,,0.42,33.6
2016-09-10,49,42.0,,0.42,20.58
2016-09-11,52,42.0,,0.42,21.84
2016-09-12,67,42.0,,0.42,28.14
2016-09-13,83,42.0,,0.42,34.86
2016-09-14,71,42.0,,0.42,29.82
2016-09-15,74,42.0,,0.42,31.08
2016-09-16,66,42.0,,0.42,27.72
2016-09-17,49,42.0,,0.42,20.58
2016-09-18,50,42.0,,0.42,21.0
2016-09-19,68,42.0,,0.42,28.56
2016-09-20,80,42.0,,0.42,33.6
2016-09-21,73,42.0,,0.42,30.66
2016-09-22,67,42.0,,0.42,28.14
