date,GME_unscaled,GME_monthly,isPartial,scale,GME
2016-05-01,20,1.0,False,0.01,0.2
2016-05-02,79,1.0,,0.01,0.79
2016-05-03,47,1.0,,0.01,0.47000000000000003
2016-05-04,47,1.0,,0.01,0.47000000000000003
2016-05-05,42,1.0,,0.01,0.42
2016-05-06,43,1.0,,0.01,0.43
2016-05-07,40,1.0,,0.01,0.4
2016-05-08,32,1.0,,0.01,0.32
2016-05-09,78,1.0,,0.01,0.78
2016-05-10,36,1.0,,0.01,0.36
2016-05-11,41,1.0,,0.01,0.41000000000000003
2016-05-12,60,1.0,,0.01,0.6
2016-05-13,62,1.0,,0.01,0.62
2016-05-14,38,1.0,,0.01,0.38
2016-05-15,40,1.0,,0.01,0.4
2016-05-16,73,1.0,,0.01,0.73
2016-05-17,52,1.0,,0.01,0.52
2016-05-18,66,1.0,,0.01,0.66
2016-05-19,58,1.0,,0.01,0.58
2016-05-20,46,1.0,,0.01,0.46
2016-05-21,38,1.0,,0.01,0.38
2016-05-22,37,1.0,,0.01,0.37
2016-05-23,64,1.0,,0.01,0.64
2016-05-24,55,1.0,,0.01,0.55
2016-05-25,45,1.0,,0.01,0.45
2016-05-26,78,1.0,,0.01,0.78
2016-05-27,100,1.0,,0.01,1.0
2016-05-28,47,1.0,,0.01,0.47000000000000003
2016-05-29,62,1.0,,0.01,0.62
2016-05-30,68,1.0,,0.01,0.68
2016-05-31,61,1.0,,0.01,0.61
2016-06-01,55,1.0,False,0.01,0.55
2016-06-02,53,1.0,,0.01,0.53
2016-06-03,92,1.0,,0.01,0.92
2016-06-04,26,1.0,,0.01,0.26
2016-06-05,62,1.0,,0.01,0.62
2016-06-06,91,1.0,,0.01,0.91
2016-06-07,60,1.0,,0.01,0.6
2016-06-08,97,1.0,,0.01,0.97
2016-06-09,57,1.0,,0.01,0.5700000000000001
2016-06-10,70,1.0,,0.01,0.7000000000000001
2016-06-11,72,1.0,,0.01,0.72
2016-06-12,46,1.0,,0.01,0.46
2016-06-13,100,1.0,,0.01,1.0
2016-06-14,57,1.0,,0.01,0.5700000000000001
2016-06-15,89,1.0,,0.01,0.89
2016-06-16,54,1.0,,0.01,0.54
2016-06-17,96,1.0,,0.01,0.96
2016-06-18,48,1.0,,0.01,0.48
2016-06-19,45,1.0,,0.01,0.45
2016-06-20,94,1.0,,0.01,0.9400000000000001
2016-06-21,74,1.0,,0.01,0.74
2016-06-22,59,1.0,,0.01,0.59
2016-06-23,64,1.0,,0.01,0.64
2016-06-24,78,1.0,,0.01,0.78
2016-06-25,27,1.0,,0.01,0.27
2016-06-26,31,1.0,,0.01,0.31
2016-06-27,75,1.0,,0.01,0.75
2016-06-28,90,1.0,,0.01,0.9
2016-06-29,66,1.0,,0.01,0.66
2016-06-30,76,1.0,,0.01,0.76
2016-07-01,73,0.0,False,0.0,0.0
2016-07-02,79,0.0,,0.0,0.0
2016-07-03,55,0.0,,0.0,0.0
2016-07-04,57,0.0,,0.0,0.0
2016-07-05,47,0.0,,0.0,0.0
2016-07-06,71,0.0,,0.0,0.0
2016-07-07,68,0.0,,0.0,0.0
2016-07-08,72,0.0,,0.0,0.0
2016-07-09,53,0.0,,0.0,0.0
2016-07-10,38,0.0,,0.0,0.0
2016-07-11,55,0.0,,0.0,0.0
2016-07-12,100,0.0,,0.0,0.0
2016-07-13,69,0.0,,0.0,0.0
2016-07-14,59,0.0,,0.0,0.0
2016-07-15,86,0.0,,0.0,0.0
2016-07-16,57,0.0,,0.0,0.0
2016-07-17,57,0.0,,0.0,0.0
2016-07-18,58,0.0,,0.0,0.0
2016-07-19,80,0.0,,0.0,0.0
2016-07-20,82,0.0,,0.0,0.0
2016-07-21,72,0.0,,0.0,0.0
2016-07-22,47,0.0,,0.0,0.0
2016-07-23,52,0.0,,0.0,0.0
2016-07-24,34,0.0,,0.0,0.0
2016-07-25,79,0.0,,0.0,0.0
2016-07-26,80,0.0,,0.0,0.0
2016-07-27,54,0.0,,0.0,0.0
2016-07-28,60,0.0,,0.0,0.0
2016-07-29,32,0.0,,0.0,0.0
2016-07-30,41,0.0,,0.0,0.0
2016-07-31,52,0.0,,0.0,0.0
2016-08-01,49,0.0,False,0.0,0.0
2016-08-02,76,0.0,,0.0,0.0
2016-08-03,50,0.0,,0.0,0.0
2016-08-04,62,0.0,,0.0,0.0
2016-08-05,66,0.0,,0.0,0.0
2016-08-06,24,0.0,,0.0,0.0
2016-08-07,51,0.0,,0.0,0.0
2016-08-08,65,0.0,,0.0,0.0
2016-08-09,51,0.0,,0.0,0.0
2016-08-10,46,0.0,,0.0,0.0
2016-08-11,42,0.0,,0.0,0.0
2016-08-12,62,0.0,,0.0,0.0
2016-08-13,50,0.0,,0.0,0.0
2016-08-14,34,0.0,,0.0,0.0
2016-08-15,43,0.0,,0.0,0.0
2016-08-16,61,0.0,,0.0,0.0
2016-08-17,32,0.0,,0.0,0.0
2016-08-18,63,0.0,,0.0,0.0
2016-08-19,21,0.0,,0.0,0.0
2016-08-20,49,0.0,,0.0,0.0
2016-08-21,24,0.0,,0.0,0.0
2016-08-22,82,0.0,,0.0,0.0
2016-08-23,52,0.0,,0.0,0.0
2016-08-24,52,0.0,,0.0,0.0
2016-08-25,100,0.0,,0.0,0.0
2016-08-26,89,0.0,,0.0,0.0
2016-08-27,61,0.0,,0.0,0.0
2016-08-28,67,0.0,,0.0,0.0
2016-08-29,85,0.0,,0.0,0.0
2016-08-30,48,0.0,,0.0,0.0
2016-08-31,61,0.0,,0.0,0.0
2016-09-01,48,1.0,False,0.01,0.48
2016-09-02,62,1.0,,0.01,0.62
2016-09-03,46,1.0,,0.01,0.46
2016-09-04,56,1.0,,0.01,0.56
2016-09-05,51,1.0,,0.01,0.51
2016-09-06,74,1.0,,0.01,0.74
2016-09-07,58,1.0,,0.01,0.58
2016-09-08,85,1.0,,0.01,0.85
2016-09-09,67,1.0,,0.01,0.67
2016-09-10,71,1.0,,0.01,0.71
2016-09-11,95,1.0,,0.01,0.9500000000000001
2016-09-12,67,1.0,,0.01,0.67
2016-09-13,73,1.0,,0.01,0.73
2016-09-14,77,1.0,,0.01,0.77
2016-09-15,65,1.0,,0.01,0.65
2016-09-16,76,1.0,,0.01,0.76
2016-09-17,91,1.0,,0.01,0.91
2016-09-18,63,1.0,,0.01,0.63
2016-09-19,72,1.0,,0.01,0.72
2016-09-20,70,1.0,,0.01,0.7000000000000001
2016-09-21,73,1.0,,0.01,0.73
2016-09-22,48,1.0,,0.01,0.48
2016-09-23,82,1.0,,0.01,0.8200000000000001
2016-09-24,89,1.0,,0.01,0.89
2016-09-25,55,1.0,,0.01,0.55
2016-09-26,88,1.0,,0.01,0.88
2016-09-27,94,1.0,,0.01,0.9400000000000001
2016-09-28,100,1.0,,0.01,1.0
2016-09-29,71,1.0,,0.01,0.71
2016-09-30,55,1.0,,0.01,0.55
2016-10-01,53,1.0,False,0.01,0.53
2016-10-02,83,1.0,,0.01,0.8300000000000001
2016-10-03,61,1.0,,0.01,0.61
2016-10-04,70,1.0,,0.01,0.7000000000000001
2016-10-05,66,1.0,,0.01,0.66
2016-10-06,91,1.0,,0.01,0.91
2016-10-07,60,1.0,,0.01,0.6
2016-10-08,78,1.0,,0.01,0.78
2016-10-09,76,1.0,,0.01,0.76
2016-10-10,65,1.0,,0.01,0.65
2016-10-11,83,1.0,,0.01,0.8300000000000001
2016-10-12,68,1.0,,0.01,0.68
2016-10-13,62,1.0,,0.01,0.62
2016-10-14,52,1.0,,0.01,0.52
2016-10-15,66,1.0,,0.01,0.66
2016-10-16,100,1.0,,0.01,1.0
2016-10-17,93,1.0,,0.01,0.93
2016-10-18,90,1.0,,0.01,0.9
2016-10-19,65,1.0,,0.01,0.65
2016-10-20,68,1.0,,0.01,0.68
2016-10-21,87,1.0,,0.01,0.87
2016-10-22,37,1.0,,0.01,0.37
2016-10-23,53,1.0,,0.01,0.53
2016-10-24,95,1.0,,0.01,0.9500000000000001
2016-10-25,89,1.0,,0.01,0.89
2016-10-26,84,1.0,,0.01,0.84
2016-10-27,67,1.0,,0.01,0.67
2016-10-28,76,1.0,,0.01,0.76
2016-10-29,78,1.0,,0.01,0.78
2016-10-30,97,1.0,,0.01,0.97
2016-10-31,61,1.0,,0.01,0.61
2016-11-01,64,1.0,False,0.01,0.64
2016-11-02,86,1.0,,0.01,0.86
2016-11-03,100,1.0,,0.01,1.0
2016-11-04,59,1.0,,0.01,0.59
2016-11-05,67,1.0,,0.01,0.67
2016-11-06,73,1.0,,0.01,0.73
2016-11-07,60,1.0,,0.01,0.6
2016-11-08,26,1.0,,0.01,0.26
2016-11-09,45,1.0,,0.01,0.45
2016-11-10,54,1.0,,0.01,0.54
2016-11-11,60,1.0,,0.01,0.6
2016-11-12,63,1.0,,0.01,0.63
2016-11-13,51,1.0,,0.01,0.51
2016-11-14,52,1.0,,0.01,0.52
2016-11-15,82,1.0,,0.01,0.8200000000000001
2016-11-16,60,1.0,,0.01,0.6
2016-11-17,77,1.0,,0.01,0.77
2016-11-18,55,1.0,,0.01,0.55
2016-11-19,67,1.0,,0.01,0.67
2016-11-20,54,1.0,,0.01,0.54
2016-11-21,41,1.0,,0.01,0.41000000000000003
2016-11-22,92,1.0,,0.01,0.92
2016-11-23,89,1.0,,0.01,0.89
2016-11-24,74,1.0,,0.01,0.74
2016-11-25,53,1.0,,0.01,0.53
2016-11-26,39,1.0,,0.01,0.39
2016-11-27,50,1.0,,0.01,0.5
2016-11-28,58,1.0,,0.01,0.58
2016-11-29,49,1.0,,0.01,0.49
2016-11-30,71,1.0,,0.01,0.71
2016-12-01,65,1.0,False,0.01,0.65
2016-12-02,50,1.0,,0.01,0.5
2016-12-03,70,1.0,,0.01,0.7000000000000001
2016-12-04,40,1.0,,0.01,0.4
2016-12-05,54,1.0,,0.01,0.54
2016-12-06,55,1.0,,0.01,0.55
2016-12-07,62,1.0,,0.01,0.62
2016-12-08,100,1.0,,0.01,1.0
2016-12-09,80,1.0,,0.01,0.8
2016-12-10,52,1.0,,0.01,0.52
2016-12-11,57,1.0,,0.01,0.5700000000000001
2016-12-12,54,1.0,,0.01,0.54
2016-12-13,66,1.0,,0.01,0.66
2016-12-14,58,1.0,,0.01,0.58
2016-12-15,52,1.0,,0.01,0.52
2016-12-16,87,1.0,,0.01,0.87
2016-12-17,64,1.0,,0.01,0.64
2016-12-18,71,1.0,,0.01,0.71
2016-12-19,46,1.0,,0.01,0.46
2016-12-20,53,1.0,,0.01,0.53
2016-12-21,67,1.0,,0.01,0.67
2016-12-22,58,1.0,,0.01,0.58
2016-12-23,43,1.0,,0.01,0.43
2016-12-24,42,1.0,,0.01,0.42
2016-12-25,55,1.0,,0.01,0.55
2016-12-26,48,1.0,,0.01,0.48
2016-12-27,61,1.0,,0.01,0.61
2016-12-28,62,1.0,,0.01,0.62
2016-12-29,63,1.0,,0.01,0.63
2016-12-30,58,1.0,,0.01,0.58
2016-12-31,60,1.0,,0.01,0.6
2017-01-01,62,0.0,False,0.0,0.0
2017-01-02,70,0.0,,0.0,0.0
2017-01-03,67,0.0,,0.0,0.0
2017-01-04,59,0.0,,0.0,0.0
2017-01-05,35,0.0,,0.0,0.0
2017-01-06,51,0.0,,0.0,0.0
2017-01-07,55,0.0,,0.0,0.0
2017-01-08,67,0.0,,0.0,0.0
2017-01-09,73,0.0,,0.0,0.0
2017-01-10,84,0.0,,0.0,0.0
2017-01-11,55,0.0,,0.0,0.0
2017-01-12,64,0.0,,0.0,0.0
2017-01-13,68,0.0,,0.0,0.0
2017-01-14,65,0.0,,0.0,0.0
2017-01-15,87,0.0,,0.0,0.0
2017-01-16,62,0.0,,0.0,0.0
2017-01-17,100,0.0,,0.0,0.0
2017-01-18,62,0.0,,0.0,0.0
2017-01-19,52,0.0,,0.0,0.0
2017-01-20,35,0.0,,0.0,0.0
2017-01-21,41,0.0,,0.0,0.0
2017-01-22,80,0.0,,0.0,0.0
2017-01-23,60,0.0,,0.0,0.0
2017-01-24,70,0.0,,0.0,0.0
2017-01-25,62,0.0,,0.0,0.0
2017-01-26,72,0.0,,0.0,0.0
2017-01-27,39,0.0,,0.0,0.0
2017-01-28,42,0.0,,0.0,0.0
2017-01-29,48,0.0,,0.0,0.0
2017-01-30,39,0.0,,0.0,0.0
2017-01-31,94,0.0,,0.0,0.0
2017-02-01,86,0.0,False,0.0,0.0
2017-02-02,31,0.0,,0.0,0.0
2017-02-03,53,0.0,,0.0,0.0
2017-02-04,47,0.0,,0.0,0.0
2017-02-05,40,0.0,,0.0,0.0
2017-02-06,52,0.0,,0.0,0.0
2017-02-07,59,0.0,,0.0,0.0
2017-02-08,67,0.0,,0.0,0.0
2017-02-09,68,0.0,,0.0,0.0
2017-02-10,48,0.0,,0.0,0.0
2017-02-11,45,0.0,,0.0,0.0
2017-02-12,35,0.0,,0.0,0.0
2017-02-13,58,0.0,,0.0,0.0
2017-02-14,70,0.0,,0.0,0.0
2017-02-15,53,0.0,,0.0,0.0
2017-02-16,70,0.0,,0.0,0.0
2017-02-17,52,0.0,,0.0,0.0
2017-02-18,34,0.0,,0.0,0.0
2017-02-19,64,0.0,,0.0,0.0
2017-02-20,49,0.0,,0.0,0.0
2017-02-21,62,0.0,,0.0,0.0
2017-02-22,51,0.0,,0.0,0.0
2017-02-23,85,0.0,,0.0,0.0
2017-02-24,56,0.0,,0.0,0.0
2017-02-25,40,0.0,,0.0,0.0
2017-02-26,50,0.0,,0.0,0.0
2017-02-27,62,0.0,,0.0,0.0
2017-02-28,100,0.0,,0.0,0.0
2017-03-01,72,1.0,False,0.01,0.72
2017-03-02,59,1.0,,0.01,0.59
2017-03-03,54,1.0,,0.01,0.54
2017-03-04,38,1.0,,0.01,0.38
2017-03-05,34,1.0,,0.01,0.34
2017-03-06,45,1.0,,0.01,0.45
2017-03-07,46,1.0,,0.01,0.46
2017-03-08,35,1.0,,0.01,0.35000000000000003
2017-03-09,56,1.0,,0.01,0.56
2017-03-10,32,1.0,,0.01,0.32
2017-03-11,34,1.0,,0.01,0.34
2017-03-12,22,1.0,,0.01,0.22
2017-03-13,48,1.0,,0.01,0.48
2017-03-14,39,1.0,,0.01,0.39
2017-03-15,38,1.0,,0.01,0.38
2017-03-16,36,1.0,,0.01,0.36
2017-03-17,51,1.0,,0.01,0.51
2017-03-18,36,1.0,,0.01,0.36
2017-03-19,41,1.0,,0.01,0.41000000000000003
2017-03-20,62,1.0,,0.01,0.62
2017-03-21,52,1.0,,0.01,0.52
2017-03-22,59,1.0,,0.01,0.59
2017-03-23,64,1.0,,0.01,0.64
2017-03-24,100,1.0,,0.01,1.0
2017-03-25,45,1.0,,0.01,0.45
2017-03-26,43,1.0,,0.01,0.43
2017-03-27,58,1.0,,0.01,0.58
2017-03-28,61,1.0,,0.01,0.61
2017-03-29,58,1.0,,0.01,0.58
2017-03-30,31,1.0,,0.01,0.31
2017-03-31,56,1.0,,0.01,0.56
2017-04-01,44,0.0,False,0.0,0.0
2017-04-02,50,0.0,,0.0,0.0
2017-04-03,100,0.0,,0.0,0.0
2017-04-04,70,0.0,,0.0,0.0
2017-04-05,60,0.0,,0.0,0.0
2017-04-06,68,0.0,,0.0,0.0
2017-04-07,68,0.0,,0.0,0.0
2017-04-08,54,0.0,,0.0,0.0
2017-04-09,39,0.0,,0.0,0.0
2017-04-10,76,0.0,,0.0,0.0
2017-04-11,79,0.0,,0.0,0.0
2017-04-12,62,0.0,,0.0,0.0
2017-04-13,60,0.0,,0.0,0.0
2017-04-14,54,0.0,,0.0,0.0
2017-04-15,40,0.0,,0.0,0.0
2017-04-16,51,0.0,,0.0,0.0
2017-04-17,59,0.0,,0.0,0.0
2017-04-18,55,0.0,,0.0,0.0
2017-04-19,63,0.0,,0.0,0.0
2017-04-20,66,0.0,,0.0,0.0
2017-04-21,93,0.0,,0.0,0.0
2017-04-22,42,0.0,,0.0,0.0
2017-04-23,65,0.0,,0.0,0.0
2017-04-24,82,0.0,,0.0,0.0
2017-04-25,72,0.0,,0.0,0.0
2017-04-26,81,0.0,,0.0,0.0
2017-04-27,65,0.0,,0.0,0.0
2017-04-28,57,0.0,,0.0,0.0
2017-04-29,33,0.0,,0.0,0.0
2017-04-30,53,0.0,,0.0,0.0
2017-05-01,43,1.0,False,0.01,0.43
2017-05-02,50,1.0,,0.01,0.5
2017-05-03,57,1.0,,0.01,0.5700000000000001
2017-05-04,52,1.0,,0.01,0.52
2017-05-05,48,1.0,,0.01,0.48
2017-05-06,29,1.0,,0.01,0.29
2017-05-07,32,1.0,,0.01,0.32
2017-05-08,43,1.0,,0.01,0.43
2017-05-09,46,1.0,,0.01,0.46
2017-05-10,43,1.0,,0.01,0.43
2017-05-11,47,1.0,,0.01,0.47000000000000003
2017-05-12,51,1.0,,0.01,0.51
2017-05-13,28,1.0,,0.01,0.28
2017-05-14,40,1.0,,0.01,0.4
2017-05-15,51,1.0,,0.01,0.51
2017-05-16,29,1.0,,0.01,0.29
2017-05-17,39,1.0,,0.01,0.39
2017-05-18,57,1.0,,0.01,0.5700000000000001
2017-05-19,56,1.0,,0.01,0.56
2017-05-20,34,1.0,,0.01,0.34
2017-05-21,43,1.0,,0.01,0.43
2017-05-22,48,1.0,,0.01,0.48
2017-05-23,66,1.0,,0.01,0.66
2017-05-24,74,1.0,,0.01,0.74
2017-05-25,93,1.0,,0.01,0.93
2017-05-26,100,1.0,,0.01,1.0
2017-05-27,21,1.0,,0.01,0.21
2017-05-28,31,1.0,,0.01,0.31
2017-05-29,41,1.0,,0.01,0.41000000000000003
2017-05-30,49,1.0,,0.01,0.49
2017-05-31,54,1.0,,0.01,0.54
2017-06-01,65,0.0,False,0.0,0.0
2017-06-02,75,0.0,,0.0,0.0
2017-06-03,55,0.0,,0.0,0.0
2017-06-04,47,0.0,,0.0,0.0
2017-06-05,52,0.0,,0.0,0.0
2017-06-06,84,0.0,,0.0,0.0
2017-06-07,58,0.0,,0.0,0.0
2017-06-08,89,0.0,,0.0,0.0
2017-06-09,50,0.0,,0.0,0.0
2017-06-10,44,0.0,,0.0,0.0
2017-06-11,62,0.0,,0.0,0.0
2017-06-12,95,0.0,,0.0,0.0
2017-06-13,71,0.0,,0.0,0.0
2017-06-14,66,0.0,,0.0,0.0
2017-06-15,75,0.0,,0.0,0.0
