date,RAD_unscaled,RAD_monthly,isPartial,scale,RAD
2016-05-01,67,65.0,False,0.65,43.550000000000004
2016-05-02,86,65.0,,0.65,55.9
2016-05-03,93,65.0,,0.65,60.45
2016-05-04,82,65.0,,0.65,53.300000000000004
2016-05-05,81,65.0,,0.65,52.65
2016-05-06,90,65.0,,0.65,58.5
2016-05-07,73,65.0,,0.65,47.45
2016-05-08,67,65.0,,0.65,43.550000000000004
2016-05-09,76,65.0,,0.65,49.4
2016-05-10,82,65.0,,0.65,53.300000000000004
2016-05-11,81,65.0,,0.65,52.65
2016-05-12,88,65.0,,0.65,57.2
2016-05-13,83,65.0,,0.65,53.95
2016-05-14,78,65.0,,0.65,50.7
2016-05-15,100,65.0,,0.65,65.0
2016-05-16,91,65.0,,0.65,59.15
2016-05-17,78,65.0,,0.65,50.7
2016-05-18,75,65.0,,0.65,48.75
2016-05-19,93,65.0,,0.65,60.45
2016-05-20,77,65.0,,0.65,50.050000000000004
2016-05-21,71,65.0,,0.65,46.15
2016-05-22,68,65.0,,0.65,44.2
2016-05-23,80,65.0,,0.65,52.0
2016-05-24,84,65.0,,0.65,54.6
2016-05-25,84,65.0,,0.65,54.6
2016-05-26,77,65.0,,0.65,50.050000000000004
2016-05-27,91,65.0,,0.65,59.15
2016-05-28,65,65.0,,0.65,42.25
2016-05-29,61,65.0,,0.65,39.65
2016-05-30,61,65.0,,0.65,39.65
2016-05-31,83,65.0,,0.65,53.95
2016-06-01,89,62.0,False,0.62,55.18
2016-06-02,79,62.0,,0.62,48.98
2016-06-03,86,62.0,,0.62,53.32
2016-06-04,67,62.0,,0.62,41.54
2016-06-05,69,62.0,,0.62,42.78
2016-06-06,88,62.0,,0.62,54.56
2016-06-07,92,62.0,,0.62,57.04
2016-06-08,93,62.0,,0.62,57.66
2016-06-09,81,62.0,,0.62,50.22
2016-06-10,80,62.0,,0.62,49.6
2016-06-11,77,62.0,,0.62,47.74
2016-06-12,61,62.0,,0.62,37.82
2016-06-13,86,62.0,,0.62,53.32
2016-06-14,79,62.0,,0.62,48.98
2016-06-15,90,62.0,,0.62,55.8
2016-06-16,81,62.0,,0.62,50.22
2016-06-17,80,62.0,,0.62,49.6
2016-06-18,71,62.0,,0.62,44.02
2016-06-19,62,62.0,,0.62,38.44
2016-06-20,83,62.0,,0.62,51.46
2016-06-21,92,62.0,,0.62,57.04
2016-06-22,72,62.0,,0.62,44.64
2016-06-23,87,62.0,,0.62,53.94
2016-06-24,74,62.0,,0.62,45.88
2016-06-25,61,62.0,,0.62,37.82
2016-06-26,60,62.0,,0.62,37.2
2016-06-27,80,62.0,,0.62,49.6
2016-06-28,90,62.0,,0.62,55.8
2016-06-29,72,62.0,,0.62,44.64
2016-06-30,100,62.0,,0.62,62.0
2016-07-01,77,60.0,False,0.6,46.199999999999996
2016-07-02,66,60.0,,0.6,39.6
2016-07-03,56,60.0,,0.6,33.6
2016-07-04,63,60.0,,0.6,37.8
2016-07-05,68,60.0,,0.6,40.8
2016-07-06,66,60.0,,0.6,39.6
2016-07-07,86,60.0,,0.6,51.6
2016-07-08,76,60.0,,0.6,45.6
2016-07-09,68,60.0,,0.6,40.8
2016-07-10,59,60.0,,0.6,35.4
2016-07-11,88,60.0,,0.6,52.8
2016-07-12,84,60.0,,0.6,50.4
2016-07-13,87,60.0,,0.6,52.199999999999996
2016-07-14,100,60.0,,0.6,60.0
2016-07-15,67,60.0,,0.6,40.199999999999996
2016-07-16,65,60.0,,0.6,39.0
2016-07-17,58,60.0,,0.6,34.8
2016-07-18,90,60.0,,0.6,54.0
2016-07-19,83,60.0,,0.6,49.8
2016-07-20,82,60.0,,0.6,49.199999999999996
2016-07-21,78,60.0,,0.6,46.8
2016-07-22,83,60.0,,0.6,49.8
2016-07-23,65,60.0,,0.6,39.0
2016-07-24,60,60.0,,0.6,36.0
2016-07-25,74,60.0,,0.6,44.4
2016-07-26,87,60.0,,0.6,52.199999999999996
2016-07-27,76,60.0,,0.6,45.6
2016-07-28,78,60.0,,0.6,46.8
2016-07-29,80,60.0,,0.6,48.0
2016-07-30,55,60.0,,0.6,33.0
2016-07-31,57,60.0,,0.6,34.199999999999996
2016-08-01,78,60.0,False,0.6,46.8
2016-08-02,80,60.0,,0.6,48.0
2016-08-03,75,60.0,,0.6,45.0
2016-08-04,83,60.0,,0.6,49.8
2016-08-05,75,60.0,,0.6,45.0
2016-08-06,46,60.0,,0.6,27.599999999999998
2016-08-07,51,60.0,,0.6,30.599999999999998
2016-08-08,71,60.0,,0.6,42.6
2016-08-09,71,60.0,,0.6,42.6
2016-08-10,88,60.0,,0.6,52.8
2016-08-11,86,60.0,,0.6,51.6
2016-08-12,89,60.0,,0.6,53.4
2016-08-13,64,60.0,,0.6,38.4
2016-08-14,61,60.0,,0.6,36.6
2016-08-15,81,60.0,,0.6,48.6
2016-08-16,89,60.0,,0.6,53.4
2016-08-17,86,60.0,,0.6,51.6
2016-08-18,100,60.0,,0.6,60.0
2016-08-19,87,60.0,,0.6,52.199999999999996
2016-08-20,73,60.0,,0.6,43.8
2016-08-21,56,60.0,,0.6,33.6
2016-08-22,69,60.0,,0.6,41.4
2016-08-23,84,60.0,,0.6,50.4
2016-08-24,80,60.0,,0.6,48.0
2016-08-25,85,60.0,,0.6,51.0
2016-08-26,84,60.0,,0.6,50.4
2016-08-27,51,60.0,,0.6,30.599999999999998
2016-08-28,71,60.0,,0.6,42.6
2016-08-29,89,60.0,,0.6,53.4
2016-08-30,79,60.0,,0.6,47.4
2016-08-31,76,60.0,,0.6,45.6
2016-09-01,60,64.0,False,0.64,38.4
2016-09-02,50,64.0,,0.64,32.0
2016-09-03,48,64.0,,0.64,30.72
2016-09-04,50,64.0,,0.64,32.0
2016-09-05,52,64.0,,0.64,33.28
2016-09-06,64,64.0,,0.64,40.96
2016-09-07,100,64.0,,0.64,64.0
2016-09-08,74,64.0,,0.64,47.36
2016-09-09,64,64.0,,0.64,40.96
2016-09-10,53,64.0,,0.64,33.92
2016-09-11,46,64.0,,0.64,29.44
2016-09-12,58,64.0,,0.64,37.12
2016-09-13,66,64.0,,0.64,42.24
2016-09-14,62,64.0,,0.64,39.68
2016-09-15,65,64.0,,0.64,41.6
2016-09-16,64,64.0,,0.64,40.96
2016-09-17,48,64.0,,0.64,30.72
2016-09-18,48,64.0,,0.64,30.72
2016-09-19,58,64.0,,0.64,37.12
2016-09-20,54,64.0,,0.64,34.56
2016-09-21,55,64.0,,0.64,35.2
2016-09-22,66,64.0,,0.64,42.24
2016-09-23,59,64.0,,0.64,37.76
2016-09-24,49,64.0,,0.64,31.36
2016-09-25,44,64.0,,0.64,28.16
2016-09-26,63,64.0,,0.64,40.32
2016-09-27,66,64.0,,0.64,42.24
2016-09-28,61,64.0,,0.64,39.04
2016-09-29,69,64.0,,0.64,44.160000000000004
2016-09-30,80,64.0,,0.64,51.2
2016-10-01,78,64.0,False,0.64,49.92
2016-10-02,69,64.0,,0.64,44.160000000000004
2016-10-03,79,64.0,,0.64,50.56
2016-10-04,70,64.0,,0.64,44.800000000000004
2016-10-05,84,64.0,,0.64,53.76
