date,SJW_unscaled,SJW_monthly,isPartial,scale,SJW
2016-05-01,100,58.0,False,0.58,57.99999999999999
2016-05-02,85,58.0,,0.58,49.3
2016-05-03,90,58.0,,0.58,52.199999999999996
2016-05-04,90,58.0,,0.58,52.199999999999996
2016-05-05,71,58.0,,0.58,41.18
2016-05-06,68,58.0,,0.58,39.44
2016-05-07,65,58.0,,0.58,37.699999999999996
2016-05-08,57,58.0,,0.58,33.059999999999995
2016-05-09,89,58.0,,0.58,51.62
2016-05-10,82,58.0,,0.58,47.559999999999995
2016-05-11,60,58.0,,0.58,34.8
2016-05-12,74,58.0,,0.58,42.919999999999995
2016-05-13,64,58.0,,0.58,37.12
2016-05-14,65,58.0,,0.58,37.699999999999996
2016-05-15,83,58.0,,0.58,48.13999999999999
2016-05-16,78,58.0,,0.58,45.239999999999995
2016-05-17,69,58.0,,0.58,40.019999999999996
2016-05-18,65,58.0,,0.58,37.699999999999996
2016-05-19,68,58.0,,0.58,39.44
2016-05-20,73,58.0,,0.58,42.339999999999996
2016-05-21,84,58.0,,0.58,48.72
2016-05-22,96,58.0,,0.58,55.67999999999999
2016-05-23,87,58.0,,0.58,50.459999999999994
2016-05-24,82,58.0,,0.58,47.559999999999995
2016-05-25,95,58.0,,0.58,55.099999999999994
2016-05-26,94,58.0,,0.58,54.519999999999996
2016-05-27,79,58.0,,0.58,45.82
2016-05-28,68,58.0,,0.58,39.44
2016-05-29,78,58.0,,0.58,45.239999999999995
2016-05-30,68,58.0,,0.58,39.44
2016-05-31,53,58.0,,0.58,30.74
2016-06-01,72,58.0,False,0.58,41.76
2016-06-02,80,58.0,,0.58,46.4
2016-06-03,81,58.0,,0.58,46.98
2016-06-04,90,58.0,,0.58,52.199999999999996
2016-06-05,100,58.0,,0.58,57.99999999999999
2016-06-06,82,58.0,,0.58,47.559999999999995
2016-06-07,66,58.0,,0.58,38.279999999999994
2016-06-08,70,58.0,,0.58,40.599999999999994
2016-06-09,81,58.0,,0.58,46.98
2016-06-10,72,58.0,,0.58,41.76
2016-06-11,63,58.0,,0.58,36.54
2016-06-12,74,58.0,,0.58,42.919999999999995
2016-06-13,91,58.0,,0.58,52.779999999999994
2016-06-14,66,58.0,,0.58,38.279999999999994
2016-06-15,71,58.0,,0.58,41.18
2016-06-16,71,58.0,,0.58,41.18
2016-06-17,66,58.0,,0.58,38.279999999999994
2016-06-18,51,58.0,,0.58,29.58
2016-06-19,78,58.0,,0.58,45.239999999999995
2016-06-20,77,58.0,,0.58,44.66
2016-06-21,66,58.0,,0.58,38.279999999999994
2016-06-22,89,58.0,,0.58,51.62
2016-06-23,50,58.0,,0.58,28.999999999999996
2016-06-24,67,58.0,,0.58,38.86
2016-06-25,69,58.0,,0.58,40.019999999999996
2016-06-26,70,58.0,,0.58,40.599999999999994
2016-06-27,62,58.0,,0.58,35.96
2016-06-28,63,58.0,,0.58,36.54
2016-06-29,92,58.0,,0.58,53.36
2016-06-30,86,58.0,,0.58,49.879999999999995
2016-07-01,67,57.0,False,0.57,38.19
2016-07-02,71,57.0,,0.57,40.47
2016-07-03,54,57.0,,0.57,30.779999999999998
2016-07-04,63,57.0,,0.57,35.91
2016-07-05,79,57.0,,0.57,45.029999999999994
2016-07-06,82,57.0,,0.57,46.739999999999995
2016-07-07,73,57.0,,0.57,41.61
2016-07-08,66,57.0,,0.57,37.62
2016-07-09,78,57.0,,0.57,44.459999999999994
2016-07-10,65,57.0,,0.57,37.05
2016-07-11,59,57.0,,0.57,33.629999999999995
2016-07-12,57,57.0,,0.57,32.489999999999995
2016-07-13,50,57.0,,0.57,28.499999999999996
2016-07-14,77,57.0,,0.57,43.88999999999999
2016-07-15,64,57.0,,0.57,36.48
2016-07-16,69,57.0,,0.57,39.33
2016-07-17,93,57.0,,0.57,53.01
2016-07-18,76,57.0,,0.57,43.31999999999999
2016-07-19,68,57.0,,0.57,38.76
2016-07-20,100,57.0,,0.57,56.99999999999999
2016-07-21,70,57.0,,0.57,39.9
2016-07-22,73,57.0,,0.57,41.61
2016-07-23,55,57.0,,0.57,31.349999999999998
2016-07-24,53,57.0,,0.57,30.209999999999997
2016-07-25,52,57.0,,0.57,29.639999999999997
2016-07-26,71,57.0,,0.57,40.47
2016-07-27,48,57.0,,0.57,27.36
2016-07-28,71,57.0,,0.57,40.47
2016-07-29,71,57.0,,0.57,40.47
2016-07-30,56,57.0,,0.57,31.919999999999998
2016-07-31,55,57.0,,0.57,31.349999999999998
2016-08-01,31,63.0,False,0.63,19.53
2016-08-02,44,63.0,,0.63,27.72
2016-08-03,36,63.0,,0.63,22.68
2016-08-04,43,63.0,,0.63,27.09
2016-08-05,33,63.0,,0.63,20.79
2016-08-06,48,63.0,,0.63,30.240000000000002
2016-08-07,25,63.0,,0.63,15.75
2016-08-08,24,63.0,,0.63,15.120000000000001
2016-08-09,25,63.0,,0.63,15.75
2016-08-10,30,63.0,,0.63,18.9
2016-08-11,43,63.0,,0.63,27.09
2016-08-12,62,63.0,,0.63,39.06
2016-08-13,58,63.0,,0.63,36.54
2016-08-14,53,63.0,,0.63,33.39
2016-08-15,35,63.0,,0.63,22.05
2016-08-16,39,63.0,,0.63,24.57
2016-08-17,37,63.0,,0.63,23.31
2016-08-18,44,63.0,,0.63,27.72
2016-08-19,38,63.0,,0.63,23.94
2016-08-20,34,63.0,,0.63,21.42
2016-08-21,47,63.0,,0.63,29.61
2016-08-22,40,63.0,,0.63,25.2
2016-08-23,48,63.0,,0.63,30.240000000000002
2016-08-24,40,63.0,,0.63,25.2
2016-08-25,34,63.0,,0.63,21.42
2016-08-26,52,63.0,,0.63,32.76
2016-08-27,41,63.0,,0.63,25.830000000000002
2016-08-28,37,63.0,,0.63,23.31
2016-08-29,42,63.0,,0.63,26.46
2016-08-30,51,63.0,,0.63,32.13
2016-08-31,100,63.0,,0.63,63.0
2016-09-01,100,69.0,False,0.69,69.0
2016-09-02,54,69.0,,0.69,37.26
2016-09-03,61,69.0,,0.69,42.089999999999996
2016-09-04,53,69.0,,0.69,36.57
2016-09-05,65,69.0,,0.69,44.849999999999994
2016-09-06,47,69.0,,0.69,32.43
2016-09-07,49,69.0,,0.69,33.809999999999995
2016-09-08,30,69.0,,0.69,20.7
2016-09-09,34,69.0,,0.69,23.459999999999997
2016-09-10,44,69.0,,0.69,30.36
2016-09-11,24,69.0,,0.69,16.56
2016-09-12,30,69.0,,0.69,20.7
2016-09-13,25,69.0,,0.69,17.25
2016-09-14,46,69.0,,0.69,31.74
2016-09-15,43,69.0,,0.69,29.669999999999998
2016-09-16,39,69.0,,0.69,26.909999999999997
2016-09-17,55,69.0,,0.69,37.949999999999996
2016-09-18,46,69.0,,0.69,31.74
2016-09-19,43,69.0,,0.69,29.669999999999998
2016-09-20,35,69.0,,0.69,24.15
2016-09-21,33,69.0,,0.69,22.77
2016-09-22,48,69.0,,0.69,33.12
2016-09-23,33,69.0,,0.69,22.77
2016-09-24,46,69.0,,0.69,31.74
2016-09-25,49,69.0,,0.69,33.809999999999995
2016-09-26,34,69.0,,0.69,23.459999999999997
2016-09-27,42,69.0,,0.69,28.979999999999997
2016-09-28,39,69.0,,0.69,26.909999999999997
2016-09-29,26,69.0,,0.69,17.939999999999998
2016-09-30,43,69.0,,0.69,29.669999999999998
2016-10-01,33,71.0,False,0.71,23.43
2016-10-02,24,71.0,,0.71,17.04
2016-10-03,25,71.0,,0.71,17.75
2016-10-04,33,71.0,,0.71,23.43
2016-10-05,36,71.0,,0.71,25.56
2016-10-06,26,71.0,,0.71,18.46
2016-10-07,38,71.0,,0.71,26.979999999999997
2016-10-08,31,71.0,,0.71,22.009999999999998
2016-10-09,24,71.0,,0.71,17.04
2016-10-10,29,71.0,,0.71,20.59
2016-10-11,25,71.0,,0.71,17.75
2016-10-12,33,71.0,,0.71,23.43
2016-10-13,42,71.0,,0.71,29.82
2016-10-14,38,71.0,,0.71,26.979999999999997
2016-10-15,35,71.0,,0.71,24.849999999999998
2016-10-16,32,71.0,,0.71,22.72
2016-10-17,36,71.0,,0.71,25.56
2016-10-18,31,71.0,,0.71,22.009999999999998
2016-10-19,32,71.0,,0.71,22.72
2016-10-20,25,71.0,,0.71,17.75
2016-10-21,35,71.0,,0.71,24.849999999999998
2016-10-22,47,71.0,,0.71,33.37
2016-10-23,51,71.0,,0.71,36.21
2016-10-24,100,71.0,,0.71,71.0
2016-10-25,92,71.0,,0.71,65.32
2016-10-26,61,71.0,,0.71,43.309999999999995
2016-10-27,81,71.0,,0.71,57.51
2016-10-28,57,71.0,,0.71,40.47
2016-10-29,38,71.0,,0.71,26.979999999999997
2016-10-30,48,71.0,,0.71,34.08
2016-10-31,29,71.0,,0.71,20.59
2016-11-01,31,100.0,False,1.0,31.0
2016-11-02,32,100.0,,1.0,32.0
2016-11-03,21,100.0,,1.0,21.0
2016-11-04,24,100.0,,1.0,24.0
2016-11-05,34,100.0,,1.0,34.0
2016-11-06,30,100.0,,1.0,30.0
2016-11-07,31,100.0,,1.0,31.0
2016-11-08,21,100.0,,1.0,21.0
2016-11-09,83,100.0,,1.0,83.0
2016-11-10,100,100.0,,1.0,100.0
2016-11-11,91,100.0,,1.0,91.0
2016-11-12,87,100.0,,1.0,87.0
2016-11-13,73,100.0,,1.0,73.0
2016-11-14,60,100.0,,1.0,60.0
2016-11-15,66,100.0,,1.0,66.0
2016-11-16,56,100.0,,1.0,56.0
2016-11-17,50,100.0,,1.0,50.0
2016-11-18,44,100.0,,1.0,44.0
2016-11-19,48,100.0,,1.0,48.0
2016-11-20,52,100.0,,1.0,52.0
2016-11-21,43,100.0,,1.0,43.0
2016-11-22,32,100.0,,1.0,32.0
2016-11-23,49,100.0,,1.0,49.0
2016-11-24,32,100.0,,1.0,32.0
2016-11-25,46,100.0,,1.0,46.0
2016-11-26,26,100.0,,1.0,26.0
2016-11-27,39,100.0,,1.0,39.0
2016-11-28,32,100.0,,1.0,32.0
2016-11-29,42,100.0,,1.0,42.0
2016-11-30,45,100.0,,1.0,45.0
2016-12-01,74,70.0,False,0.7,51.8
2016-12-02,64,70.0,,0.7,44.8
2016-12-03,60,70.0,,0.7,42.0
2016-12-04,80,70.0,,0.7,56.0
2016-12-05,57,70.0,,0.7,39.9
2016-12-06,69,70.0,,0.7,48.3
2016-12-07,74,70.0,,0.7,51.8
2016-12-08,63,70.0,,0.7,44.099999999999994
2016-12-09,57,70.0,,0.7,39.9
2016-12-10,59,70.0,,0.7,41.3
2016-12-11,61,70.0,,0.7,42.699999999999996
2016-12-12,48,70.0,,0.7,33.599999999999994
2016-12-13,66,70.0,,0.7,46.199999999999996
2016-12-14,59,70.0,,0.7,41.3
2016-12-15,58,70.0,,0.7,40.599999999999994
2016-12-16,71,70.0,,0.7,49.699999999999996
2016-12-17,47,70.0,,0.7,32.9
2016-12-18,61,70.0,,0.7,42.699999999999996
2016-12-19,60,70.0,,0.7,42.0
2016-12-20,66,70.0,,0.7,46.199999999999996
2016-12-21,77,70.0,,0.7,53.9
2016-12-22,57,70.0,,0.7,39.9
2016-12-23,58,70.0,,0.7,40.599999999999994
2016-12-24,52,70.0,,0.7,36.4
2016-12-25,64,70.0,,0.7,44.8
2016-12-26,53,70.0,,0.7,37.099999999999994
2016-12-27,56,70.0,,0.7,39.199999999999996
