date,NVDA_unscaled,NVDA_monthly,isPartial,scale,NVDA
2016-05-01,3,8.0,False,0.08,0.24
2016-05-02,25,8.0,,0.08,2.0
2016-05-03,20,8.0,,0.08,1.6
2016-05-04,29,8.0,,0.08,2.32
2016-05-05,22,8.0,,0.08,1.76
2016-05-06,27,8.0,,0.08,2.16
2016-05-07,7,8.0,,0.08,0.56
2016-05-08,12,8.0,,0.08,0.96
2016-05-09,22,8.0,,0.08,1.76
2016-05-10,25,8.0,,0.08,2.0
2016-05-11,28,8.0,,0.08,2.24
2016-05-12,80,8.0,,0.08,6.4
2016-05-13,100,8.0,,0.08,8.0
2016-05-14,29,8.0,,0.08,2.32
2016-05-15,15,8.0,,0.08,1.2
2016-05-16,55,8.0,,0.08,4.4
2016-05-17,39,8.0,,0.08,3.12
2016-05-18,34,8.0,,0.08,2.72
2016-05-19,47,8.0,,0.08,3.7600000000000002
2016-05-20,40,8.0,,0.08,3.2
2016-05-21,12,8.0,,0.08,0.96
2016-05-22,10,8.0,,0.08,0.8
2016-05-23,46,8.0,,0.08,3.68
2016-05-24,55,8.0,,0.08,4.4
2016-05-25,47,8.0,,0.08,3.7600000000000002
2016-05-26,36,8.0,,0.08,2.88
2016-05-27,37,8.0,,0.08,2.96
2016-05-28,19,8.0,,0.08,1.52
2016-05-29,8,8.0,,0.08,0.64
2016-05-30,13,8.0,,0.08,1.04
2016-05-31,41,8.0,,0.08,3.2800000000000002
2016-06-01,61,7.0,False,0.07,4.2700000000000005
2016-06-02,45,7.0,,0.07,3.1500000000000004
2016-06-03,81,7.0,,0.07,5.670000000000001
2016-06-04,16,7.0,,0.07,1.12
2016-06-05,16,7.0,,0.07,1.12
2016-06-06,60,7.0,,0.07,4.2
2016-06-07,53,7.0,,0.07,3.7100000000000004
2016-06-08,54,7.0,,0.07,3.7800000000000002
2016-06-09,71,7.0,,0.07,4.970000000000001
2016-06-10,48,7.0,,0.07,3.3600000000000003
2016-06-11,21,7.0,,0.07,1.4700000000000002
2016-06-12,11,7.0,,0.07,0.77
2016-06-13,52,7.0,,0.07,3.6400000000000006
2016-06-14,40,7.0,,0.07,2.8000000000000003
2016-06-15,41,7.0,,0.07,2.87
2016-06-16,43,7.0,,0.07,3.0100000000000002
2016-06-17,47,7.0,,0.07,3.2900000000000005
2016-06-18,8,7.0,,0.07,0.56
2016-06-19,8,7.0,,0.07,0.56
2016-06-20,58,7.0,,0.07,4.0600000000000005
2016-06-21,78,7.0,,0.07,5.460000000000001
2016-06-22,48,7.0,,0.07,3.3600000000000003
2016-06-23,57,7.0,,0.07,3.99
2016-06-24,100,7.0,,0.07,7.000000000000001
2016-06-25,11,7.0,,0.07,0.77
2016-06-26,14,7.0,,0.07,0.9800000000000001
2016-06-27,72,7.0,,0.07,5.040000000000001
2016-06-28,59,7.0,,0.07,4.130000000000001
2016-06-29,68,7.0,,0.07,4.760000000000001
2016-06-30,75,7.0,,0.07,5.250000000000001
2016-07-01,30,8.0,False,0.08,2.4
2016-07-02,12,8.0,,0.08,0.96
2016-07-03,13,8.0,,0.08,1.04
2016-07-04,15,8.0,,0.08,1.2
2016-07-05,44,8.0,,0.08,3.52
2016-07-06,61,8.0,,0.08,4.88
2016-07-07,55,8.0,,0.08,4.4
2016-07-08,85,8.0,,0.08,6.8
2016-07-09,27,8.0,,0.08,2.16
2016-07-10,7,8.0,,0.08,0.56
2016-07-11,82,8.0,,0.08,6.5600000000000005
2016-07-12,76,8.0,,0.08,6.08
2016-07-13,78,8.0,,0.08,6.24
2016-07-14,73,8.0,,0.08,5.84
2016-07-15,69,8.0,,0.08,5.5200000000000005
2016-07-16,22,8.0,,0.08,1.76
2016-07-17,20,8.0,,0.08,1.6
2016-07-18,70,8.0,,0.08,5.6000000000000005
2016-07-19,84,8.0,,0.08,6.72
2016-07-20,75,8.0,,0.08,6.0
2016-07-21,73,8.0,,0.08,5.84
2016-07-22,89,8.0,,0.08,7.12
2016-07-23,7,8.0,,0.08,0.56
2016-07-24,12,8.0,,0.08,0.96
2016-07-25,85,8.0,,0.08,6.8
2016-07-26,100,8.0,,0.08,8.0
2016-07-27,100,8.0,,0.08,8.0
2016-07-28,58,8.0,,0.08,4.64
2016-07-29,81,8.0,,0.08,6.48
2016-07-30,39,8.0,,0.08,3.12
2016-07-31,20,8.0,,0.08,1.6
2016-08-01,35,12.0,False,0.12,4.2
2016-08-02,42,12.0,,0.12,5.04
2016-08-03,28,12.0,,0.12,3.36
2016-08-04,24,12.0,,0.12,2.88
2016-08-05,19,12.0,,0.12,2.28
2016-08-06,7,12.0,,0.12,0.84
2016-08-07,4,12.0,,0.12,0.48
2016-08-08,34,12.0,,0.12,4.08
2016-08-09,31,12.0,,0.12,3.7199999999999998
2016-08-10,41,12.0,,0.12,4.92
2016-08-11,93,12.0,,0.12,11.16
2016-08-12,100,12.0,,0.12,12.0
2016-08-13,17,12.0,,0.12,2.04
2016-08-14,5,12.0,,0.12,0.6
2016-08-15,53,12.0,,0.12,6.359999999999999
2016-08-16,46,12.0,,0.12,5.52
2016-08-17,41,12.0,,0.12,4.92
2016-08-18,34,12.0,,0.12,4.08
2016-08-19,34,12.0,,0.12,4.08
2016-08-20,11,12.0,,0.12,1.3199999999999998
2016-08-21,4,12.0,,0.12,0.48
2016-08-22,24,12.0,,0.12,2.88
2016-08-23,30,12.0,,0.12,3.5999999999999996
2016-08-24,30,12.0,,0.12,3.5999999999999996
2016-08-25,35,12.0,,0.12,4.2
2016-08-26,24,12.0,,0.12,2.88
2016-08-27,9,12.0,,0.12,1.08
2016-08-28,4,12.0,,0.12,0.48
2016-08-29,28,12.0,,0.12,3.36
2016-08-30,30,12.0,,0.12,3.5999999999999996
2016-08-31,21,12.0,,0.12,2.52
2016-09-01,64,9.0,False,0.09,5.76
2016-09-02,58,9.0,,0.09,5.22
2016-09-03,4,9.0,,0.09,0.36
