date,VC_unscaled,VC_monthly,isPartial,scale,VC
2016-05-01,78,52.0,False,0.52,40.56
2016-05-02,79,52.0,,0.52,41.08
2016-05-03,85,52.0,,0.52,44.2
2016-05-04,74,52.0,,0.52,38.480000000000004
2016-05-05,96,52.0,,0.52,49.92
2016-05-06,86,52.0,,0.52,44.72
2016-05-07,68,52.0,,0.52,35.36
2016-05-08,91,52.0,,0.52,47.32
2016-05-09,78,52.0,,0.52,40.56
2016-05-10,78,52.0,,0.52,40.56
2016-05-11,84,52.0,,0.52,43.68
2016-05-12,88,52.0,,0.52,45.760000000000005
2016-05-13,86,52.0,,0.52,44.72
2016-05-14,78,52.0,,0.52,40.56
2016-05-15,86,52.0,,0.52,44.72
2016-05-16,82,52.0,,0.52,42.64
2016-05-17,75,52.0,,0.52,39.0
2016-05-18,86,52.0,,0.52,44.72
2016-05-19,89,52.0,,0.52,46.28
2016-05-20,63,52.0,,0.52,32.76
2016-05-21,82,52.0,,0.52,42.64
2016-05-22,74,52.0,,0.52,38.480000000000004
2016-05-23,98,52.0,,0.52,50.96
2016-05-24,90,52.0,,0.52,46.800000000000004
2016-05-25,100,52.0,,0.52,52.0
2016-05-26,97,52.0,,0.52,50.440000000000005
2016-05-27,91,52.0,,0.52,47.32
2016-05-28,90,52.0,,0.52,46.800000000000004
2016-05-29,98,52.0,,0.52,50.96
2016-05-30,86,52.0,,0.52,44.72
2016-05-31,85,52.0,,0.52,44.2
2016-06-01,76,57.0,False,0.57,43.31999999999999
2016-06-02,84,57.0,,0.57,47.879999999999995
2016-06-03,70,57.0,,0.57,39.9
2016-06-04,71,57.0,,0.57,40.47
2016-06-05,64,57.0,,0.57,36.48
2016-06-06,81,57.0,,0.57,46.169999999999995
2016-06-07,69,57.0,,0.57,39.33
2016-06-08,73,57.0,,0.57,41.61
2016-06-09,86,57.0,,0.57,49.019999999999996
2016-06-10,83,57.0,,0.57,47.309999999999995
2016-06-11,69,57.0,,0.57,39.33
2016-06-12,92,57.0,,0.57,52.44
2016-06-13,87,57.0,,0.57,49.589999999999996
2016-06-14,76,57.0,,0.57,43.31999999999999
2016-06-15,100,57.0,,0.57,56.99999999999999
2016-06-16,78,57.0,,0.57,44.459999999999994
2016-06-17,74,57.0,,0.57,42.18
2016-06-18,73,57.0,,0.57,41.61
2016-06-19,74,57.0,,0.57,42.18
2016-06-20,83,57.0,,0.57,47.309999999999995
2016-06-21,79,57.0,,0.57,45.029999999999994
2016-06-22,73,57.0,,0.57,41.61
2016-06-23,90,57.0,,0.57,51.3
2016-06-24,80,57.0,,0.57,45.599999999999994
2016-06-25,61,57.0,,0.57,34.769999999999996
2016-06-26,82,57.0,,0.57,46.739999999999995
2016-06-27,69,57.0,,0.57,39.33
2016-06-28,92,57.0,,0.57,52.44
2016-06-29,89,57.0,,0.57,50.73
2016-06-30,86,57.0,,0.57,49.019999999999996
2016-07-01,89,52.0,False,0.52,46.28
2016-07-02,81,52.0,,0.52,42.120000000000005
2016-07-03,85,52.0,,0.52,44.2
2016-07-04,75,52.0,,0.52,39.0
2016-07-05,91,52.0,,0.52,47.32
2016-07-06,100,52.0,,0.52,52.0
2016-07-07,95,52.0,,0.52,49.4
2016-07-08,79,52.0,,0.52,41.08
2016-07-09,93,52.0,,0.52,48.36
2016-07-10,65,52.0,,0.52,33.800000000000004
2016-07-11,73,52.0,,0.52,37.96
2016-07-12,80,52.0,,0.52,41.6
2016-07-13,82,52.0,,0.52,42.64
2016-07-14,71,52.0,,0.52,36.92
2016-07-15,79,52.0,,0.52,41.08
2016-07-16,63,52.0,,0.52,32.76
2016-07-17,70,52.0,,0.52,36.4
2016-07-18,89,52.0,,0.52,46.28
2016-07-19,88,52.0,,0.52,45.760000000000005
2016-07-20,98,52.0,,0.52,50.96
2016-07-21,84,52.0,,0.52,43.68
2016-07-22,78,52.0,,0.52,40.56
2016-07-23,80,52.0,,0.52,41.6
2016-07-24,63,52.0,,0.52,32.76
2016-07-25,90,52.0,,0.52,46.800000000000004
2016-07-26,83,52.0,,0.52,43.160000000000004
2016-07-27,71,52.0,,0.52,36.92
2016-07-28,70,52.0,,0.52,36.4
2016-07-29,58,52.0,,0.52,30.16
2016-07-30,63,52.0,,0.52,32.76
2016-07-31,73,52.0,,0.52,37.96
2016-08-01,79,47.0,False,0.47,37.129999999999995
2016-08-02,98,47.0,,0.47,46.059999999999995
2016-08-03,94,47.0,,0.47,44.18
2016-08-04,93,47.0,,0.47,43.71
2016-08-05,100,47.0,,0.47,47.0
2016-08-06,82,47.0,,0.47,38.54
2016-08-07,75,47.0,,0.47,35.25
2016-08-08,89,47.0,,0.47,41.83
2016-08-09,92,47.0,,0.47,43.239999999999995
2016-08-10,92,47.0,,0.47,43.239999999999995
2016-08-11,72,47.0,,0.47,33.839999999999996
2016-08-12,75,47.0,,0.47,35.25
2016-08-13,70,47.0,,0.47,32.9
2016-08-14,64,47.0,,0.47,30.08
2016-08-15,91,47.0,,0.47,42.769999999999996
2016-08-16,89,47.0,,0.47,41.83
2016-08-17,84,47.0,,0.47,39.48
2016-08-18,86,47.0,,0.47,40.419999999999995
2016-08-19,78,47.0,,0.47,36.66
2016-08-20,84,47.0,,0.47,39.48
2016-08-21,65,47.0,,0.47,30.549999999999997
2016-08-22,100,47.0,,0.47,47.0
2016-08-23,72,47.0,,0.47,33.839999999999996
2016-08-24,81,47.0,,0.47,38.07
2016-08-25,96,47.0,,0.47,45.12
2016-08-26,93,47.0,,0.47,43.71
2016-08-27,80,47.0,,0.47,37.599999999999994
2016-08-28,72,47.0,,0.47,33.839999999999996
2016-08-29,81,47.0,,0.47,38.07
2016-08-30,88,47.0,,0.47,41.36
2016-08-31,85,47.0,,0.47,39.949999999999996
2016-09-01,33,62.0,False,0.62,20.46
2016-09-02,31,62.0,,0.62,19.22
2016-09-03,29,62.0,,0.62,17.98
2016-09-04,33,62.0,,0.62,20.46
2016-09-05,31,62.0,,0.62,19.22
2016-09-06,34,62.0,,0.62,21.08
2016-09-07,35,62.0,,0.62,21.7
2016-09-08,42,62.0,,0.62,26.04
2016-09-09,39,62.0,,0.62,24.18
2016-09-10,34,62.0,,0.62,21.08
2016-09-11,34,62.0,,0.62,21.08
2016-09-12,38,62.0,,0.62,23.56
2016-09-13,50,62.0,,0.62,31.0
2016-09-14,43,62.0,,0.62,26.66
2016-09-15,48,62.0,,0.62,29.759999999999998
2016-09-16,83,62.0,,0.62,51.46
2016-09-17,100,62.0,,0.62,62.0
2016-09-18,81,62.0,,0.62,50.22
2016-09-19,66,62.0,,0.62,40.92
2016-09-20,74,62.0,,0.62,45.88
2016-09-21,57,62.0,,0.62,35.339999999999996
2016-09-22,48,62.0,,0.62,29.759999999999998
2016-09-23,58,62.0,,0.62,35.96
2016-09-24,56,62.0,,0.62,34.72
2016-09-25,45,62.0,,0.62,27.9
2016-09-26,54,62.0,,0.62,33.48
2016-09-27,52,62.0,,0.62,32.24
2016-09-28,47,62.0,,0.62,29.14
2016-09-29,45,62.0,,0.62,27.9
2016-09-30,45,62.0,,0.62,27.9
2016-10-01,94,52.0,False,0.52,48.88
2016-10-02,99,52.0,,0.52,51.480000000000004
2016-10-03,72,52.0,,0.52,37.44
2016-10-04,92,52.0,,0.52,47.84
2016-10-05,97,52.0,,0.52,50.440000000000005
2016-10-06,85,52.0,,0.52,44.2
2016-10-07,86,52.0,,0.52,44.72
2016-10-08,82,52.0,,0.52,42.64
2016-10-09,78,52.0,,0.52,40.56
2016-10-10,84,52.0,,0.52,43.68
2016-10-11,88,52.0,,0.52,45.760000000000005
2016-10-12,97,52.0,,0.52,50.440000000000005
2016-10-13,88,52.0,,0.52,45.760000000000005
2016-10-14,92,52.0,,0.52,47.84
2016-10-15,85,52.0,,0.52,44.2
2016-10-16,70,52.0,,0.52,36.4
2016-10-17,91,52.0,,0.52,47.32
2016-10-18,84,52.0,,0.52,43.68
2016-10-19,86,52.0,,0.52,44.72
2016-10-20,80,52.0,,0.52,41.6
2016-10-21,90,52.0,,0.52,46.800000000000004
2016-10-22,100,52.0,,0.52,52.0
2016-10-23,68,52.0,,0.52,35.36
2016-10-24,87,52.0,,0.52,45.24
2016-10-25,78,52.0,,0.52,40.56
2016-10-26,79,52.0,,0.52,41.08
2016-10-27,82,52.0,,0.52,42.64
2016-10-28,82,52.0,,0.52,42.64
2016-10-29,69,52.0,,0.52,35.88
2016-10-30,75,52.0,,0.52,39.0
2016-10-31,86,52.0,,0.52,44.72
2016-11-01,84,50.0,False,0.5,42.0
2016-11-02,92,50.0,,0.5,46.0
2016-11-03,72,50.0,,0.5,36.0
2016-11-04,75,50.0,,0.5,37.5
2016-11-05,71,50.0,,0.5,35.5
2016-11-06,74,50.0,,0.5,37.0
2016-11-07,73,50.0,,0.5,36.5
2016-11-08,65,50.0,,0.5,32.5
2016-11-09,57,50.0,,0.5,28.5
2016-11-10,67,50.0,,0.5,33.5
2016-11-11,79,50.0,,0.5,39.5
2016-11-12,63,50.0,,0.5,31.5
2016-11-13,75,50.0,,0.5,37.5
2016-11-14,70,50.0,,0.5,35.0
2016-11-15,76,50.0,,0.5,38.0
2016-11-16,83,50.0,,0.5,41.5
2016-11-17,71,50.0,,0.5,35.5
2016-11-18,70,50.0,,0.5,35.0
2016-11-19,69,50.0,,0.5,34.5
2016-11-20,82,50.0,,0.5,41.0
2016-11-21,79,50.0,,0.5,39.5
2016-11-22,81,50.0,,0.5,40.5
2016-11-23,69,50.0,,0.5,34.5
2016-11-24,73,50.0,,0.5,36.5
2016-11-25,78,50.0,,0.5,39.0
2016-11-26,100,50.0,,0.5,50.0
2016-11-27,77,50.0,,0.5,38.5
2016-11-28,86,50.0,,0.5,43.0
2016-11-29,83,50.0,,0.5,41.5
2016-11-30,88,50.0,,0.5,44.0
2016-12-01,69,54.0,False,0.54,37.260000000000005
2016-12-02,64,54.0,,0.54,34.56
2016-12-03,65,54.0,,0.54,35.1
2016-12-04,77,54.0,,0.54,41.580000000000005
2016-12-05,77,54.0,,0.54,41.580000000000005
2016-12-06,78,54.0,,0.54,42.120000000000005
2016-12-07,81,54.0,,0.54,43.74
2016-12-08,70,54.0,,0.54,37.800000000000004
2016-12-09,64,54.0,,0.54,34.56
2016-12-10,73,54.0,,0.54,39.42
2016-12-11,61,54.0,,0.54,32.940000000000005
2016-12-12,76,54.0,,0.54,41.040000000000006
2016-12-13,70,54.0,,0.54,37.800000000000004
2016-12-14,70,54.0,,0.54,37.800000000000004
2016-12-15,70,54.0,,0.54,37.800000000000004
2016-12-16,60,54.0,,0.54,32.400000000000006
2016-12-17,61,54.0,,0.54,32.940000000000005
2016-12-18,60,54.0,,0.54,32.400000000000006
2016-12-19,73,54.0,,0.54,39.42
2016-12-20,73,54.0,,0.54,39.42
2016-12-21,75,54.0,,0.54,40.5
2016-12-22,82,54.0,,0.54,44.28
2016-12-23,74,54.0,,0.54,39.96
2016-12-24,81,54.0,,0.54,43.74
2016-12-25,100,54.0,,0.54,54.0
