date,GE_unscaled,GE_monthly,isPartial,scale,GE
2016-05-01,75,75.0,False,0.75,56.25
2016-05-02,95,75.0,,0.75,71.25
2016-05-03,90,75.0,,0.75,67.5
2016-05-04,86,75.0,,0.75,64.5
2016-05-05,85,75.0,,0.75,63.75
2016-05-06,83,75.0,,0.75,62.25
2016-05-07,71,75.0,,0.75,53.25
2016-05-08,67,75.0,,0.75,50.25
2016-05-09,90,75.0,,0.75,67.5
2016-05-10,86,75.0,,0.75,64.5
2016-05-11,91,75.0,,0.75,68.25
2016-05-12,87,75.0,,0.75,65.25
2016-05-13,84,75.0,,0.75,63.0
2016-05-14,77,75.0,,0.75,57.75
2016-05-15,76,75.0,,0.75,57.0
2016-05-16,90,75.0,,0.75,67.5
2016-05-17,83,75.0,,0.75,62.25
2016-05-18,86,75.0,,0.75,64.5
2016-05-19,82,75.0,,0.75,61.5
2016-05-20,84,75.0,,0.75,63.0
2016-05-21,73,75.0,,0.75,54.75
2016-05-22,82,75.0,,0.75,61.5
2016-05-23,89,75.0,,0.75,66.75
2016-05-24,96,75.0,,0.75,72.0
2016-05-25,97,75.0,,0.75,72.75
2016-05-26,94,75.0,,0.75,70.5
2016-05-27,90,75.0,,0.75,67.5
2016-05-28,81,75.0,,0.75,60.75
2016-05-29,82,75.0,,0.75,61.5
2016-05-30,87,75.0,,0.75,65.25
2016-05-31,100,75.0,,0.75,75.0
2016-06-01,88,75.0,False,0.75,66.0
2016-06-02,87,75.0,,0.75,65.25
2016-06-03,83,75.0,,0.75,62.25
2016-06-04,71,75.0,,0.75,53.25
2016-06-05,79,75.0,,0.75,59.25
2016-06-06,91,75.0,,0.75,68.25
2016-06-07,93,75.0,,0.75,69.75
2016-06-08,92,75.0,,0.75,69.0
2016-06-09,92,75.0,,0.75,69.0
2016-06-10,83,75.0,,0.75,62.25
2016-06-11,66,75.0,,0.75,49.5
2016-06-12,73,75.0,,0.75,54.75
2016-06-13,87,75.0,,0.75,65.25
2016-06-14,90,75.0,,0.75,67.5
2016-06-15,90,75.0,,0.75,67.5
2016-06-16,88,75.0,,0.75,66.0
2016-06-17,83,75.0,,0.75,62.25
2016-06-18,70,75.0,,0.75,52.5
2016-06-19,68,75.0,,0.75,51.0
2016-06-20,91,75.0,,0.75,68.25
2016-06-21,91,75.0,,0.75,68.25
2016-06-22,89,75.0,,0.75,66.75
2016-06-23,85,75.0,,0.75,63.75
2016-06-24,90,75.0,,0.75,67.5
2016-06-25,75,75.0,,0.75,56.25
2016-06-26,77,75.0,,0.75,57.75
2016-06-27,97,75.0,,0.75,72.75
2016-06-28,100,75.0,,0.75,75.0
2016-06-29,100,75.0,,0.75,75.0
2016-06-30,90,75.0,,0.75,67.5
2016-07-01,89,78.0,False,0.78,69.42
2016-07-02,74,78.0,,0.78,57.72
2016-07-03,75,78.0,,0.78,58.5
2016-07-04,74,78.0,,0.78,57.72
2016-07-05,94,78.0,,0.78,73.32000000000001
2016-07-06,95,78.0,,0.78,74.10000000000001
2016-07-07,93,78.0,,0.78,72.54
2016-07-08,88,78.0,,0.78,68.64
2016-07-09,74,78.0,,0.78,57.72
2016-07-10,80,78.0,,0.78,62.400000000000006
2016-07-11,96,78.0,,0.78,74.88
2016-07-12,94,78.0,,0.78,73.32000000000001
2016-07-13,100,78.0,,0.78,78.0
2016-07-14,94,78.0,,0.78,73.32000000000001
2016-07-15,86,78.0,,0.78,67.08
2016-07-16,73,78.0,,0.78,56.940000000000005
2016-07-17,75,78.0,,0.78,58.5
2016-07-18,99,78.0,,0.78,77.22
2016-07-19,99,78.0,,0.78,77.22
2016-07-20,96,78.0,,0.78,74.88
2016-07-21,96,78.0,,0.78,74.88
2016-07-22,98,78.0,,0.78,76.44
2016-07-23,78,78.0,,0.78,60.84
2016-07-24,79,78.0,,0.78,61.620000000000005
2016-07-25,97,78.0,,0.78,75.66
2016-07-26,87,78.0,,0.78,67.86
2016-07-27,90,78.0,,0.78,70.2
2016-07-28,93,78.0,,0.78,72.54
2016-07-29,82,78.0,,0.78,63.96
2016-07-30,71,78.0,,0.78,55.38
2016-07-31,79,78.0,,0.78,61.620000000000005
2016-08-01,94,74.0,False,0.74,69.56
2016-08-02,93,74.0,,0.74,68.82
2016-08-03,93,74.0,,0.74,68.82
2016-08-04,92,74.0,,0.74,68.08
2016-08-05,90,74.0,,0.74,66.6
2016-08-06,70,74.0,,0.74,51.8
