date,BE_unscaled,BE_monthly,isPartial,scale,BE
2016-05-01,76,73.0,False,0.73,55.48
2016-05-02,81,73.0,,0.73,59.129999999999995
2016-05-03,81,73.0,,0.73,59.129999999999995
2016-05-04,100,73.0,,0.73,73.0
2016-05-05,86,73.0,,0.73,62.78
2016-05-06,76,73.0,,0.73,55.48
2016-05-07,66,73.0,,0.73,48.18
2016-05-08,72,73.0,,0.73,52.56
2016-05-09,80,73.0,,0.73,58.4
2016-05-10,78,73.0,,0.73,56.94
2016-05-11,77,73.0,,0.73,56.21
2016-05-12,79,73.0,,0.73,57.67
2016-05-13,76,73.0,,0.73,55.48
2016-05-14,67,73.0,,0.73,48.91
2016-05-15,72,73.0,,0.73,52.56
2016-05-16,77,73.0,,0.73,56.21
2016-05-17,78,73.0,,0.73,56.94
2016-05-18,78,73.0,,0.73,56.94
2016-05-19,76,73.0,,0.73,55.48
2016-05-20,72,73.0,,0.73,52.56
2016-05-21,71,73.0,,0.73,51.83
2016-05-22,70,73.0,,0.73,51.1
2016-05-23,78,73.0,,0.73,56.94
2016-05-24,78,73.0,,0.73,56.94
2016-05-25,74,73.0,,0.73,54.019999999999996
2016-05-26,74,73.0,,0.73,54.019999999999996
2016-05-27,70,73.0,,0.73,51.1
2016-05-28,66,73.0,,0.73,48.18
2016-05-29,71,73.0,,0.73,51.83
2016-05-30,71,73.0,,0.73,51.83
2016-05-31,71,73.0,,0.73,51.83
2016-06-01,99,67.0,False,0.67,66.33
2016-06-02,95,67.0,,0.67,63.650000000000006
2016-06-03,96,67.0,,0.67,64.32000000000001
2016-06-04,89,67.0,,0.67,59.63
2016-06-05,97,67.0,,0.67,64.99000000000001
2016-06-06,100,67.0,,0.67,67.0
2016-06-07,99,67.0,,0.67,66.33
2016-06-08,99,67.0,,0.67,66.33
2016-06-09,98,67.0,,0.67,65.66000000000001
2016-06-10,94,67.0,,0.67,62.980000000000004
2016-06-11,90,67.0,,0.67,60.300000000000004
2016-06-12,95,67.0,,0.67,63.650000000000006
2016-06-13,96,67.0,,0.67,64.32000000000001
2016-06-14,97,67.0,,0.67,64.99000000000001
2016-06-15,97,67.0,,0.67,64.99000000000001
2016-06-16,95,67.0,,0.67,63.650000000000006
2016-06-17,96,67.0,,0.67,64.32000000000001
2016-06-18,90,67.0,,0.67,60.300000000000004
2016-06-19,94,67.0,,0.67,62.980000000000004
2016-06-20,94,67.0,,0.67,62.980000000000004
2016-06-21,96,67.0,,0.67,64.32000000000001
2016-06-22,96,67.0,,0.67,64.32000000000001
2016-06-23,93,67.0,,0.67,62.31
2016-06-24,90,67.0,,0.67,60.300000000000004
2016-06-25,90,67.0,,0.67,60.300000000000004
2016-06-26,96,67.0,,0.67,64.32000000000001
2016-06-27,94,67.0,,0.67,62.980000000000004
2016-06-28,96,67.0,,0.67,64.32000000000001
2016-06-29,96,67.0,,0.67,64.32000000000001
2016-06-30,100,67.0,,0.67,67.0
2016-07-01,94,64.0,False,0.64,60.160000000000004
2016-07-02,92,64.0,,0.64,58.88
2016-07-03,97,64.0,,0.64,62.08
2016-07-04,94,64.0,,0.64,60.160000000000004
2016-07-05,95,64.0,,0.64,60.800000000000004
2016-07-06,99,64.0,,0.64,63.36
2016-07-07,97,64.0,,0.64,62.08
2016-07-08,94,64.0,,0.64,60.160000000000004
2016-07-09,92,64.0,,0.64,58.88
2016-07-10,93,64.0,,0.64,59.52
2016-07-11,96,64.0,,0.64,61.44
2016-07-12,97,64.0,,0.64,62.08
2016-07-13,98,64.0,,0.64,62.72
2016-07-14,91,64.0,,0.64,58.24
2016-07-15,93,64.0,,0.64,59.52
2016-07-16,91,64.0,,0.64,58.24
2016-07-17,94,64.0,,0.64,60.160000000000004
2016-07-18,97,64.0,,0.64,62.08
2016-07-19,96,64.0,,0.64,61.44
2016-07-20,100,64.0,,0.64,64.0
2016-07-21,97,64.0,,0.64,62.08
2016-07-22,93,64.0,,0.64,59.52
2016-07-23,92,64.0,,0.64,58.88
2016-07-24,91,64.0,,0.64,58.24
2016-07-25,95,64.0,,0.64,60.800000000000004
2016-07-26,99,64.0,,0.64,63.36
2016-07-27,98,64.0,,0.64,62.72
2016-07-28,94,64.0,,0.64,60.160000000000004
2016-07-29,96,64.0,,0.64,61.44
2016-07-30,91,64.0,,0.64,58.24
2016-07-31,94,64.0,,0.64,60.160000000000004
2016-08-01,89,62.0,False,0.62,55.18
2016-08-02,94,62.0,,0.62,58.28
2016-08-03,93,62.0,,0.62,57.66
2016-08-04,90,62.0,,0.62,55.8
2016-08-05,89,62.0,,0.62,55.18
2016-08-06,84,62.0,,0.62,52.08
2016-08-07,86,62.0,,0.62,53.32
2016-08-08,88,62.0,,0.62,54.56
2016-08-09,87,62.0,,0.62,53.94
2016-08-10,89,62.0,,0.62,55.18
2016-08-11,89,62.0,,0.62,55.18
2016-08-12,85,62.0,,0.62,52.7
2016-08-13,81,62.0,,0.62,50.22
2016-08-14,86,62.0,,0.62,53.32
2016-08-15,83,62.0,,0.62,51.46
2016-08-16,87,62.0,,0.62,53.94
2016-08-17,87,62.0,,0.62,53.94
2016-08-18,87,62.0,,0.62,53.94
2016-08-19,82,62.0,,0.62,50.839999999999996
2016-08-20,80,62.0,,0.62,49.6
2016-08-21,86,62.0,,0.62,53.32
2016-08-22,87,62.0,,0.62,53.94
2016-08-23,91,62.0,,0.62,56.42
2016-08-24,96,62.0,,0.62,59.519999999999996
2016-08-25,99,62.0,,0.62,61.38
2016-08-26,92,62.0,,0.62,57.04
2016-08-27,89,62.0,,0.62,55.18
2016-08-28,99,62.0,,0.62,61.38
2016-08-29,96,62.0,,0.62,59.519999999999996
2016-08-30,100,62.0,,0.62,62.0
2016-08-31,99,62.0,,0.62,61.38
2016-09-01,90,70.0,False,0.7,62.99999999999999
2016-09-02,85,70.0,,0.7,59.49999999999999
2016-09-03,75,70.0,,0.7,52.5
2016-09-04,82,70.0,,0.7,57.4
2016-09-05,86,70.0,,0.7,60.199999999999996
2016-09-06,91,70.0,,0.7,63.699999999999996
2016-09-07,93,70.0,,0.7,65.1
2016-09-08,95,70.0,,0.7,66.5
2016-09-09,90,70.0,,0.7,62.99999999999999
2016-09-10,81,70.0,,0.7,56.699999999999996
2016-09-11,86,70.0,,0.7,60.199999999999996
2016-09-12,92,70.0,,0.7,64.39999999999999
2016-09-13,98,70.0,,0.7,68.6
2016-09-14,97,70.0,,0.7,67.89999999999999
2016-09-15,97,70.0,,0.7,67.89999999999999
2016-09-16,92,70.0,,0.7,64.39999999999999
2016-09-17,78,70.0,,0.7,54.599999999999994
2016-09-18,86,70.0,,0.7,60.199999999999996
2016-09-19,98,70.0,,0.7,68.6
2016-09-20,95,70.0,,0.7,66.5
2016-09-21,99,70.0,,0.7,69.3
2016-09-22,95,70.0,,0.7,66.5
2016-09-23,91,70.0,,0.7,63.699999999999996
2016-09-24,76,70.0,,0.7,53.199999999999996
2016-09-25,87,70.0,,0.7,60.9
2016-09-26,97,70.0,,0.7,67.89999999999999
2016-09-27,98,70.0,,0.7,68.6
2016-09-28,100,70.0,,0.7,70.0
2016-09-29,96,70.0,,0.7,67.19999999999999
2016-09-30,88,70.0,,0.7,61.599999999999994
2016-10-01,78,72.0,False,0.72,56.16
2016-10-02,87,72.0,,0.72,62.64
2016-10-03,94,72.0,,0.72,67.67999999999999
2016-10-04,100,72.0,,0.72,72.0
2016-10-05,98,72.0,,0.72,70.56
2016-10-06,95,72.0,,0.72,68.39999999999999
2016-10-07,85,72.0,,0.72,61.199999999999996
2016-10-08,78,72.0,,0.72,56.16
2016-10-09,82,72.0,,0.72,59.04
2016-10-10,92,72.0,,0.72,66.24
2016-10-11,97,72.0,,0.72,69.84
2016-10-12,95,72.0,,0.72,68.39999999999999
2016-10-13,96,72.0,,0.72,69.12
2016-10-14,92,72.0,,0.72,66.24
2016-10-15,76,72.0,,0.72,54.72
2016-10-16,86,72.0,,0.72,61.919999999999995
2016-10-17,96,72.0,,0.72,69.12
2016-10-18,98,72.0,,0.72,70.56
2016-10-19,98,72.0,,0.72,70.56
2016-10-20,97,72.0,,0.72,69.84
2016-10-21,89,72.0,,0.72,64.08
2016-10-22,82,72.0,,0.72,59.04
2016-10-23,88,72.0,,0.72,63.36
2016-10-24,97,72.0,,0.72,69.84
2016-10-25,96,72.0,,0.72,69.12
2016-10-26,96,72.0,,0.72,69.12
2016-10-27,94,72.0,,0.72,67.67999999999999
2016-10-28,90,72.0,,0.72,64.8
2016-10-29,79,72.0,,0.72,56.879999999999995
2016-10-30,87,72.0,,0.72,62.64
2016-10-31,93,72.0,,0.72,66.96
2016-11-01,80,72.0,False,0.72,57.599999999999994
2016-11-02,84,72.0,,0.72,60.48
2016-11-03,81,72.0,,0.72,58.32
2016-11-04,77,72.0,,0.72,55.44
2016-11-05,69,72.0,,0.72,49.68
2016-11-06,76,72.0,,0.72,54.72
2016-11-07,82,72.0,,0.72,59.04
2016-11-08,98,72.0,,0.72,70.56
2016-11-09,100,72.0,,0.72,72.0
2016-11-10,92,72.0,,0.72,66.24
2016-11-11,81,72.0,,0.72,58.32
2016-11-12,71,72.0,,0.72,51.12
2016-11-13,77,72.0,,0.72,55.44
2016-11-14,86,72.0,,0.72,61.919999999999995
2016-11-15,84,72.0,,0.72,60.48
2016-11-16,84,72.0,,0.72,60.48
2016-11-17,84,72.0,,0.72,60.48
2016-11-18,77,72.0,,0.72,55.44
2016-11-19,66,72.0,,0.72,47.519999999999996
2016-11-20,70,72.0,,0.72,50.4
2016-11-21,76,72.0,,0.72,54.72
2016-11-22,75,72.0,,0.72,54.0
2016-11-23,70,72.0,,0.72,50.4
2016-11-24,69,72.0,,0.72,49.68
2016-11-25,55,72.0,,0.72,39.6
2016-11-26,64,72.0,,0.72,46.08
2016-11-27,72,72.0,,0.72,51.839999999999996
2016-11-28,76,72.0,,0.72,54.72
2016-11-29,78,72.0,,0.72,56.16
2016-11-30,82,72.0,,0.72,59.04
2016-12-01,97,68.0,False,0.68,65.96000000000001
2016-12-02,93,68.0,,0.68,63.24
2016-12-03,85,68.0,,0.68,57.800000000000004
2016-12-04,91,68.0,,0.68,61.88
2016-12-05,97,68.0,,0.68,65.96000000000001
2016-12-06,100,68.0,,0.68,68.0
2016-12-07,99,68.0,,0.68,67.32000000000001
2016-12-08,98,68.0,,0.68,66.64
2016-12-09,90,68.0,,0.68,61.2
2016-12-10,80,68.0,,0.68,54.400000000000006
2016-12-11,83,68.0,,0.68,56.440000000000005
2016-12-12,93,68.0,,0.68,63.24
2016-12-13,94,68.0,,0.68,63.92
2016-12-14,95,68.0,,0.68,64.60000000000001
2016-12-15,90,68.0,,0.68,61.2
2016-12-16,85,68.0,,0.68,57.800000000000004
2016-12-17,73,68.0,,0.68,49.64
2016-12-18,76,68.0,,0.68,51.68000000000001
2016-12-19,82,68.0,,0.68,55.760000000000005
2016-12-20,82,68.0,,0.68,55.760000000000005
2016-12-21,79,68.0,,0.68,53.720000000000006
2016-12-22,77,68.0,,0.68,52.36000000000001
2016-12-23,72,68.0,,0.68,48.96
2016-12-24,74,68.0,,0.68,50.32
2016-12-25,71,68.0,,0.68,48.28
2016-12-26,70,68.0,,0.68,47.6
2016-12-27,73,68.0,,0.68,49.64
2016-12-28,76,68.0,,0.68,51.68000000000001
2016-12-29,76,68.0,,0.68,51.68000000000001
2016-12-30,77,68.0,,0.68,52.36000000000001
2016-12-31,73,68.0,,0.68,49.64
2017-01-01,75,70.0,False,0.7,52.5
2017-01-02,77,70.0,,0.7,53.9
2017-01-03,81,70.0,,0.7,56.699999999999996
2017-01-04,81,70.0,,0.7,56.699999999999996
2017-01-05,87,70.0,,0.7,60.9
2017-01-06,83,70.0,,0.7,58.099999999999994
2017-01-07,77,70.0,,0.7,53.9
2017-01-08,79,70.0,,0.7,55.3
2017-01-09,82,70.0,,0.7,57.4
2017-01-10,86,70.0,,0.7,60.199999999999996
2017-01-11,92,70.0,,0.7,64.39999999999999
2017-01-12,92,70.0,,0.7,64.39999999999999
2017-01-13,90,70.0,,0.7,62.99999999999999
2017-01-14,79,70.0,,0.7,55.3
2017-01-15,80,70.0,,0.7,56.0
2017-01-16,83,70.0,,0.7,58.099999999999994
2017-01-17,91,70.0,,0.7,63.699999999999996
2017-01-18,93,70.0,,0.7,65.1
2017-01-19,100,70.0,,0.7,70.0
2017-01-20,94,70.0,,0.7,65.8
2017-01-21,79,70.0,,0.7,55.3
2017-01-22,88,70.0,,0.7,61.599999999999994
2017-01-23,95,70.0,,0.7,66.5
2017-01-24,99,70.0,,0.7,69.3
2017-01-25,98,70.0,,0.7,68.6
2017-01-26,97,70.0,,0.7,67.89999999999999
2017-01-27,94,70.0,,0.7,65.8
2017-01-28,87,70.0,,0.7,60.9
2017-01-29,91,70.0,,0.7,63.699999999999996
2017-01-30,99,70.0,,0.7,69.3
2017-01-31,100,70.0,,0.7,70.0
2017-02-01,98,75.0,False,0.75,73.5
2017-02-02,98,75.0,,0.75,73.5
2017-02-03,94,75.0,,0.75,70.5
2017-02-04,82,75.0,,0.75,61.5
2017-02-05,91,75.0,,0.75,68.25
2017-02-06,92,75.0,,0.75,69.0
2017-02-07,97,75.0,,0.75,72.75
2017-02-08,99,75.0,,0.75,74.25
2017-02-09,97,75.0,,0.75,72.75
2017-02-10,91,75.0,,0.75,68.25
2017-02-11,84,75.0,,0.75,63.0
2017-02-12,90,75.0,,0.75,67.5
2017-02-13,95,75.0,,0.75,71.25
2017-02-14,100,75.0,,0.75,75.0
2017-02-15,99,75.0,,0.75,74.25
2017-02-16,100,75.0,,0.75,75.0
2017-02-17,92,75.0,,0.75,69.0
2017-02-18,81,75.0,,0.75,60.75
2017-02-19,85,75.0,,0.75,63.75
2017-02-20,90,75.0,,0.75,67.5
2017-02-21,94,75.0,,0.75,70.5
2017-02-22,95,75.0,,0.75,71.25
2017-02-23,95,75.0,,0.75,71.25
2017-02-24,90,75.0,,0.75,67.5
2017-02-25,82,75.0,,0.75,61.5
2017-02-26,85,75.0,,0.75,63.75
2017-02-27,94,75.0,,0.75,70.5
2017-02-28,95,75.0,,0.75,71.25
2017-03-01,96,72.0,False,0.72,69.12
2017-03-02,98,72.0,,0.72,70.56
2017-03-03,94,72.0,,0.72,67.67999999999999
2017-03-04,81,72.0,,0.72,58.32
2017-03-05,92,72.0,,0.72,66.24
2017-03-06,100,72.0,,0.72,72.0
2017-03-07,98,72.0,,0.72,70.56
2017-03-08,97,72.0,,0.72,69.84
2017-03-09,95,72.0,,0.72,68.39999999999999
2017-03-10,89,72.0,,0.72,64.08
2017-03-11,80,72.0,,0.72,57.599999999999994
2017-03-12,85,72.0,,0.72,61.199999999999996
2017-03-13,92,72.0,,0.72,66.24
2017-03-14,91,72.0,,0.72,65.52
2017-03-15,91,72.0,,0.72,65.52
2017-03-16,90,72.0,,0.72,64.8
2017-03-17,85,72.0,,0.72,61.199999999999996
2017-03-18,78,72.0,,0.72,56.16
2017-03-19,85,72.0,,0.72,61.199999999999996
2017-03-20,93,72.0,,0.72,66.96
2017-03-21,94,72.0,,0.72,67.67999999999999
2017-03-22,95,72.0,,0.72,68.39999999999999
2017-03-23,92,72.0,,0.72,66.24
2017-03-24,91,72.0,,0.72,65.52
2017-03-25,80,72.0,,0.72,57.599999999999994
2017-03-26,91,72.0,,0.72,65.52
2017-03-27,95,72.0,,0.72,68.39999999999999
2017-03-28,97,72.0,,0.72,69.84
2017-03-29,93,72.0,,0.72,66.96
2017-03-30,95,72.0,,0.72,68.39999999999999
2017-03-31,88,72.0,,0.72,63.36
2017-04-01,76,73.0,False,0.73,55.48
2017-04-02,85,73.0,,0.73,62.05
2017-04-03,88,73.0,,0.73,64.24
2017-04-04,92,73.0,,0.73,67.16
2017-04-05,91,73.0,,0.73,66.42999999999999
2017-04-06,92,73.0,,0.73,67.16
2017-04-07,86,73.0,,0.73,62.78
2017-04-08,79,73.0,,0.73,57.67
2017-04-09,86,73.0,,0.73,62.78
2017-04-10,94,73.0,,0.73,68.62
2017-04-11,91,73.0,,0.73,66.42999999999999
2017-04-12,92,73.0,,0.73,67.16
2017-04-13,88,73.0,,0.73,64.24
2017-04-14,83,73.0,,0.73,60.589999999999996
2017-04-15,83,73.0,,0.73,60.589999999999996
2017-04-16,87,73.0,,0.73,63.51
2017-04-17,92,73.0,,0.73,67.16
2017-04-18,93,73.0,,0.73,67.89
2017-04-19,94,73.0,,0.73,68.62
2017-04-20,91,73.0,,0.73,66.42999999999999
2017-04-21,89,73.0,,0.73,64.97
2017-04-22,81,73.0,,0.73,59.129999999999995
2017-04-23,86,73.0,,0.73,62.78
2017-04-24,96,73.0,,0.73,70.08
2017-04-25,100,73.0,,0.73,73.0
2017-04-26,95,73.0,,0.73,69.35
2017-04-27,98,73.0,,0.73,71.53999999999999
2017-04-28,92,73.0,,0.73,67.16
2017-04-29,86,73.0,,0.73,62.78
2017-04-30,98,73.0,,0.73,71.53999999999999
2017-05-01,87,71.0,False,0.71,61.769999999999996
2017-05-02,82,71.0,,0.71,58.22
2017-05-03,79,71.0,,0.71,56.089999999999996
2017-05-04,100,71.0,,0.71,71.0
2017-05-05,79,71.0,,0.71,56.089999999999996
2017-05-06,70,71.0,,0.71,49.699999999999996
2017-05-07,73,71.0,,0.71,51.83
2017-05-08,80,71.0,,0.71,56.8
2017-05-09,80,71.0,,0.71,56.8
2017-05-10,79,71.0,,0.71,56.089999999999996
2017-05-11,76,71.0,,0.71,53.959999999999994
2017-05-12,74,71.0,,0.71,52.54
2017-05-13,66,71.0,,0.71,46.86
2017-05-14,73,71.0,,0.71,51.83
2017-05-15,75,71.0,,0.71,53.25
2017-05-16,75,71.0,,0.71,53.25
2017-05-17,76,71.0,,0.71,53.959999999999994
2017-05-18,76,71.0,,0.71,53.959999999999994
2017-05-19,70,71.0,,0.71,49.699999999999996
2017-05-20,67,71.0,,0.71,47.57
2017-05-21,69,71.0,,0.71,48.989999999999995
2017-05-22,74,71.0,,0.71,52.54
2017-05-23,69,71.0,,0.71,48.989999999999995
2017-05-24,72,71.0,,0.71,51.12
2017-05-25,72,71.0,,0.71,51.12
2017-05-26,69,71.0,,0.71,48.989999999999995
2017-05-27,64,71.0,,0.71,45.44
2017-05-28,68,71.0,,0.71,48.28
2017-05-29,68,71.0,,0.71,48.28
2017-05-30,69,71.0,,0.71,48.989999999999995
2017-05-31,72,71.0,,0.71,51.12
2017-06-01,96,65.0,False,0.65,62.400000000000006
2017-06-02,93,65.0,,0.65,60.45
2017-06-03,90,65.0,,0.65,58.5
2017-06-04,92,65.0,,0.65,59.800000000000004
2017-06-05,92,65.0,,0.65,59.800000000000004
2017-06-06,98,65.0,,0.65,63.7
2017-06-07,98,65.0,,0.65,63.7
2017-06-08,97,65.0,,0.65,63.050000000000004
2017-06-09,94,65.0,,0.65,61.1
2017-06-10,87,65.0,,0.65,56.550000000000004
2017-06-11,92,65.0,,0.65,59.800000000000004
2017-06-12,94,65.0,,0.65,61.1
2017-06-13,94,65.0,,0.65,61.1
2017-06-14,96,65.0,,0.65,62.400000000000006
2017-06-15,99,65.0,,0.65,64.35000000000001
2017-06-16,94,65.0,,0.65,61.1
2017-06-17,93,65.0,,0.65,60.45
2017-06-18,94,65.0,,0.65,61.1
2017-06-19,97,65.0,,0.65,63.050000000000004
2017-06-20,96,65.0,,0.65,62.400000000000006
2017-06-21,98,65.0,,0.65,63.7
2017-06-22,100,65.0,,0.65,65.0
2017-06-23,93,65.0,,0.65,60.45
2017-06-24,93,65.0,,0.65,60.45
2017-06-25,96,65.0,,0.65,62.400000000000006
2017-06-26,95,65.0,,0.65,61.75
2017-06-27,97,65.0,,0.65,63.050000000000004
2017-06-28,96,65.0,,0.65,62.400000000000006
2017-06-29,97,65.0,,0.65,63.050000000000004
2017-06-30,92,65.0,,0.65,59.800000000000004
2017-07-01,91,65.0,False,0.65,59.15
2017-07-02,92,65.0,,0.65,59.800000000000004
2017-07-03,95,65.0,,0.65,61.75
2017-07-04,96,65.0,,0.65,62.400000000000006
2017-07-05,93,65.0,,0.65,60.45
2017-07-06,92,65.0,,0.65,59.800000000000004
2017-07-07,93,65.0,,0.65,60.45
2017-07-08,93,65.0,,0.65,60.45
2017-07-09,95,65.0,,0.65,61.75
2017-07-10,94,65.0,,0.65,61.1
2017-07-11,99,65.0,,0.65,64.35000000000001
2017-07-12,100,65.0,,0.65,65.0
2017-07-13,97,65.0,,0.65,63.050000000000004
2017-07-14,94,65.0,,0.65,61.1
2017-07-15,92,65.0,,0.65,59.800000000000004
2017-07-16,99,65.0,,0.65,64.35000000000001
2017-07-17,98,65.0,,0.65,63.7
2017-07-18,100,65.0,,0.65,65.0
2017-07-19,95,65.0,,0.65,61.75
2017-07-20,96,65.0,,0.65,62.400000000000006
2017-07-21,95,65.0,,0.65,61.75
2017-07-22,94,65.0,,0.65,61.1
2017-07-23,96,65.0,,0.65,62.400000000000006
2017-07-24,94,65.0,,0.65,61.1
2017-07-25,93,65.0,,0.65,60.45
2017-07-26,97,65.0,,0.65,63.050000000000004
2017-07-27,97,65.0,,0.65,63.050000000000004
2017-07-28,92,65.0,,0.65,59.800000000000004
2017-07-29,93,65.0,,0.65,60.45
2017-07-30,92,65.0,,0.65,59.800000000000004
2017-07-31,93,65.0,,0.65,60.45
2017-08-01,68,65.0,False,0.65,44.2
2017-08-02,69,65.0,,0.65,44.85
2017-08-03,67,65.0,,0.65,43.550000000000004
2017-08-04,66,65.0,,0.65,42.9
2017-08-05,63,65.0,,0.65,40.95
2017-08-06,67,65.0,,0.65,43.550000000000004
2017-08-07,68,65.0,,0.65,44.2
2017-08-08,70,65.0,,0.65,45.5
2017-08-09,69,65.0,,0.65,44.85
2017-08-10,68,65.0,,0.65,44.2
2017-08-11,66,65.0,,0.65,42.9
2017-08-12,63,65.0,,0.65,40.95
2017-08-13,68,65.0,,0.65,44.2
2017-08-14,70,65.0,,0.65,45.5
