date,TWO_unscaled,TWO_monthly,isPartial,scale,TWO
2016-05-01,85,82.0,False,0.82,69.7
2016-05-02,96,82.0,,0.82,78.72
2016-05-03,100,82.0,,0.82,82.0
2016-05-04,97,82.0,,0.82,79.53999999999999
2016-05-05,96,82.0,,0.82,78.72
2016-05-06,92,82.0,,0.82,75.44
2016-05-07,65,82.0,,0.82,53.3
2016-05-08,71,82.0,,0.82,58.22
2016-05-09,94,82.0,,0.82,77.08
2016-05-10,98,82.0,,0.82,80.36
2016-05-11,92,82.0,,0.82,75.44
2016-05-12,92,82.0,,0.82,75.44
2016-05-13,85,82.0,,0.82,69.7
2016-05-14,69,82.0,,0.82,56.58
2016-05-15,81,82.0,,0.82,66.42
2016-05-16,92,82.0,,0.82,75.44
2016-05-17,92,82.0,,0.82,75.44
2016-05-18,91,82.0,,0.82,74.61999999999999
2016-05-19,91,82.0,,0.82,74.61999999999999
2016-05-20,84,82.0,,0.82,68.88
2016-05-21,68,82.0,,0.82,55.76
2016-05-22,72,82.0,,0.82,59.04
2016-05-23,88,82.0,,0.82,72.16
2016-05-24,87,82.0,,0.82,71.33999999999999
2016-05-25,87,82.0,,0.82,71.33999999999999
2016-05-26,84,82.0,,0.82,68.88
2016-05-27,80,82.0,,0.82,65.6
2016-05-28,64,82.0,,0.82,52.48
2016-05-29,64,82.0,,0.82,52.48
2016-05-30,71,82.0,,0.82,58.22
2016-05-31,83,82.0,,0.82,68.06
2016-06-01,96,73.0,False,0.73,70.08
2016-06-02,92,73.0,,0.73,67.16
2016-06-03,87,73.0,,0.73,63.51
2016-06-04,72,73.0,,0.73,52.56
2016-06-05,85,73.0,,0.73,62.05
2016-06-06,91,73.0,,0.73,66.42999999999999
2016-06-07,91,73.0,,0.73,66.42999999999999
2016-06-08,88,73.0,,0.73,64.24
2016-06-09,89,73.0,,0.73,64.97
2016-06-10,83,73.0,,0.73,60.589999999999996
2016-06-11,69,73.0,,0.73,50.37
2016-06-12,78,73.0,,0.73,56.94
2016-06-13,85,73.0,,0.73,62.05
2016-06-14,88,73.0,,0.73,64.24
2016-06-15,100,73.0,,0.73,73.0
2016-06-16,92,73.0,,0.73,67.16
2016-06-17,82,73.0,,0.73,59.86
2016-06-18,74,73.0,,0.73,54.019999999999996
2016-06-19,72,73.0,,0.73,52.56
2016-06-20,85,73.0,,0.73,62.05
2016-06-21,90,73.0,,0.73,65.7
2016-06-22,87,73.0,,0.73,63.51
2016-06-23,82,73.0,,0.73,59.86
2016-06-24,77,73.0,,0.73,56.21
2016-06-25,72,73.0,,0.73,52.56
2016-06-26,73,73.0,,0.73,53.29
2016-06-27,83,73.0,,0.73,60.589999999999996
2016-06-28,86,73.0,,0.73,62.78
2016-06-29,87,73.0,,0.73,63.51
2016-06-30,86,73.0,,0.73,62.78
2016-07-01,85,68.0,False,0.68,57.800000000000004
2016-07-02,79,68.0,,0.68,53.720000000000006
2016-07-03,81,68.0,,0.68,55.080000000000005
