date,DIS_unscaled,DIS_monthly,isPartial,scale,DIS
2016-05-01,44,47.0,False,0.47,20.68
2016-05-02,61,47.0,,0.47,28.669999999999998
2016-05-03,53,47.0,,0.47,24.91
2016-05-04,58,47.0,,0.47,27.259999999999998
2016-05-05,63,47.0,,0.47,29.61
2016-05-06,53,47.0,,0.47,24.91
2016-05-07,44,47.0,,0.47,20.68
2016-05-08,42,47.0,,0.47,19.74
2016-05-09,62,47.0,,0.47,29.139999999999997
2016-05-10,100,47.0,,0.47,47.0
2016-05-11,92,47.0,,0.47,43.239999999999995
2016-05-12,66,47.0,,0.47,31.02
2016-05-13,59,47.0,,0.47,27.729999999999997
2016-05-14,39,47.0,,0.47,18.33
2016-05-15,40,47.0,,0.47,18.799999999999997
2016-05-16,52,47.0,,0.47,24.439999999999998
2016-05-17,57,47.0,,0.47,26.79
2016-05-18,50,47.0,,0.47,23.5
2016-05-19,57,47.0,,0.47,26.79
2016-05-20,53,47.0,,0.47,24.91
2016-05-21,37,47.0,,0.47,17.39
2016-05-22,42,47.0,,0.47,19.74
2016-05-23,51,47.0,,0.47,23.97
2016-05-24,58,47.0,,0.47,27.259999999999998
2016-05-25,62,47.0,,0.47,29.139999999999997
2016-05-26,58,47.0,,0.47,27.259999999999998
2016-05-27,49,47.0,,0.47,23.029999999999998
2016-05-28,38,47.0,,0.47,17.86
2016-05-29,42,47.0,,0.47,19.74
2016-05-30,41,47.0,,0.47,19.27
2016-05-31,52,47.0,,0.47,24.439999999999998
2016-06-01,79,38.0,False,0.38,30.02
2016-06-02,80,38.0,,0.38,30.4
2016-06-03,63,38.0,,0.38,23.94
2016-06-04,70,38.0,,0.38,26.6
2016-06-05,62,38.0,,0.38,23.56
2016-06-06,83,38.0,,0.38,31.54
2016-06-07,82,38.0,,0.38,31.16
2016-06-08,81,38.0,,0.38,30.78
2016-06-09,82,38.0,,0.38,31.16
2016-06-10,92,38.0,,0.38,34.96
2016-06-11,65,38.0,,0.38,24.7
2016-06-12,57,38.0,,0.38,21.66
2016-06-13,86,38.0,,0.38,32.68
2016-06-14,68,38.0,,0.38,25.84
2016-06-15,91,38.0,,0.38,34.58
2016-06-16,91,38.0,,0.38,34.58
2016-06-17,88,38.0,,0.38,33.44
2016-06-18,71,38.0,,0.38,26.98
