date,GOLD_unscaled,GOLD_monthly,isPartial,scale,GOLD
2016-05-01,100,73.0,False,0.73,73.0
2016-05-02,99,73.0,,0.73,72.27
2016-05-03,97,73.0,,0.73,70.81
2016-05-04,95,73.0,,0.73,69.35
2016-05-05,97,73.0,,0.73,70.81
2016-05-06,91,73.0,,0.73,66.42999999999999
2016-05-07,90,73.0,,0.73,65.7
2016-05-08,87,73.0,,0.73,63.51
2016-05-09,95,73.0,,0.73,69.35
2016-05-10,93,73.0,,0.73,67.89
2016-05-11,96,73.0,,0.73,70.08
2016-05-12,94,73.0,,0.73,68.62
2016-05-13,91,73.0,,0.73,66.42999999999999
2016-05-14,95,73.0,,0.73,69.35
2016-05-15,97,73.0,,0.73,70.81
2016-05-16,97,73.0,,0.73,70.81
2016-05-17,98,73.0,,0.73,71.53999999999999
2016-05-18,100,73.0,,0.73,73.0
2016-05-19,95,73.0,,0.73,69.35
2016-05-20,90,73.0,,0.73,65.7
2016-05-21,90,73.0,,0.73,65.7
2016-05-22,90,73.0,,0.73,65.7
2016-05-23,93,73.0,,0.73,67.89
2016-05-24,93,73.0,,0.73,67.89
2016-05-25,90,73.0,,0.73,65.7
2016-05-26,95,73.0,,0.73,69.35
2016-05-27,89,73.0,,0.73,64.97
2016-05-28,84,73.0,,0.73,61.32
2016-05-29,81,73.0,,0.73,59.129999999999995
2016-05-30,86,73.0,,0.73,62.78
2016-05-31,95,73.0,,0.73,69.35
2016-06-01,83,74.0,False,0.74,61.42
2016-06-02,77,74.0,,0.74,56.98
2016-06-03,71,74.0,,0.74,52.54
2016-06-04,67,74.0,,0.74,49.58
2016-06-05,82,74.0,,0.74,60.68
2016-06-06,75,74.0,,0.74,55.5
2016-06-07,74,74.0,,0.74,54.76
2016-06-08,75,74.0,,0.74,55.5
2016-06-09,78,74.0,,0.74,57.72
2016-06-10,73,74.0,,0.74,54.019999999999996
2016-06-11,69,74.0,,0.74,51.06
2016-06-12,73,74.0,,0.74,54.019999999999996
2016-06-13,75,74.0,,0.74,55.5
2016-06-14,76,74.0,,0.74,56.24
2016-06-15,75,74.0,,0.74,55.5
2016-06-16,76,74.0,,0.74,56.24
2016-06-17,74,74.0,,0.74,54.76
2016-06-18,70,74.0,,0.74,51.8
2016-06-19,67,74.0,,0.74,49.58
2016-06-20,70,74.0,,0.74,51.8
2016-06-21,75,74.0,,0.74,55.5
2016-06-22,75,74.0,,0.74,55.5
