date,FB_unscaled,FB_monthly,isPartial,scale,FB
2016-05-01,89,88.0,False,0.88,78.32000000000001
2016-05-02,91,88.0,,0.88,80.08
2016-05-03,97,88.0,,0.88,85.36
2016-05-04,96,88.0,,0.88,84.48
2016-05-05,92,88.0,,0.88,80.96
2016-05-06,95,88.0,,0.88,83.6
2016-05-07,94,88.0,,0.88,82.72
2016-05-08,100,88.0,,0.88,88.0
2016-05-09,98,88.0,,0.88,86.24
2016-05-10,97,88.0,,0.88,85.36
2016-05-11,98,88.0,,0.88,86.24
2016-05-12,95,88.0,,0.88,83.6
2016-05-13,95,88.0,,0.88,83.6
2016-05-14,90,88.0,,0.88,79.2
2016-05-15,93,88.0,,0.88,81.84
2016-05-16,94,88.0,,0.88,82.72
2016-05-17,93,88.0,,0.88,81.84
2016-05-18,100,88.0,,0.88,88.0
2016-05-19,92,88.0,,0.88,80.96
2016-05-20,94,88.0,,0.88,82.72
2016-05-21,91,88.0,,0.88,80.08
2016-05-22,88,88.0,,0.88,77.44
2016-05-23,93,88.0,,0.88,81.84
2016-05-24,95,88.0,,0.88,83.6
2016-05-25,93,88.0,,0.88,81.84
2016-05-26,93,88.0,,0.88,81.84
2016-05-27,94,88.0,,0.88,82.72
2016-05-28,89,88.0,,0.88,78.32000000000001
2016-05-29,89,88.0,,0.88,78.32000000000001
2016-05-30,96,88.0,,0.88,84.48
2016-05-31,97,88.0,,0.88,85.36
2016-06-01,96,90.0,False,0.9,86.4
2016-06-02,89,90.0,,0.9,80.10000000000001
2016-06-03,95,90.0,,0.9,85.5
2016-06-04,88,90.0,,0.9,79.2
2016-06-05,92,90.0,,0.9,82.8
2016-06-06,92,90.0,,0.9,82.8
2016-06-07,91,90.0,,0.9,81.9
2016-06-08,93,90.0,,0.9,83.7
2016-06-09,91,90.0,,0.9,81.9
2016-06-10,90,90.0,,0.9,81.0
2016-06-11,84,90.0,,0.9,75.60000000000001
2016-06-12,92,90.0,,0.9,82.8
2016-06-13,94,90.0,,0.9,84.60000000000001
2016-06-14,94,90.0,,0.9,84.60000000000001
2016-06-15,91,90.0,,0.9,81.9
2016-06-16,98,90.0,,0.9,88.2
2016-06-17,88,90.0,,0.9,79.2
2016-06-18,87,90.0,,0.9,78.3
2016-06-19,94,90.0,,0.9,84.60000000000001
2016-06-20,98,90.0,,0.9,88.2
2016-06-21,95,90.0,,0.9,85.5
2016-06-22,94,90.0,,0.9,84.60000000000001
2016-06-23,91,90.0,,0.9,81.9
2016-06-24,97,90.0,,0.9,87.3
2016-06-25,92,90.0,,0.9,82.8
2016-06-26,89,90.0,,0.9,80.10000000000001
2016-06-27,93,90.0,,0.9,83.7
2016-06-28,100,90.0,,0.9,90.0
2016-06-29,100,90.0,,0.9,90.0
2016-06-30,89,90.0,,0.9,80.10000000000001
2016-07-01,69,90.0,False,0.9,62.1
2016-07-02,64,90.0,,0.9,57.6
2016-07-03,71,90.0,,0.9,63.9
2016-07-04,68,90.0,,0.9,61.2
2016-07-05,66,90.0,,0.9,59.4
