date,AR_unscaled,AR_monthly,isPartial,scale,AR
2016-05-01,82,83.0,False,0.83,68.06
2016-05-02,95,83.0,,0.83,78.85
2016-05-03,90,83.0,,0.83,74.7
2016-05-04,91,83.0,,0.83,75.53
2016-05-05,93,83.0,,0.83,77.19
2016-05-06,93,83.0,,0.83,77.19
2016-05-07,90,83.0,,0.83,74.7
2016-05-08,80,83.0,,0.83,66.39999999999999
2016-05-09,98,83.0,,0.83,81.33999999999999
2016-05-10,93,83.0,,0.83,77.19
2016-05-11,94,83.0,,0.83,78.02
2016-05-12,100,83.0,,0.83,83.0
2016-05-13,93,83.0,,0.83,77.19
2016-05-14,92,83.0,,0.83,76.36
2016-05-15,84,83.0,,0.83,69.72
2016-05-16,96,83.0,,0.83,79.67999999999999
2016-05-17,93,83.0,,0.83,77.19
2016-05-18,91,83.0,,0.83,75.53
2016-05-19,93,83.0,,0.83,77.19
2016-05-20,97,83.0,,0.83,80.50999999999999
2016-05-21,90,83.0,,0.83,74.7
2016-05-22,84,83.0,,0.83,69.72
2016-05-23,94,83.0,,0.83,78.02
2016-05-24,93,83.0,,0.83,77.19
2016-05-25,95,83.0,,0.83,78.85
2016-05-26,95,83.0,,0.83,78.85
2016-05-27,99,83.0,,0.83,82.17
2016-05-28,94,83.0,,0.83,78.02
2016-05-29,86,83.0,,0.83,71.38
2016-05-30,84,83.0,,0.83,69.72
2016-05-31,96,83.0,,0.83,79.67999999999999
2016-06-01,58,93.0,False,0.93,53.940000000000005
2016-06-02,60,93.0,,0.93,55.800000000000004
2016-06-03,61,93.0,,0.93,56.730000000000004
2016-06-04,59,93.0,,0.93,54.870000000000005
2016-06-05,54,93.0,,0.93,50.220000000000006
2016-06-06,60,93.0,,0.93,55.800000000000004
2016-06-07,58,93.0,,0.93,53.940000000000005
2016-06-08,57,93.0,,0.93,53.010000000000005
2016-06-09,60,93.0,,0.93,55.800000000000004
2016-06-10,61,93.0,,0.93,56.730000000000004
2016-06-11,57,93.0,,0.93,53.010000000000005
2016-06-12,72,93.0,,0.93,66.96000000000001
2016-06-13,100,93.0,,0.93,93.0
2016-06-14,100,93.0,,0.93,93.0
2016-06-15,92,93.0,,0.93,85.56
2016-06-16,87,93.0,,0.93,80.91000000000001
2016-06-17,82,93.0,,0.93,76.26
2016-06-18,77,93.0,,0.93,71.61
2016-06-19,68,93.0,,0.93,63.24
2016-06-20,74,93.0,,0.93,68.82000000000001
2016-06-21,71,93.0,,0.93,66.03
2016-06-22,68,93.0,,0.93,63.24
2016-06-23,66,93.0,,0.93,61.38
2016-06-24,66,93.0,,0.93,61.38
2016-06-25,66,93.0,,0.93,61.38
2016-06-26,65,93.0,,0.93,60.45
2016-06-27,67,93.0,,0.93,62.31
2016-06-28,63,93.0,,0.93,58.59
2016-06-29,63,93.0,,0.93,58.59
2016-06-30,64,93.0,,0.93,59.52
2016-07-01,88,92.0,False,0.92,80.96000000000001
2016-07-02,88,92.0,,0.92,80.96000000000001
2016-07-03,86,92.0,,0.92,79.12
2016-07-04,85,92.0,,0.92,78.2
2016-07-05,88,92.0,,0.92,80.96000000000001
2016-07-06,85,92.0,,0.92,78.2
2016-07-07,87,92.0,,0.92,80.04
2016-07-08,97,92.0,,0.92,89.24000000000001
2016-07-09,100,92.0,,0.92,92.0
2016-07-10,92,92.0,,0.92,84.64
2016-07-11,93,92.0,,0.92,85.56
2016-07-12,93,92.0,,0.92,85.56
