date,ANY_unscaled,ANY_monthly,isPartial,scale,ANY
2016-05-01,100,60.0,False,0.6,60.0
2016-05-02,96,60.0,,0.6,57.599999999999994
2016-05-03,99,60.0,,0.6,59.4
2016-05-04,95,60.0,,0.6,57.0
2016-05-05,100,60.0,,0.6,60.0
2016-05-06,92,60.0,,0.6,55.199999999999996
2016-05-07,92,60.0,,0.6,55.199999999999996
2016-05-08,90,60.0,,0.6,54.0
2016-05-09,97,60.0,,0.6,58.199999999999996
2016-05-10,99,60.0,,0.6,59.4
2016-05-11,97,60.0,,0.6,58.199999999999996
2016-05-12,99,60.0,,0.6,59.4
2016-05-13,93,60.0,,0.6,55.8
2016-05-14,85,60.0,,0.6,51.0
2016-05-15,92,60.0,,0.6,55.199999999999996
2016-05-16,95,60.0,,0.6,57.0
2016-05-17,94,60.0,,0.6,56.4
2016-05-18,95,60.0,,0.6,57.0
2016-05-19,96,60.0,,0.6,57.599999999999994
2016-05-20,88,60.0,,0.6,52.8
2016-05-21,88,60.0,,0.6,52.8
2016-05-22,88,60.0,,0.6,52.8
2016-05-23,95,60.0,,0.6,57.0
2016-05-24,93,60.0,,0.6,55.8
2016-05-25,97,60.0,,0.6,58.199999999999996
2016-05-26,94,60.0,,0.6,56.4
2016-05-27,92,60.0,,0.6,55.199999999999996
2016-05-28,86,60.0,,0.6,51.6
2016-05-29,93,60.0,,0.6,55.8
2016-05-30,100,60.0,,0.6,60.0
2016-05-31,91,60.0,,0.6,54.6
2016-06-01,98,57.0,False,0.57,55.85999999999999
2016-06-02,89,57.0,,0.57,50.73
2016-06-03,89,57.0,,0.57,50.73
2016-06-04,85,57.0,,0.57,48.449999999999996
2016-06-05,97,57.0,,0.57,55.28999999999999
2016-06-06,96,57.0,,0.57,54.72
2016-06-07,94,57.0,,0.57,53.58
2016-06-08,96,57.0,,0.57,54.72
2016-06-09,91,57.0,,0.57,51.87
2016-06-10,87,57.0,,0.57,49.589999999999996
2016-06-11,81,57.0,,0.57,46.169999999999995
2016-06-12,87,57.0,,0.57,49.589999999999996
2016-06-13,95,57.0,,0.57,54.15
2016-06-14,91,57.0,,0.57,51.87
2016-06-15,91,57.0,,0.57,51.87
2016-06-16,91,57.0,,0.57,51.87
2016-06-17,89,57.0,,0.57,50.73
2016-06-18,91,57.0,,0.57,51.87
2016-06-19,91,57.0,,0.57,51.87
2016-06-20,92,57.0,,0.57,52.44
2016-06-21,95,57.0,,0.57,54.15
2016-06-22,93,57.0,,0.57,53.01
2016-06-23,100,57.0,,0.57,56.99999999999999
2016-06-24,91,57.0,,0.57,51.87
2016-06-25,91,57.0,,0.57,51.87
2016-06-26,94,57.0,,0.57,53.58
2016-06-27,95,57.0,,0.57,54.15
2016-06-28,91,57.0,,0.57,51.87
2016-06-29,91,57.0,,0.57,51.87
2016-06-30,97,57.0,,0.57,55.28999999999999
2016-07-01,90,57.0,False,0.57,51.3
2016-07-02,92,57.0,,0.57,52.44
2016-07-03,97,57.0,,0.57,55.28999999999999
2016-07-04,97,57.0,,0.57,55.28999999999999
2016-07-05,89,57.0,,0.57,50.73
2016-07-06,89,57.0,,0.57,50.73
2016-07-07,90,57.0,,0.57,51.3
2016-07-08,93,57.0,,0.57,53.01
2016-07-09,96,57.0,,0.57,54.72
2016-07-10,99,57.0,,0.57,56.42999999999999
2016-07-11,95,57.0,,0.57,54.15
2016-07-12,95,57.0,,0.57,54.15
2016-07-13,93,57.0,,0.57,53.01
2016-07-14,90,57.0,,0.57,51.3
2016-07-15,87,57.0,,0.57,49.589999999999996
2016-07-16,89,57.0,,0.57,50.73
2016-07-17,93,57.0,,0.57,53.01
2016-07-18,97,57.0,,0.57,55.28999999999999
2016-07-19,92,57.0,,0.57,52.44
2016-07-20,93,57.0,,0.57,53.01
2016-07-21,100,57.0,,0.57,56.99999999999999
2016-07-22,89,57.0,,0.57,50.73
2016-07-23,89,57.0,,0.57,50.73
2016-07-24,93,57.0,,0.57,53.01
2016-07-25,91,57.0,,0.57,51.87
2016-07-26,94,57.0,,0.57,53.58
2016-07-27,95,57.0,,0.57,54.15
2016-07-28,93,57.0,,0.57,53.01
2016-07-29,95,57.0,,0.57,54.15
2016-07-30,90,57.0,,0.57,51.3
2016-07-31,92,57.0,,0.57,52.44
2016-08-01,94,54.0,False,0.54,50.760000000000005
2016-08-02,92,54.0,,0.54,49.68000000000001
2016-08-03,89,54.0,,0.54,48.06
2016-08-04,92,54.0,,0.54,49.68000000000001
2016-08-05,90,54.0,,0.54,48.6
2016-08-06,89,54.0,,0.54,48.06
2016-08-07,90,54.0,,0.54,48.6
2016-08-08,88,54.0,,0.54,47.52
2016-08-09,87,54.0,,0.54,46.980000000000004
2016-08-10,92,54.0,,0.54,49.68000000000001
2016-08-11,91,54.0,,0.54,49.14
2016-08-12,88,54.0,,0.54,47.52
2016-08-13,92,54.0,,0.54,49.68000000000001
2016-08-14,92,54.0,,0.54,49.68000000000001
2016-08-15,91,54.0,,0.54,49.14
2016-08-16,89,54.0,,0.54,48.06
2016-08-17,88,54.0,,0.54,47.52
2016-08-18,85,54.0,,0.54,45.900000000000006
2016-08-19,89,54.0,,0.54,48.06
2016-08-20,85,54.0,,0.54,45.900000000000006
2016-08-21,94,54.0,,0.54,50.760000000000005
2016-08-22,89,54.0,,0.54,48.06
2016-08-23,88,54.0,,0.54,47.52
2016-08-24,93,54.0,,0.54,50.220000000000006
2016-08-25,96,54.0,,0.54,51.84
2016-08-26,95,54.0,,0.54,51.300000000000004
2016-08-27,88,54.0,,0.54,47.52
2016-08-28,100,54.0,,0.54,54.0
2016-08-29,95,54.0,,0.54,51.300000000000004
2016-08-30,96,54.0,,0.54,51.84
2016-08-31,100,54.0,,0.54,54.0
2016-09-01,87,60.0,False,0.6,52.199999999999996
2016-09-02,88,60.0,,0.6,52.8
2016-09-03,91,60.0,,0.6,54.6
2016-09-04,90,60.0,,0.6,54.0
2016-09-05,99,60.0,,0.6,59.4
2016-09-06,94,60.0,,0.6,56.4
2016-09-07,92,60.0,,0.6,55.199999999999996
2016-09-08,92,60.0,,0.6,55.199999999999996
2016-09-09,94,60.0,,0.6,56.4
2016-09-10,91,60.0,,0.6,54.6
2016-09-11,100,60.0,,0.6,60.0
2016-09-12,98,60.0,,0.6,58.8
2016-09-13,96,60.0,,0.6,57.599999999999994
2016-09-14,97,60.0,,0.6,58.199999999999996
2016-09-15,94,60.0,,0.6,56.4
2016-09-16,93,60.0,,0.6,55.8
2016-09-17,84,60.0,,0.6,50.4
2016-09-18,93,60.0,,0.6,55.8
2016-09-19,93,60.0,,0.6,55.8
2016-09-20,98,60.0,,0.6,58.8
2016-09-21,98,60.0,,0.6,58.8
2016-09-22,95,60.0,,0.6,57.0
2016-09-23,92,60.0,,0.6,55.199999999999996
2016-09-24,82,60.0,,0.6,49.199999999999996
2016-09-25,95,60.0,,0.6,57.0
2016-09-26,95,60.0,,0.6,57.0
2016-09-27,93,60.0,,0.6,55.8
2016-09-28,95,60.0,,0.6,57.0
2016-09-29,93,60.0,,0.6,55.8
2016-09-30,92,60.0,,0.6,55.199999999999996
2016-10-01,80,62.0,False,0.62,49.6
2016-10-02,88,62.0,,0.62,54.56
2016-10-03,94,62.0,,0.62,58.28
2016-10-04,96,62.0,,0.62,59.519999999999996
2016-10-05,94,62.0,,0.62,58.28
2016-10-06,96,62.0,,0.62,59.519999999999996
2016-10-07,99,62.0,,0.62,61.38
2016-10-08,87,62.0,,0.62,53.94
2016-10-09,95,62.0,,0.62,58.9
2016-10-10,97,62.0,,0.62,60.14
2016-10-11,93,62.0,,0.62,57.66
2016-10-12,97,62.0,,0.62,60.14
2016-10-13,94,62.0,,0.62,58.28
2016-10-14,92,62.0,,0.62,57.04
2016-10-15,86,62.0,,0.62,53.32
2016-10-16,91,62.0,,0.62,56.42
2016-10-17,97,62.0,,0.62,60.14
2016-10-18,100,62.0,,0.62,62.0
2016-10-19,94,62.0,,0.62,58.28
2016-10-20,92,62.0,,0.62,57.04
2016-10-21,90,62.0,,0.62,55.8
2016-10-22,85,62.0,,0.62,52.7
2016-10-23,89,62.0,,0.62,55.18
2016-10-24,96,62.0,,0.62,59.519999999999996
2016-10-25,98,62.0,,0.62,60.76
2016-10-26,91,62.0,,0.62,56.42
2016-10-27,96,62.0,,0.62,59.519999999999996
2016-10-28,91,62.0,,0.62,56.42
2016-10-29,83,62.0,,0.62,51.46
2016-10-30,95,62.0,,0.62,58.9
2016-10-31,94,62.0,,0.62,58.28
2016-11-01,84,63.0,False,0.63,52.92
2016-11-02,84,63.0,,0.63,52.92
2016-11-03,88,63.0,,0.63,55.44
2016-11-04,83,63.0,,0.63,52.29
2016-11-05,78,63.0,,0.63,49.14
2016-11-06,85,63.0,,0.63,53.55
2016-11-07,92,63.0,,0.63,57.96
2016-11-08,100,63.0,,0.63,63.0
2016-11-09,85,63.0,,0.63,53.55
2016-11-10,95,63.0,,0.63,59.85
2016-11-11,96,63.0,,0.63,60.480000000000004
2016-11-12,86,63.0,,0.63,54.18
2016-11-13,89,63.0,,0.63,56.07
2016-11-14,91,63.0,,0.63,57.33
2016-11-15,93,63.0,,0.63,58.59
2016-11-16,89,63.0,,0.63,56.07
2016-11-17,87,63.0,,0.63,54.81
2016-11-18,84,63.0,,0.63,52.92
2016-11-19,79,63.0,,0.63,49.77
2016-11-20,85,63.0,,0.63,53.55
2016-11-21,84,63.0,,0.63,52.92
2016-11-22,86,63.0,,0.63,54.18
2016-11-23,81,63.0,,0.63,51.03
2016-11-24,85,63.0,,0.63,53.55
2016-11-25,79,63.0,,0.63,49.77
2016-11-26,80,63.0,,0.63,50.4
2016-11-27,87,63.0,,0.63,54.81
2016-11-28,82,63.0,,0.63,51.660000000000004
2016-11-29,87,63.0,,0.63,54.81
2016-11-30,90,63.0,,0.63,56.7
2016-12-01,67,62.0,False,0.62,41.54
2016-12-02,60,62.0,,0.62,37.2
2016-12-03,58,62.0,,0.62,35.96
2016-12-04,62,62.0,,0.62,38.44
2016-12-05,64,62.0,,0.62,39.68
2016-12-06,64,62.0,,0.62,39.68
2016-12-07,66,62.0,,0.62,40.92
2016-12-08,67,62.0,,0.62,41.54
2016-12-09,63,62.0,,0.62,39.06
2016-12-10,55,62.0,,0.62,34.1
2016-12-11,61,62.0,,0.62,37.82
2016-12-12,63,62.0,,0.62,39.06
2016-12-13,65,62.0,,0.62,40.3
2016-12-14,64,62.0,,0.62,39.68
2016-12-15,62,62.0,,0.62,38.44
2016-12-16,57,62.0,,0.62,35.339999999999996
2016-12-17,57,62.0,,0.62,35.339999999999996
2016-12-18,56,62.0,,0.62,34.72
2016-12-19,61,62.0,,0.62,37.82
2016-12-20,60,62.0,,0.62,37.2
2016-12-21,58,62.0,,0.62,35.96
2016-12-22,61,62.0,,0.62,37.82
2016-12-23,54,62.0,,0.62,33.48
2016-12-24,54,62.0,,0.62,33.48
2016-12-25,100,62.0,,0.62,62.0
2016-12-26,66,62.0,,0.62,40.92
2016-12-27,55,62.0,,0.62,34.1
2016-12-28,58,62.0,,0.62,35.96
2016-12-29,59,62.0,,0.62,36.58
2016-12-30,58,62.0,,0.62,35.96
2016-12-31,57,62.0,,0.62,35.339999999999996
2017-01-01,85,64.0,False,0.64,54.4
2017-01-02,89,64.0,,0.64,56.96
2017-01-03,82,64.0,,0.64,52.480000000000004
2017-01-04,85,64.0,,0.64,54.4
2017-01-05,87,64.0,,0.64,55.68
2017-01-06,84,64.0,,0.64,53.76
2017-01-07,93,64.0,,0.64,59.52
2017-01-08,91,64.0,,0.64,58.24
2017-01-09,86,64.0,,0.64,55.04
2017-01-10,86,64.0,,0.64,55.04
2017-01-11,87,64.0,,0.64,55.68
2017-01-12,91,64.0,,0.64,58.24
2017-01-13,91,64.0,,0.64,58.24
2017-01-14,87,64.0,,0.64,55.68
2017-01-15,86,64.0,,0.64,55.04
2017-01-16,89,64.0,,0.64,56.96
2017-01-17,91,64.0,,0.64,58.24
2017-01-18,93,64.0,,0.64,59.52
2017-01-19,96,64.0,,0.64,61.44
2017-01-20,95,64.0,,0.64,60.800000000000004
2017-01-21,93,64.0,,0.64,59.52
2017-01-22,96,64.0,,0.64,61.44
2017-01-23,93,64.0,,0.64,59.52
2017-01-24,96,64.0,,0.64,61.44
2017-01-25,92,64.0,,0.64,58.88
2017-01-26,96,64.0,,0.64,61.44
2017-01-27,92,64.0,,0.64,58.88
2017-01-28,92,64.0,,0.64,58.88
2017-01-29,100,64.0,,0.64,64.0
2017-01-30,96,64.0,,0.64,61.44
2017-01-31,96,64.0,,0.64,61.44
2017-02-01,95,66.0,False,0.66,62.7
2017-02-02,94,66.0,,0.66,62.040000000000006
2017-02-03,97,66.0,,0.66,64.02
2017-02-04,89,66.0,,0.66,58.74
2017-02-05,96,66.0,,0.66,63.36
2017-02-06,100,66.0,,0.66,66.0
2017-02-07,99,66.0,,0.66,65.34
2017-02-08,96,66.0,,0.66,63.36
2017-02-09,98,66.0,,0.66,64.68
2017-02-10,95,66.0,,0.66,62.7
2017-02-11,92,66.0,,0.66,60.720000000000006
2017-02-12,97,66.0,,0.66,64.02
2017-02-13,99,66.0,,0.66,65.34
2017-02-14,90,66.0,,0.66,59.400000000000006
2017-02-15,98,66.0,,0.66,64.68
2017-02-16,97,66.0,,0.66,64.02
2017-02-17,94,66.0,,0.66,62.040000000000006
2017-02-18,91,66.0,,0.66,60.06
2017-02-19,96,66.0,,0.66,63.36
2017-02-20,93,66.0,,0.66,61.38
2017-02-21,95,66.0,,0.66,62.7
2017-02-22,95,66.0,,0.66,62.7
2017-02-23,96,66.0,,0.66,63.36
2017-02-24,94,66.0,,0.66,62.040000000000006
2017-02-25,86,66.0,,0.66,56.760000000000005
2017-02-26,91,66.0,,0.66,60.06
2017-02-27,100,66.0,,0.66,66.0
2017-02-28,95,66.0,,0.66,62.7
2017-03-01,100,63.0,False,0.63,63.0
2017-03-02,99,63.0,,0.63,62.37
2017-03-03,98,63.0,,0.63,61.74
2017-03-04,94,63.0,,0.63,59.22
2017-03-05,100,63.0,,0.63,63.0
2017-03-06,99,63.0,,0.63,62.37
2017-03-07,94,63.0,,0.63,59.22
2017-03-08,100,63.0,,0.63,63.0
2017-03-09,99,63.0,,0.63,62.37
2017-03-10,93,63.0,,0.63,58.59
2017-03-11,89,63.0,,0.63,56.07
2017-03-12,91,63.0,,0.63,57.33
2017-03-13,97,63.0,,0.63,61.11
2017-03-14,92,63.0,,0.63,57.96
2017-03-15,95,63.0,,0.63,59.85
2017-03-16,96,63.0,,0.63,60.480000000000004
2017-03-17,90,63.0,,0.63,56.7
2017-03-18,89,63.0,,0.63,56.07
2017-03-19,98,63.0,,0.63,61.74
2017-03-20,97,63.0,,0.63,61.11
2017-03-21,95,63.0,,0.63,59.85
2017-03-22,96,63.0,,0.63,60.480000000000004
2017-03-23,92,63.0,,0.63,57.96
2017-03-24,92,63.0,,0.63,57.96
2017-03-25,86,63.0,,0.63,54.18
2017-03-26,94,63.0,,0.63,59.22
2017-03-27,99,63.0,,0.63,62.37
2017-03-28,97,63.0,,0.63,61.11
2017-03-29,93,63.0,,0.63,58.59
2017-03-30,92,63.0,,0.63,57.96
2017-03-31,92,63.0,,0.63,57.96
2017-04-01,84,61.0,False,0.61,51.24
2017-04-02,91,61.0,,0.61,55.51
2017-04-03,95,61.0,,0.61,57.949999999999996
2017-04-04,94,61.0,,0.61,57.339999999999996
2017-04-05,95,61.0,,0.61,57.949999999999996
2017-04-06,94,61.0,,0.61,57.339999999999996
2017-04-07,95,61.0,,0.61,57.949999999999996
2017-04-08,86,61.0,,0.61,52.46
2017-04-09,87,61.0,,0.61,53.07
2017-04-10,91,61.0,,0.61,55.51
2017-04-11,94,61.0,,0.61,57.339999999999996
2017-04-12,90,61.0,,0.61,54.9
2017-04-13,91,61.0,,0.61,55.51
