date,LL_unscaled,LL_monthly,isPartial,scale,LL
2016-05-01,97,48.0,False,0.48,46.559999999999995
2016-05-02,78,48.0,,0.48,37.44
2016-05-03,90,48.0,,0.48,43.199999999999996
2016-05-04,84,48.0,,0.48,40.32
2016-05-05,82,48.0,,0.48,39.36
2016-05-06,90,48.0,,0.48,43.199999999999996
2016-05-07,99,48.0,,0.48,47.519999999999996
2016-05-08,88,48.0,,0.48,42.239999999999995
2016-05-09,78,48.0,,0.48,37.44
2016-05-10,78,48.0,,0.48,37.44
2016-05-11,82,48.0,,0.48,39.36
2016-05-12,84,48.0,,0.48,40.32
2016-05-13,93,48.0,,0.48,44.64
2016-05-14,88,48.0,,0.48,42.239999999999995
2016-05-15,93,48.0,,0.48,44.64
2016-05-16,83,48.0,,0.48,39.839999999999996
2016-05-17,87,48.0,,0.48,41.76
2016-05-18,74,48.0,,0.48,35.519999999999996
2016-05-19,76,48.0,,0.48,36.48
2016-05-20,89,48.0,,0.48,42.72
2016-05-21,95,48.0,,0.48,45.6
2016-05-22,94,48.0,,0.48,45.12
2016-05-23,86,48.0,,0.48,41.28
2016-05-24,79,48.0,,0.48,37.92
2016-05-25,77,48.0,,0.48,36.96
2016-05-26,72,48.0,,0.48,34.56
2016-05-27,95,48.0,,0.48,45.6
2016-05-28,92,48.0,,0.48,44.16
2016-05-29,93,48.0,,0.48,44.64
2016-05-30,100,48.0,,0.48,48.0
2016-05-31,83,48.0,,0.48,39.839999999999996
2016-06-01,84,47.0,False,0.47,39.48
2016-06-02,73,47.0,,0.47,34.309999999999995
2016-06-03,84,47.0,,0.47,39.48
2016-06-04,96,47.0,,0.47,45.12
2016-06-05,91,47.0,,0.47,42.769999999999996
2016-06-06,76,47.0,,0.47,35.72
2016-06-07,78,47.0,,0.47,36.66
2016-06-08,77,47.0,,0.47,36.19
2016-06-09,73,47.0,,0.47,34.309999999999995
2016-06-10,80,47.0,,0.47,37.599999999999994
2016-06-11,82,47.0,,0.47,38.54
2016-06-12,83,47.0,,0.47,39.01
2016-06-13,81,47.0,,0.47,38.07
2016-06-14,70,47.0,,0.47,32.9
2016-06-15,76,47.0,,0.47,35.72
2016-06-16,73,47.0,,0.47,34.309999999999995
2016-06-17,100,47.0,,0.47,47.0
2016-06-18,92,47.0,,0.47,43.239999999999995
2016-06-19,86,47.0,,0.47,40.419999999999995
2016-06-20,88,47.0,,0.47,41.36
2016-06-21,71,47.0,,0.47,33.37
2016-06-22,73,47.0,,0.47,34.309999999999995
2016-06-23,74,47.0,,0.47,34.78
2016-06-24,81,47.0,,0.47,38.07
2016-06-25,86,47.0,,0.47,40.419999999999995
2016-06-26,97,47.0,,0.47,45.589999999999996
2016-06-27,84,47.0,,0.47,39.48
2016-06-28,75,47.0,,0.47,35.25
2016-06-29,84,47.0,,0.47,39.48
2016-06-30,79,47.0,,0.47,37.129999999999995
2016-07-01,69,53.0,False,0.53,36.57
2016-07-02,63,53.0,,0.53,33.39
2016-07-03,74,53.0,,0.53,39.22
2016-07-04,69,53.0,,0.53,36.57
2016-07-05,70,53.0,,0.53,37.1
2016-07-06,63,53.0,,0.53,33.39
2016-07-07,62,53.0,,0.53,32.86
2016-07-08,100,53.0,,0.53,53.0
2016-07-09,71,53.0,,0.53,37.63
2016-07-10,73,53.0,,0.53,38.690000000000005
2016-07-11,67,53.0,,0.53,35.510000000000005
2016-07-12,65,53.0,,0.53,34.45
2016-07-13,70,53.0,,0.53,37.1
2016-07-14,67,53.0,,0.53,35.510000000000005
2016-07-15,72,53.0,,0.53,38.160000000000004
2016-07-16,79,53.0,,0.53,41.870000000000005
2016-07-17,79,53.0,,0.53,41.870000000000005
2016-07-18,78,53.0,,0.53,41.34
2016-07-19,72,53.0,,0.53,38.160000000000004
2016-07-20,73,53.0,,0.53,38.690000000000005
2016-07-21,66,53.0,,0.53,34.980000000000004
2016-07-22,80,53.0,,0.53,42.400000000000006
2016-07-23,75,53.0,,0.53,39.75
2016-07-24,82,53.0,,0.53,43.46
2016-07-25,69,53.0,,0.53,36.57
2016-07-26,62,53.0,,0.53,32.86
2016-07-27,68,53.0,,0.53,36.04
2016-07-28,69,53.0,,0.53,36.57
2016-07-29,71,53.0,,0.53,37.63
2016-07-30,81,53.0,,0.53,42.93
2016-07-31,74,53.0,,0.53,39.22
2016-08-01,79,53.0,False,0.53,41.870000000000005
2016-08-02,82,53.0,,0.53,43.46
2016-08-03,81,53.0,,0.53,42.93
2016-08-04,78,53.0,,0.53,41.34
2016-08-05,98,53.0,,0.53,51.940000000000005
2016-08-06,89,53.0,,0.53,47.17
2016-08-07,93,53.0,,0.53,49.29
2016-08-08,85,53.0,,0.53,45.050000000000004
2016-08-09,75,53.0,,0.53,39.75
2016-08-10,89,53.0,,0.53,47.17
2016-08-11,89,53.0,,0.53,47.17
