date,CRM_unscaled,CRM_monthly,isPartial,scale,CRM
2016-05-01,28,66.0,False,0.66,18.48
2016-05-02,71,66.0,,0.66,46.86
2016-05-03,76,66.0,,0.66,50.160000000000004
2016-05-04,84,66.0,,0.66,55.440000000000005
2016-05-05,70,66.0,,0.66,46.2
2016-05-06,71,66.0,,0.66,46.86
2016-05-07,34,66.0,,0.66,22.44
2016-05-08,30,66.0,,0.66,19.8
2016-05-09,78,66.0,,0.66,51.480000000000004
2016-05-10,86,66.0,,0.66,56.760000000000005
2016-05-11,76,66.0,,0.66,50.160000000000004
2016-05-12,83,66.0,,0.66,54.78
2016-05-13,73,66.0,,0.66,48.18
2016-05-14,30,66.0,,0.66,19.8
2016-05-15,32,66.0,,0.66,21.12
2016-05-16,75,66.0,,0.66,49.5
2016-05-17,71,66.0,,0.66,46.86
2016-05-18,100,66.0,,0.66,66.0
2016-05-19,91,66.0,,0.66,60.06
2016-05-20,68,66.0,,0.66,44.88
2016-05-21,33,66.0,,0.66,21.78
2016-05-22,25,66.0,,0.66,16.5
2016-05-23,83,66.0,,0.66,54.78
2016-05-24,84,66.0,,0.66,55.440000000000005
2016-05-25,71,66.0,,0.66,46.86
2016-05-26,76,66.0,,0.66,50.160000000000004
2016-05-27,56,66.0,,0.66,36.96
2016-05-28,23,66.0,,0.66,15.180000000000001
2016-05-29,22,66.0,,0.66,14.520000000000001
2016-05-30,35,66.0,,0.66,23.1
2016-05-31,77,66.0,,0.66,50.82
2016-06-01,91,69.0,False,0.69,62.78999999999999
2016-06-02,92,69.0,,0.69,63.48
2016-06-03,89,69.0,,0.69,61.41
2016-06-04,34,69.0,,0.69,23.459999999999997
2016-06-05,25,69.0,,0.69,17.25
2016-06-06,86,69.0,,0.69,59.339999999999996
2016-06-07,100,69.0,,0.69,69.0
2016-06-08,97,69.0,,0.69,66.92999999999999
2016-06-09,83,69.0,,0.69,57.269999999999996
2016-06-10,80,69.0,,0.69,55.199999999999996
2016-06-11,34,69.0,,0.69,23.459999999999997
2016-06-12,24,69.0,,0.69,16.56
2016-06-13,87,69.0,,0.69,60.029999999999994
2016-06-14,88,69.0,,0.69,60.72
2016-06-15,89,69.0,,0.69,61.41
2016-06-16,79,69.0,,0.69,54.51
2016-06-17,71,69.0,,0.69,48.989999999999995
2016-06-18,36,69.0,,0.69,24.839999999999996
2016-06-19,25,69.0,,0.69,17.25
2016-06-20,78,69.0,,0.69,53.81999999999999
2016-06-21,92,69.0,,0.69,63.48
2016-06-22,88,69.0,,0.69,60.72
2016-06-23,75,69.0,,0.69,51.74999999999999
2016-06-24,71,69.0,,0.69,48.989999999999995
2016-06-25,41,69.0,,0.69,28.29
2016-06-26,24,69.0,,0.69,16.56
2016-06-27,96,69.0,,0.69,66.24
2016-06-28,83,69.0,,0.69,57.269999999999996
2016-06-29,91,69.0,,0.69,62.78999999999999
2016-06-30,88,69.0,,0.69,60.72
2016-07-01,68,56.0,False,0.56,38.080000000000005
2016-07-02,31,56.0,,0.56,17.360000000000003
2016-07-03,26,56.0,,0.56,14.560000000000002
2016-07-04,31,56.0,,0.56,17.360000000000003
2016-07-05,84,56.0,,0.56,47.040000000000006
2016-07-06,92,56.0,,0.56,51.52
2016-07-07,100,56.0,,0.56,56.00000000000001
2016-07-08,80,56.0,,0.56,44.800000000000004
2016-07-09,34,56.0,,0.56,19.040000000000003
2016-07-10,34,56.0,,0.56,19.040000000000003
2016-07-11,85,56.0,,0.56,47.6
2016-07-12,90,56.0,,0.56,50.400000000000006
2016-07-13,87,56.0,,0.56,48.720000000000006
2016-07-14,94,56.0,,0.56,52.64000000000001
2016-07-15,77,56.0,,0.56,43.120000000000005
2016-07-16,33,56.0,,0.56,18.48
2016-07-17,39,56.0,,0.56,21.840000000000003
2016-07-18,82,56.0,,0.56,45.92
2016-07-19,95,56.0,,0.56,53.2
2016-07-20,90,56.0,,0.56,50.400000000000006
2016-07-21,92,56.0,,0.56,51.52
2016-07-22,78,56.0,,0.56,43.68000000000001
2016-07-23,45,56.0,,0.56,25.200000000000003
2016-07-24,30,56.0,,0.56,16.8
2016-07-25,88,56.0,,0.56,49.28
2016-07-26,93,56.0,,0.56,52.080000000000005
2016-07-27,92,56.0,,0.56,51.52
2016-07-28,88,56.0,,0.56,49.28
2016-07-29,72,56.0,,0.56,40.32000000000001
2016-07-30,37,56.0,,0.56,20.720000000000002
2016-07-31,40,56.0,,0.56,22.400000000000002
2016-08-01,90,63.0,False,0.63,56.7
2016-08-02,91,63.0,,0.63,57.33
2016-08-03,94,63.0,,0.63,59.22
2016-08-04,86,63.0,,0.63,54.18
2016-08-05,72,63.0,,0.63,45.36
2016-08-06,37,63.0,,0.63,23.31
2016-08-07,36,63.0,,0.63,22.68
2016-08-08,90,63.0,,0.63,56.7
2016-08-09,98,63.0,,0.63,61.74
2016-08-10,79,63.0,,0.63,49.77
2016-08-11,81,63.0,,0.63,51.03
2016-08-12,71,63.0,,0.63,44.73
2016-08-13,30,63.0,,0.63,18.9
2016-08-14,32,63.0,,0.63,20.16
2016-08-15,100,63.0,,0.63,63.0
2016-08-16,84,63.0,,0.63,52.92
2016-08-17,91,63.0,,0.63,57.33
2016-08-18,89,63.0,,0.63,56.07
2016-08-19,65,63.0,,0.63,40.95
2016-08-20,32,63.0,,0.63,20.16
2016-08-21,38,63.0,,0.63,23.94
2016-08-22,85,63.0,,0.63,53.55
2016-08-23,84,63.0,,0.63,52.92
2016-08-24,91,63.0,,0.63,57.33
2016-08-25,75,63.0,,0.63,47.25
2016-08-26,83,63.0,,0.63,52.29
2016-08-27,29,63.0,,0.63,18.27
2016-08-28,34,63.0,,0.63,21.42
2016-08-29,79,63.0,,0.63,49.77
2016-08-30,91,63.0,,0.63,57.33
2016-08-31,100,63.0,,0.63,63.0
2016-09-01,100,67.0,False,0.67,67.0
2016-09-02,65,67.0,,0.67,43.550000000000004
2016-09-03,28,67.0,,0.67,18.76
2016-09-04,33,67.0,,0.67,22.110000000000003
2016-09-05,37,67.0,,0.67,24.790000000000003
2016-09-06,85,67.0,,0.67,56.95
2016-09-07,89,67.0,,0.67,59.63
2016-09-08,88,67.0,,0.67,58.96
2016-09-09,77,67.0,,0.67,51.59
