date,PLUG_unscaled,PLUG_monthly,isPartial,scale,PLUG
2016-05-01,86,72.0,False,0.72,61.919999999999995
2016-05-02,79,72.0,,0.72,56.879999999999995
2016-05-03,80,72.0,,0.72,57.599999999999994
2016-05-04,77,72.0,,0.72,55.44
2016-05-05,82,72.0,,0.72,59.04
2016-05-06,79,72.0,,0.72,56.879999999999995
2016-05-07,90,72.0,,0.72,64.8
2016-05-08,84,72.0,,0.72,60.48
2016-05-09,84,72.0,,0.72,60.48
2016-05-10,84,72.0,,0.72,60.48
2016-05-11,83,72.0,,0.72,59.76
2016-05-12,80,72.0,,0.72,57.599999999999994
2016-05-13,82,72.0,,0.72,59.04
2016-05-14,91,72.0,,0.72,65.52
2016-05-15,96,72.0,,0.72,69.12
2016-05-16,74,72.0,,0.72,53.28
2016-05-17,76,72.0,,0.72,54.72
2016-05-18,78,72.0,,0.72,56.16
2016-05-19,72,72.0,,0.72,51.839999999999996
2016-05-20,75,72.0,,0.72,54.0
2016-05-21,95,72.0,,0.72,68.39999999999999
2016-05-22,100,72.0,,0.72,72.0
2016-05-23,80,72.0,,0.72,57.599999999999994
2016-05-24,75,72.0,,0.72,54.0
2016-05-25,83,72.0,,0.72,59.76
2016-05-26,78,72.0,,0.72,56.16
2016-05-27,87,72.0,,0.72,62.64
2016-05-28,89,72.0,,0.72,64.08
2016-05-29,87,72.0,,0.72,62.64
2016-05-30,85,72.0,,0.72,61.199999999999996
2016-05-31,84,72.0,,0.72,60.48
2016-06-01,80,73.0,False,0.73,58.4
2016-06-02,79,73.0,,0.73,57.67
2016-06-03,81,73.0,,0.73,59.129999999999995
2016-06-04,83,73.0,,0.73,60.589999999999996
2016-06-05,86,73.0,,0.73,62.78
2016-06-06,78,73.0,,0.73,56.94
2016-06-07,79,73.0,,0.73,57.67
2016-06-08,81,73.0,,0.73,59.129999999999995
2016-06-09,81,73.0,,0.73,59.129999999999995
2016-06-10,79,73.0,,0.73,57.67
2016-06-11,89,73.0,,0.73,64.97
2016-06-12,87,73.0,,0.73,63.51
2016-06-13,80,73.0,,0.73,58.4
2016-06-14,80,73.0,,0.73,58.4
2016-06-15,78,73.0,,0.73,56.94
2016-06-16,69,73.0,,0.73,50.37
2016-06-17,86,73.0,,0.73,62.78
2016-06-18,100,73.0,,0.73,73.0
2016-06-19,81,73.0,,0.73,59.129999999999995
2016-06-20,78,73.0,,0.73,56.94
2016-06-21,82,73.0,,0.73,59.86
2016-06-22,80,73.0,,0.73,58.4
2016-06-23,80,73.0,,0.73,58.4
2016-06-24,75,73.0,,0.73,54.75
2016-06-25,86,73.0,,0.73,62.78
2016-06-26,85,73.0,,0.73,62.05
2016-06-27,74,73.0,,0.73,54.019999999999996
2016-06-28,80,73.0,,0.73,58.4
2016-06-29,80,73.0,,0.73,58.4
2016-06-30,82,73.0,,0.73,59.86
2016-07-01,91,72.0,False,0.72,65.52
2016-07-02,99,72.0,,0.72,71.28
2016-07-03,93,72.0,,0.72,66.96
2016-07-04,90,72.0,,0.72,64.8
2016-07-05,85,72.0,,0.72,61.199999999999996
2016-07-06,85,72.0,,0.72,61.199999999999996
2016-07-07,83,72.0,,0.72,59.76
2016-07-08,91,72.0,,0.72,65.52
2016-07-09,100,72.0,,0.72,72.0
2016-07-10,93,72.0,,0.72,66.96
2016-07-11,85,72.0,,0.72,61.199999999999996
2016-07-12,82,72.0,,0.72,59.04
2016-07-13,81,72.0,,0.72,58.32
2016-07-14,80,72.0,,0.72,57.599999999999994
2016-07-15,85,72.0,,0.72,61.199999999999996
2016-07-16,98,72.0,,0.72,70.56
2016-07-17,93,72.0,,0.72,66.96
2016-07-18,86,72.0,,0.72,61.919999999999995
2016-07-19,81,72.0,,0.72,58.32
2016-07-20,83,72.0,,0.72,59.76
2016-07-21,86,72.0,,0.72,61.919999999999995
2016-07-22,91,72.0,,0.72,65.52
2016-07-23,96,72.0,,0.72,69.12
2016-07-24,90,72.0,,0.72,64.8
2016-07-25,81,72.0,,0.72,58.32
2016-07-26,87,72.0,,0.72,62.64
2016-07-27,84,72.0,,0.72,60.48
2016-07-28,84,72.0,,0.72,60.48
2016-07-29,85,72.0,,0.72,61.199999999999996
2016-07-30,97,72.0,,0.72,69.84
2016-07-31,94,72.0,,0.72,67.67999999999999
2016-08-01,90,68.0,False,0.68,61.2
2016-08-02,85,68.0,,0.68,57.800000000000004
2016-08-03,93,68.0,,0.68,63.24
2016-08-04,87,68.0,,0.68,59.160000000000004
2016-08-05,87,68.0,,0.68,59.160000000000004
2016-08-06,94,68.0,,0.68,63.92
2016-08-07,88,68.0,,0.68,59.84
2016-08-08,80,68.0,,0.68,54.400000000000006
2016-08-09,84,68.0,,0.68,57.120000000000005
2016-08-10,83,68.0,,0.68,56.440000000000005
2016-08-11,79,68.0,,0.68,53.720000000000006
2016-08-12,84,68.0,,0.68,57.120000000000005
2016-08-13,90,68.0,,0.68,61.2
2016-08-14,94,68.0,,0.68,63.92
2016-08-15,83,68.0,,0.68,56.440000000000005
2016-08-16,82,68.0,,0.68,55.760000000000005
2016-08-17,84,68.0,,0.68,57.120000000000005
2016-08-18,83,68.0,,0.68,56.440000000000005
2016-08-19,82,68.0,,0.68,55.760000000000005
2016-08-20,95,68.0,,0.68,64.60000000000001
2016-08-21,94,68.0,,0.68,63.92
2016-08-22,88,68.0,,0.68,59.84
2016-08-23,90,68.0,,0.68,61.2
2016-08-24,81,68.0,,0.68,55.080000000000005
2016-08-25,89,68.0,,0.68,60.52
2016-08-26,87,68.0,,0.68,59.160000000000004
2016-08-27,97,68.0,,0.68,65.96000000000001
2016-08-28,100,68.0,,0.68,68.0
2016-08-29,84,68.0,,0.68,57.120000000000005
2016-08-30,89,68.0,,0.68,60.52
2016-08-31,82,68.0,,0.68,55.760000000000005
2016-09-01,85,66.0,False,0.66,56.1
2016-09-02,82,66.0,,0.66,54.120000000000005
2016-09-03,97,66.0,,0.66,64.02
2016-09-04,97,66.0,,0.66,64.02
2016-09-05,100,66.0,,0.66,66.0
2016-09-06,86,66.0,,0.66,56.760000000000005
