date,SI_unscaled,SI_monthly,isPartial,scale,SI
2016-05-01,91,86.0,False,0.86,78.26
2016-05-02,94,86.0,,0.86,80.84
2016-05-03,95,86.0,,0.86,81.7
2016-05-04,97,86.0,,0.86,83.42
2016-05-05,98,86.0,,0.86,84.28
2016-05-06,100,86.0,,0.86,86.0
2016-05-07,90,86.0,,0.86,77.4
2016-05-08,89,86.0,,0.86,76.53999999999999
2016-05-09,95,86.0,,0.86,81.7
2016-05-10,86,86.0,,0.86,73.96
2016-05-11,92,86.0,,0.86,79.12
2016-05-12,95,86.0,,0.86,81.7
2016-05-13,99,86.0,,0.86,85.14
2016-05-14,98,86.0,,0.86,84.28
2016-05-15,96,86.0,,0.86,82.56
2016-05-16,97,86.0,,0.86,83.42
2016-05-17,94,86.0,,0.86,80.84
2016-05-18,93,86.0,,0.86,79.98
2016-05-19,100,86.0,,0.86,86.0
2016-05-20,94,86.0,,0.86,80.84
2016-05-21,98,86.0,,0.86,84.28
2016-05-22,90,86.0,,0.86,77.4
2016-05-23,94,86.0,,0.86,80.84
2016-05-24,96,86.0,,0.86,82.56
2016-05-25,96,86.0,,0.86,82.56
2016-05-26,97,86.0,,0.86,83.42
2016-05-27,94,86.0,,0.86,80.84
2016-05-28,92,86.0,,0.86,79.12
2016-05-29,94,86.0,,0.86,80.84
2016-05-30,94,86.0,,0.86,80.84
2016-05-31,88,86.0,,0.86,75.67999999999999
2016-06-01,98,81.0,False,0.81,79.38000000000001
2016-06-02,90,81.0,,0.81,72.9
2016-06-03,97,81.0,,0.81,78.57000000000001
2016-06-04,89,81.0,,0.81,72.09
2016-06-05,91,81.0,,0.81,73.71000000000001
2016-06-06,90,81.0,,0.81,72.9
2016-06-07,92,81.0,,0.81,74.52000000000001
2016-06-08,94,81.0,,0.81,76.14
2016-06-09,91,81.0,,0.81,73.71000000000001
2016-06-10,90,81.0,,0.81,72.9
2016-06-11,90,81.0,,0.81,72.9
2016-06-12,91,81.0,,0.81,73.71000000000001
2016-06-13,87,81.0,,0.81,70.47
2016-06-14,93,81.0,,0.81,75.33
2016-06-15,88,81.0,,0.81,71.28
2016-06-16,93,81.0,,0.81,75.33
2016-06-17,90,81.0,,0.81,72.9
2016-06-18,94,81.0,,0.81,76.14
2016-06-19,96,81.0,,0.81,77.76
2016-06-20,89,81.0,,0.81,72.09
2016-06-21,90,81.0,,0.81,72.9
2016-06-22,97,81.0,,0.81,78.57000000000001
2016-06-23,97,81.0,,0.81,78.57000000000001
2016-06-24,93,81.0,,0.81,75.33
2016-06-25,89,81.0,,0.81,72.09
2016-06-26,92,81.0,,0.81,74.52000000000001
2016-06-27,85,81.0,,0.81,68.85000000000001
2016-06-28,99,81.0,,0.81,80.19000000000001
2016-06-29,100,81.0,,0.81,81.0
2016-06-30,91,81.0,,0.81,73.71000000000001
2016-07-01,82,85.0,False,0.85,69.7
2016-07-02,84,85.0,,0.85,71.39999999999999
2016-07-03,88,85.0,,0.85,74.8
2016-07-04,84,85.0,,0.85,71.39999999999999
2016-07-05,77,85.0,,0.85,65.45
2016-07-06,80,85.0,,0.85,68.0
2016-07-07,79,85.0,,0.85,67.14999999999999
2016-07-08,78,85.0,,0.85,66.3
2016-07-09,85,85.0,,0.85,72.25
2016-07-10,80,85.0,,0.85,68.0
2016-07-11,74,85.0,,0.85,62.9
2016-07-12,81,85.0,,0.85,68.85
2016-07-13,80,85.0,,0.85,68.0
2016-07-14,85,85.0,,0.85,72.25
2016-07-15,83,85.0,,0.85,70.55
2016-07-16,86,85.0,,0.85,73.1
2016-07-17,80,85.0,,0.85,68.0
2016-07-18,89,85.0,,0.85,75.64999999999999
2016-07-19,81,85.0,,0.85,68.85
2016-07-20,96,85.0,,0.85,81.6
2016-07-21,100,85.0,,0.85,85.0
2016-07-22,93,85.0,,0.85,79.05
2016-07-23,95,85.0,,0.85,80.75
