date,AAL_unscaled,AAL_monthly,isPartial,scale,AAL
2016-05-01,16,7.0,False,0.07,1.12
2016-05-02,61,7.0,,0.07,4.2700000000000005
2016-05-03,80,7.0,,0.07,5.6000000000000005
2016-05-04,100,7.0,,0.07,7.000000000000001
2016-05-05,57,7.0,,0.07,3.99
2016-05-06,83,7.0,,0.07,5.8100000000000005
2016-05-07,31,7.0,,0.07,2.1700000000000004
2016-05-08,32,7.0,,0.07,2.24
2016-05-09,93,7.0,,0.07,6.510000000000001
2016-05-10,92,7.0,,0.07,6.44
2016-05-11,65,7.0,,0.07,4.550000000000001
2016-05-12,48,7.0,,0.07,3.3600000000000003
2016-05-13,63,7.0,,0.07,4.41
2016-05-14,26,7.0,,0.07,1.8200000000000003
2016-05-15,17,7.0,,0.07,1.1900000000000002
2016-05-16,66,7.0,,0.07,4.62
2016-05-17,81,7.0,,0.07,5.670000000000001
2016-05-18,80,7.0,,0.07,5.6000000000000005
2016-05-19,64,7.0,,0.07,4.48
2016-05-20,82,7.0,,0.07,5.74
2016-05-21,23,7.0,,0.07,1.61
2016-05-22,34,7.0,,0.07,2.3800000000000003
2016-05-23,43,7.0,,0.07,3.0100000000000002
2016-05-24,71,7.0,,0.07,4.970000000000001
2016-05-25,70,7.0,,0.07,4.9
2016-05-26,69,7.0,,0.07,4.83
2016-05-27,61,7.0,,0.07,4.2700000000000005
2016-05-28,33,7.0,,0.07,2.31
2016-05-29,30,7.0,,0.07,2.1
2016-05-30,31,7.0,,0.07,2.1700000000000004
2016-05-31,68,7.0,,0.07,4.760000000000001
2016-06-01,55,8.0,False,0.08,4.4
2016-06-02,53,8.0,,0.08,4.24
2016-06-03,57,8.0,,0.08,4.5600000000000005
2016-06-04,27,8.0,,0.08,2.16
2016-06-05,15,8.0,,0.08,1.2
2016-06-06,42,8.0,,0.08,3.36
2016-06-07,54,8.0,,0.08,4.32
2016-06-08,70,8.0,,0.08,5.6000000000000005
2016-06-09,60,8.0,,0.08,4.8
2016-06-10,52,8.0,,0.08,4.16
2016-06-11,25,8.0,,0.08,2.0
2016-06-12,9,8.0,,0.08,0.72
2016-06-13,32,8.0,,0.08,2.56
2016-06-14,56,8.0,,0.08,4.48
2016-06-15,50,8.0,,0.08,4.0
2016-06-16,71,8.0,,0.08,5.68
2016-06-17,81,8.0,,0.08,6.48
2016-06-18,35,8.0,,0.08,2.8000000000000003
2016-06-19,21,8.0,,0.08,1.68
2016-06-20,49,8.0,,0.08,3.92
2016-06-21,70,8.0,,0.08,5.6000000000000005
2016-06-22,43,8.0,,0.08,3.44
2016-06-23,50,8.0,,0.08,4.0
2016-06-24,78,8.0,,0.08,6.24
2016-06-25,30,8.0,,0.08,2.4
2016-06-26,26,8.0,,0.08,2.08
2016-06-27,95,8.0,,0.08,7.6000000000000005
2016-06-28,100,8.0,,0.08,8.0
2016-06-29,65,8.0,,0.08,5.2
2016-06-30,95,8.0,,0.08,7.6000000000000005
2016-07-01,46,10.0,False,0.1,4.6000000000000005
2016-07-02,16,10.0,,0.1,1.6
2016-07-03,17,10.0,,0.1,1.7000000000000002
2016-07-04,22,10.0,,0.1,2.2
2016-07-05,50,10.0,,0.1,5.0
2016-07-06,63,10.0,,0.1,6.300000000000001
2016-07-07,44,10.0,,0.1,4.4
2016-07-08,54,10.0,,0.1,5.4
2016-07-09,16,10.0,,0.1,1.6
2016-07-10,22,10.0,,0.1,2.2
2016-07-11,67,10.0,,0.1,6.7
2016-07-12,94,10.0,,0.1,9.4
2016-07-13,79,10.0,,0.1,7.9
2016-07-14,63,10.0,,0.1,6.300000000000001
2016-07-15,100,10.0,,0.1,10.0
2016-07-16,24,10.0,,0.1,2.4000000000000004
2016-07-17,24,10.0,,0.1,2.4000000000000004
2016-07-18,67,10.0,,0.1,6.7
2016-07-19,63,10.0,,0.1,6.300000000000001
2016-07-20,58,10.0,,0.1,5.800000000000001
2016-07-21,54,10.0,,0.1,5.4
2016-07-22,99,10.0,,0.1,9.9
2016-07-23,32,10.0,,0.1,3.2
