date,PSA_unscaled,PSA_monthly,isPartial,scale,PSA
2016-05-01,62,43.0,False,0.43,26.66
2016-05-02,85,43.0,,0.43,36.55
2016-05-03,79,43.0,,0.43,33.97
2016-05-04,90,43.0,,0.43,38.7
2016-05-05,86,43.0,,0.43,36.98
2016-05-06,88,43.0,,0.43,37.839999999999996
2016-05-07,65,43.0,,0.43,27.95
2016-05-08,46,43.0,,0.43,19.78
2016-05-09,89,43.0,,0.43,38.269999999999996
2016-05-10,91,43.0,,0.43,39.13
2016-05-11,94,43.0,,0.43,40.42
2016-05-12,85,43.0,,0.43,36.55
2016-05-13,86,43.0,,0.43,36.98
2016-05-14,66,43.0,,0.43,28.38
2016-05-15,61,43.0,,0.43,26.23
2016-05-16,86,43.0,,0.43,36.98
2016-05-17,95,43.0,,0.43,40.85
2016-05-18,87,43.0,,0.43,37.41
2016-05-19,92,43.0,,0.43,39.56
2016-05-20,77,43.0,,0.43,33.11
2016-05-21,62,43.0,,0.43,26.66
2016-05-22,52,43.0,,0.43,22.36
2016-05-23,97,43.0,,0.43,41.71
2016-05-24,100,43.0,,0.43,43.0
2016-05-25,87,43.0,,0.43,37.41
2016-05-26,91,43.0,,0.43,39.13
2016-05-27,84,43.0,,0.43,36.12
2016-05-28,61,43.0,,0.43,26.23
2016-05-29,51,43.0,,0.43,21.93
2016-05-30,56,43.0,,0.43,24.08
2016-05-31,76,43.0,,0.43,32.68
2016-06-01,91,40.0,False,0.4,36.4
2016-06-02,81,40.0,,0.4,32.4
2016-06-03,88,40.0,,0.4,35.2
2016-06-04,55,40.0,,0.4,22.0
2016-06-05,59,40.0,,0.4,23.6
2016-06-06,75,40.0,,0.4,30.0
2016-06-07,86,40.0,,0.4,34.4
2016-06-08,94,40.0,,0.4,37.6
2016-06-09,92,40.0,,0.4,36.800000000000004
2016-06-10,83,40.0,,0.4,33.2
2016-06-11,55,40.0,,0.4,22.0
2016-06-12,58,40.0,,0.4,23.200000000000003
2016-06-13,86,40.0,,0.4,34.4
2016-06-14,96,40.0,,0.4,38.400000000000006
2016-06-15,100,40.0,,0.4,40.0
2016-06-16,81,40.0,,0.4,32.4
2016-06-17,81,40.0,,0.4,32.4
2016-06-18,60,40.0,,0.4,24.0
2016-06-19,59,40.0,,0.4,23.6
2016-06-20,97,40.0,,0.4,38.800000000000004
2016-06-21,84,40.0,,0.4,33.6
2016-06-22,84,40.0,,0.4,33.6
2016-06-23,88,40.0,,0.4,35.2
2016-06-24,74,40.0,,0.4,29.6
2016-06-25,59,40.0,,0.4,23.6
2016-06-26,59,40.0,,0.4,23.6
2016-06-27,77,40.0,,0.4,30.8
2016-06-28,98,40.0,,0.4,39.2
2016-06-29,89,40.0,,0.4,35.6
2016-06-30,90,40.0,,0.4,36.0
2016-07-01,99,38.0,False,0.38,37.62
2016-07-02,66,38.0,,0.38,25.080000000000002
2016-07-03,59,38.0,,0.38,22.42
2016-07-04,72,38.0,,0.38,27.36
2016-07-05,100,38.0,,0.38,38.0
2016-07-06,89,38.0,,0.38,33.82
2016-07-07,84,38.0,,0.38,31.92
2016-07-08,74,38.0,,0.38,28.12
2016-07-09,67,38.0,,0.38,25.46
2016-07-10,68,38.0,,0.38,25.84
2016-07-11,81,38.0,,0.38,30.78
2016-07-12,93,38.0,,0.38,35.34
2016-07-13,90,38.0,,0.38,34.2
2016-07-14,84,38.0,,0.38,31.92
2016-07-15,86,38.0,,0.38,32.68
2016-07-16,62,38.0,,0.38,23.56
2016-07-17,67,38.0,,0.38,25.46
2016-07-18,84,38.0,,0.38,31.92
2016-07-19,92,38.0,,0.38,34.96
2016-07-20,97,38.0,,0.38,36.86
2016-07-21,97,38.0,,0.38,36.86
2016-07-22,94,38.0,,0.38,35.72
2016-07-23,64,38.0,,0.38,24.32
2016-07-24,62,38.0,,0.38,23.56
2016-07-25,76,38.0,,0.38,28.88
2016-07-26,88,38.0,,0.38,33.44
2016-07-27,75,38.0,,0.38,28.5
2016-07-28,86,38.0,,0.38,32.68
2016-07-29,86,38.0,,0.38,32.68
2016-07-30,64,38.0,,0.38,24.32
2016-07-31,57,38.0,,0.38,21.66
2016-08-01,82,39.0,False,0.39,31.98
2016-08-02,86,39.0,,0.39,33.54
2016-08-03,83,39.0,,0.39,32.370000000000005
