date,SMH_unscaled,SMH_monthly,isPartial,scale,SMH
2016-05-01,59,78.0,False,0.78,46.02
2016-05-02,52,78.0,,0.78,40.56
2016-05-03,55,78.0,,0.78,42.9
2016-05-04,60,78.0,,0.78,46.800000000000004
2016-05-05,78,78.0,,0.78,60.84
2016-05-06,51,78.0,,0.78,39.78
2016-05-07,57,78.0,,0.78,44.46
2016-05-08,57,78.0,,0.78,44.46
2016-05-09,56,78.0,,0.78,43.68
2016-05-10,50,78.0,,0.78,39.0
2016-05-11,59,78.0,,0.78,46.02
2016-05-12,65,78.0,,0.78,50.7
2016-05-13,58,78.0,,0.78,45.24
2016-05-14,68,78.0,,0.78,53.04
2016-05-15,54,78.0,,0.78,42.120000000000005
2016-05-16,58,78.0,,0.78,45.24
2016-05-17,51,78.0,,0.78,39.78
2016-05-18,54,78.0,,0.78,42.120000000000005
2016-05-19,64,78.0,,0.78,49.92
2016-05-20,52,78.0,,0.78,40.56
2016-05-21,72,78.0,,0.78,56.160000000000004
2016-05-22,74,78.0,,0.78,57.72
2016-05-23,100,78.0,,0.78,78.0
2016-05-24,79,78.0,,0.78,61.620000000000005
2016-05-25,68,78.0,,0.78,53.04
2016-05-26,73,78.0,,0.78,56.940000000000005
2016-05-27,61,78.0,,0.78,47.58
2016-05-28,58,78.0,,0.78,45.24
2016-05-29,67,78.0,,0.78,52.260000000000005
2016-05-30,52,78.0,,0.78,40.56
2016-05-31,64,78.0,,0.78,49.92
2016-06-01,81,82.0,False,0.82,66.42
2016-06-02,86,82.0,,0.82,70.52
2016-06-03,79,82.0,,0.82,64.78
2016-06-04,93,82.0,,0.82,76.25999999999999
2016-06-05,69,82.0,,0.82,56.58
2016-06-06,80,82.0,,0.82,65.6
2016-06-07,81,82.0,,0.82,66.42
2016-06-08,72,82.0,,0.82,59.04
2016-06-09,84,82.0,,0.82,68.88
2016-06-10,81,82.0,,0.82,66.42
2016-06-11,85,82.0,,0.82,69.7
2016-06-12,70,82.0,,0.82,57.4
2016-06-13,87,82.0,,0.82,71.33999999999999
2016-06-14,74,82.0,,0.82,60.68
2016-06-15,92,82.0,,0.82,75.44
2016-06-16,86,82.0,,0.82,70.52
2016-06-17,86,82.0,,0.82,70.52
2016-06-18,93,82.0,,0.82,76.25999999999999
2016-06-19,87,82.0,,0.82,71.33999999999999
2016-06-20,73,82.0,,0.82,59.86
2016-06-21,77,82.0,,0.82,63.13999999999999
2016-06-22,85,82.0,,0.82,69.7
2016-06-23,86,82.0,,0.82,70.52
2016-06-24,84,82.0,,0.82,68.88
2016-06-25,80,82.0,,0.82,65.6
2016-06-26,69,82.0,,0.82,56.58
2016-06-27,73,82.0,,0.82,59.86
2016-06-28,86,82.0,,0.82,70.52
2016-06-29,100,82.0,,0.82,82.0
2016-06-30,86,82.0,,0.82,70.52
2016-07-01,64,87.0,False,0.87,55.68
2016-07-02,84,87.0,,0.87,73.08
2016-07-03,63,87.0,,0.87,54.81
2016-07-04,78,87.0,,0.87,67.86
2016-07-05,69,87.0,,0.87,60.03
2016-07-06,74,87.0,,0.87,64.38
2016-07-07,90,87.0,,0.87,78.3
2016-07-08,100,87.0,,0.87,87.0
2016-07-09,99,87.0,,0.87,86.13
2016-07-10,85,87.0,,0.87,73.95
2016-07-11,80,87.0,,0.87,69.6
2016-07-12,85,87.0,,0.87,73.95
2016-07-13,92,87.0,,0.87,80.04
2016-07-14,79,87.0,,0.87,68.73
2016-07-15,88,87.0,,0.87,76.56
2016-07-16,70,87.0,,0.87,60.9
2016-07-17,77,87.0,,0.87,66.99
2016-07-18,96,87.0,,0.87,83.52
2016-07-19,91,87.0,,0.87,79.17
2016-07-20,92,87.0,,0.87,80.04
2016-07-21,75,87.0,,0.87,65.25
2016-07-22,91,87.0,,0.87,79.17
2016-07-23,81,87.0,,0.87,70.47
2016-07-24,64,87.0,,0.87,55.68
2016-07-25,72,87.0,,0.87,62.64
2016-07-26,78,87.0,,0.87,67.86
2016-07-27,83,87.0,,0.87,72.21
2016-07-28,85,87.0,,0.87,73.95
2016-07-29,78,87.0,,0.87,67.86
2016-07-30,73,87.0,,0.87,63.51
2016-07-31,81,87.0,,0.87,70.47
2016-08-01,80,73.0,False,0.73,58.4
2016-08-02,88,73.0,,0.73,64.24
2016-08-03,88,73.0,,0.73,64.24
2016-08-04,100,73.0,,0.73,73.0
2016-08-05,82,73.0,,0.73,59.86
2016-08-06,66,73.0,,0.73,48.18
2016-08-07,80,73.0,,0.73,58.4
2016-08-08,83,73.0,,0.73,60.589999999999996
2016-08-09,76,73.0,,0.73,55.48
2016-08-10,62,73.0,,0.73,45.26
2016-08-11,73,73.0,,0.73,53.29
2016-08-12,79,73.0,,0.73,57.67
2016-08-13,65,73.0,,0.73,47.449999999999996
2016-08-14,76,73.0,,0.73,55.48
2016-08-15,64,73.0,,0.73,46.72
2016-08-16,84,73.0,,0.73,61.32
2016-08-17,82,73.0,,0.73,59.86
2016-08-18,76,73.0,,0.73,55.48
2016-08-19,94,73.0,,0.73,68.62
2016-08-20,81,73.0,,0.73,59.129999999999995
2016-08-21,79,73.0,,0.73,57.67
2016-08-22,72,73.0,,0.73,52.56
2016-08-23,83,73.0,,0.73,60.589999999999996
2016-08-24,75,73.0,,0.73,54.75
2016-08-25,82,73.0,,0.73,59.86
2016-08-26,70,73.0,,0.73,51.1
2016-08-27,63,73.0,,0.73,45.99
2016-08-28,68,73.0,,0.73,49.64
2016-08-29,72,73.0,,0.73,52.56
2016-08-30,80,73.0,,0.73,58.4
2016-08-31,94,73.0,,0.73,68.62
2016-09-01,79,69.0,False,0.69,54.51
2016-09-02,69,69.0,,0.69,47.61
2016-09-03,58,69.0,,0.69,40.019999999999996
2016-09-04,78,69.0,,0.69,53.81999999999999
2016-09-05,66,69.0,,0.69,45.54
2016-09-06,72,69.0,,0.69,49.67999999999999
2016-09-07,76,69.0,,0.69,52.44
2016-09-08,77,69.0,,0.69,53.129999999999995
2016-09-09,86,69.0,,0.69,59.339999999999996
2016-09-10,79,69.0,,0.69,54.51
2016-09-11,93,69.0,,0.69,64.17
2016-09-12,80,69.0,,0.69,55.199999999999996
2016-09-13,83,69.0,,0.69,57.269999999999996
2016-09-14,90,69.0,,0.69,62.099999999999994
2016-09-15,86,69.0,,0.69,59.339999999999996
2016-09-16,73,69.0,,0.69,50.37
2016-09-17,93,69.0,,0.69,64.17
2016-09-18,81,69.0,,0.69,55.88999999999999
2016-09-19,77,69.0,,0.69,53.129999999999995
2016-09-20,76,69.0,,0.69,52.44
2016-09-21,80,69.0,,0.69,55.199999999999996
2016-09-22,91,69.0,,0.69,62.78999999999999
2016-09-23,78,69.0,,0.69,53.81999999999999
2016-09-24,88,69.0,,0.69,60.72
2016-09-25,87,69.0,,0.69,60.029999999999994
2016-09-26,73,69.0,,0.69,50.37
2016-09-27,95,69.0,,0.69,65.55
2016-09-28,65,69.0,,0.69,44.849999999999994
2016-09-29,100,69.0,,0.69,69.0
2016-09-30,80,69.0,,0.69,55.199999999999996
2016-10-01,72,70.0,False,0.7,50.4
2016-10-02,88,70.0,,0.7,61.599999999999994
2016-10-03,71,70.0,,0.7,49.699999999999996
2016-10-04,72,70.0,,0.7,50.4
2016-10-05,80,70.0,,0.7,56.0
2016-10-06,76,70.0,,0.7,53.199999999999996
2016-10-07,68,70.0,,0.7,47.599999999999994
2016-10-08,81,70.0,,0.7,56.699999999999996
2016-10-09,80,70.0,,0.7,56.0
2016-10-10,80,70.0,,0.7,56.0
2016-10-11,80,70.0,,0.7,56.0
2016-10-12,83,70.0,,0.7,58.099999999999994
2016-10-13,79,70.0,,0.7,55.3
2016-10-14,76,70.0,,0.7,53.199999999999996
2016-10-15,73,70.0,,0.7,51.099999999999994
2016-10-16,100,70.0,,0.7,70.0
2016-10-17,72,70.0,,0.7,50.4
2016-10-18,71,70.0,,0.7,49.699999999999996
2016-10-19,66,70.0,,0.7,46.199999999999996
2016-10-20,87,70.0,,0.7,60.9
2016-10-21,74,70.0,,0.7,51.8
2016-10-22,80,70.0,,0.7,56.0
2016-10-23,80,70.0,,0.7,56.0
2016-10-24,63,70.0,,0.7,44.099999999999994
2016-10-25,60,70.0,,0.7,42.0
2016-10-26,69,70.0,,0.7,48.3
2016-10-27,82,70.0,,0.7,57.4
