date,SPXB_unscaled,SPXB_monthly,isPartial,scale,SPXB
2016-05-01,0,29.0,False,0.29,0.0
2016-05-02,0,29.0,,0.29,0.0
2016-05-03,0,29.0,,0.29,0.0
2016-05-04,0,29.0,,0.29,0.0
2016-05-05,0,29.0,,0.29,0.0
2016-05-06,0,29.0,,0.29,0.0
2016-05-07,0,29.0,,0.29,0.0
2016-05-08,0,29.0,,0.29,0.0
2016-05-09,0,29.0,,0.29,0.0
2016-05-10,0,29.0,,0.29,0.0
2016-05-11,0,29.0,,0.29,0.0
2016-05-12,0,29.0,,0.29,0.0
2016-05-13,0,29.0,,0.29,0.0
2016-05-14,100,29.0,,0.29,28.999999999999996
2016-05-15,0,29.0,,0.29,0.0
2016-05-16,0,29.0,,0.29,0.0
2016-05-17,0,29.0,,0.29,0.0
2016-05-18,0,29.0,,0.29,0.0
2016-05-19,0,29.0,,0.29,0.0
2016-05-20,0,29.0,,0.29,0.0
2016-05-21,0,29.0,,0.29,0.0
2016-05-22,0,29.0,,0.29,0.0
2016-05-23,0,29.0,,0.29,0.0
2016-05-24,0,29.0,,0.29,0.0
2016-05-25,0,29.0,,0.29,0.0
2016-05-26,0,29.0,,0.29,0.0
2016-05-27,0,29.0,,0.29,0.0
2016-05-28,0,29.0,,0.29,0.0
2016-05-29,0,29.0,,0.29,0.0
2016-05-30,0,29.0,,0.29,0.0
2016-05-31,0,29.0,,0.29,0.0
2017-02-01,0,27.0,False,0.27,0.0
2017-02-02,0,27.0,,0.27,0.0
2017-02-03,0,27.0,,0.27,0.0
2017-02-04,0,27.0,,0.27,0.0
2017-02-05,0,27.0,,0.27,0.0
2017-02-06,0,27.0,,0.27,0.0
2017-02-07,0,27.0,,0.27,0.0
2017-02-08,0,27.0,,0.27,0.0
2017-02-09,0,27.0,,0.27,0.0
2017-02-10,0,27.0,,0.27,0.0
2017-02-11,0,27.0,,0.27,0.0
2017-02-12,0,27.0,,0.27,0.0
2017-02-13,0,27.0,,0.27,0.0
2017-02-14,0,27.0,,0.27,0.0
2017-02-15,0,27.0,,0.27,0.0
2017-02-16,0,27.0,,0.27,0.0
2017-02-17,100,27.0,,0.27,27.0
2017-02-18,0,27.0,,0.27,0.0
2017-02-19,0,27.0,,0.27,0.0
2017-02-20,0,27.0,,0.27,0.0
2017-02-21,0,27.0,,0.27,0.0
2017-02-22,0,27.0,,0.27,0.0
2017-02-23,0,27.0,,0.27,0.0
2017-02-24,0,27.0,,0.27,0.0
2017-02-25,0,27.0,,0.27,0.0
2017-02-26,0,27.0,,0.27,0.0
2017-02-27,0,27.0,,0.27,0.0
2017-02-28,0,27.0,,0.27,0.0
2017-10-01,0,26.0,False,0.26,0.0
2017-10-02,0,26.0,,0.26,0.0
2017-10-03,0,26.0,,0.26,0.0
