date,JNJ_unscaled,JNJ_monthly,isPartial,scale,JNJ
2016-05-01,21,29.0,False,0.29,6.09
2016-05-02,72,29.0,,0.29,20.88
2016-05-03,60,29.0,,0.29,17.4
2016-05-04,62,29.0,,0.29,17.98
2016-05-05,64,29.0,,0.29,18.56
2016-05-06,68,29.0,,0.29,19.72
2016-05-07,24,29.0,,0.29,6.959999999999999
2016-05-08,23,29.0,,0.29,6.67
2016-05-09,90,29.0,,0.29,26.099999999999998
2016-05-10,100,29.0,,0.29,28.999999999999996
2016-05-11,92,29.0,,0.29,26.68
2016-05-12,58,29.0,,0.29,16.82
2016-05-13,58,29.0,,0.29,16.82
2016-05-14,41,29.0,,0.29,11.889999999999999
2016-05-15,21,29.0,,0.29,6.09
2016-05-16,66,29.0,,0.29,19.139999999999997
2016-05-17,71,29.0,,0.29,20.59
2016-05-18,84,29.0,,0.29,24.36
2016-05-19,66,29.0,,0.29,19.139999999999997
2016-05-20,53,29.0,,0.29,15.37
2016-05-21,36,29.0,,0.29,10.44
2016-05-22,31,29.0,,0.29,8.99
2016-05-23,61,29.0,,0.29,17.689999999999998
2016-05-24,42,29.0,,0.29,12.18
2016-05-25,83,29.0,,0.29,24.069999999999997
2016-05-26,90,29.0,,0.29,26.099999999999998
2016-05-27,73,29.0,,0.29,21.169999999999998
2016-05-28,28,29.0,,0.29,8.12
2016-05-29,24,29.0,,0.29,6.959999999999999
2016-05-30,18,29.0,,0.29,5.22
2016-05-31,78,29.0,,0.29,22.619999999999997
2016-06-01,68,36.0,False,0.36,24.48
2016-06-02,79,36.0,,0.36,28.439999999999998
2016-06-03,76,36.0,,0.36,27.36
2016-06-04,27,36.0,,0.36,9.719999999999999
2016-06-05,29,36.0,,0.36,10.44
2016-06-06,66,36.0,,0.36,23.759999999999998
2016-06-07,72,36.0,,0.36,25.919999999999998
2016-06-08,77,36.0,,0.36,27.72
2016-06-09,76,36.0,,0.36,27.36
2016-06-10,74,36.0,,0.36,26.64
