date,BJ_unscaled,BJ_monthly,isPartial,scale,BJ
2016-05-01,96,84.0,False,0.84,80.64
2016-05-02,74,84.0,,0.84,62.16
2016-05-03,68,84.0,,0.84,57.12
2016-05-04,62,84.0,,0.84,52.08
2016-05-05,72,84.0,,0.84,60.48
2016-05-06,64,84.0,,0.84,53.76
2016-05-07,83,84.0,,0.84,69.72
2016-05-08,84,84.0,,0.84,70.56
2016-05-09,72,84.0,,0.84,60.48
2016-05-10,72,84.0,,0.84,60.48
2016-05-11,76,84.0,,0.84,63.839999999999996
2016-05-12,80,84.0,,0.84,67.2
2016-05-13,78,84.0,,0.84,65.52
2016-05-14,92,84.0,,0.84,77.28
2016-05-15,91,84.0,,0.84,76.44
2016-05-16,71,84.0,,0.84,59.64
2016-05-17,67,84.0,,0.84,56.28
2016-05-18,65,84.0,,0.84,54.6
2016-05-19,64,84.0,,0.84,53.76
2016-05-20,86,84.0,,0.84,72.24
2016-05-21,92,84.0,,0.84,77.28
2016-05-22,94,84.0,,0.84,78.96
2016-05-23,69,84.0,,0.84,57.96
2016-05-24,77,84.0,,0.84,64.67999999999999
2016-05-25,78,84.0,,0.84,65.52
2016-05-26,76,84.0,,0.84,63.839999999999996
2016-05-27,70,84.0,,0.84,58.8
2016-05-28,87,84.0,,0.84,73.08
2016-05-29,100,84.0,,0.84,84.0
2016-05-30,88,84.0,,0.84,73.92
2016-05-31,76,84.0,,0.84,63.839999999999996
2016-06-01,73,77.0,False,0.77,56.21
2016-06-02,65,77.0,,0.77,50.050000000000004
2016-06-03,71,77.0,,0.77,54.67
2016-06-04,84,77.0,,0.77,64.68
2016-06-05,93,77.0,,0.77,71.61
2016-06-06,78,77.0,,0.77,60.06
2016-06-07,71,77.0,,0.77,54.67
2016-06-08,75,77.0,,0.77,57.75
2016-06-09,74,77.0,,0.77,56.980000000000004
2016-06-10,85,77.0,,0.77,65.45
2016-06-11,92,77.0,,0.77,70.84
2016-06-12,81,77.0,,0.77,62.370000000000005
2016-06-13,70,77.0,,0.77,53.9
2016-06-14,71,77.0,,0.77,54.67
2016-06-15,65,77.0,,0.77,50.050000000000004
2016-06-16,73,77.0,,0.77,56.21
2016-06-17,73,77.0,,0.77,56.21
2016-06-18,89,77.0,,0.77,68.53
2016-06-19,100,77.0,,0.77,77.0
2016-06-20,77,77.0,,0.77,59.29
2016-06-21,70,77.0,,0.77,53.9
2016-06-22,77,77.0,,0.77,59.29
2016-06-23,77,77.0,,0.77,59.29
2016-06-24,72,77.0,,0.77,55.44
2016-06-25,83,77.0,,0.77,63.910000000000004
2016-06-26,92,77.0,,0.77,70.84
2016-06-27,72,77.0,,0.77,55.44
2016-06-28,78,77.0,,0.77,60.06
2016-06-29,77,77.0,,0.77,59.29
2016-06-30,80,77.0,,0.77,61.6
2016-07-01,76,84.0,False,0.84,63.839999999999996
2016-07-02,86,84.0,,0.84,72.24
