date,LIFE_unscaled,LIFE_monthly,isPartial,scale,LIFE
2016-05-01,93,95.0,False,0.95,88.35
2016-05-02,97,95.0,,0.95,92.14999999999999
2016-05-03,98,95.0,,0.95,93.1
2016-05-04,98,95.0,,0.95,93.1
2016-05-05,96,95.0,,0.95,91.19999999999999
2016-05-06,93,95.0,,0.95,88.35
2016-05-07,80,95.0,,0.95,76.0
2016-05-08,84,95.0,,0.95,79.8
2016-05-09,96,95.0,,0.95,91.19999999999999
2016-05-10,100,95.0,,0.95,95.0
2016-05-11,97,95.0,,0.95,92.14999999999999
2016-05-12,96,95.0,,0.95,91.19999999999999
2016-05-13,94,95.0,,0.95,89.3
2016-05-14,81,95.0,,0.95,76.95
2016-05-15,92,95.0,,0.95,87.39999999999999
2016-05-16,98,95.0,,0.95,93.1
2016-05-17,96,95.0,,0.95,91.19999999999999
2016-05-18,97,95.0,,0.95,92.14999999999999
2016-05-19,97,95.0,,0.95,92.14999999999999
2016-05-20,97,95.0,,0.95,92.14999999999999
2016-05-21,88,95.0,,0.95,83.6
2016-05-22,93,95.0,,0.95,88.35
2016-05-23,97,95.0,,0.95,92.14999999999999
2016-05-24,98,95.0,,0.95,93.1
2016-05-25,98,95.0,,0.95,93.1
2016-05-26,92,95.0,,0.95,87.39999999999999
2016-05-27,88,95.0,,0.95,83.6
2016-05-28,80,95.0,,0.95,76.0
2016-05-29,88,95.0,,0.95,83.6
2016-05-30,87,95.0,,0.95,82.64999999999999
2016-05-31,93,95.0,,0.95,88.35
2016-06-01,100,89.0,False,0.89,89.0
2016-06-02,97,89.0,,0.89,86.33
2016-06-03,96,89.0,,0.89,85.44
2016-06-04,88,89.0,,0.89,78.32000000000001
2016-06-05,96,89.0,,0.89,85.44
2016-06-06,93,89.0,,0.89,82.77
2016-06-07,97,89.0,,0.89,86.33
2016-06-08,98,89.0,,0.89,87.22
2016-06-09,93,89.0,,0.89,82.77
2016-06-10,93,89.0,,0.89,82.77
2016-06-11,87,89.0,,0.89,77.43
2016-06-12,91,89.0,,0.89,80.99
2016-06-13,90,89.0,,0.89,80.1
2016-06-14,88,89.0,,0.89,78.32000000000001
2016-06-15,93,89.0,,0.89,82.77
2016-06-16,92,89.0,,0.89,81.88
2016-06-17,90,89.0,,0.89,80.1
2016-06-18,92,89.0,,0.89,81.88
2016-06-19,91,89.0,,0.89,80.99
2016-06-20,89,89.0,,0.89,79.21000000000001
2016-06-21,92,89.0,,0.89,81.88
2016-06-22,93,89.0,,0.89,82.77
2016-06-23,89,89.0,,0.89,79.21000000000001
2016-06-24,87,89.0,,0.89,77.43
2016-06-25,93,89.0,,0.89,82.77
