date,CVS_unscaled,CVS_monthly,isPartial,scale,CVS
2016-05-01,94,34.0,False,0.34,31.96
2016-05-02,87,34.0,,0.34,29.580000000000002
2016-05-03,88,34.0,,0.34,29.92
2016-05-04,86,34.0,,0.34,29.240000000000002
2016-05-05,86,34.0,,0.34,29.240000000000002
2016-05-06,89,34.0,,0.34,30.26
2016-05-07,92,34.0,,0.34,31.28
2016-05-08,97,34.0,,0.34,32.980000000000004
2016-05-09,90,34.0,,0.34,30.6
2016-05-10,87,34.0,,0.34,29.580000000000002
2016-05-11,87,34.0,,0.34,29.580000000000002
2016-05-12,89,34.0,,0.34,30.26
2016-05-13,90,34.0,,0.34,30.6
2016-05-14,92,34.0,,0.34,31.28
2016-05-15,96,34.0,,0.34,32.64
2016-05-16,94,34.0,,0.34,31.96
2016-05-17,90,34.0,,0.34,30.6
2016-05-18,89,34.0,,0.34,30.26
2016-05-19,87,34.0,,0.34,29.580000000000002
2016-05-20,88,34.0,,0.34,29.92
2016-05-21,95,34.0,,0.34,32.300000000000004
2016-05-22,95,34.0,,0.34,32.300000000000004
2016-05-23,92,34.0,,0.34,31.28
2016-05-24,89,34.0,,0.34,30.26
2016-05-25,91,34.0,,0.34,30.94
2016-05-26,89,34.0,,0.34,30.26
2016-05-27,95,34.0,,0.34,32.300000000000004
2016-05-28,94,34.0,,0.34,31.96
2016-05-29,100,34.0,,0.34,34.0
2016-05-30,98,34.0,,0.34,33.32
2016-05-31,96,34.0,,0.34,32.64
2016-06-01,93,34.0,False,0.34,31.62
2016-06-02,90,34.0,,0.34,30.6
2016-06-03,92,34.0,,0.34,31.28
2016-06-04,90,34.0,,0.34,30.6
2016-06-05,93,34.0,,0.34,31.62
2016-06-06,94,34.0,,0.34,31.96
2016-06-07,89,34.0,,0.34,30.26
2016-06-08,90,34.0,,0.34,30.6
2016-06-09,94,34.0,,0.34,31.96
2016-06-10,91,34.0,,0.34,30.94
2016-06-11,90,34.0,,0.34,30.6
2016-06-12,91,34.0,,0.34,30.94
2016-06-13,93,34.0,,0.34,31.62
2016-06-14,90,34.0,,0.34,30.6
2016-06-15,91,34.0,,0.34,30.94
2016-06-16,94,34.0,,0.34,31.96
2016-06-17,97,34.0,,0.34,32.980000000000004
2016-06-18,100,34.0,,0.34,34.0
2016-06-19,100,34.0,,0.34,34.0
2016-06-20,95,34.0,,0.34,32.300000000000004
2016-06-21,97,34.0,,0.34,32.980000000000004
2016-06-22,98,34.0,,0.34,33.32
2016-06-23,88,34.0,,0.34,29.92
2016-06-24,93,34.0,,0.34,31.62
2016-06-25,91,34.0,,0.34,30.94
2016-06-26,96,34.0,,0.34,32.64
2016-06-27,95,34.0,,0.34,32.300000000000004
2016-06-28,92,34.0,,0.34,31.28
2016-06-29,94,34.0,,0.34,31.96
2016-06-30,94,34.0,,0.34,31.96
2016-07-01,92,34.0,False,0.34,31.28
2016-07-02,89,34.0,,0.34,30.26
2016-07-03,100,34.0,,0.34,34.0
2016-07-04,92,34.0,,0.34,31.28
2016-07-05,96,34.0,,0.34,32.64
2016-07-06,93,34.0,,0.34,31.62
2016-07-07,94,34.0,,0.34,31.96
2016-07-08,89,34.0,,0.34,30.26
2016-07-09,92,34.0,,0.34,31.28
2016-07-10,92,34.0,,0.34,31.28
2016-07-11,94,34.0,,0.34,31.96
2016-07-12,90,34.0,,0.34,30.6
2016-07-13,89,34.0,,0.34,30.26
2016-07-14,85,34.0,,0.34,28.900000000000002
2016-07-15,89,34.0,,0.34,30.26
2016-07-16,86,34.0,,0.34,29.240000000000002
2016-07-17,92,34.0,,0.34,31.28
2016-07-18,91,34.0,,0.34,30.94
2016-07-19,89,34.0,,0.34,30.26
2016-07-20,92,34.0,,0.34,31.28
2016-07-21,88,34.0,,0.34,29.92
2016-07-22,90,34.0,,0.34,30.6
2016-07-23,88,34.0,,0.34,29.92
2016-07-24,94,34.0,,0.34,31.96
2016-07-25,92,34.0,,0.34,31.28
2016-07-26,88,34.0,,0.34,29.92
2016-07-27,87,34.0,,0.34,29.580000000000002
2016-07-28,86,34.0,,0.34,29.240000000000002
2016-07-29,86,34.0,,0.34,29.240000000000002
2016-07-30,88,34.0,,0.34,29.92
