date,RE_unscaled,RE_monthly,isPartial,scale,RE
2016-05-01,97,84.0,False,0.84,81.48
2016-05-02,98,84.0,,0.84,82.32
2016-05-03,88,84.0,,0.84,73.92
2016-05-04,88,84.0,,0.84,73.92
2016-05-05,88,84.0,,0.84,73.92
2016-05-06,89,84.0,,0.84,74.75999999999999
2016-05-07,87,84.0,,0.84,73.08
2016-05-08,85,84.0,,0.84,71.39999999999999
2016-05-09,95,84.0,,0.84,79.8
2016-05-10,91,84.0,,0.84,76.44
2016-05-11,93,84.0,,0.84,78.11999999999999
2016-05-12,81,84.0,,0.84,68.03999999999999
2016-05-13,94,84.0,,0.84,78.96
2016-05-14,86,84.0,,0.84,72.24
2016-05-15,95,84.0,,0.84,79.8
2016-05-16,94,84.0,,0.84,78.96
2016-05-17,90,84.0,,0.84,75.6
2016-05-18,86,84.0,,0.84,72.24
2016-05-19,86,84.0,,0.84,72.24
2016-05-20,86,84.0,,0.84,72.24
2016-05-21,92,84.0,,0.84,77.28
2016-05-22,95,84.0,,0.84,79.8
2016-05-23,92,84.0,,0.84,77.28
2016-05-24,90,84.0,,0.84,75.6
2016-05-25,91,84.0,,0.84,76.44
2016-05-26,100,84.0,,0.84,84.0
2016-05-27,84,84.0,,0.84,70.56
2016-05-28,92,84.0,,0.84,77.28
2016-05-29,91,84.0,,0.84,76.44
2016-05-30,89,84.0,,0.84,74.75999999999999
2016-05-31,86,84.0,,0.84,72.24
2016-06-01,86,84.0,False,0.84,72.24
2016-06-02,83,84.0,,0.84,69.72
2016-06-03,80,84.0,,0.84,67.2
2016-06-04,82,84.0,,0.84,68.88
2016-06-05,94,84.0,,0.84,78.96
2016-06-06,91,84.0,,0.84,76.44
2016-06-07,88,84.0,,0.84,73.92
2016-06-08,84,84.0,,0.84,70.56
2016-06-09,81,84.0,,0.84,68.03999999999999
2016-06-10,85,84.0,,0.84,71.39999999999999
2016-06-11,83,84.0,,0.84,69.72
2016-06-12,90,84.0,,0.84,75.6
2016-06-13,87,84.0,,0.84,73.08
2016-06-14,90,84.0,,0.84,75.6
2016-06-15,85,84.0,,0.84,71.39999999999999
2016-06-16,84,84.0,,0.84,70.56
2016-06-17,85,84.0,,0.84,71.39999999999999
2016-06-18,89,84.0,,0.84,74.75999999999999
2016-06-19,89,84.0,,0.84,74.75999999999999
2016-06-20,91,84.0,,0.84,76.44
2016-06-21,86,84.0,,0.84,72.24
2016-06-22,85,84.0,,0.84,71.39999999999999
2016-06-23,83,84.0,,0.84,69.72
2016-06-24,85,84.0,,0.84,71.39999999999999
2016-06-25,88,84.0,,0.84,73.92
2016-06-26,90,84.0,,0.84,75.6
2016-06-27,92,84.0,,0.84,77.28
2016-06-28,100,84.0,,0.84,84.0
2016-06-29,97,84.0,,0.84,81.48
2016-06-30,88,84.0,,0.84,73.92
2016-07-01,76,90.0,False,0.9,68.4
2016-07-02,81,90.0,,0.9,72.9
2016-07-03,83,90.0,,0.9,74.7
2016-07-04,90,90.0,,0.9,81.0
2016-07-05,79,90.0,,0.9,71.10000000000001
2016-07-06,80,90.0,,0.9,72.0
2016-07-07,73,90.0,,0.9,65.7
2016-07-08,72,90.0,,0.9,64.8
2016-07-09,77,90.0,,0.9,69.3
2016-07-10,86,90.0,,0.9,77.4
2016-07-11,94,90.0,,0.9,84.60000000000001
2016-07-12,83,90.0,,0.9,74.7
2016-07-13,85,90.0,,0.9,76.5
2016-07-14,80,90.0,,0.9,72.0
2016-07-15,84,90.0,,0.9,75.60000000000001
2016-07-16,74,90.0,,0.9,66.60000000000001
2016-07-17,94,90.0,,0.9,84.60000000000001
2016-07-18,100,90.0,,0.9,90.0
2016-07-19,82,90.0,,0.9,73.8
2016-07-20,83,90.0,,0.9,74.7
2016-07-21,80,90.0,,0.9,72.0
2016-07-22,77,90.0,,0.9,69.3
2016-07-23,82,90.0,,0.9,73.8
2016-07-24,91,90.0,,0.9,81.9
2016-07-25,94,90.0,,0.9,84.60000000000001
2016-07-26,86,90.0,,0.9,77.4
2016-07-27,84,90.0,,0.9,75.60000000000001
2016-07-28,82,90.0,,0.9,73.8
2016-07-29,80,90.0,,0.9,72.0
2016-07-30,84,90.0,,0.9,75.60000000000001
2016-07-31,96,90.0,,0.9,86.4
2016-08-01,100,86.0,False,0.86,86.0
2016-08-02,81,86.0,,0.86,69.66
2016-08-03,82,86.0,,0.86,70.52
2016-08-04,81,86.0,,0.86,69.66
2016-08-05,77,86.0,,0.86,66.22
2016-08-06,83,86.0,,0.86,71.38
2016-08-07,90,86.0,,0.86,77.4
2016-08-08,86,86.0,,0.86,73.96
2016-08-09,81,86.0,,0.86,69.66
2016-08-10,78,86.0,,0.86,67.08
2016-08-11,77,86.0,,0.86,66.22
2016-08-12,70,86.0,,0.86,60.199999999999996
2016-08-13,74,86.0,,0.86,63.64
2016-08-14,82,86.0,,0.86,70.52
2016-08-15,82,86.0,,0.86,70.52
2016-08-16,85,86.0,,0.86,73.1
2016-08-17,75,86.0,,0.86,64.5
2016-08-18,78,86.0,,0.86,67.08
2016-08-19,72,86.0,,0.86,61.92
2016-08-20,84,86.0,,0.86,72.24
2016-08-21,86,86.0,,0.86,73.96
2016-08-22,87,86.0,,0.86,74.82
2016-08-23,83,86.0,,0.86,71.38
