date,BBC_unscaled,BBC_monthly,isPartial,scale,BBC
2016-05-01,86,81.0,False,0.81,69.66000000000001
2016-05-02,87,81.0,,0.81,70.47
2016-05-03,86,81.0,,0.81,69.66000000000001
2016-05-04,83,81.0,,0.81,67.23
2016-05-05,87,81.0,,0.81,70.47
2016-05-06,90,81.0,,0.81,72.9
2016-05-07,92,81.0,,0.81,74.52000000000001
2016-05-08,84,81.0,,0.81,68.04
2016-05-09,83,81.0,,0.81,67.23
2016-05-10,88,81.0,,0.81,71.28
2016-05-11,86,81.0,,0.81,69.66000000000001
2016-05-12,81,81.0,,0.81,65.61
2016-05-13,86,81.0,,0.81,69.66000000000001
2016-05-14,83,81.0,,0.81,67.23
2016-05-15,95,81.0,,0.81,76.95
2016-05-16,86,81.0,,0.81,69.66000000000001
2016-05-17,81,81.0,,0.81,65.61
2016-05-18,82,81.0,,0.81,66.42
2016-05-19,100,81.0,,0.81,81.0
2016-05-20,90,81.0,,0.81,72.9
2016-05-21,92,81.0,,0.81,74.52000000000001
2016-05-22,92,81.0,,0.81,74.52000000000001
2016-05-23,91,81.0,,0.81,73.71000000000001
2016-05-24,86,81.0,,0.81,69.66000000000001
2016-05-25,82,81.0,,0.81,66.42
2016-05-26,88,81.0,,0.81,71.28
2016-05-27,87,81.0,,0.81,70.47
2016-05-28,86,81.0,,0.81,69.66000000000001
2016-05-29,88,81.0,,0.81,71.28
2016-05-30,86,81.0,,0.81,69.66000000000001
2016-05-31,88,81.0,,0.81,71.28
2016-06-01,28,99.0,False,0.99,27.72
2016-06-02,26,99.0,,0.99,25.74
2016-06-03,28,99.0,,0.99,27.72
2016-06-04,27,99.0,,0.99,26.73
2016-06-05,27,99.0,,0.99,26.73
2016-06-06,28,99.0,,0.99,27.72
2016-06-07,28,99.0,,0.99,27.72
2016-06-08,27,99.0,,0.99,26.73
2016-06-09,27,99.0,,0.99,26.73
2016-06-10,28,99.0,,0.99,27.72
2016-06-11,30,99.0,,0.99,29.7
2016-06-12,39,99.0,,0.99,38.61
2016-06-13,34,99.0,,0.99,33.66
2016-06-14,30,99.0,,0.99,29.7
2016-06-15,31,99.0,,0.99,30.69
2016-06-16,34,99.0,,0.99,33.66
2016-06-17,31,99.0,,0.99,30.69
2016-06-18,30,99.0,,0.99,29.7
2016-06-19,30,99.0,,0.99,29.7
2016-06-20,30,99.0,,0.99,29.7
2016-06-21,31,99.0,,0.99,30.69
2016-06-22,31,99.0,,0.99,30.69
2016-06-23,51,99.0,,0.99,50.49
2016-06-24,100,99.0,,0.99,99.0
2016-06-25,39,99.0,,0.99,38.61
2016-06-26,38,99.0,,0.99,37.62
2016-06-27,36,99.0,,0.99,35.64
2016-06-28,38,99.0,,0.99,37.62
2016-06-29,34,99.0,,0.99,33.66
2016-06-30,33,99.0,,0.99,32.67
2016-07-01,60,97.0,False,0.97,58.199999999999996
2016-07-02,61,97.0,,0.97,59.17
2016-07-03,64,97.0,,0.97,62.08
2016-07-04,67,97.0,,0.97,64.99
2016-07-05,65,97.0,,0.97,63.05
2016-07-06,65,97.0,,0.97,63.05
2016-07-07,62,97.0,,0.97,60.14
2016-07-08,72,97.0,,0.97,69.84
2016-07-09,62,97.0,,0.97,60.14
2016-07-10,63,97.0,,0.97,61.11
2016-07-11,60,97.0,,0.97,58.199999999999996
2016-07-12,59,97.0,,0.97,57.23
2016-07-13,58,97.0,,0.97,56.26
2016-07-14,63,97.0,,0.97,61.11
2016-07-15,100,97.0,,0.97,97.0
2016-07-16,92,97.0,,0.97,89.24
2016-07-17,67,97.0,,0.97,64.99
2016-07-18,64,97.0,,0.97,62.08
2016-07-19,62,97.0,,0.97,60.14
2016-07-20,62,97.0,,0.97,60.14
2016-07-21,60,97.0,,0.97,58.199999999999996
2016-07-22,77,97.0,,0.97,74.69
2016-07-23,64,97.0,,0.97,62.08
2016-07-24,64,97.0,,0.97,62.08
2016-07-25,67,97.0,,0.97,64.99
2016-07-26,62,97.0,,0.97,60.14
2016-07-27,61,97.0,,0.97,59.17
2016-07-28,57,97.0,,0.97,55.29
2016-07-29,57,97.0,,0.97,55.29
2016-07-30,59,97.0,,0.97,57.23
2016-07-31,58,97.0,,0.97,56.26
2016-08-01,82,89.0,False,0.89,72.98
2016-08-02,83,89.0,,0.89,73.87
2016-08-03,80,89.0,,0.89,71.2
2016-08-04,85,89.0,,0.89,75.65
2016-08-05,88,89.0,,0.89,78.32000000000001
2016-08-06,100,89.0,,0.89,89.0
2016-08-07,92,89.0,,0.89,81.88
2016-08-08,90,89.0,,0.89,80.1
2016-08-09,83,89.0,,0.89,73.87
2016-08-10,80,89.0,,0.89,71.2
2016-08-11,82,89.0,,0.89,72.98
2016-08-12,80,89.0,,0.89,71.2
2016-08-13,94,89.0,,0.89,83.66
2016-08-14,94,89.0,,0.89,83.66
2016-08-15,89,89.0,,0.89,79.21000000000001
2016-08-16,80,89.0,,0.89,71.2
2016-08-17,79,89.0,,0.89,70.31
2016-08-18,81,89.0,,0.89,72.09
2016-08-19,87,89.0,,0.89,77.43
2016-08-20,90,89.0,,0.89,80.1
2016-08-21,90,89.0,,0.89,80.1
2016-08-22,81,89.0,,0.89,72.09
2016-08-23,84,89.0,,0.89,74.76
2016-08-24,86,89.0,,0.89,76.54
2016-08-25,80,89.0,,0.89,71.2
2016-08-26,82,89.0,,0.89,72.98
2016-08-27,92,89.0,,0.89,81.88
2016-08-28,87,89.0,,0.89,77.43
2016-08-29,78,89.0,,0.89,69.42
2016-08-30,78,89.0,,0.89,69.42
2016-08-31,84,89.0,,0.89,74.76
2016-09-01,86,85.0,False,0.85,73.1
2016-09-02,89,85.0,,0.85,75.64999999999999
2016-09-03,86,85.0,,0.85,73.1
2016-09-04,95,85.0,,0.85,80.75
2016-09-05,93,85.0,,0.85,79.05
2016-09-06,87,85.0,,0.85,73.95
2016-09-07,84,85.0,,0.85,71.39999999999999
2016-09-08,87,85.0,,0.85,73.95
2016-09-09,87,85.0,,0.85,73.95
2016-09-10,96,85.0,,0.85,81.6
2016-09-11,89,85.0,,0.85,75.64999999999999
2016-09-12,85,85.0,,0.85,72.25
2016-09-13,90,85.0,,0.85,76.5
2016-09-14,89,85.0,,0.85,75.64999999999999
2016-09-15,86,85.0,,0.85,73.1
2016-09-16,87,85.0,,0.85,73.95
2016-09-17,92,85.0,,0.85,78.2
2016-09-18,97,85.0,,0.85,82.45
2016-09-19,93,85.0,,0.85,79.05
2016-09-20,86,85.0,,0.85,73.1
2016-09-21,91,85.0,,0.85,77.35
2016-09-22,89,85.0,,0.85,75.64999999999999
2016-09-23,83,85.0,,0.85,70.55
2016-09-24,90,85.0,,0.85,76.5
2016-09-25,86,85.0,,0.85,73.1
2016-09-26,85,85.0,,0.85,72.25
2016-09-27,100,85.0,,0.85,85.0
2016-09-28,90,85.0,,0.85,76.5
2016-09-29,86,85.0,,0.85,73.1
2016-09-30,94,85.0,,0.85,79.89999999999999
2016-10-01,88,86.0,False,0.86,75.67999999999999
2016-10-02,92,86.0,,0.86,79.12
2016-10-03,87,86.0,,0.86,74.82
2016-10-04,86,86.0,,0.86,73.96
2016-10-05,91,86.0,,0.86,78.26
2016-10-06,84,86.0,,0.86,72.24
2016-10-07,87,86.0,,0.86,74.82
2016-10-08,94,86.0,,0.86,80.84
2016-10-09,88,86.0,,0.86,75.67999999999999
2016-10-10,94,86.0,,0.86,80.84
2016-10-11,85,86.0,,0.86,73.1
2016-10-12,88,86.0,,0.86,75.67999999999999
2016-10-13,90,86.0,,0.86,77.4
2016-10-14,87,86.0,,0.86,74.82
2016-10-15,97,86.0,,0.86,83.42
2016-10-16,89,86.0,,0.86,76.53999999999999
2016-10-17,96,86.0,,0.86,82.56
2016-10-18,95,86.0,,0.86,81.7
2016-10-19,87,86.0,,0.86,74.82
2016-10-20,99,86.0,,0.86,85.14
2016-10-21,95,86.0,,0.86,81.7
2016-10-22,100,86.0,,0.86,86.0
2016-10-23,89,86.0,,0.86,76.53999999999999
2016-10-24,88,86.0,,0.86,75.67999999999999
2016-10-25,90,86.0,,0.86,77.4
2016-10-26,88,86.0,,0.86,75.67999999999999
2016-10-27,90,86.0,,0.86,77.4
2016-10-28,92,86.0,,0.86,79.12
2016-10-29,100,86.0,,0.86,86.0
2016-10-30,95,86.0,,0.86,81.7
2016-10-31,94,86.0,,0.86,80.84
2016-11-01,40,94.0,False,0.94,37.599999999999994
2016-11-02,38,94.0,,0.94,35.72
2016-11-03,39,94.0,,0.94,36.66
2016-11-04,37,94.0,,0.94,34.78
2016-11-05,40,94.0,,0.94,37.599999999999994
2016-11-06,44,94.0,,0.94,41.36
2016-11-07,40,94.0,,0.94,37.599999999999994
2016-11-08,51,94.0,,0.94,47.94
2016-11-09,100,94.0,,0.94,94.0
2016-11-10,48,94.0,,0.94,45.12
2016-11-11,41,94.0,,0.94,38.54
2016-11-12,39,94.0,,0.94,36.66
2016-11-13,40,94.0,,0.94,37.599999999999994
2016-11-14,40,94.0,,0.94,37.599999999999994
2016-11-15,40,94.0,,0.94,37.599999999999994
2016-11-16,38,94.0,,0.94,35.72
2016-11-17,39,94.0,,0.94,36.66
2016-11-18,36,94.0,,0.94,33.839999999999996
2016-11-19,39,94.0,,0.94,36.66
2016-11-20,38,94.0,,0.94,35.72
2016-11-21,38,94.0,,0.94,35.72
2016-11-22,37,94.0,,0.94,34.78
2016-11-23,36,94.0,,0.94,33.839999999999996
2016-11-24,36,94.0,,0.94,33.839999999999996
2016-11-25,34,94.0,,0.94,31.959999999999997
2016-11-26,38,94.0,,0.94,35.72
2016-11-27,39,94.0,,0.94,36.66
2016-11-28,36,94.0,,0.94,33.839999999999996
2016-11-29,38,94.0,,0.94,35.72
2016-11-30,36,94.0,,0.94,33.839999999999996
2016-12-01,77,85.0,False,0.85,65.45
2016-12-02,80,85.0,,0.85,68.0
2016-12-03,81,85.0,,0.85,68.85
2016-12-04,81,85.0,,0.85,68.85
2016-12-05,80,85.0,,0.85,68.0
2016-12-06,76,85.0,,0.85,64.6
