date,WTI_unscaled,WTI_monthly,isPartial,scale,WTI
2016-05-01,22,19.0,False,0.19,4.18
2016-05-02,72,19.0,,0.19,13.68
2016-05-03,72,19.0,,0.19,13.68
2016-05-04,80,19.0,,0.19,15.2
2016-05-05,85,19.0,,0.19,16.15
2016-05-06,48,19.0,,0.19,9.120000000000001
2016-05-07,14,19.0,,0.19,2.66
2016-05-08,20,19.0,,0.19,3.8
2016-05-09,73,19.0,,0.19,13.870000000000001
2016-05-10,82,19.0,,0.19,15.58
2016-05-11,68,19.0,,0.19,12.92
2016-05-12,86,19.0,,0.19,16.34
2016-05-13,71,19.0,,0.19,13.49
2016-05-14,18,19.0,,0.19,3.42
2016-05-15,14,19.0,,0.19,2.66
2016-05-16,80,19.0,,0.19,15.2
2016-05-17,66,19.0,,0.19,12.540000000000001
2016-05-18,79,19.0,,0.19,15.01
2016-05-19,79,19.0,,0.19,15.01
2016-05-20,61,19.0,,0.19,11.59
2016-05-21,29,19.0,,0.19,5.51
2016-05-22,13,19.0,,0.19,2.47
2016-05-23,60,19.0,,0.19,11.4
2016-05-24,82,19.0,,0.19,15.58
2016-05-25,78,19.0,,0.19,14.82
2016-05-26,100,19.0,,0.19,19.0
2016-05-27,75,19.0,,0.19,14.25
2016-05-28,20,19.0,,0.19,3.8
2016-05-29,10,19.0,,0.19,1.9
2016-05-30,29,19.0,,0.19,5.51
2016-05-31,65,19.0,,0.19,12.35
2016-06-01,72,18.0,False,0.18,12.959999999999999
2016-06-02,60,18.0,,0.18,10.799999999999999
2016-06-03,62,18.0,,0.18,11.16
2016-06-04,19,18.0,,0.18,3.42
2016-06-05,11,18.0,,0.18,1.98
2016-06-06,62,18.0,,0.18,11.16
2016-06-07,70,18.0,,0.18,12.6
2016-06-08,75,18.0,,0.18,13.5
2016-06-09,61,18.0,,0.18,10.98
2016-06-10,52,18.0,,0.18,9.36
2016-06-11,19,18.0,,0.18,3.42
2016-06-12,16,18.0,,0.18,2.88
2016-06-13,52,18.0,,0.18,9.36
2016-06-14,57,18.0,,0.18,10.26
2016-06-15,61,18.0,,0.18,10.98
2016-06-16,62,18.0,,0.18,11.16
2016-06-17,61,18.0,,0.18,10.98
2016-06-18,11,18.0,,0.18,1.98
2016-06-19,13,18.0,,0.18,2.34
2016-06-20,53,18.0,,0.18,9.54
2016-06-21,48,18.0,,0.18,8.64
2016-06-22,58,18.0,,0.18,10.44
2016-06-23,50,18.0,,0.18,9.0
2016-06-24,100,18.0,,0.18,18.0
2016-06-25,13,18.0,,0.18,2.34
2016-06-26,9,18.0,,0.18,1.6199999999999999
2016-06-27,54,18.0,,0.18,9.719999999999999
2016-06-28,48,18.0,,0.18,8.64
2016-06-29,54,18.0,,0.18,9.719999999999999
2016-06-30,60,18.0,,0.18,10.799999999999999
2016-07-01,54,14.0,False,0.14,7.5600000000000005
2016-07-02,26,14.0,,0.14,3.6400000000000006
2016-07-03,10,14.0,,0.14,1.4000000000000001
2016-07-04,34,14.0,,0.14,4.760000000000001
2016-07-05,88,14.0,,0.14,12.32
2016-07-06,72,14.0,,0.14,10.080000000000002
2016-07-07,68,14.0,,0.14,9.520000000000001
2016-07-08,67,14.0,,0.14,9.38
2016-07-09,15,14.0,,0.14,2.1
2016-07-10,22,14.0,,0.14,3.08
2016-07-11,75,14.0,,0.14,10.500000000000002
2016-07-12,74,14.0,,0.14,10.360000000000001
2016-07-13,85,14.0,,0.14,11.9
2016-07-14,61,14.0,,0.14,8.540000000000001
2016-07-15,62,14.0,,0.14,8.680000000000001
2016-07-16,20,14.0,,0.14,2.8000000000000003
2016-07-17,20,14.0,,0.14,2.8000000000000003
2016-07-18,61,14.0,,0.14,8.540000000000001
