date,SBGI_unscaled,SBGI_monthly,isPartial,scale,SBGI
2016-05-01,0,18.0,False,0.18,0.0
2016-05-02,0,18.0,,0.18,0.0
2016-05-03,0,18.0,,0.18,0.0
2016-05-04,32,18.0,,0.18,5.76
2016-05-05,0,18.0,,0.18,0.0
2016-05-06,0,18.0,,0.18,0.0
2016-05-07,0,18.0,,0.18,0.0
2016-05-08,0,18.0,,0.18,0.0
2016-05-09,0,18.0,,0.18,0.0
2016-05-10,0,18.0,,0.18,0.0
2016-05-11,32,18.0,,0.18,5.76
2016-05-12,100,18.0,,0.18,18.0
2016-05-13,0,18.0,,0.18,0.0
2016-05-14,40,18.0,,0.18,7.199999999999999
2016-05-15,0,18.0,,0.18,0.0
2016-05-16,0,18.0,,0.18,0.0
2016-05-17,32,18.0,,0.18,5.76
2016-05-18,33,18.0,,0.18,5.9399999999999995
2016-05-19,33,18.0,,0.18,5.9399999999999995
2016-05-20,34,18.0,,0.18,6.12
2016-05-21,0,18.0,,0.18,0.0
2016-05-22,0,18.0,,0.18,0.0
2016-05-23,33,18.0,,0.18,5.9399999999999995
2016-05-24,33,18.0,,0.18,5.9399999999999995
2016-05-25,0,18.0,,0.18,0.0
2016-05-26,0,18.0,,0.18,0.0
2016-05-27,0,18.0,,0.18,0.0
2016-05-28,0,18.0,,0.18,0.0
2016-05-29,0,18.0,,0.18,0.0
2016-05-30,0,18.0,,0.18,0.0
2016-05-31,0,18.0,,0.18,0.0
2016-06-01,95,11.0,False,0.11,10.45
2016-06-02,0,11.0,,0.11,0.0
2016-06-03,0,11.0,,0.11,0.0
2016-06-04,0,11.0,,0.11,0.0
2016-06-05,0,11.0,,0.11,0.0
2016-06-06,0,11.0,,0.11,0.0
2016-06-07,0,11.0,,0.11,0.0
2016-06-08,95,11.0,,0.11,10.45
2016-06-09,0,11.0,,0.11,0.0
2016-06-10,0,11.0,,0.11,0.0
2016-06-11,0,11.0,,0.11,0.0
2016-06-12,0,11.0,,0.11,0.0
2016-06-13,0,11.0,,0.11,0.0
2016-06-14,94,11.0,,0.11,10.34
2016-06-15,0,11.0,,0.11,0.0
2016-06-16,97,11.0,,0.11,10.67
2016-06-17,0,11.0,,0.11,0.0
2016-06-18,0,11.0,,0.11,0.0
2016-06-19,0,11.0,,0.11,0.0
2016-06-20,0,11.0,,0.11,0.0
2016-06-21,0,11.0,,0.11,0.0
2016-06-22,0,11.0,,0.11,0.0
2016-06-23,0,11.0,,0.11,0.0
2016-06-24,0,11.0,,0.11,0.0
2016-06-25,0,11.0,,0.11,0.0
2016-06-26,0,11.0,,0.11,0.0
2016-06-27,96,11.0,,0.11,10.56
2016-06-28,97,11.0,,0.11,10.67
2016-06-29,0,11.0,,0.11,0.0
2016-06-30,100,11.0,,0.11,11.0
2016-07-01,50,17.0,False,0.17,8.5
2016-07-02,57,17.0,,0.17,9.690000000000001
2016-07-03,0,17.0,,0.17,0.0
2016-07-04,57,17.0,,0.17,9.690000000000001
2016-07-05,0,17.0,,0.17,0.0
2016-07-06,49,17.0,,0.17,8.33
2016-07-07,0,17.0,,0.17,0.0
2016-07-08,0,17.0,,0.17,0.0
2016-07-09,0,17.0,,0.17,0.0
2016-07-10,0,17.0,,0.17,0.0
2016-07-11,0,17.0,,0.17,0.0
2016-07-12,0,17.0,,0.17,0.0
2016-07-13,100,17.0,,0.17,17.0
2016-07-14,0,17.0,,0.17,0.0
2016-07-15,0,17.0,,0.17,0.0
2016-07-16,0,17.0,,0.17,0.0
2016-07-17,0,17.0,,0.17,0.0
2016-07-18,49,17.0,,0.17,8.33
2016-07-19,48,17.0,,0.17,8.16
2016-07-20,0,17.0,,0.17,0.0
2016-07-21,50,17.0,,0.17,8.5
2016-07-22,0,17.0,,0.17,0.0
2016-07-23,0,17.0,,0.17,0.0
2016-07-24,0,17.0,,0.17,0.0
2016-07-25,0,17.0,,0.17,0.0
2016-07-26,0,17.0,,0.17,0.0
