date,SBGI_unscaled,SBGI_monthly,isPartial,scale,SBGI
2016-07-27,48,17.0,,0.17,8.16
2016-07-28,48,17.0,,0.17,8.16
2016-07-29,0,17.0,,0.17,0.0
2016-07-30,0,17.0,,0.17,0.0
2016-07-31,0,17.0,,0.17,0.0
2016-08-01,0,20.0,False,0.2,0.0
2016-08-02,49,20.0,,0.2,9.8
2016-08-03,100,20.0,,0.2,20.0
2016-08-04,0,20.0,,0.2,0.0
2016-08-05,0,20.0,,0.2,0.0
2016-08-06,0,20.0,,0.2,0.0
2016-08-07,0,20.0,,0.2,0.0
2016-08-08,50,20.0,,0.2,10.0
2016-08-09,0,20.0,,0.2,0.0
2016-08-10,52,20.0,,0.2,10.4
2016-08-11,0,20.0,,0.2,0.0
2016-08-12,53,20.0,,0.2,10.600000000000001
2016-08-13,0,20.0,,0.2,0.0
2016-08-14,0,20.0,,0.2,0.0
2016-08-15,0,20.0,,0.2,0.0
2016-08-16,0,20.0,,0.2,0.0
2016-08-17,0,20.0,,0.2,0.0
2016-08-18,0,20.0,,0.2,0.0
2016-08-19,0,20.0,,0.2,0.0
2016-08-20,63,20.0,,0.2,12.600000000000001
2016-08-21,0,20.0,,0.2,0.0
2016-08-22,0,20.0,,0.2,0.0
2016-08-23,52,20.0,,0.2,10.4
2016-08-24,52,20.0,,0.2,10.4
2016-08-25,0,20.0,,0.2,0.0
2016-08-26,0,20.0,,0.2,0.0
2016-08-27,58,20.0,,0.2,11.600000000000001
2016-08-28,0,20.0,,0.2,0.0
2016-08-29,48,20.0,,0.2,9.600000000000001
2016-08-30,0,20.0,,0.2,0.0
2016-08-31,96,20.0,,0.2,19.200000000000003
2016-09-01,0,22.0,False,0.22,0.0
2016-09-02,0,22.0,,0.22,0.0
2016-09-03,0,22.0,,0.22,0.0
2016-09-04,0,22.0,,0.22,0.0
2016-09-05,100,22.0,,0.22,22.0
2016-09-06,88,22.0,,0.22,19.36
2016-09-07,43,22.0,,0.22,9.46
2016-09-08,0,22.0,,0.22,0.0
2016-09-09,90,22.0,,0.22,19.8
2016-09-10,0,22.0,,0.22,0.0
2016-09-11,0,22.0,,0.22,0.0
2016-09-12,43,22.0,,0.22,9.46
2016-09-13,0,22.0,,0.22,0.0
2016-09-14,0,22.0,,0.22,0.0
2016-09-15,0,22.0,,0.22,0.0
2016-09-16,0,22.0,,0.22,0.0
2016-09-17,0,22.0,,0.22,0.0
2016-09-18,0,22.0,,0.22,0.0
2016-09-19,0,22.0,,0.22,0.0
2016-09-20,86,22.0,,0.22,18.92
2016-09-21,43,22.0,,0.22,9.46
2016-09-22,44,22.0,,0.22,9.68
2016-09-23,0,22.0,,0.22,0.0
2016-09-24,0,22.0,,0.22,0.0
2016-09-25,0,22.0,,0.22,0.0
2016-09-26,0,22.0,,0.22,0.0
2016-09-27,86,22.0,,0.22,18.92
2016-09-28,43,22.0,,0.22,9.46
2016-09-29,0,22.0,,0.22,0.0
2016-09-30,0,22.0,,0.22,0.0
2016-10-01,0,13.0,False,0.13,0.0
2016-10-02,0,13.0,,0.13,0.0
2016-10-03,49,13.0,,0.13,6.37
2016-10-04,49,13.0,,0.13,6.37
2016-10-05,0,13.0,,0.13,0.0
2016-10-06,50,13.0,,0.13,6.5
2016-10-07,50,13.0,,0.13,6.5
2016-10-08,0,13.0,,0.13,0.0
2016-10-09,0,13.0,,0.13,0.0
2016-10-10,0,13.0,,0.13,0.0
2016-10-11,0,13.0,,0.13,0.0
2016-10-12,0,13.0,,0.13,0.0
2016-10-13,100,13.0,,0.13,13.0
2016-10-14,0,13.0,,0.13,0.0
2016-10-15,0,13.0,,0.13,0.0
2016-10-16,0,13.0,,0.13,0.0
2016-10-17,0,13.0,,0.13,0.0
2016-10-18,0,13.0,,0.13,0.0
2016-10-19,0,13.0,,0.13,0.0
2016-10-20,50,13.0,,0.13,6.5
2016-10-21,0,13.0,,0.13,0.0
2016-10-22,62,13.0,,0.13,8.06
2016-10-23,0,13.0,,0.13,0.0
2016-10-24,0,13.0,,0.13,0.0
2016-10-25,0,13.0,,0.13,0.0
2016-10-26,0,13.0,,0.13,0.0
2016-10-27,49,13.0,,0.13,6.37
2016-10-28,0,13.0,,0.13,0.0
2016-10-29,0,13.0,,0.13,0.0
2016-10-30,0,13.0,,0.13,0.0
2016-10-31,0,13.0,,0.13,0.0
2016-11-01,0,27.0,False,0.27,0.0
2016-11-02,100,27.0,,0.27,27.0
2016-11-03,59,27.0,,0.27,15.930000000000001
2016-11-04,0,27.0,,0.27,0.0
2016-11-05,0,27.0,,0.27,0.0
2016-11-06,0,27.0,,0.27,0.0
2016-11-07,20,27.0,,0.27,5.4
2016-11-08,39,27.0,,0.27,10.530000000000001
2016-11-09,0,27.0,,0.27,0.0
2016-11-10,21,27.0,,0.27,5.67
2016-11-11,0,27.0,,0.27,0.0
2016-11-12,0,27.0,,0.27,0.0
2016-11-13,0,27.0,,0.27,0.0
2016-11-14,0,27.0,,0.27,0.0
2016-11-15,0,27.0,,0.27,0.0
2016-11-16,20,27.0,,0.27,5.4
2016-11-17,21,27.0,,0.27,5.67
2016-11-18,0,27.0,,0.27,0.0
2016-11-19,0,27.0,,0.27,0.0
2016-11-20,0,27.0,,0.27,0.0
2016-11-21,20,27.0,,0.27,5.4
2016-11-22,0,27.0,,0.27,0.0
2016-11-23,22,27.0,,0.27,5.94
2016-11-24,0,27.0,,0.27,0.0
2016-11-25,0,27.0,,0.27,0.0
2016-11-26,0,27.0,,0.27,0.0
2016-11-27,0,27.0,,0.27,0.0
2016-11-28,18,27.0,,0.27,4.86
2016-11-29,19,27.0,,0.27,5.130000000000001
2016-11-30,19,27.0,,0.27,5.130000000000001
2016-12-01,0,14.0,False,0.14,0.0
2016-12-02,0,14.0,,0.14,0.0
2016-12-03,59,14.0,,0.14,8.260000000000002
2016-12-04,0,14.0,,0.14,0.0
2016-12-05,0,14.0,,0.14,0.0
2016-12-06,0,14.0,,0.14,0.0
2016-12-07,0,14.0,,0.14,0.0
2016-12-08,0,14.0,,0.14,0.0
2016-12-09,0,14.0,,0.14,0.0
2016-12-10,0,14.0,,0.14,0.0
2016-12-11,0,14.0,,0.14,0.0
2016-12-12,47,14.0,,0.14,6.580000000000001
2016-12-13,48,14.0,,0.14,6.720000000000001
2016-12-14,0,14.0,,0.14,0.0
2016-12-15,100,14.0,,0.14,14.000000000000002
2016-12-16,0,14.0,,0.14,0.0
2016-12-17,61,14.0,,0.14,8.540000000000001
2016-12-18,0,14.0,,0.14,0.0
2016-12-19,0,14.0,,0.14,0.0
2016-12-20,53,14.0,,0.14,7.420000000000001
2016-12-21,0,14.0,,0.14,0.0
2016-12-22,56,14.0,,0.14,7.840000000000001
2016-12-23,57,14.0,,0.14,7.98
2016-12-24,0,14.0,,0.14,0.0
2016-12-25,0,14.0,,0.14,0.0
2016-12-26,0,14.0,,0.14,0.0
2016-12-27,0,14.0,,0.14,0.0
2016-12-28,0,14.0,,0.14,0.0
2016-12-29,53,14.0,,0.14,7.420000000000001
2016-12-30,0,14.0,,0.14,0.0
2016-12-31,0,14.0,,0.14,0.0
2017-01-01,0,20.0,False,0.2,0.0
2017-01-02,0,20.0,,0.2,0.0
2017-01-03,36,20.0,,0.2,7.2
2017-01-04,36,20.0,,0.2,7.2
2017-01-05,0,20.0,,0.2,0.0
2017-01-06,0,20.0,,0.2,0.0
2017-01-07,0,20.0,,0.2,0.0
2017-01-08,0,20.0,,0.2,0.0
2017-01-09,35,20.0,,0.2,7.0
2017-01-10,0,20.0,,0.2,0.0
2017-01-11,0,20.0,,0.2,0.0
2017-01-12,71,20.0,,0.2,14.200000000000001
2017-01-13,0,20.0,,0.2,0.0
2017-01-14,0,20.0,,0.2,0.0
2017-01-15,0,20.0,,0.2,0.0
2017-01-16,0,20.0,,0.2,0.0
2017-01-17,35,20.0,,0.2,7.0
2017-01-18,0,20.0,,0.2,0.0
2017-01-19,35,20.0,,0.2,7.0
2017-01-20,35,20.0,,0.2,7.0
2017-01-21,0,20.0,,0.2,0.0
2017-01-22,0,20.0,,0.2,0.0
2017-01-23,100,20.0,,0.2,20.0
2017-01-24,0,20.0,,0.2,0.0
2017-01-25,0,20.0,,0.2,0.0
2017-01-26,34,20.0,,0.2,6.800000000000001
2017-01-27,36,20.0,,0.2,7.2
2017-01-28,42,20.0,,0.2,8.4
2017-01-29,0,20.0,,0.2,0.0
2017-01-30,0,20.0,,0.2,0.0
2017-01-31,34,20.0,,0.2,6.800000000000001
2017-02-01,0,25.0,False,0.25,0.0
2017-02-02,0,25.0,,0.25,0.0
2017-02-03,0,25.0,,0.25,0.0
2017-02-04,0,25.0,,0.25,0.0
2017-02-05,0,25.0,,0.25,0.0
2017-02-06,19,25.0,,0.25,4.75
2017-02-07,0,25.0,,0.25,0.0
2017-02-08,0,25.0,,0.25,0.0
2017-02-09,0,25.0,,0.25,0.0
2017-02-10,0,25.0,,0.25,0.0
2017-02-11,0,25.0,,0.25,0.0
2017-02-12,0,25.0,,0.25,0.0
2017-02-13,19,25.0,,0.25,4.75
2017-02-14,39,25.0,,0.25,9.75
2017-02-15,20,25.0,,0.25,5.0
2017-02-16,20,25.0,,0.25,5.0
2017-02-17,0,25.0,,0.25,0.0
2017-02-18,0,25.0,,0.25,0.0
2017-02-19,0,25.0,,0.25,0.0
2017-02-20,20,25.0,,0.25,5.0
2017-02-21,19,25.0,,0.25,4.75
2017-02-22,19,25.0,,0.25,4.75
2017-02-23,0,25.0,,0.25,0.0
2017-02-24,100,25.0,,0.25,25.0
2017-02-25,0,25.0,,0.25,0.0
2017-02-26,22,25.0,,0.25,5.5
2017-02-27,36,25.0,,0.25,9.0
2017-02-28,18,25.0,,0.25,4.5
2017-03-01,100,34.0,False,0.34,34.0
2017-03-02,30,34.0,,0.34,10.200000000000001
2017-03-03,0,34.0,,0.34,0.0
2017-03-04,0,34.0,,0.34,0.0
2017-03-05,0,34.0,,0.34,0.0
2017-03-06,58,34.0,,0.34,19.720000000000002
2017-03-07,0,34.0,,0.34,0.0
2017-03-08,30,34.0,,0.34,10.200000000000001
2017-03-09,15,34.0,,0.34,5.1000000000000005
2017-03-10,31,34.0,,0.34,10.540000000000001
2017-03-11,0,34.0,,0.34,0.0
2017-03-12,0,34.0,,0.34,0.0
2017-03-13,0,34.0,,0.34,0.0
2017-03-14,0,34.0,,0.34,0.0
2017-03-15,0,34.0,,0.34,0.0
2017-03-16,46,34.0,,0.34,15.64
2017-03-17,0,34.0,,0.34,0.0
2017-03-18,0,34.0,,0.34,0.0
2017-03-19,0,34.0,,0.34,0.0
2017-03-20,0,34.0,,0.34,0.0
2017-03-21,0,34.0,,0.34,0.0
2017-03-22,15,34.0,,0.34,5.1000000000000005
2017-03-23,0,34.0,,0.34,0.0
2017-03-24,0,34.0,,0.34,0.0
2017-03-25,0,34.0,,0.34,0.0
2017-03-26,18,34.0,,0.34,6.12
2017-03-27,15,34.0,,0.34,5.1000000000000005
2017-03-28,15,34.0,,0.34,5.1000000000000005
2017-03-29,31,34.0,,0.34,10.540000000000001
2017-03-30,0,34.0,,0.34,0.0
2017-03-31,0,34.0,,0.34,0.0
2017-04-01,0,13.0,False,0.13,0.0
2017-04-02,0,13.0,,0.13,0.0
2017-04-03,0,13.0,,0.13,0.0
2017-04-04,49,13.0,,0.13,6.37
2017-04-05,0,13.0,,0.13,0.0
2017-04-06,0,13.0,,0.13,0.0
2017-04-07,0,13.0,,0.13,0.0
2017-04-08,0,13.0,,0.13,0.0
2017-04-09,60,13.0,,0.13,7.800000000000001
2017-04-10,0,13.0,,0.13,0.0
2017-04-11,100,13.0,,0.13,13.0
2017-04-12,0,13.0,,0.13,0.0
2017-04-13,0,13.0,,0.13,0.0
2017-04-14,0,13.0,,0.13,0.0
2017-04-15,0,13.0,,0.13,0.0
2017-04-16,0,13.0,,0.13,0.0
2017-04-17,0,13.0,,0.13,0.0
2017-04-18,0,13.0,,0.13,0.0
2017-04-19,98,13.0,,0.13,12.74
2017-04-20,49,13.0,,0.13,6.37
2017-04-21,0,13.0,,0.13,0.0
2017-04-22,0,13.0,,0.13,0.0
2017-04-23,60,13.0,,0.13,7.800000000000001
2017-04-24,49,13.0,,0.13,6.37
2017-04-25,0,13.0,,0.13,0.0
2017-04-26,0,13.0,,0.13,0.0
2017-04-27,0,13.0,,0.13,0.0
2017-04-28,0,13.0,,0.13,0.0
2017-04-29,60,13.0,,0.13,7.800000000000001
2017-04-30,0,13.0,,0.13,0.0
2017-05-01,0,56.0,False,0.56,0.0
2017-05-02,43,56.0,,0.56,24.080000000000002
2017-05-03,33,56.0,,0.56,18.48
2017-05-04,11,56.0,,0.56,6.16
2017-05-05,11,56.0,,0.56,6.16
2017-05-06,13,56.0,,0.56,7.280000000000001
2017-05-07,27,56.0,,0.56,15.120000000000001
2017-05-08,100,56.0,,0.56,56.00000000000001
2017-05-09,55,56.0,,0.56,30.800000000000004
2017-05-10,44,56.0,,0.56,24.64
2017-05-11,34,56.0,,0.56,19.040000000000003
2017-05-12,12,56.0,,0.56,6.720000000000001
2017-05-13,0,56.0,,0.56,0.0
2017-05-14,0,56.0,,0.56,0.0
2017-05-15,12,56.0,,0.56,6.720000000000001
2017-05-16,12,56.0,,0.56,6.720000000000001
2017-05-17,12,56.0,,0.56,6.720000000000001
2017-05-18,12,56.0,,0.56,6.720000000000001
2017-05-19,0,56.0,,0.56,0.0
2017-05-20,0,56.0,,0.56,0.0
2017-05-21,0,56.0,,0.56,0.0
2017-05-22,24,56.0,,0.56,13.440000000000001
2017-05-23,11,56.0,,0.56,6.16
2017-05-24,0,56.0,,0.56,0.0
2017-05-25,0,56.0,,0.56,0.0
2017-05-26,0,56.0,,0.56,0.0
2017-05-27,0,56.0,,0.56,0.0
2017-05-28,0,56.0,,0.56,0.0
2017-05-29,0,56.0,,0.56,0.0
2017-05-30,0,56.0,,0.56,0.0
2017-05-31,0,56.0,,0.56,0.0
2017-06-01,100,25.0,False,0.25,25.0
2017-06-02,53,25.0,,0.25,13.25
2017-06-03,0,25.0,,0.25,0.0
2017-06-04,59,25.0,,0.25,14.75
2017-06-05,97,25.0,,0.25,24.25
2017-06-06,0,25.0,,0.25,0.0
2017-06-07,0,25.0,,0.25,0.0
2017-06-08,49,25.0,,0.25,12.25
2017-06-09,0,25.0,,0.25,0.0
2017-06-10,60,25.0,,0.25,15.0
2017-06-11,0,25.0,,0.25,0.0
2017-06-12,0,25.0,,0.25,0.0
2017-06-13,48,25.0,,0.25,12.0
2017-06-14,48,25.0,,0.25,12.0
2017-06-15,0,25.0,,0.25,0.0
2017-06-16,51,25.0,,0.25,12.75
2017-06-17,0,25.0,,0.25,0.0
2017-06-18,60,25.0,,0.25,15.0
2017-06-19,49,25.0,,0.25,12.25
2017-06-20,47,25.0,,0.25,11.75
2017-06-21,0,25.0,,0.25,0.0
2017-06-22,0,25.0,,0.25,0.0
2017-06-23,48,25.0,,0.25,12.0
2017-06-24,0,25.0,,0.25,0.0
2017-06-25,0,25.0,,0.25,0.0
2017-06-26,50,25.0,,0.25,12.5
2017-06-27,0,25.0,,0.25,0.0
2017-06-28,53,25.0,,0.25,13.25
2017-06-29,0,25.0,,0.25,0.0
2017-06-30,0,25.0,,0.25,0.0
2017-07-01,0,32.0,False,0.32,0.0
2017-07-02,0,32.0,,0.32,0.0
2017-07-03,0,32.0,,0.32,0.0
2017-07-04,40,32.0,,0.32,12.8
2017-07-05,0,32.0,,0.32,0.0
2017-07-06,66,32.0,,0.32,21.12
2017-07-07,34,32.0,,0.32,10.88
2017-07-08,0,32.0,,0.32,0.0
2017-07-09,0,32.0,,0.32,0.0
2017-07-10,33,32.0,,0.32,10.56
2017-07-11,0,32.0,,0.32,0.0
2017-07-12,0,32.0,,0.32,0.0
2017-07-13,0,32.0,,0.32,0.0
2017-07-14,0,32.0,,0.32,0.0
2017-07-15,0,32.0,,0.32,0.0
2017-07-16,39,32.0,,0.32,12.48
2017-07-17,67,32.0,,0.32,21.44
2017-07-18,100,32.0,,0.32,32.0
2017-07-19,0,32.0,,0.32,0.0
2017-07-20,0,32.0,,0.32,0.0
2017-07-21,0,32.0,,0.32,0.0
2017-07-22,0,32.0,,0.32,0.0
2017-07-23,0,32.0,,0.32,0.0
2017-07-24,33,32.0,,0.32,10.56
2017-07-25,99,32.0,,0.32,31.68
2017-07-26,98,32.0,,0.32,31.36
2017-07-27,66,32.0,,0.32,21.12
2017-07-28,34,32.0,,0.32,10.88
2017-07-29,0,32.0,,0.32,0.0
2017-07-30,39,32.0,,0.32,12.48
2017-07-31,0,32.0,,0.32,0.0
2017-08-01,0,29.0,False,0.29,0.0
2017-08-02,0,29.0,,0.29,0.0
2017-08-03,100,29.0,,0.29,28.999999999999996
2017-08-04,26,29.0,,0.29,7.539999999999999
2017-08-05,0,29.0,,0.29,0.0
2017-08-06,0,29.0,,0.29,0.0
2017-08-07,25,29.0,,0.29,7.249999999999999
2017-08-08,97,29.0,,0.29,28.13
2017-08-09,76,29.0,,0.29,22.04
2017-08-10,26,29.0,,0.29,7.539999999999999
2017-08-11,0,29.0,,0.29,0.0
2017-08-12,0,29.0,,0.29,0.0
2017-08-13,0,29.0,,0.29,0.0
2017-08-14,0,29.0,,0.29,0.0
2017-08-15,0,29.0,,0.29,0.0
2017-08-16,0,29.0,,0.29,0.0
2017-08-17,26,29.0,,0.29,7.539999999999999
2017-08-18,0,29.0,,0.29,0.0
2017-08-19,0,29.0,,0.29,0.0
2017-08-20,29,29.0,,0.29,8.41
2017-08-21,24,29.0,,0.29,6.959999999999999
2017-08-22,25,29.0,,0.29,7.249999999999999
2017-08-23,25,29.0,,0.29,7.249999999999999
2017-08-24,0,29.0,,0.29,0.0
2017-08-25,0,29.0,,0.29,0.0
2017-08-26,0,29.0,,0.29,0.0
2017-08-27,28,29.0,,0.29,8.12
2017-08-28,0,29.0,,0.29,0.0
2017-08-29,0,29.0,,0.29,0.0
2017-08-30,25,29.0,,0.29,7.249999999999999
2017-08-31,0,29.0,,0.29,0.0
2017-09-01,100,24.0,False,0.24,24.0
2017-09-02,57,24.0,,0.24,13.68
2017-09-03,0,24.0,,0.24,0.0
2017-09-04,0,24.0,,0.24,0.0
2017-09-05,0,24.0,,0.24,0.0
2017-09-06,90,24.0,,0.24,21.599999999999998
2017-09-07,93,24.0,,0.24,22.32
2017-09-08,47,24.0,,0.24,11.28
2017-09-09,0,24.0,,0.24,0.0
2017-09-10,54,24.0,,0.24,12.959999999999999
2017-09-11,46,24.0,,0.24,11.04
2017-09-12,47,24.0,,0.24,11.28
2017-09-13,94,24.0,,0.24,22.56
2017-09-14,0,24.0,,0.24,0.0
2017-09-15,48,24.0,,0.24,11.52
2017-09-16,0,24.0,,0.24,0.0
2017-09-17,0,24.0,,0.24,0.0
2017-09-18,46,24.0,,0.24,11.04
2017-09-19,0,24.0,,0.24,0.0
2017-09-20,0,24.0,,0.24,0.0
2017-09-21,0,24.0,,0.24,0.0
2017-09-22,0,24.0,,0.24,0.0
2017-09-23,0,24.0,,0.24,0.0
2017-09-24,0,24.0,,0.24,0.0
2017-09-25,0,24.0,,0.24,0.0
2017-09-26,0,24.0,,0.24,0.0
2017-09-27,0,24.0,,0.24,0.0
2017-09-28,47,24.0,,0.24,11.28
2017-09-29,97,24.0,,0.24,23.279999999999998
2017-09-30,0,24.0,,0.24,0.0
2017-10-01,0,29.0,False,0.29,0.0
2017-10-02,0,29.0,,0.29,0.0
2017-10-03,99,29.0,,0.29,28.709999999999997
2017-10-04,0,29.0,,0.29,0.0
2017-10-05,0,29.0,,0.29,0.0
2017-10-06,26,29.0,,0.29,7.539999999999999
2017-10-07,0,29.0,,0.29,0.0
2017-10-08,29,29.0,,0.29,8.41
2017-10-09,0,29.0,,0.29,0.0
2017-10-10,0,29.0,,0.29,0.0
2017-10-11,0,29.0,,0.29,0.0
2017-10-12,0,29.0,,0.29,0.0
2017-10-13,26,29.0,,0.29,7.539999999999999
2017-10-14,0,29.0,,0.29,0.0
2017-10-15,29,29.0,,0.29,8.41
2017-10-16,0,29.0,,0.29,0.0
2017-10-17,25,29.0,,0.29,7.249999999999999
2017-10-18,100,29.0,,0.29,28.999999999999996
2017-10-19,52,29.0,,0.29,15.079999999999998
2017-10-20,0,29.0,,0.29,0.0
2017-10-21,0,29.0,,0.29,0.0
2017-10-22,0,29.0,,0.29,0.0
2017-10-23,0,29.0,,0.29,0.0
2017-10-24,25,29.0,,0.29,7.249999999999999
2017-10-25,25,29.0,,0.29,7.249999999999999
2017-10-26,100,29.0,,0.29,28.999999999999996
2017-10-27,26,29.0,,0.29,7.539999999999999
2017-10-28,0,29.0,,0.29,0.0
2017-10-29,0,29.0,,0.29,0.0
2017-10-30,0,29.0,,0.29,0.0
2017-10-31,0,29.0,,0.29,0.0
2017-11-01,100,32.0,False,0.32,32.0
2017-11-02,24,32.0,,0.32,7.68
2017-11-03,50,32.0,,0.32,16.0
2017-11-04,0,32.0,,0.32,0.0
2017-11-05,56,32.0,,0.32,17.92
2017-11-06,24,32.0,,0.32,7.68
2017-11-07,24,32.0,,0.32,7.68
2017-11-08,0,32.0,,0.32,0.0
2017-11-09,48,32.0,,0.32,15.36
2017-11-10,26,32.0,,0.32,8.32
2017-11-11,0,32.0,,0.32,0.0
2017-11-12,0,32.0,,0.32,0.0
2017-11-13,0,32.0,,0.32,0.0
2017-11-14,24,32.0,,0.32,7.68
2017-11-15,0,32.0,,0.32,0.0
2017-11-16,24,32.0,,0.32,7.68
2017-11-17,25,32.0,,0.32,8.0
2017-11-18,0,32.0,,0.32,0.0
2017-11-19,0,32.0,,0.32,0.0
2017-11-20,0,32.0,,0.32,0.0
2017-11-21,25,32.0,,0.32,8.0
2017-11-22,26,32.0,,0.32,8.32
2017-11-23,0,32.0,,0.32,0.0
2017-11-24,28,32.0,,0.32,8.96
2017-11-25,0,32.0,,0.32,0.0
2017-11-26,0,32.0,,0.32,0.0
2017-11-27,23,32.0,,0.32,7.36
2017-11-28,0,32.0,,0.32,0.0
2017-11-29,24,32.0,,0.32,7.68
2017-11-30,48,32.0,,0.32,15.36
2017-12-01,0,16.0,False,0.16,0.0
2017-12-02,0,16.0,,0.16,0.0
2017-12-03,0,16.0,,0.16,0.0
2017-12-04,0,16.0,,0.16,0.0
2017-12-05,0,16.0,,0.16,0.0
2017-12-06,0,16.0,,0.16,0.0
2017-12-07,0,16.0,,0.16,0.0
2017-12-08,85,16.0,,0.16,13.6
2017-12-09,100,16.0,,0.16,16.0
2017-12-10,0,16.0,,0.16,0.0
2017-12-11,41,16.0,,0.16,6.5600000000000005
2017-12-12,41,16.0,,0.16,6.5600000000000005
2017-12-13,82,16.0,,0.16,13.120000000000001
2017-12-14,0,16.0,,0.16,0.0
2017-12-15,0,16.0,,0.16,0.0
2017-12-16,0,16.0,,0.16,0.0
2017-12-17,0,16.0,,0.16,0.0
2017-12-18,43,16.0,,0.16,6.88
2017-12-19,0,16.0,,0.16,0.0
2017-12-20,0,16.0,,0.16,0.0
2017-12-21,0,16.0,,0.16,0.0
2017-12-22,96,16.0,,0.16,15.36
2017-12-23,0,16.0,,0.16,0.0
2017-12-24,0,16.0,,0.16,0.0
2017-12-25,0,16.0,,0.16,0.0
2017-12-26,0,16.0,,0.16,0.0
2017-12-27,0,16.0,,0.16,0.0
2017-12-28,0,16.0,,0.16,0.0
2017-12-29,47,16.0,,0.16,7.5200000000000005
2017-12-30,50,16.0,,0.16,8.0
2017-12-31,0,16.0,,0.16,0.0
2018-01-01,0,34.0,False,0.34,0.0
2018-01-02,26,34.0,,0.34,8.84
2018-01-03,26,34.0,,0.34,8.84
2018-01-04,0,34.0,,0.34,0.0
2018-01-05,53,34.0,,0.34,18.02
2018-01-06,0,34.0,,0.34,0.0
2018-01-07,29,34.0,,0.34,9.860000000000001
