date,CMG_unscaled,CMG_monthly,isPartial,scale,CMG
2016-05-01,23,68.0,False,0.68,15.64
2016-05-02,100,68.0,,0.68,68.0
2016-05-03,100,68.0,,0.68,68.0
2016-05-04,64,68.0,,0.68,43.52
2016-05-05,64,68.0,,0.68,43.52
2016-05-06,63,68.0,,0.68,42.84
2016-05-07,19,68.0,,0.68,12.920000000000002
2016-05-08,19,68.0,,0.68,12.920000000000002
2016-05-09,77,68.0,,0.68,52.36000000000001
2016-05-10,80,68.0,,0.68,54.400000000000006
2016-05-11,60,68.0,,0.68,40.800000000000004
2016-05-12,58,68.0,,0.68,39.440000000000005
2016-05-13,57,68.0,,0.68,38.760000000000005
2016-05-14,24,68.0,,0.68,16.32
2016-05-15,17,68.0,,0.68,11.56
2016-05-16,83,68.0,,0.68,56.440000000000005
2016-05-17,69,68.0,,0.68,46.92
2016-05-18,77,68.0,,0.68,52.36000000000001
2016-05-19,60,68.0,,0.68,40.800000000000004
2016-05-20,58,68.0,,0.68,39.440000000000005
2016-05-21,25,68.0,,0.68,17.0
2016-05-22,17,68.0,,0.68,11.56
2016-05-23,43,68.0,,0.68,29.240000000000002
2016-05-24,70,68.0,,0.68,47.6
2016-05-25,45,68.0,,0.68,30.6
2016-05-26,56,68.0,,0.68,38.080000000000005
2016-05-27,43,68.0,,0.68,29.240000000000002
2016-05-28,21,68.0,,0.68,14.280000000000001
2016-05-29,13,68.0,,0.68,8.84
2016-05-30,22,68.0,,0.68,14.96
2016-05-31,51,68.0,,0.68,34.68
2016-06-01,62,77.0,False,0.77,47.74
2016-06-02,48,77.0,,0.77,36.96
2016-06-03,41,77.0,,0.77,31.57
2016-06-04,16,77.0,,0.77,12.32
2016-06-05,14,77.0,,0.77,10.780000000000001
2016-06-06,50,77.0,,0.77,38.5
2016-06-07,57,77.0,,0.77,43.89
2016-06-08,67,77.0,,0.77,51.59
2016-06-09,90,77.0,,0.77,69.3
2016-06-10,91,77.0,,0.77,70.07000000000001
2016-06-11,30,77.0,,0.77,23.1
2016-06-12,22,77.0,,0.77,16.94
2016-06-13,97,77.0,,0.77,74.69
2016-06-14,100,77.0,,0.77,77.0
2016-06-15,82,77.0,,0.77,63.14
2016-06-16,95,77.0,,0.77,73.15
2016-06-17,59,77.0,,0.77,45.43
2016-06-18,28,77.0,,0.77,21.560000000000002
2016-06-19,32,77.0,,0.77,24.64
2016-06-20,68,77.0,,0.77,52.36
2016-06-21,66,77.0,,0.77,50.82
2016-06-22,49,77.0,,0.77,37.730000000000004
2016-06-23,81,77.0,,0.77,62.370000000000005
2016-06-24,96,77.0,,0.77,73.92
2016-06-25,28,77.0,,0.77,21.560000000000002
2016-06-26,32,77.0,,0.77,24.64
2016-06-27,91,77.0,,0.77,70.07000000000001
2016-06-28,71,77.0,,0.77,54.67
2016-06-29,77,77.0,,0.77,59.29
2016-06-30,86,77.0,,0.77,66.22
2016-07-01,36,87.0,False,0.87,31.32
2016-07-02,17,87.0,,0.87,14.79
2016-07-03,4,87.0,,0.87,3.48
2016-07-04,7,87.0,,0.87,6.09
2016-07-05,31,87.0,,0.87,26.97
2016-07-06,32,87.0,,0.87,27.84
2016-07-07,40,87.0,,0.87,34.8
2016-07-08,38,87.0,,0.87,33.06
2016-07-09,10,87.0,,0.87,8.7
2016-07-10,11,87.0,,0.87,9.57
2016-07-11,34,87.0,,0.87,29.58
2016-07-12,26,87.0,,0.87,22.62
2016-07-13,39,87.0,,0.87,33.93
2016-07-14,31,87.0,,0.87,26.97
2016-07-15,36,87.0,,0.87,31.32
2016-07-16,14,87.0,,0.87,12.18
2016-07-17,8,87.0,,0.87,6.96
2016-07-18,35,87.0,,0.87,30.45
2016-07-19,43,87.0,,0.87,37.41
2016-07-20,39,87.0,,0.87,33.93
2016-07-21,92,87.0,,0.87,80.04
2016-07-22,100,87.0,,0.87,87.0
2016-07-23,15,87.0,,0.87,13.05
2016-07-24,15,87.0,,0.87,13.05
2016-07-25,34,87.0,,0.87,29.58
2016-07-26,37,87.0,,0.87,32.19
2016-07-27,27,87.0,,0.87,23.49
2016-07-28,35,87.0,,0.87,30.45
2016-07-29,33,87.0,,0.87,28.71
2016-07-30,13,87.0,,0.87,11.31
2016-07-31,13,87.0,,0.87,11.31
2016-08-01,61,64.0,False,0.64,39.04
2016-08-02,75,64.0,,0.64,48.0
2016-08-03,100,64.0,,0.64,64.0
2016-08-04,67,64.0,,0.64,42.88
2016-08-05,51,64.0,,0.64,32.64
2016-08-06,30,64.0,,0.64,19.2
2016-08-07,23,64.0,,0.64,14.72
2016-08-08,77,64.0,,0.64,49.28
2016-08-09,90,64.0,,0.64,57.6
2016-08-10,72,64.0,,0.64,46.08
2016-08-11,67,64.0,,0.64,42.88
2016-08-12,76,64.0,,0.64,48.64
2016-08-13,30,64.0,,0.64,19.2
2016-08-14,12,64.0,,0.64,7.68
2016-08-15,51,64.0,,0.64,32.64
2016-08-16,55,64.0,,0.64,35.2
2016-08-17,80,64.0,,0.64,51.2
2016-08-18,47,64.0,,0.64,30.080000000000002
2016-08-19,35,64.0,,0.64,22.400000000000002
2016-08-20,21,64.0,,0.64,13.44
2016-08-21,21,64.0,,0.64,13.44
2016-08-22,53,64.0,,0.64,33.92
2016-08-23,53,64.0,,0.64,33.92
2016-08-24,51,64.0,,0.64,32.64
2016-08-25,82,64.0,,0.64,52.480000000000004
2016-08-26,59,64.0,,0.64,37.76
2016-08-27,27,64.0,,0.64,17.28
2016-08-28,19,64.0,,0.64,12.16
2016-08-29,55,64.0,,0.64,35.2
2016-08-30,77,64.0,,0.64,49.28
2016-08-31,91,64.0,,0.64,58.24
2016-09-01,30,63.0,False,0.63,18.9
2016-09-02,34,63.0,,0.63,21.42
2016-09-03,12,63.0,,0.63,7.5600000000000005
2016-09-04,9,63.0,,0.63,5.67
2016-09-05,14,63.0,,0.63,8.82
2016-09-06,65,63.0,,0.63,40.95
2016-09-07,100,63.0,,0.63,63.0
2016-09-08,47,63.0,,0.63,29.61
2016-09-09,44,63.0,,0.63,27.72
2016-09-10,22,63.0,,0.63,13.86
2016-09-11,18,63.0,,0.63,11.34
2016-09-12,35,63.0,,0.63,22.05
2016-09-13,29,63.0,,0.63,18.27
2016-09-14,35,63.0,,0.63,22.05
2016-09-15,35,63.0,,0.63,22.05
2016-09-16,25,63.0,,0.63,15.75
2016-09-17,12,63.0,,0.63,7.5600000000000005
2016-09-18,7,63.0,,0.63,4.41
2016-09-19,33,63.0,,0.63,20.79
2016-09-20,31,63.0,,0.63,19.53
2016-09-21,40,63.0,,0.63,25.2
2016-09-22,37,63.0,,0.63,23.31
