date,GO_unscaled,GO_monthly,isPartial,scale,GO
2016-05-01,98,33.0,False,0.33,32.34
2016-05-02,97,33.0,,0.33,32.01
2016-05-03,91,33.0,,0.33,30.03
2016-05-04,86,33.0,,0.33,28.380000000000003
2016-05-05,86,33.0,,0.33,28.380000000000003
2016-05-06,83,33.0,,0.33,27.39
2016-05-07,86,33.0,,0.33,28.380000000000003
2016-05-08,91,33.0,,0.33,30.03
2016-05-09,93,33.0,,0.33,30.69
2016-05-10,90,33.0,,0.33,29.700000000000003
2016-05-11,84,33.0,,0.33,27.720000000000002
2016-05-12,84,33.0,,0.33,27.720000000000002
2016-05-13,85,33.0,,0.33,28.05
2016-05-14,95,33.0,,0.33,31.35
2016-05-15,97,33.0,,0.33,32.01
2016-05-16,94,33.0,,0.33,31.020000000000003
2016-05-17,91,33.0,,0.33,30.03
2016-05-18,88,33.0,,0.33,29.040000000000003
2016-05-19,90,33.0,,0.33,29.700000000000003
2016-05-20,89,33.0,,0.33,29.37
2016-05-21,95,33.0,,0.33,31.35
2016-05-22,94,33.0,,0.33,31.020000000000003
2016-05-23,98,33.0,,0.33,32.34
2016-05-24,92,33.0,,0.33,30.360000000000003
2016-05-25,91,33.0,,0.33,30.03
2016-05-26,86,33.0,,0.33,28.380000000000003
2016-05-27,91,33.0,,0.33,30.03
2016-05-28,97,33.0,,0.33,32.01
2016-05-29,98,33.0,,0.33,32.34
2016-05-30,100,33.0,,0.33,33.0
2016-05-31,93,33.0,,0.33,30.69
2016-06-01,87,32.0,False,0.32,27.84
2016-06-02,88,32.0,,0.32,28.16
2016-06-03,88,32.0,,0.32,28.16
2016-06-04,95,32.0,,0.32,30.400000000000002
2016-06-05,95,32.0,,0.32,30.400000000000002
2016-06-06,94,32.0,,0.32,30.080000000000002
2016-06-07,89,32.0,,0.32,28.48
2016-06-08,91,32.0,,0.32,29.12
2016-06-09,88,32.0,,0.32,28.16
2016-06-10,90,32.0,,0.32,28.8
2016-06-11,94,32.0,,0.32,30.080000000000002
2016-06-12,96,32.0,,0.32,30.72
2016-06-13,91,32.0,,0.32,29.12
2016-06-14,87,32.0,,0.32,27.84
2016-06-15,89,32.0,,0.32,28.48
2016-06-16,92,32.0,,0.32,29.44
2016-06-17,91,32.0,,0.32,29.12
2016-06-18,97,32.0,,0.32,31.04
2016-06-19,99,32.0,,0.32,31.68
2016-06-20,97,32.0,,0.32,31.04
2016-06-21,94,32.0,,0.32,30.080000000000002
2016-06-22,91,32.0,,0.32,29.12
2016-06-23,89,32.0,,0.32,28.48
2016-06-24,86,32.0,,0.32,27.52
2016-06-25,96,32.0,,0.32,30.72
2016-06-26,100,32.0,,0.32,32.0
2016-06-27,99,32.0,,0.32,31.68
2016-06-28,93,32.0,,0.32,29.76
2016-06-29,93,32.0,,0.32,29.76
2016-06-30,94,32.0,,0.32,30.080000000000002
2016-07-01,19,100.0,False,1.0,19.0
2016-07-02,20,100.0,,1.0,20.0
2016-07-03,20,100.0,,1.0,20.0
2016-07-04,20,100.0,,1.0,20.0
2016-07-05,19,100.0,,1.0,19.0
2016-07-06,37,100.0,,1.0,37.0
2016-07-07,65,100.0,,1.0,65.0
2016-07-08,70,100.0,,1.0,70.0
2016-07-09,83,100.0,,1.0,83.0
2016-07-10,93,100.0,,1.0,93.0
2016-07-11,100,100.0,,1.0,100.0
2016-07-12,98,100.0,,1.0,98.0
2016-07-13,92,100.0,,1.0,92.0
2016-07-14,77,100.0,,1.0,77.0
2016-07-15,70,100.0,,1.0,70.0
2016-07-16,82,100.0,,1.0,82.0
2016-07-17,77,100.0,,1.0,77.0
2016-07-18,61,100.0,,1.0,61.0
2016-07-19,58,100.0,,1.0,58.0
2016-07-20,60,100.0,,1.0,60.0
2016-07-21,53,100.0,,1.0,53.0
2016-07-22,50,100.0,,1.0,50.0
2016-07-23,49,100.0,,1.0,49.0
2016-07-24,52,100.0,,1.0,52.0
2016-07-25,46,100.0,,1.0,46.0
2016-07-26,44,100.0,,1.0,44.0
2016-07-27,43,100.0,,1.0,43.0
2016-07-28,41,100.0,,1.0,41.0
2016-07-29,39,100.0,,1.0,39.0
2016-07-30,44,100.0,,1.0,44.0
2016-07-31,49,100.0,,1.0,49.0
2016-08-01,100,53.0,False,0.53,53.0
2016-08-02,92,53.0,,0.53,48.760000000000005
2016-08-03,88,53.0,,0.53,46.64
2016-08-04,85,53.0,,0.53,45.050000000000004
2016-08-05,82,53.0,,0.53,43.46
2016-08-06,85,53.0,,0.53,45.050000000000004
2016-08-07,83,53.0,,0.53,43.99
2016-08-08,73,53.0,,0.53,38.690000000000005
2016-08-09,81,53.0,,0.53,42.93
2016-08-10,75,53.0,,0.53,39.75
2016-08-11,72,53.0,,0.53,38.160000000000004
2016-08-12,66,53.0,,0.53,34.980000000000004
2016-08-13,71,53.0,,0.53,37.63
2016-08-14,73,53.0,,0.53,38.690000000000005
2016-08-15,66,53.0,,0.53,34.980000000000004
2016-08-16,66,53.0,,0.53,34.980000000000004
2016-08-17,63,53.0,,0.53,33.39
2016-08-18,64,53.0,,0.53,33.92
2016-08-19,63,53.0,,0.53,33.39
2016-08-20,69,53.0,,0.53,36.57
2016-08-21,69,53.0,,0.53,36.57
2016-08-22,62,53.0,,0.53,32.86
2016-08-23,60,53.0,,0.53,31.8
2016-08-24,64,53.0,,0.53,33.92
2016-08-25,65,53.0,,0.53,34.45
2016-08-26,65,53.0,,0.53,34.45
2016-08-27,70,53.0,,0.53,37.1
2016-08-28,71,53.0,,0.53,37.63
2016-08-29,59,53.0,,0.53,31.270000000000003
