date,TLT_unscaled,TLT_monthly,isPartial,scale,TLT
2016-05-01,21,22.0,False,0.22,4.62
2016-05-02,70,22.0,,0.22,15.4
2016-05-03,35,22.0,,0.22,7.7
2016-05-04,41,22.0,,0.22,9.02
2016-05-05,67,22.0,,0.22,14.74
2016-05-06,69,22.0,,0.22,15.18
2016-05-07,36,22.0,,0.22,7.92
2016-05-08,15,22.0,,0.22,3.3
2016-05-09,60,22.0,,0.22,13.2
2016-05-10,35,22.0,,0.22,7.7
2016-05-11,54,22.0,,0.22,11.88
2016-05-12,37,22.0,,0.22,8.14
2016-05-13,100,22.0,,0.22,22.0
2016-05-14,29,22.0,,0.22,6.38
2016-05-15,7,22.0,,0.22,1.54
2016-05-16,36,22.0,,0.22,7.92
2016-05-17,65,22.0,,0.22,14.3
2016-05-18,54,22.0,,0.22,11.88
2016-05-19,36,22.0,,0.22,7.92
2016-05-20,44,22.0,,0.22,9.68
2016-05-21,60,22.0,,0.22,13.2
2016-05-22,44,22.0,,0.22,9.68
2016-05-23,55,22.0,,0.22,12.1
2016-05-24,36,22.0,,0.22,7.92
2016-05-25,68,22.0,,0.22,14.96
2016-05-26,25,22.0,,0.22,5.5
2016-05-27,65,22.0,,0.22,14.3
2016-05-28,8,22.0,,0.22,1.76
2016-05-29,0,22.0,,0.22,0.0
2016-05-30,50,22.0,,0.22,11.0
2016-05-31,68,22.0,,0.22,14.96
2016-06-01,39,29.0,False,0.29,11.309999999999999
2016-06-02,44,29.0,,0.29,12.76
2016-06-03,59,29.0,,0.29,17.11
2016-06-04,26,29.0,,0.29,7.539999999999999
2016-06-05,5,29.0,,0.29,1.45
2016-06-06,48,29.0,,0.29,13.919999999999998
2016-06-07,22,29.0,,0.29,6.38
2016-06-08,35,29.0,,0.29,10.149999999999999
2016-06-09,72,29.0,,0.29,20.88
2016-06-10,42,29.0,,0.29,12.18
2016-06-11,16,29.0,,0.29,4.64
2016-06-12,26,29.0,,0.29,7.539999999999999
2016-06-13,35,29.0,,0.29,10.149999999999999
2016-06-14,65,29.0,,0.29,18.849999999999998
2016-06-15,35,29.0,,0.29,10.149999999999999
2016-06-16,54,29.0,,0.29,15.659999999999998
2016-06-17,51,29.0,,0.29,14.79
2016-06-18,22,29.0,,0.29,6.38
2016-06-19,22,29.0,,0.29,6.38
2016-06-20,36,29.0,,0.29,10.44
2016-06-21,31,29.0,,0.29,8.99
2016-06-22,63,29.0,,0.29,18.27
2016-06-23,31,29.0,,0.29,8.99
2016-06-24,100,29.0,,0.29,28.999999999999996
2016-06-25,27,29.0,,0.29,7.829999999999999
2016-06-26,16,29.0,,0.29,4.64
2016-06-27,71,29.0,,0.29,20.59
2016-06-28,49,29.0,,0.29,14.209999999999999
2016-06-29,55,29.0,,0.29,15.95
2016-06-30,78,29.0,,0.29,22.619999999999997
2016-07-01,34,34.0,False,0.34,11.56
2016-07-02,34,34.0,,0.34,11.56
2016-07-03,27,34.0,,0.34,9.180000000000001
2016-07-04,13,34.0,,0.34,4.42
2016-07-05,77,34.0,,0.34,26.180000000000003
2016-07-06,95,34.0,,0.34,32.300000000000004
2016-07-07,55,34.0,,0.34,18.700000000000003
2016-07-08,100,34.0,,0.34,34.0
2016-07-09,38,34.0,,0.34,12.920000000000002
2016-07-10,34,34.0,,0.34,11.56
2016-07-11,29,34.0,,0.34,9.860000000000001
2016-07-12,59,34.0,,0.34,20.060000000000002
2016-07-13,56,34.0,,0.34,19.040000000000003
2016-07-14,39,34.0,,0.34,13.260000000000002
2016-07-15,38,34.0,,0.34,12.920000000000002
2016-07-16,13,34.0,,0.34,4.42
2016-07-17,22,34.0,,0.34,7.48
2016-07-18,48,34.0,,0.34,16.32
2016-07-19,40,34.0,,0.34,13.600000000000001
