date,X_unscaled,X_monthly,isPartial,scale,X
2016-05-01,65,75.0,False,0.75,48.75
2016-05-02,63,75.0,,0.75,47.25
2016-05-03,61,75.0,,0.75,45.75
2016-05-04,62,75.0,,0.75,46.5
2016-05-05,60,75.0,,0.75,45.0
2016-05-06,62,75.0,,0.75,46.5
2016-05-07,62,75.0,,0.75,46.5
2016-05-08,64,75.0,,0.75,48.0
2016-05-09,65,75.0,,0.75,48.75
2016-05-10,66,75.0,,0.75,49.5
2016-05-11,65,75.0,,0.75,48.75
2016-05-12,64,75.0,,0.75,48.0
2016-05-13,63,75.0,,0.75,47.25
2016-05-14,70,75.0,,0.75,52.5
2016-05-15,74,75.0,,0.75,55.5
2016-05-16,66,75.0,,0.75,49.5
2016-05-17,64,75.0,,0.75,48.0
2016-05-18,63,75.0,,0.75,47.25
2016-05-19,73,75.0,,0.75,54.75
2016-05-20,66,75.0,,0.75,49.5
2016-05-21,73,75.0,,0.75,54.75
2016-05-22,75,75.0,,0.75,56.25
2016-05-23,70,75.0,,0.75,52.5
2016-05-24,71,75.0,,0.75,53.25
2016-05-25,69,75.0,,0.75,51.75
2016-05-26,74,75.0,,0.75,55.5
2016-05-27,84,75.0,,0.75,63.0
2016-05-28,97,75.0,,0.75,72.75
2016-05-29,98,75.0,,0.75,73.5
2016-05-30,100,75.0,,0.75,75.0
2016-05-31,79,75.0,,0.75,59.25
2016-06-01,86,70.0,False,0.7,60.199999999999996
2016-06-02,79,70.0,,0.7,55.3
2016-06-03,82,70.0,,0.7,57.4
2016-06-04,92,70.0,,0.7,64.39999999999999
2016-06-05,100,70.0,,0.7,70.0
2016-06-06,81,70.0,,0.7,56.699999999999996
2016-06-07,81,70.0,,0.7,56.699999999999996
2016-06-08,78,70.0,,0.7,54.599999999999994
2016-06-09,76,70.0,,0.7,53.199999999999996
2016-06-10,76,70.0,,0.7,53.199999999999996
2016-06-11,78,70.0,,0.7,54.599999999999994
2016-06-12,79,70.0,,0.7,55.3
2016-06-13,75,70.0,,0.7,52.5
2016-06-14,70,70.0,,0.7,49.0
2016-06-15,73,70.0,,0.7,51.099999999999994
2016-06-16,73,70.0,,0.7,51.099999999999994
2016-06-17,71,70.0,,0.7,49.699999999999996
2016-06-18,77,70.0,,0.7,53.9
2016-06-19,75,70.0,,0.7,52.5
2016-06-20,73,70.0,,0.7,51.099999999999994
2016-06-21,71,70.0,,0.7,49.699999999999996
2016-06-22,71,70.0,,0.7,49.699999999999996
2016-06-23,72,70.0,,0.7,50.4
2016-06-24,69,70.0,,0.7,48.3
2016-06-25,74,70.0,,0.7,51.8
2016-06-26,77,70.0,,0.7,53.9
2016-06-27,69,70.0,,0.7,48.3
2016-06-28,69,70.0,,0.7,48.3
2016-06-29,70,70.0,,0.7,49.0
2016-06-30,70,70.0,,0.7,49.0
2016-07-01,87,67.0,False,0.67,58.290000000000006
2016-07-02,88,67.0,,0.67,58.96
2016-07-03,97,67.0,,0.67,64.99000000000001
2016-07-04,93,67.0,,0.67,62.31
2016-07-05,90,67.0,,0.67,60.300000000000004
2016-07-06,89,67.0,,0.67,59.63
2016-07-07,88,67.0,,0.67,58.96
2016-07-08,100,67.0,,0.67,67.0
2016-07-09,92,67.0,,0.67,61.64
2016-07-10,97,67.0,,0.67,64.99000000000001
2016-07-11,91,67.0,,0.67,60.970000000000006
2016-07-12,94,67.0,,0.67,62.980000000000004
2016-07-13,93,67.0,,0.67,62.31
2016-07-14,90,67.0,,0.67,60.300000000000004
2016-07-15,86,67.0,,0.67,57.620000000000005
2016-07-16,93,67.0,,0.67,62.31
2016-07-17,98,67.0,,0.67,65.66000000000001
2016-07-18,97,67.0,,0.67,64.99000000000001
2016-07-19,94,67.0,,0.67,62.980000000000004
2016-07-20,96,67.0,,0.67,64.32000000000001
2016-07-21,93,67.0,,0.67,62.31
