date,IWM_unscaled,IWM_monthly,isPartial,scale,IWM
2016-05-01,18,31.0,False,0.31,5.58
2016-05-02,75,31.0,,0.31,23.25
2016-05-03,90,31.0,,0.31,27.9
2016-05-04,60,31.0,,0.31,18.6
2016-05-05,62,31.0,,0.31,19.22
2016-05-06,56,31.0,,0.31,17.36
2016-05-07,9,31.0,,0.31,2.79
2016-05-08,9,31.0,,0.31,2.79
2016-05-09,31,31.0,,0.31,9.61
2016-05-10,53,31.0,,0.31,16.43
2016-05-11,100,31.0,,0.31,31.0
2016-05-12,40,31.0,,0.31,12.4
2016-05-13,73,31.0,,0.31,22.63
2016-05-14,0,31.0,,0.31,0.0
2016-05-15,29,31.0,,0.31,8.99
2016-05-16,39,31.0,,0.31,12.09
2016-05-17,61,31.0,,0.31,18.91
2016-05-18,77,31.0,,0.31,23.87
2016-05-19,47,31.0,,0.31,14.57
2016-05-20,57,31.0,,0.31,17.669999999999998
2016-05-21,19,31.0,,0.31,5.89
2016-05-22,19,31.0,,0.31,5.89
2016-05-23,47,31.0,,0.31,14.57
2016-05-24,23,31.0,,0.31,7.13
2016-05-25,64,31.0,,0.31,19.84
2016-05-26,49,31.0,,0.31,15.19
2016-05-27,42,31.0,,0.31,13.02
2016-05-28,29,31.0,,0.31,8.99
2016-05-29,0,31.0,,0.31,0.0
2016-05-30,9,31.0,,0.31,2.79
2016-05-31,32,31.0,,0.31,9.92
2016-06-01,46,33.0,False,0.33,15.180000000000001
2016-06-02,76,33.0,,0.33,25.080000000000002
2016-06-03,71,33.0,,0.33,23.43
2016-06-04,9,33.0,,0.33,2.97
2016-06-05,9,33.0,,0.33,2.97
2016-06-06,38,33.0,,0.33,12.540000000000001
2016-06-07,38,33.0,,0.33,12.540000000000001
2016-06-08,54,33.0,,0.33,17.82
2016-06-09,55,33.0,,0.33,18.150000000000002
2016-06-10,49,33.0,,0.33,16.17
2016-06-11,18,33.0,,0.33,5.94
2016-06-12,9,33.0,,0.33,2.97
2016-06-13,54,33.0,,0.33,17.82
2016-06-14,53,33.0,,0.33,17.490000000000002
2016-06-15,46,33.0,,0.33,15.180000000000001
2016-06-16,62,33.0,,0.33,20.46
2016-06-17,56,33.0,,0.33,18.48
2016-06-18,9,33.0,,0.33,2.97
2016-06-19,0,33.0,,0.33,0.0
2016-06-20,71,33.0,,0.33,23.43
2016-06-21,47,33.0,,0.33,15.510000000000002
2016-06-22,16,33.0,,0.33,5.28
2016-06-23,85,33.0,,0.33,28.05
2016-06-24,48,33.0,,0.33,15.84
2016-06-25,0,33.0,,0.33,0.0
2016-06-26,19,33.0,,0.33,6.2700000000000005
2016-06-27,100,33.0,,0.33,33.0
2016-06-28,93,33.0,,0.33,30.69
2016-06-29,80,33.0,,0.33,26.400000000000002
2016-06-30,40,33.0,,0.33,13.200000000000001
2016-07-01,76,31.0,False,0.31,23.56
2016-07-02,17,31.0,,0.31,5.27
2016-07-03,0,31.0,,0.31,0.0
2016-07-04,9,31.0,,0.31,2.79
2016-07-05,62,31.0,,0.31,19.22
2016-07-06,44,31.0,,0.31,13.64
2016-07-07,37,31.0,,0.31,11.47
2016-07-08,52,31.0,,0.31,16.12
2016-07-09,9,31.0,,0.31,2.79
2016-07-10,0,31.0,,0.31,0.0
2016-07-11,37,31.0,,0.31,11.47
2016-07-12,67,31.0,,0.31,20.77
2016-07-13,38,31.0,,0.31,11.78
2016-07-14,100,31.0,,0.31,31.0
2016-07-15,68,31.0,,0.31,21.08
2016-07-16,9,31.0,,0.31,2.79
2016-07-17,9,31.0,,0.31,2.79
2016-07-18,74,31.0,,0.31,22.94
2016-07-19,29,31.0,,0.31,8.99
2016-07-20,68,31.0,,0.31,21.08
2016-07-21,75,31.0,,0.31,23.25
2016-07-22,23,31.0,,0.31,7.13
2016-07-23,0,31.0,,0.31,0.0
2016-07-24,17,31.0,,0.31,5.27
2016-07-25,58,31.0,,0.31,17.98
2016-07-26,44,31.0,,0.31,13.64
2016-07-27,37,31.0,,0.31,11.47
2016-07-28,44,31.0,,0.31,13.64
2016-07-29,37,31.0,,0.31,11.47
2016-07-30,8,31.0,,0.31,2.48
2016-07-31,17,31.0,,0.31,5.27
2016-08-01,55,29.0,False,0.29,15.95
2016-08-02,47,29.0,,0.29,13.629999999999999
2016-08-03,76,29.0,,0.29,22.04
2016-08-04,68,29.0,,0.29,19.72
2016-08-05,41,29.0,,0.29,11.889999999999999
2016-08-06,12,29.0,,0.29,3.4799999999999995
2016-08-07,12,29.0,,0.29,3.4799999999999995
2016-08-08,48,29.0,,0.29,13.919999999999998
2016-08-09,58,29.0,,0.29,16.82
2016-08-10,49,29.0,,0.29,14.209999999999999
2016-08-11,51,29.0,,0.29,14.79
2016-08-12,41,29.0,,0.29,11.889999999999999
2016-08-13,0,29.0,,0.29,0.0
2016-08-14,0,29.0,,0.29,0.0
2016-08-15,89,29.0,,0.29,25.81
2016-08-16,90,29.0,,0.29,26.099999999999998
2016-08-17,70,29.0,,0.29,20.299999999999997
2016-08-18,51,29.0,,0.29,14.79
2016-08-19,31,29.0,,0.29,8.99
2016-08-20,0,29.0,,0.29,0.0
2016-08-21,12,29.0,,0.29,3.4799999999999995
2016-08-22,100,29.0,,0.29,28.999999999999996
2016-08-23,69,29.0,,0.29,20.009999999999998
2016-08-24,39,29.0,,0.29,11.309999999999999
2016-08-25,28,29.0,,0.29,8.12
2016-08-26,48,29.0,,0.29,13.919999999999998
2016-08-27,11,29.0,,0.29,3.19
2016-08-28,0,29.0,,0.29,0.0
2016-08-29,64,29.0,,0.29,18.56
2016-08-30,91,29.0,,0.29,26.389999999999997
2016-08-31,82,29.0,,0.29,23.779999999999998
2016-09-01,91,31.0,False,0.31,28.21
2016-09-02,57,31.0,,0.31,17.669999999999998
2016-09-03,0,31.0,,0.31,0.0
2016-09-04,11,31.0,,0.31,3.41
2016-09-05,31,31.0,,0.31,9.61
2016-09-06,91,31.0,,0.31,28.21
2016-09-07,35,31.0,,0.31,10.85
2016-09-08,63,31.0,,0.31,19.53
2016-09-09,37,31.0,,0.31,11.47
2016-09-10,0,31.0,,0.31,0.0
2016-09-11,21,31.0,,0.31,6.51
2016-09-12,71,31.0,,0.31,22.01
2016-09-13,45,31.0,,0.31,13.95
2016-09-14,63,31.0,,0.31,19.53
2016-09-15,82,31.0,,0.31,25.419999999999998
2016-09-16,37,31.0,,0.31,11.47
2016-09-17,11,31.0,,0.31,3.41
2016-09-18,10,31.0,,0.31,3.1
2016-09-19,97,31.0,,0.31,30.07
2016-09-20,53,31.0,,0.31,16.43
2016-09-21,45,31.0,,0.31,13.95
2016-09-22,100,31.0,,0.31,31.0
2016-09-23,37,31.0,,0.31,11.47
2016-09-24,43,31.0,,0.31,13.33
2016-09-25,21,31.0,,0.31,6.51
2016-09-26,98,31.0,,0.31,30.38
2016-09-27,27,31.0,,0.31,8.37
2016-09-28,99,31.0,,0.31,30.69
2016-09-29,63,31.0,,0.31,19.53
2016-09-30,93,31.0,,0.31,28.83
2016-10-01,0,25.0,False,0.25,0.0
2016-10-02,7,25.0,,0.25,1.75
2016-10-03,23,25.0,,0.25,5.75
2016-10-04,29,25.0,,0.25,7.25
2016-10-05,34,25.0,,0.25,8.5
2016-10-06,23,25.0,,0.25,5.75
2016-10-07,24,25.0,,0.25,6.0
2016-10-08,21,25.0,,0.25,5.25
2016-10-09,0,25.0,,0.25,0.0
2016-10-10,100,25.0,,0.25,25.0
2016-10-11,47,25.0,,0.25,11.75
2016-10-12,30,25.0,,0.25,7.5
2016-10-13,47,25.0,,0.25,11.75
2016-10-14,49,25.0,,0.25,12.25
2016-10-15,7,25.0,,0.25,1.75
2016-10-16,14,25.0,,0.25,3.5
2016-10-17,23,25.0,,0.25,5.75
2016-10-18,46,25.0,,0.25,11.5
2016-10-19,18,25.0,,0.25,4.5
2016-10-20,24,25.0,,0.25,6.0
2016-10-21,48,25.0,,0.25,12.0
2016-10-22,7,25.0,,0.25,1.75
2016-10-23,7,25.0,,0.25,1.75
2016-10-24,23,25.0,,0.25,5.75
2016-10-25,17,25.0,,0.25,4.25
2016-10-26,46,25.0,,0.25,11.5
2016-10-27,64,25.0,,0.25,16.0
2016-10-28,43,25.0,,0.25,10.75
2016-10-29,7,25.0,,0.25,1.75
2016-10-30,0,25.0,,0.25,0.0
2016-10-31,17,25.0,,0.25,4.25
2016-11-01,43,41.0,False,0.41,17.63
2016-11-02,47,41.0,,0.41,19.27
2016-11-03,23,41.0,,0.41,9.43
2016-11-04,25,41.0,,0.41,10.25
2016-11-05,22,41.0,,0.41,9.02
2016-11-06,21,41.0,,0.41,8.61
2016-11-07,29,41.0,,0.41,11.889999999999999
2016-11-08,51,41.0,,0.41,20.91
2016-11-09,52,41.0,,0.41,21.32
2016-11-10,98,41.0,,0.41,40.18
2016-11-11,100,41.0,,0.41,41.0
2016-11-12,29,41.0,,0.41,11.889999999999999
2016-11-13,21,41.0,,0.41,8.61
2016-11-14,47,41.0,,0.41,19.27
2016-11-15,89,41.0,,0.41,36.489999999999995
2016-11-16,60,41.0,,0.41,24.599999999999998
2016-11-17,67,41.0,,0.41,27.47
2016-11-18,74,41.0,,0.41,30.34
2016-11-19,7,41.0,,0.41,2.8699999999999997
2016-11-20,7,41.0,,0.41,2.8699999999999997
2016-11-21,72,41.0,,0.41,29.52
2016-11-22,74,41.0,,0.41,30.34
2016-11-23,90,41.0,,0.41,36.9
2016-11-24,14,41.0,,0.41,5.739999999999999
2016-11-25,53,41.0,,0.41,21.73
2016-11-26,0,41.0,,0.41,0.0
2016-11-27,21,41.0,,0.41,8.61
2016-11-28,65,41.0,,0.41,26.65
2016-11-29,61,41.0,,0.41,25.009999999999998
2016-11-30,28,41.0,,0.41,11.479999999999999
2016-12-01,37,48.0,False,0.48,17.759999999999998
2016-12-02,42,48.0,,0.48,20.16
2016-12-03,13,48.0,,0.48,6.24
2016-12-04,4,48.0,,0.48,1.92
2016-12-05,23,48.0,,0.48,11.04
2016-12-06,35,48.0,,0.48,16.8
2016-12-07,73,48.0,,0.48,35.04
2016-12-08,100,48.0,,0.48,48.0
2016-12-09,50,48.0,,0.48,24.0
2016-12-10,0,48.0,,0.48,0.0
2016-12-11,9,48.0,,0.48,4.32
2016-12-12,61,48.0,,0.48,29.279999999999998
2016-12-13,40,48.0,,0.48,19.2
2016-12-14,45,48.0,,0.48,21.599999999999998
2016-12-15,90,48.0,,0.48,43.199999999999996
2016-12-16,55,48.0,,0.48,26.4
2016-12-17,14,48.0,,0.48,6.72
2016-12-18,14,48.0,,0.48,6.72
2016-12-19,39,48.0,,0.48,18.72
2016-12-20,60,48.0,,0.48,28.799999999999997
2016-12-21,57,48.0,,0.48,27.36
2016-12-22,46,48.0,,0.48,22.08
2016-12-23,43,48.0,,0.48,20.64
2016-12-24,10,48.0,,0.48,4.8
2016-12-25,0,48.0,,0.48,0.0
2016-12-26,9,48.0,,0.48,4.32
2016-12-27,32,48.0,,0.48,15.36
2016-12-28,41,48.0,,0.48,19.68
2016-12-29,16,48.0,,0.48,7.68
2016-12-30,34,48.0,,0.48,16.32
2016-12-31,0,48.0,,0.48,0.0
2017-01-01,7,41.0,False,0.41,2.8699999999999997
2017-01-02,19,41.0,,0.41,7.789999999999999
2017-01-03,71,41.0,,0.41,29.11
2017-01-04,54,41.0,,0.41,22.139999999999997
2017-01-05,67,41.0,,0.41,27.47
2017-01-06,54,41.0,,0.41,22.139999999999997
2017-01-07,21,41.0,,0.41,8.61
2017-01-08,14,41.0,,0.41,5.739999999999999
2017-01-09,46,41.0,,0.41,18.86
2017-01-10,40,41.0,,0.41,16.4
2017-01-11,58,41.0,,0.41,23.779999999999998
2017-01-12,82,41.0,,0.41,33.62
2017-01-13,60,41.0,,0.41,24.599999999999998
2017-01-14,7,41.0,,0.41,2.8699999999999997
2017-01-15,13,41.0,,0.41,5.33
2017-01-16,18,41.0,,0.41,7.38
2017-01-17,46,41.0,,0.41,18.86
2017-01-18,63,41.0,,0.41,25.83
2017-01-19,86,41.0,,0.41,35.26
