date,GPRO_unscaled,GPRO_monthly,isPartial,scale,GPRO
2016-05-01,5,89.0,False,0.89,4.45
2016-05-02,23,89.0,,0.89,20.47
2016-05-03,25,89.0,,0.89,22.25
2016-05-04,30,89.0,,0.89,26.7
2016-05-05,100,89.0,,0.89,89.0
2016-05-06,59,89.0,,0.89,52.51
2016-05-07,8,89.0,,0.89,7.12
2016-05-08,8,89.0,,0.89,7.12
2016-05-09,33,89.0,,0.89,29.37
2016-05-10,39,89.0,,0.89,34.71
2016-05-11,27,89.0,,0.89,24.03
2016-05-12,40,89.0,,0.89,35.6
2016-05-13,36,89.0,,0.89,32.04
2016-05-14,11,89.0,,0.89,9.790000000000001
2016-05-15,11,89.0,,0.89,9.790000000000001
2016-05-16,26,89.0,,0.89,23.14
2016-05-17,24,89.0,,0.89,21.36
2016-05-18,25,89.0,,0.89,22.25
2016-05-19,33,89.0,,0.89,29.37
2016-05-20,28,89.0,,0.89,24.92
2016-05-21,11,89.0,,0.89,9.790000000000001
2016-05-22,3,89.0,,0.89,2.67
2016-05-23,26,89.0,,0.89,23.14
2016-05-24,39,89.0,,0.89,34.71
2016-05-25,38,89.0,,0.89,33.82
2016-05-26,34,89.0,,0.89,30.26
2016-05-27,26,89.0,,0.89,23.14
2016-05-28,22,89.0,,0.89,19.580000000000002
2016-05-29,1,89.0,,0.89,0.89
2016-05-30,8,89.0,,0.89,7.12
2016-05-31,29,89.0,,0.89,25.81
2016-06-01,26,66.0,False,0.66,17.16
2016-06-02,67,66.0,,0.66,44.22
2016-06-03,100,66.0,,0.66,66.0
2016-06-04,13,66.0,,0.66,8.58
2016-06-05,15,66.0,,0.66,9.9
2016-06-06,45,66.0,,0.66,29.700000000000003
2016-06-07,53,66.0,,0.66,34.980000000000004
2016-06-08,58,66.0,,0.66,38.28
2016-06-09,35,66.0,,0.66,23.1
2016-06-10,41,66.0,,0.66,27.060000000000002
2016-06-11,23,66.0,,0.66,15.180000000000001
2016-06-12,15,66.0,,0.66,9.9
2016-06-13,50,66.0,,0.66,33.0
2016-06-14,38,66.0,,0.66,25.080000000000002
2016-06-15,58,66.0,,0.66,38.28
2016-06-16,59,66.0,,0.66,38.940000000000005
2016-06-17,38,66.0,,0.66,25.080000000000002
2016-06-18,11,66.0,,0.66,7.260000000000001
2016-06-19,11,66.0,,0.66,7.260000000000001
2016-06-20,71,66.0,,0.66,46.86
2016-06-21,73,66.0,,0.66,48.18
2016-06-22,62,66.0,,0.66,40.92
2016-06-23,48,66.0,,0.66,31.68
2016-06-24,76,66.0,,0.66,50.160000000000004
2016-06-25,26,66.0,,0.66,17.16
2016-06-26,16,66.0,,0.66,10.56
2016-06-27,61,66.0,,0.66,40.260000000000005
2016-06-28,46,66.0,,0.66,30.360000000000003
2016-06-29,60,66.0,,0.66,39.6
